t,cum_VA_row_equity_Y,cum_VA_us_liability_Y,cum_VA_total_Y,cum_CA_row_equity_Y,cum_CA_us_liability_Y,cum_CA_bond_Y,cum_CA_total_Y,Y_US
29,-0.00458053067852943,-0.003011470381788192,-0.007592001060317624,0.11878865835947282,-0.005812100883845517,-0.0027231945388724132,0.11025336293675488,49.61287106685935
30,-0.004846902856416372,-0.0030637270523609685,-0.007910629908777344,0.11623005550098689,-0.005583676822409489,-0.002272972467992432,0.10837340621058496,57.89576471369355
31,-0.0050825853882068015,-0.0030995083647235543,-0.008182093752930357,0.1134108734622688,-0.005337143250498671,-0.001903628171735027,0.1061701020400351,67.78654262097602
32,-0.005288156312083705,-0.0031182898988095236,-0.008406446210893231,0.11034497806645581,-0.005076474660808808,-0.0016008650361037302,0.10366763836954325,79.63288899705839
33,-0.005464349121723423,-0.0031198390683503958,-0.00858418819007382,0.107050522670293,-0.004805463776665681,-0.0013526284112069249,0.1008924304824204,93.86348253896526
34,-0.005611938241687923,-0.0031042257255586587,-0.008716163967246584,0.10354933610557675,-0.004527713264550158,-0.0011488463940562282,0.09787277644697034,111.00792625550504
35,-0.0057316458451099825,-0.003071823700320255,-0.00880346954543024,0.09986625702996395,-0.004246616951557823,-0.0009811727606465024,0.09463846731775961,131.72179405424555
36,-0.005824075795907786,-0.0030233023766563136,-0.008847378172564101,0.09602844119931277,-0.003965333865988108,-0.0008427431411428989,0.09122036419218177,156.81815324378033
37,-0.005889677800418719,-0.00295960810748111,-0.008849285907899832,0.09206466264571418,-0.0036867578562439396,-0.0007279495177471836,0.08764995527172306,187.30729331538527
38,-0.005928743741418638,-0.002881935790004446,-0.008810679531423086,0.08800463606312091,-0.00341349028394875,-0.0006322397508886244,0.08395890602828354,224.44686656143347
39,-0.005941434132829713,-0.0027916920799242583,-0.008733126212753973,0.08387836920176432,-0.003147814387228363,-0.0005519394859241558,0.08017861532861181,269.80525429446334
40,-0.00592783011808781,-0.0026904517664782203,-0.00861828188456603,0.07971556585676928,-0.0028916779739533564,-0.00048409851378101716,0.07633978936903492,325.34175284348925
41,-0.005888004688670101,-0.002579909673507415,-0.008467914362177515,0.075545087748644,-0.002646684534271954,-0.0004263592935704663,0.07247204392080159,393.50817430856733
42,-0.005822104617448292,-0.00246183051552022,-0.008283935132968514,0.07139448361927163,-0.002414094253966548,-0.00037684553138540036,0.06860354383391969,477.37774277894454
43,-0.005730434587570702,-0.0023379992177928756,-0.008068433805363578,0.06728959000432169,-0.0021948341339756362,-0.00033406894645938046,0.06476068692388666,580.808819259078
44,-0.005613534382485967,-0.002210173972228545,-0.007823708354714512,0.06325420612419795,-0.001989516728306674,-0.0002968517245117968,0.06096783767137947,708.6531145821886
45,-0.0054722417389671965,-0.00208004399351121,-0.007552285732478407,0.059309842795596895,-0.0017984658201783492,-0.0002642626375241469,0.05724711433789439,867.0207867792872
