t,N_US,N_W,φ_US,φ_W,ω,ω_star,θ,θ_US_star,R_f,R_f_W,Y_US,Y_W,e_US,e_W,q_US,q_W,d_US,d_W,Q_US,Q_W,I_US,I_W,A,A_star,S,S_star,R_US_u,R_W_u,R_p_u,R_A_u,R_p_star_u,R_A_star_u,R_US_b,R_W_b,R_p_b,R_A_b,R_p_star_b,R_A_star_b,Psi,residual_norm
11,1.9751988941669374,1.8437346983135,0.6308022467636539,0.6143961170638889,0.631690278240717,0.18045913027703003,-0.3660124895577026,0.7820335940726705,1.0440402203028698,1.0574278584248566,4.98918852413766,2.335546869633906,4.884321991847913,2.2746756052317236,1.014730882825393,0.7215104391945608,0.12801890414934478,0.08865864245243985,2.1522915832522584,1.4328655829311756,0.1479962656185023,0.10259175099275124,2.4421609959239565,1.1429961996438016,3.3360224219428023,0.24913477362495584,1.1504524651044314,1.1206423734769968,1.1394731185515123,1.1744027512252049,1.1260218766855623,1.0619094672965745,0.616133806725393,0.825772085886976,0.6933456229934905,0.5649870203578486,0.7879409443567036,0.9882191815642924,0.9936034752313827,1.0480052682773195e-8
12,2.121046692951207,1.9859249500682448,0.625515528678866,0.6011192167997332,0.6385292704935567,0.17950621381403212,-0.32803437167939625,0.7551729604925101,1.0348891872091672,1.0486377622303373,5.567010620555879,2.416463017084654,5.456517582755046,2.3584852657266318,1.037593478866664,0.721780004826786,0.12980616669740502,0.08677516624063705,2.3656161197752468,1.5477521363714701,0.16483190279737114,0.11435121632557771,2.728258791377523,1.1851095116337802,3.623221449785838,0.2901468532254655,1.1511543799632598,1.1175350005284816,1.1390019583534166,1.173154525819521,1.123569888041596,1.0566006206554202,0.5775571471393975,0.7944481357463282,0.6559568910145184,0.5316540733232759,0.7555148555711158,0.9664907966798395,0.9939980431771981,1.4305200471121079e-8
13,2.2799065028426613,2.1443544099602794,0.619696043796778,0.5878018960229703,0.6455561374062588,0.1788149085271105,-0.29262369158445123,0.725899360645422,1.025669552825816,1.0398527472367676,6.220256074108939,2.5029137967206796,6.104251582025091,2.4485568022827677,1.0627178663311616,0.7217636139262962,0.1317124114875148,0.08485080414925361,2.6071848655071186,1.675310190099938,0.18428749137162526,0.1275932016282164,3.0521257910125454,1.2303693384604952,3.94525010715875,0.3372450223142909,1.151809624472598,1.1143853780259643,1.138544830007393,1.1715748103048846,1.121077391231015,1.0518209023321194,0.5401623973078147,0.7636815436011818,0.6193873868836912,0.5004995996607802,0.7237129879026756,0.9429030653230711,0.994345164921479,1.938054581123561e-8
14,2.4533179954035647,2.3211341743683613,0.6133472372006799,0.5744681781612013,0.6526496359229014,0.17851068649450694,-0.2599537555286126,0.6950349366943823,1.0163937669834298,1.0310818504941153,6.960742436747151,2.5952824560051284,6.839467360626051,2.5454022866585557,1.0903019311073625,0.721434576397525,0.13374673543185334,0.08288824135311683,2.8817055447492943,1.8170610101586966,0.2068481967403446,0.14251456031143922,3.4197336803130254,1.2790329898135033,4.308706293418081,0.3900603767084485,1.1524198896318631,1.1112056966664117,1.1381041247001698,1.1697431892753674,1.1185628705459914,1.0475517741192646,0.5039783958482007,0.733529028957477,0.5837128918328363,0.47123587339203277,0.6925517878558913,0.9176332773177834,0.9946504251067003,2.6084061149222168e-8
15,2.64303443159318,2.518677465158614,0.6064737044850478,0.5611394101091511,0.6597241308664535,0.17868747768697543,-0.23007086284991227,0.6632554802040503,1.0070731723086475,1.0223344457199677,7.802433409680828,2.6939777173979547,7.676296287618567,2.6495809421641088,1.1205667745369026,0.7207715469313462,0.13591885657525132,0.08089066413370319,3.19479766376925,1.974731770444923,0.23310109576890475,0.15934071766142685,3.8381481438092835,1.331381468450622,4.721194199001274,0.448335413258631,1.1529855618090488,1.108007657890388,1.1376806664613213,1.1677296453356916,1.1160446460932605,1.0437687189197038,0.46903610238999494,0.7040367739546949,0.5490011601536403,0.4436121370697423,0.6620450966980533,0.8908868586710373,0.994921188188505,3.4894728803866946e-8
16,2.851055141349846,2.739747120779474,0.5990817495605562,0.5478342754318021,0.6667261348742393,0.17941207926800595,-0.20293032020610782,0.6311037854827832,0.9977176570933325,1.013619698613262,8.761872140365115,2.799435811680891,8.631503216417176,2.761704961469091,1.15375821417984,0.7197586967639494,0.1382390979041443,0.07886169682548327,3.5531866552792843,2.1502870737206186,0.2637583668672347,0.17833025660560178,4.315751608208588,1.387722393574021,5.191548463992382,0.5119255377902275,1.1535058896166954,1.1048020879928724,1.1372741854032058,1.1655944363799813,1.113540138310459,1.040444131970322,0.4353680790911924,0.6752411348145118,0.51531149951163,0.41741666348417705,0.6322050111268207,0.8628814256381147,0.9951655691617652,4.641258967117143e-8
17,3.0796631491851185,2.987511069179651,0.5911798715576999,0.5345689480638848,0.6736296051678178,0.18072974284563295,-0.17842663651307875,0.5990100541429941,0.988335463579111,1.0049461393209251,9.858708783350178,2.9121226926555766,9.725029734622018,2.882446151068519,1.1901485248401669,0.7183855856687948,0.1407183704099192,0.07680532536704508,3.96494268504394,2.345965107243565,0.2996861310366487,0.19978021811893437,4.862514867311009,1.448393339591644,5.730117040080151,0.5807911668225012,1.153979130455605,1.1015986416060772,1.136883689628282,1.1633886499622197,1.111065353885981,1.037548915648299,0.4030076935553389,0.6471696493683331,0.4826949274770237,0.3924751873356582,0.6030423218815639,0.8338367875507359,0.9953917303260897,6.137985522884469e-8
18,3.331468806026894,3.2656071530994653,0.5827791786232944,0.5213573542314716,0.6804309255444347,0.18266961830125983,-0.15641647036001594,0.56731231179507,0.9789331327306363,0.9963213824440963,11.116344135493344,3.0325364256156724,10.980657983290193,3.012543491718416,1.2300384054835185,0.7166467722974283,0.14336815432455835,0.07472581302470223,4.439774959790167,2.56431904149751,0.3419403817067646,0.22403221563738443,5.490328991645097,1.5137656351420898,6.349106873633488,0.6549877531536984,1.1544026861527406,1.0984055882617407,1.136507745407516,1.1611550101407802,1.108634556759468,1.035053342050559,0.3719880628720351,0.6198422326909492,0.451194590521018,0.3686475904756492,0.5745668060957525,0.8039688016710689,0.9956074245596438,8.070206924473187e-8
19,3.609460436355177,3.5782189226594974,0.5738937238332038,0.5082115116096597,0.6871440512464565,0.1852494063898813,-0.1367350398204572,0.5362738267928995,0.9695155597592797,0.9877519946374703,12.562716460459447,3.161209744900695,12.42682344020824,3.1528117174596164,1.2737591616518047,0.7145412061992522,0.1462004777094028,0.07262761330198231,4.989395119244238,2.8082643378257774,0.39181181981710916,0.2514794727836715,6.21341172010412,1.5842486739473696,7.063002819073453,0.7346575749780372,1.154773223815395,1.0952296943624182,1.1361446764162493,1.1589287153175876,1.1062600978479404,1.032927581114107,0.34234086692721827,0.5932724402728774,0.42084630237849385,0.34582398962227145,0.546787515266115,0.7734855013791435,0.9958197040666249,1.0546794618137792e-7
20,3.9170631854565143,3.9301642976803826,0.5645407601688364,0.495141911176088,0.6937960127415648,0.18847898767054766,-0.11920741696309184,0.5060968464943943,0.9600861152407906,0.9792434761874498,14.231265272825798,3.2987127727637877,14.097612077235688,3.30415102978457,1.3216750823300822,0.7120714619610878,0.14922789113496682,0.07051528491387284,5.627966691148357,3.081132749426587,0.4508818830179836,0.28257491223004544,7.048806038617844,1.6602947960609036,7.889075999155321,0.8200248355234266,1.1550867923074535,1.0920761863192296,1.135792693514289,1.156738220853696,1.1039523615483977,1.031142107975132,0.31409506740540494,0.5674687134615292,0.39167908809399765,0.3239207546041585,0.5197131051504752,0.7425844968384279,0.9960347328366828,1.3696618072993673e-7
