t,q_W,q_US,n_W,n_US_star,bond,NFA,CA,VA,RES,cum_CA,cum_VA,cum_RES,accounting_line,Y_US,e_US
14,0.721434576397525,1.0903019311073625,2.0745203358473114,0.06386299394133113,-0.8889726131050548,0.5380281409944703,0.09528996777732826,-0.0022027597000189173,-9.627715291671279e-17,0.6373377974697205,0.0031921284966142547,-1.4235574524734673e-16,0.5380281409944702,6.960742436747151,6.839467360626051
15,0.7207715469313462,1.1205667745369026,2.228873304243289,0.0714923251102465,-0.883046055191991,0.6433504800684927,0.10863061069745235,-0.0033082716234299585,5.204170427930421e-17,0.7459684081671729,-0.00011614312681570375,-9.031404096804252e-17,0.6433504800684926,7.802433409680828,7.676296287618567
16,0.7197586967639494,1.15375821417984,2.4038715063277416,0.07960560890188437,-0.8757968557837935,0.7625649416333169,0.12384490945796306,-0.004630447893138891,1.3010426069826053e-17,0.8698133176251359,-0.004746591019954595,-7.730361489821647e-17,0.7625649416333168,8.761872140365115,8.631503216417176
17,0.7183855856687948,1.1901485248401669,2.6032545726325105,0.08819591507786172,-0.8676021727691426,0.8975721498095861,0.14120486365117757,-0.0061976554749086565,2.975050761300224e-16,1.0110181812763135,-0.010944246494863252,2.2020146123180595e-16,0.897572149809586,9.858708783350178,9.725029734622018
18,0.7166467722974283,1.2300384054835185,2.83121097541822,0.09727042857133704,-0.8587778819883914,1.0505539623775437,0.16102651095360937,-0.00804469838565147,-2.7929047963226594e-16,1.1720446922299228,-0.018988944880514724,-5.908901840045999e-17,1.0505539623775437,11.116344135493344,10.980657983290193
19,0.7145412061992522,1.2737591616518047,3.092477283100164,0.10684506440607179,-0.8495910989693324,1.2240164693763338,0.18367654553536716,-0.010214038536576922,-1.7520707107365752e-16,1.35572123776529,-0.029202983417091648,-2.342960894741175e-16,1.2240164693763338,12.562716460459447,12.42682344020824
20,0.7120714619610878,1.3216750823300822,3.3924495725096064,0.11694058012479258,-0.8402699605374769,1.4208391153245434,0.2095798535307468,-0.012757207582537636,4.85722573273506e-16,1.5653010912960368,-0.041960190999629284,2.514264837993885e-16,1.4208391153245434,14.231265272825798,14.097612077235688
21,0.7092428739113172,1.3741859937340293,3.7373090961182633,0.1275799305297894,-0.8310105393794073,1.64433075103082,0.23922813446898616,-0.015736498762709196,-3.5388358909926865e-16,1.804529225765023,-0.05769668976233848,-1.0245710529988017e-16,1.64433075103082,16.16211418594074,16.033986101400725
22,0.7060626223361824,1.431729979885521,4.134165580175726,0.1387864844549286,-0.8219815334385013,1.8982934866753198,0.27318977653981014,-0.01922704089531018,-1.734723475976807e-16,2.077719002304833,-0.07692373065764865,-2.759294528975609e-16,1.8982934866753196,18.403525395061965,18.28529355632476
23,0.7025388305631103,1.4947862505171647,4.5912222456567084,0.1505827702454169,-0.8133274773630454,2.1870953754283207,0.3121211855367467,-0.023319296783745717,-1.734723475976807e-16,2.3898401878415796,-0.10024302744139438,-4.494018004952416e-16,2.18709537542832,21.013691549348916,20.91113100443847
24,0.6986797217418488,1.5638781443133059,5.117967285642228,0.16298951008322973,-0.8051711536160379,2.515753072828863,0.3567797724384529,-0.028122075037910914,4.371503159461554e-16,2.7466199602800323,-0.1283651024793053,-1.22514845490862e-17,2.5157530728288626,24.0629473492351,23.983646076245538
25,0.694492870769106,1.6395762670429104,5.7253972698377735,0.1760247728977988,-0.7976158229527927,2.890025723215596,0.4080388166330078,-0.03376616624627512,1.8735013540549517e-16,3.15465877691304,-0.16213126872558042,1.7509865085640897e-16,2.890025723215595,27.63650411972595,27.5903888506622
26,0.6899845902031309,1.7225017596406655,6.426278596955408,0.18970321116548985,-0.7907475313356767,3.31652155787371,0.46690447290416925,-0.04040863824605498,-2.7755575615628914e-17,3.6215632498172092,-0.2025399069716354,1.4734307524078005e-16,3.3165215578737093,31.837837040347353,31.83784907297664
27,0.6851594716259487,1.8133297083701307,7.235454165857437,0.2040353828061234,-0.7846376850590626,3.8028188469925723,0.5345351988967342,-0.048237909777871624,-3.885780586188048e-16,4.156098448713943,-0.25077781674950705,-2.4123498337802474e-16,3.8028188469925714,36.79288810372658,36.855851689192725
28,0.6800201033432138,1.9127927108984986,8.170203574634545,0.21902724023090842,-0.7793458129107147,4.3576031576454675,0.6122639461000068,-0.057479635447111536,-1.1796119636642288e-16,4.76836239481395,-0.3082574521966186,-3.591961797444476e-16,4.3576031576454675,42.655290169922125,42.80302813292173
29,0.6745669686408781,2.0216846317629886,9.250666777260818,0.2346798222718134,-0.774922530419909,4.990823125352007,0.7016234852549186,-0.06840351754837914,-1.1102230246251565e-16,5.469985880068869,-0.37666096974499774,-4.702184822069633e-16,4.990823125352006,49.61287106685935,49.87363781713612
30,0.6687985337076572,2.1408645788346656,10.500342894099143,0.2509892274135075,-0.7714125100804496,5.713867474282018,0.8043753471206929,-0.08133099819068239,3.7470027081099033e-16,6.274361227189562,-0.45799196793568014,-9.551821139597294e-17,5.713867474282018,57.89576471369355,58.30608670372974
31,0.662711518805207,2.2712611525689494,11.946678191568537,0.2679468761775413,-0.7688574030706635,6.539766515126513,0.9225429198206504,-0.0966438789761552,3.0531133177191805e-16,7.196904147010213,-0.5546358469118353,2.097931203759451e-16,6.539766515126513,67.78654262097602,68.39358186882676
32,0.6563013458409036,2.4138770249697985,13.621759903778242,0.2855400900393436,-0.7672985385921767,7.483422155925361,1.0584493918588165,-0.11479375105996742,-1.609823385706477e-15,8.255353538869029,-0.6694295979718028,-1.4000302653305319e-15,7.483422155925361,79.63288899705839,80.49747813515134
33,0.6495627397853835,2.5697939280491786,15.56313584556623,0.3037529208898125,-0.766779444129886,8.561871303638382,1.214761348031403,-0.1363122003183831,1.4432899320127035e-15,9.470114886900433,-0.8057417982901859,4.3259666682171627e-17,8.561871303638384,93.86348253896526,95.06402208227745
34,0.6424904640433837,2.7401781349076946,17.814783584678093,0.3225672068034921,-0.7673480866631531,9.794588878367952,1.394539063346383,-0.16182148861681314,-8.326672684688674e-17,10.864653950246815,-0.967563286906999,-4.0007060164715114e-17,9.794588878367952,111.00792625550504,112.64538908995306
35,0.6350801552686396,2.9262865400248015,20.42825758710982,0.3419637841949292,-0.7690588671823706,11.203838114241531,1.6012947513925644,-0.19204551551898574,6.661338147750939e-16,12.46594870163938,-1.1596088024259847,6.261267546103788e-16,11.203838114241531,131.72179405424555,133.92615205075427
36,0.6273292182937446,3.1294734556913824,23.46404838203844,0.3619237970288158,-0.7719744539257484,12.815077759800312,1.8390603492036308,-0.22782070364484955,-3.0531133177191805e-16,14.305009050843012,-1.3874295060708344,3.2081542283846076e-16,12.815077759800314,156.81815324378033,159.75663091917033
37,0.6192377417702211,3.3511982749504825,26.993193676316263,0.3824299848651726,-0.7761672847123214,14.657438305006467,2.11246683031802,-0.27010628511186474,-2.220446049250313e-16,16.41747588116103,-1.6575357911826991,9.877081791342945e-17,14.657438305006469,187.30729331538527,191.19496950972555
38,0.6108093819829686,3.593034107576935,31.099191571996858,0.40346807157537273,-0.7817212618753895,16.764282179897354,2.4268374968130555,-0.3199936219221712,2.1094237467877974e-15,18.84431337797409,-1.9775294131048704,2.208194564701227e-15,16.764282179897357,224.44686656143347,229.56029460748644
39,0.6020521706887679,3.8566776058659564,35.88027212477858,0.4250279921716016,-0.7887332042277787,19.173866574124467,2.788298319739976,-0.37871392551285876,-3.4416913763379853e-15,21.632611697714065,-2.356243338617729,-1.2334968116367584e-15,19.17386657412447,269.80525429446334,276.4999643480232
40,0.5929792045484031,4.143960101042849,41.45209853474727,0.4471051158060576,-0.7973144898953006,21.93013216522872,3.2039091873105225,-0.44764359620627303,3.1086244689504383e-15,24.836520885024587,-2.803886934824002,1.87512765731368e-15,21.930132165228724,325.34175284348925,334.07474924916966
41,0.5836091763010719,4.456860237745183,47.95098132688634,0.4697013860445278,-0.8075928980852611,25.0836463858513,3.68182080666035,-0.5283065860377685,-2.4424906541753444e-15,28.518341691684938,-3.332193520861771,-5.673629968616645e-16,25.083646385851303,393.50817430856733,404.86686307120567
42,0.5739667211865562,4.797518268260947,55.53770668630218,0.49282643957398714,-0.8197147000219508,28.69273686199739,4.231463210388021,-0.6223727342419338,2.220446049250313e-15,32.74980490207296,-3.9545662551037046,1.6530830523886486e-15,28.692736861997393,477.37774277894454,492.11714074263693
43,0.5640825574552624,5.1682521734254045,64.40210040972958,0.5164986892832447,-0.8338472212170533,32.824858809934305,4.863773204596464,-0.7316512566595443,-3.774758283725532e-15,37.61357810666942,-4.686217511763249,-2.1216752313368836e-15,32.82485880993431,580.808819259078,599.8994355475047
44,0.5539934194740359,5.571575760485039,74.76847419617533,0.5407464443191053,-0.8501819300172351,37.558250977041354,5.591469948494928,-0.8580777813878806,1.1102230246251565e-15,43.20504805516435,-5.544295293151129,-1.011452206711727e-15,37.558250977041354,708.6531145821886,733.3425925077665
45,0.5437417897297697,6.01021888628505,86.90213121624089,0.5656091036009142,-0.8689382307754119,42.98394761135773,6.429390058920655,-1.0036934246042841,3.3306690738754696e-15,49.634438114085,-6.5479887177554135,2.3192168671637425e-15,42.98394761135772,867.0207867792872,898.9132980980111
