t,VA_row_equity_Y,VA_us_liability_Y,VA_total_Y,CA_row_equity_Y,CA_us_liability_Y,CA_bond_Y,CA_total_Y,Y_US
28,-0.0008717714380339774,-0.0004757668208346172,-0.0013475382588685944,0.014901982544824818,-0.0006722804015802727,0.00012406133277413316,0.01435376347601868,42.655290169922125
29,-0.000898017382988107,-0.00048072801266128243,-0.0013787453956493896,0.014690639175898796,-0.0006378301412321418,8.915594674706074e-5,0.014141964981413714,49.61287106685935
30,-0.0009216886530029011,-0.0004830945568377648,-0.0014047832098406658,0.014435970553011294,-0.0006030877723506164,6.062654767265142e-5,0.013893509328333328,57.89576471369355
31,-0.0009428972360280933,-0.00048281169142868913,-0.0014257089274567825,0.014140019901102344,-0.0005681842942191987,3.769342573013097e-5,0.013609529032613275,67.78654262097602
32,-0.0009616663984105102,-0.0004798705407329116,-0.0014415369391434219,0.013805330887308691,-0.0005332954168968237,1.9575636374870668e-5,0.013291611106786736,79.63288899705839
33,-0.0009779274249315873,-0.0004743114717212856,-0.0014522388966528728,0.013434889070706918,-0.0004986307866074796,5.530313261871712e-6,0.01294178859736131,93.86348253896526
34,-0.0009915218833716978,-0.0004662252710463696,-0.0014577471544180674,0.01303206220999444,-0.0004644217455779205,-5.122539916278825e-6,0.01256251792450024,111.00792625550504
35,-0.0010022111228104162,-0.0004557519796348613,-0.0014579631024452774,0.012600538029199408,-0.0004309077609414951,-1.2987831903602357e-5,0.01215664243635431,131.72179405424555
36,-0.0010096926522177977,-0.00044307731689855064,-0.0014527699691163484,0.012144258983367727,-0.0003983233385091842,-1.8592150736817906e-5,0.011727343494121724,156.81815324378033
37,-0.0010136220179659627,-0.0004284269291461165,-0.0014420489471120793,0.011667351141142658,-0.0003668853469966027,-2.2384770567973766e-5,0.011278081023578081,187.30729331538527
38,-0.0010136401171308357,-0.0004120586543625305,-0.0014256987714933661,0.011174056806881608,-0.00033678600314618416,-2.4745175765453893e-5,0.01081252562796997,224.44686656143347
39,-0.001009402846460396,-0.00039425375208580337,-0.0014036565985461995,0.01066865777898662,-0.000308184001698407,-2.5988902146199286e-5,0.010334484875142012,269.80525429446334
40,-0.0010006108691859082,-0.0003753071994107744,-0.0013759180685966827,0.010155404781551204,-0.00028120190134644954,-2.637622005943419e-5,0.009847826660145319,325.34175284348925
41,-0.000987037524351838,-0.0003555180323810183,-0.0013425555567328563,0.00963844687562547,-0.0002559245904462783,-2.611993564814933e-5,0.009356402349531041,393.50817430856733
42,-0.0009685520369046286,-0.0003351801618755959,-0.0013037321987802246,0.009121765614244864,-0.00023240058515561497,-2.539247403141458e-5,0.008863972555057833,477.37774277894454
43,-0.000945136795354205,-0.0003145742014465875,-0.0012597109968007923,0.008609114937648482,-0.00021064445296442035,-2.4332483816500975e-5,0.008374138000867563,580.808819259078
44,-0.0009168966648762319,-0.0002939606131501133,-0.0012108572780263453,0.008103968984719725,-0.00019064081060820855,-2.3050359144773438e-5,0.007890277814966743,708.6531145821886
45,-0.0008840603658998934,-0.0002735744219956695,-0.0011576347878955629,0.007609478901383178,-0.00017234883714136088,-2.1633046224705444e-5,0.007415497018017112,867.0207867792872
