t,N_US,N_W,phi_US,phi_W,q_US,q_W,d_US,d_W,Q_US,Q_W,e_US,e_W,Y_US,Y_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,Psi,residual_norm,v_US,B_per,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
16.0,1.5135975263382497,2.6368033968198357,0.8009307601507829,0.6733485969690579,1.027881952013335,0.5148497730978637,0.041163113658565544,0.06933467447305687,1.6177419478821984,1.4462472514996887,3.38080955921172,2.7335689929123133,3.3811715782746226,2.827701277136947,0.5618818951250133,0.17211617328624199,0.806009074438553,-0.6549446143548961,1.089761999202677,1.1033150870014703,0.9867284204198384,2.7116596326277065e-10,1.027905611051541,-2.3659038205892102e-5,1.6177791838882174,-3.723600601901467e-5,-2.3017271739637265e-5,0.07266283172366172,0.07262559571764271,3.723600601901467e-5,0.1588283370035306,-0.08616550527986888,-0.13060092113088517,0.044398179844997276,3.723600601901467e-5
17.0,1.5738596681394117,2.8090665026374264,0.7921403611978345,0.6744551467590089,1.052459318275155,0.49738931712634693,0.041684775226225386,0.06709335697576271,1.725283982052868,1.48816990178108,3.5911421837659505,2.821727139353116,3.587887461607863,2.919226608711471,0.5676133981965579,0.17504757899284393,0.8226494585453569,-0.6496097625497813,1.0916844131019803,1.1049834311684532,0.9872536850056187,3.0719520820517916e-10,1.0524910256307078,-3.1707355552912375e-5,1.7253359595418778,-5.197748900975796e-5,-3.0126917974344938e-5,0.07028710983010722,0.07023513234109746,5.197748900975796e-5,0.16970865746850983,-0.09942154763840261,-0.15584239145105583,0.05636886632364346,5.197748900975796e-5
18.0,1.6392880485683627,2.9919619311064833,0.7831340100738619,0.6756093486734313,1.0785586715182158,0.4805138415802328,0.04223279887629987,0.06492792870771788,1.844755118057459,1.5309530546942582,3.8244877821146424,2.912438816734325,3.8170327264122745,3.013426774376942,0.573714867273267,0.1781718853943576,0.8411733979007315,-0.6437605724617177,1.093773674301893,1.1068012236565732,0.9878074800618987,3.5426096207185485e-10,1.0786012284650663,-4.255694685051381e-5,1.8448279070003182,-7.278894285911441e-5,-3.9457238603984313e-5,0.06748877299986211,0.067415984057003,7.278894285911441e-5,0.18180443545381286,-0.11431566245395075,-0.18582082984755632,0.07143237845074646,7.278894285911441e-5
19.0,1.7103892136537358,3.18607482702167,0.7739281686289772,0.6768089807877229,1.106247468552353,0.4642089858379523,0.042807803869358216,0.06283616211549739,1.977664461419014,1.574604762763831,4.0838307067620825,3.0057537413981295,4.071497989185119,3.110354257232695,0.5801788512021568,0.18147400891109214,0.8616920717452189,-0.6373721384688105,1.0960410060060337,1.1087810914359044,0.9883880410721592,3.877017862491098e-10,1.1063046789316942,-5.7210379341254836e-5,1.9777667377516284,-0.00010227633261439273,-5.171571548644172e-5,0.06425089196202727,0.06414861562941288,0.00010227633261439273,0.19525502230043523,-0.13100413033840796,-0.2214333752841422,0.09032696861311984,0.00010227633261439273
20.0,1.7877233780313246,3.392016981148012,0.764541015543741,0.6780494733839735,1.135591987203558,0.4484629498523579,0.04341033255699716,0.06081601339592292,2.125726546673587,1.6191437794132173,4.372588133570614,3.1017210687450776,4.354591596686134,3.2100601808114835,0.5869952608590496,0.1849337888827366,0.8843128664359993,-0.6304133828953462,1.098496140625304,1.1109344431077603,0.9889933821059623,4.31395492199121e-10,1.135669028190243,-7.704098668503967e-5,2.1258707605042795,-0.0001442138306924079,-6.784213657117792e-5,0.06056752011171973,0.06042330628102732,0.0001442138306924079,0.21021046360648166,-0.14964294349476193,-0.2637255052234688,0.11393834789801449,0.0001442138306924079
21.0,1.8719104842473184,3.6104293118222333,0.7549918980477938,0.6793236364038827,1.1666578114617843,0.4332662741723774,0.044040859772390875,0.05886560418038822,2.290892597992397,1.6646026045241527,4.69467816856687,3.20038989668464,4.6701051065220245,3.312594651047446,0.5941515443808748,0.18852543132188773,0.909136800453192,-0.6228473409936423,1.101146660878666,1.1132707801156694,0.9896213170228293,4.6179965256259586e-10,1.1667617465768996,-0.00010393511511530562,2.2910966888436732,-0.00020409085127637283,-8.908791772046669e-5,0.05644648629103832,0.05624239543976195,0.00020409085127637283,0.2268303735536974,-0.17038388726265907,-0.31390699250758347,0.14331901439364803,0.00020409085127637283
22.0,1.9636371312012928,3.8419851803694307,0.7453006545621459,0.6806214926879055,1.199510850588104,0.41861149784753493,0.0446998111048855,0.05698319650426184,2.4753880192194284,1.711030408775522,5.054599941243463,3.3018099970430157,5.02239017636092,3.4180073558294253,0.6016329251455363,0.19221704188971445,0.9362563056623632,-0.6146322694333284,1.1039973359445716,1.1157969839941682,0.990269474289594,5.015845699077775e-10,1.199651341590664,-0.0001404910025599726,2.475677945520949,-0.00028992630152080423,-0.00011712357790768801,0.0519119514023032,0.0516220251007824,0.00028992630152080423,0.24528223142925043,-0.19337028002694723,-0.37336767767994683,0.1797074713514788,0.00028992630152080423
23.0,2.0636645496001798,4.087394678773746,0.7354868506053933,0.6819302530960089,1.2342189415467257,0.4044926959957111,0.04538759011378616,0.055167161311168444,2.6817576084996246,1.7584955902725363,5.45752816805423,3.406032790146551,5.416449196379244,3.526348454676053,0.6094226638351191,0.1959702871446506,0.9657537260465802,-0.605723667386325,1.1070495135646776,1.1185166421930763,0.9909353009050839,5.280166890155184e-10,1.2344092393128456,-0.00019029776611989568,2.6821710946850925,-0.00041348618546788174,-0.00015418477201569936,0.04700647552749038,0.046592989342022495,0.00041348618546788174,0.2657392230637443,-0.21873274753625394,-0.4436933870840645,0.22454715336234266,0.00041348618546788174
24.0,2.172837831461929,4.347409996968603,0.7255689881024646,0.6832344588617675,1.2708540250274625,0.3909049158521603,0.046104613448256004,0.0534159417297311,2.912920251393207,1.8070877277744974,5.909425222877374,3.5131125605720195,5.8580425236348015,3.6376697709106995,0.61750230662757,0.19974021489288885,0.9977008512756939,-0.5960771558120026,1.1103006482949997,1.121429497526258,0.9916160537399938,5.62996303789247e-10,1.2711123528330215,-0.000258327805559011,2.913512363690522,-0.0005921122973151505,-0.00020327102914401856,0.04179236004548015,0.041200247748165,0.0005921122973151505,0.2883776682481871,-0.24658530820270697,-0.5266826299831848,0.2795052094831627,0.0005921122973151505
25.0,2.292096648417398,4.622831933016507,0.7155637615187408,0.6845162966931158,1.3094948103967958,0.37784354992749114,0.046851351610840065,0.05172801350514932,3.17223509523244,1.8569187612838345,6.417174406779988,3.623107890551877,6.353815803579051,3.7520262702202785,0.6258518814712566,0.2034752520761169,1.0321597214574165,-0.5856520171532082,1.1137440254216353,1.1245310876694459,0.9923087795877129,5.889156328966287e-10,1.3098463008145536,-0.00035149041775772716,3.1730865764525227,-0.0008514812200828281,-0.0002684168085027876,0.036352108157553964,0.035500626937471136,0.0008514812200828281,0.3133743006308167,-0.27702219247326276,-0.6243657187912741,0.3464920450979285,0.0008514812200828281
