switch_index,G_N_US,G_N_W,fixed_nu_b,common_growth_implied_nu_b,common_growth_log_gap,fed_to_solver
34,1.0585012429475285,1.0324370455124703,1.0,0.5614746380568928,0.02493191472092944,false
35,1.0590815715934239,1.03236508554919,1.0,0.554899119593457,0.02554972108693447,false
36,1.0596496704373235,1.0322953654157268,1.0,0.5485974447572396,0.026153521001316703,false
37,1.0602062120854496,1.0322277497141379,1.0,0.5425499498064874,0.026744098487916923,false
38,1.0607518147653903,1.0321621149513316,1.0,0.5367389191982774,0.027322173077702384,false
39,1.0612870449849123,1.0320983484304271,1.0,0.5311483731642105,0.027888403583906998,false
40,1.0618124214884381,1.0320363472563645,1.0,0.5257638700716398,0.028443392970105237,false
41,1.0623284185713322,1.0319760174477064,1.0,0.5205723371248329,0.02898769249024445,false
42,1.0628354692057804,1.0319172731305124,1.0,0.5155619217226426,0.02952180555447754,false
43,1.0633339679219498,1.0318600358134173,1.0,0.5107218612593148,0.030046191270496694,false
44,1.0638242734783792,1.0318042337332463,1.0,0.5060423686556893,0.030561267704438823,false
45,1.0643067113528968,1.0317498012618462,1.0,0.5015145313384402,0.031067414901358774,false
46,1.06478157601604,1.0316966783734407,1.0,0.4971302223533087,0.03156497763156632,false
47,1.0652491331000136,1.0316448101553877,1.0,0.4928820211342999,0.03205426798686107,false
48,1.0657096213727681,1.0315941463688318,1.0,0.48876314358975576,0.03253556773643389,false
49,1.0661632545740711,1.0315446410494649,1.0,0.48476737994049857,0.03300913050634308,false
50,1.0666102231526222,1.031496252141291,1.0,0.4808890391030695,0.03347518382690308,false
51,1.0670506958799861,1.0314489411636223,1.0,0.4771228991031664,0.03393393102573469,false
52,1.0674848213585277,1.0314026729072083,1.0,0.4734641627283955,0.03438555298723037,false
53,1.067912729422421,1.0313574151576455,1.0,0.46990841787767856,0.03483020977995014,false
54,1.06833453252264,1.0313131384347851,1.0,0.46645160138510067,0.03526804224853096,false
55,1.0687503269807068,1.0312698157589812,1.0,0.46308996688955945,0.03569917345206741,false
56,1.0691601942247624,1.03122742243085,1.0,0.45982005545330745,0.03612371006865382,false
57,1.0695642019492548,1.0311859358296518,1.0,0.45663866911972156,0.03654174370648075,false
58,1.0699624052647974,1.0311453352224182,1.0,0.4535428466171322,0.03695335219168867,false
59,1.070354847832348,1.0311056015837188,1.0,0.4505298410502288,0.03735860082779759,false
60,1.070741562941795,1.031066717429399,1.0,0.44759709969484296,0.037757543586388984,false
61,1.0711225746209823,1.031028666654924,1.0,0.4447422450647522,0.03815022431871347,false
62,1.0714978987549184,1.0309914343799793,1.0,0.44196305728131324,0.03853667796777561,false
63,1.0718675441763377,1.0309550068027264,1.0,0.43925745790950665,0.038916931741479206,false
64,1.0722315138112828,1.0309193710549822,1.0,0.436623494528412,0.039291006333519576,false
65,1.0725898058667733,1.0308845150594057,1.0,0.4340593260569539,0.03965891717891324,false
66,1.0729424150346938,1.030850427390969,1.0,0.4315632089444412,0.04002067571788204,false
67,1.0732893337829275,1.0308170971355783,1.0,0.4291334836504485,0.04037629074128109,false
