experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,rebased_NFA,cond_1b
terminal_rule_selected_full_path,137,0,local_loglinear,34,1.7923465526228266,0.029658752528607987,0.8403313216438928,3.490956129628238,0.016521374295315867,0.7833426151480678
terminal_rule_selected_full_path,137,0,local_loglinear,35,1.8209845352031793,0.02957027329008411,0.8378244098857163,3.6617731201834975,0.021013836344136047,0.7777134577022476
terminal_rule_selected_full_path,137,0,local_loglinear,36,1.8502968752506732,0.029482354820311724,0.8353333865754985,3.843252145476387,0.025542010088622877,0.7719619108459147
terminal_rule_selected_full_path,137,0,local_loglinear,37,1.8803222809442786,0.02939478082800403,0.832852123460114,4.036181072361471,0.03009766556682434,0.7660889416383367
terminal_rule_selected_full_path,137,0,local_loglinear,38,1.911101441919073,0.02930734416272475,0.830374751277201,4.241418700024453,0.03467327704016062,0.7600952420655094
terminal_rule_selected_full_path,137,0,local_loglinear,39,1.942677181681145,0.02921984598504057,0.8278956362428158,4.459902052780954,0.03926196986944376,0.7539812688083113
terminal_rule_selected_full_path,137,0,local_loglinear,40,1.9750946302941632,0.029132094930177335,0.8254093563550243,4.6926545496629775,0.04385746864657651,0.7477472538256474
terminal_rule_selected_full_path,137,0,local_loglinear,41,2.0084014451161485,0.029043906063732392,0.822910671805751,4.940795239949272,0.04845404138860197,0.741393216145428
terminal_rule_selected_full_path,137,0,local_loglinear,42,2.0426480117581223,0.028955100199154656,0.8203945056427151,5.205549072448673,0.05304645565426887,0.7349189842037027
terminal_rule_selected_full_path,137,0,local_loglinear,43,2.0778876877033947,0.02886550306763083,0.8178559202495401,5.488258493949085,0.05762993232031609,0.7283242090838951
terminal_rule_selected_full_path,137,0,local_loglinear,44,2.1141770631586243,0.02877494456914774,0.8152900961258523,5.7903964917445885,0.06220010346998117,0.7216083792873391
terminal_rule_selected_full_path,137,0,local_loglinear,45,2.1515762382965655,0.02868325811732518,0.8126923133242132,6.1135812710240405,0.0667529745718423,0.714770837438765
