T_report,model_T,terminal_rule,cutoff_t,cutoff_model_t,t,model_t,binding_continuation_date,exact_leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,total_leakage_envelope,dividend_envelope_ok,switch_envelope_ok
137,136,local_loglinear,135,134,113,112,false,0.039060180757241256,0.012249229283376083,0.08043285442159553,0.012616079427495564,1.390800504683555,0.4762162476553472,true,true
137,136,local_loglinear,135,134,114,113,false,0.036922963878324194,0.011884370721129224,0.0751157794715849,0.01223484158047269,1.298019435416023,0.444907986719147,true,true
137,136,local_loglinear,135,134,115,114,false,0.034884296697893,0.011524063394712245,0.07008069990954226,0.011859705819396047,1.210183476638,0.4152541980320627,true,true
137,136,local_loglinear,135,134,116,115,false,0.03294212197113955,0.011168725823506986,0.06532018844289768,0.011490897276928695,1.1271488623877193,0.3872071847395018,true,true
137,136,local_loglinear,135,134,117,116,false,0.031094120922476667,0.010818742656461258,0.06082613479804624,0.011128623999405837,1.0487650659305612,0.3607169793095929,true,true
137,136,local_loglinear,135,134,118,117,false,0.029337749895874794,0.010474463620181269,0.05658985882708058,0.010773076183560637,0.97487582695729,0.335731685169324,true,true
137,136,local_loglinear,135,134,119,118,false,0.027670276078831248,0.010136202853848263,0.05260221967494896,0.010424425591531523,0.9053201939957368,0.31219782359011045,true,true
137,136,local_loglinear,135,134,120,119,false,0.026088810937132223,0.009804238388220313,0.04885371764673573,0.01008282514164891,0.8399335658102002,0.2900606804117156,true,true
137,136,local_loglinear,135,134,121,120,false,0.02459034117080125,0.009478811741793674,0.04533458828702273,0.009748408667199535,0.7785487163180628,0.26926464743988715,true,true
137,136,local_loglinear,135,134,122,121,false,0.023171756291446723,0.009160127408566102,0.04203488664864187,0.009421290833798796,0.7209967893304993,0.24975355394396523,true,true
137,136,local_loglinear,135,134,123,122,false,0.02182987183029953,0.008848351924017535,0.038944559718846,0.009101567202513497,0.6671082509408959,0.2314709841828121,true,true
137,136,local_loglinear,135,134,124,123,false,0.020561447328754985,0.008543612157427853,0.0360535055139814,0.008789314422449785,0.6167137890505752,0.21436057743930817,true,true
137,136,local_loglinear,135,134,125,124,false,0.01936319765144328,0.008245992233585464,0.03335161625357345,0.008484590533898006,0.5696451513898378,0.19836630766384394,true,true
137,136,local_loglinear,135,134,126,125,false,0.01823179574108219,0.007955528241617946,0.03082880249839273,0.008187435359218766,0.5257359150582371,0.18343274037863114,true,true
137,136,local_loglinear,135,134,127,126,false,0.01716386412261519,0.007672199484384857,0.028474993914691007,0.007897870954188422,0.48482218221614826,0.16950526502623783,true,true
137,136,local_loglinear,135,134,128,127,false,0.01615595129080735,0.007395914425805413,0.026280110595005814,0.0076159020866071936,0.44674319798212286,0.15653030141398147,true,true
137,136,local_loglinear,135,134,129,128,false,0.015204487451293876,0.007126488620965074,0.02423399649098641,0.007341516700902225,0.41134188777981096,0.14445547929417252,true,true
137,136,local_loglinear,135,134,130,129,false,0.01430571181787626,0.006863610661116003,0.022326303470280775,0.00707468631629597,0.37846531229336355,0.1332297904140838,true,true
137,136,local_loglinear,135,134,131,130,false,0.013455560784727375,0.006606790428441761,0.02054631106885684,0.006815366290754856,0.34796503881051105,0.1228037125609252,true,true
137,136,local_loglinear,135,134,132,131,false,0.012649503099363756,0.006355281694997032,0.018882664213100173,0.0065634958623518695,0.31969742808351953,0.11312930522352505,true,true
137,136,local_loglinear,135,134,133,132,false,0.011882305841615318,0.006107968531652834,0.017323011929887448,0.00631899785359562,0.2935238360485864,0.10416027653645775,true,true
137,136,local_loglinear,135,134,134,133,false,0.011147716865350769,0.005863203060304012,0.015853541415140275,0.006081777894967787,0.2693107301710782,0.09585202128532719,true,true
137,136,local_loglinear,135,134,135,134,false,0.010438063442424053,0.0056185835754606174,0.01445843960089031,0.005851723000427069,0.2469297216770843,0.08816163022612182,true,true
137,136,local_loglinear,135,134,136,135,true,0.009743811046774966,0.005370674051377094,0.013119410986193614,0.005628699335290878,0.22625751936121813,0.08104787245569692,true,true
