T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,hard_valid,model_residuals,psi_interior,equity_interior,theta_interior,positive_foreign_claims,positive_returns,accounting_exact,positive_output,finite_accounting,exact_common,extended_bgp_valid,exponent_ordering,robust_ordering_002,accounting_residual_max,accounting_scale,nfa_identity_error,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_reference,nu_b_eff_min,nu_b_eff_max,nu_b_ordering_ok,max_common_growth_log_gap,max_common_growth_level_gap,all_extended_bgp_converged,max_extended_bgp_residual,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,nfa_final,nfa_min,rebased_nfa_t15,nfa_savings_identity_error,nfa_portfolio_identity_error,cond_1b_final,error,search_stage
80,0,local_loglinear,0.016735076904296875,ok,80,500,75,true,1.87690290077107e-7,80,1.87690290077107e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,6.8833827526759706e-15,63.551010335383026,2.4178476110137126e-8,true,0.9146931562206123,true,0.18718304958046778,1.0,1.0,1.0,true,0.0444479375084469,0.046834419187449905,true,9.412400289866509e-10,T_report_plus_1_only,15.762458726654405,0.6580378957699156,0.5890803864536014,,0.6647540916554326,5.238416471949421,4.942360754929323,63.5510103595615,-0.007369053462887409,-0.043894781116962225,0.0,2.4178476110137126e-8,0.393214888627751,,coarse_grid
85,0,local_loglinear,0.026289939880371094,ok,85,500,80,true,1.84154590261977e-7,85,1.84154590261977e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,1.1546319456101628e-14,121.98799180165442,1.0674195038973266e-7,true,0.914692770222165,true,0.1871829080841912,1.0,1.0,1.0,true,0.0457599524964061,0.04824340937557037,true,9.412400289866509e-10,T_report_plus_1_only,22.253241416173132,0.619894844321279,0.549178444204266,,0.6276666021132352,6.444876123822613,6.0806358172030155,121.98799169491247,-0.007369053462887409,-0.043894781116962225,0.0,1.0674195038973266e-7,0.3364583980828808,,coarse_grid
90,0,local_loglinear,0.032015085220336914,ok,90,500,85,true,2.0690125878742932e-7,90,2.0690125878742932e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,1.5987211554602254e-14,246.28986426290217,4.7147986492745986e-7,true,0.914692718507573,true,0.1871828894443927,1.0,1.0,1.0,true,0.04696527784851923,0.04953927992414098,true,9.412400289866509e-10,T_report_plus_1_only,32.61602165597989,0.5763533155542702,0.5024859141794978,,0.5851808227535659,8.203516261235784,7.739884188106178,246.2898637914223,-0.007369053462887409,-0.043894781116962225,0.0,4.7147986492745986e-7,0.279973951286687,,coarse_grid
95,0,local_loglinear,0.03586292266845703,ok,95,500,90,true,2.949616570896552e-7,95,2.949616570896552e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,8.260059303211165e-14,527.7604404445538,1.8695628796194796e-6,true,0.9146927122586002,true,0.18718288713868014,1.0,1.0,1.0,true,0.04810992190117111,0.05077120829352699,true,9.412400289866509e-10,T_report_plus_1_only,49.85357304715639,0.5278923331617282,0.4490840924802774,,0.537653893797233,10.857624052173405,10.243991728146938,527.7604385749909,-0.007369053462887409,-0.043894781116962225,0.0,1.8695628796194796e-6,0.22589751478358414,,coarse_grid
100,0,local_loglinear,0.04539990425109863,ok,100,500,95,true,3.113283213640829e-7,100,3.113283213640829e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,9.947598300641403e-14,1209.9400802201665,5.0779526645783335e-6,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.04925523733861614,0.05200513085084357,true,9.412400289866509e-10,T_report_plus_1_only,79.76240422813139,0.47568960177710906,0.38997026282953784,,0.4861252035133341,14.999699399454821,14.15197246048944,1209.9400751422138,-0.007369053462887409,-0.043894781116962225,0.0,5.0779526645783335e-6,0.17644535463168964,,coarse_grid
105,0,local_loglinear,0.04620194435119629,ok,105,500,100,true,3.8925989822061077e-7,105,3.8925989822061077e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,3.126388037344441e-13,2985.8459772134465,1.5979282579792198e-5,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.050466702424367335,0.05331171196489404,true,9.412400289866509e-10,T_report_plus_1_only,133.88787368636733,0.4215366965529192,0.32717932639266556,,0.43227521016622594,21.670244102410543,20.44552291231544,2985.845961234164,-0.007369053462887409,-0.043894781116962225,0.0,1.5979282579792198e-5,0.13342808110401777,,coarse_grid
110,0,local_loglinear,0.054399967193603516,ok,110,500,105,true,4.7092192801199805e-7,110,4.7092192801199805e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,1.0231815394945443e-12,7958.08824309002,4.988950513507007e-5,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.051796480124059074,0.05474755002242815,true,9.412400289866509e-10,T_report_plus_1_only,235.9131119687465,0.3675331428265445,0.2635494552525311,,0.37816167838161835,32.72670699550317,30.877115853381802,7958.088193200515,-0.007369053462887409,-0.043894781116962225,0.0,4.988950513507007e-5,0.09784879633830512,,coarse_grid
115,0,local_loglinear,0.061662912368774414,ok,115,500,110,true,5.51349797765393e-7,115,5.51349797765393e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,2.7284841053187847e-12,22913.127253163537,0.00015749513841001317,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.05326732762842295,0.0563377382665633,true,9.412400289866509e-10,T_report_plus_1_only,435.76392292519023,0.3156749417969005,0.202159335194798,,0.32582224019918254,51.538231664077976,48.625483467946424,22913.1270956684,-0.007369053462887409,-0.043894781116962225,0.0,0.00015749513841001317,0.06978116548010145,,coarse_grid
120,0,local_loglinear,0.06984615325927734,ok,120,500,115,true,7.300561477762359e-7,120,7.300561477762359e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,8.640199666842818e-12,71061.85999143712,0.0005862177349627018,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.054865808967676497,0.05806834730873622,true,9.412400289866509e-10,T_report_plus_1_only,841.3407581533888,0.2675132500027458,0.14568762761195062,,0.27691261766084696,84.31588969317289,79.55067079296386,71061.85940521938,-0.007369053462887409,-0.043894781116962225,0.0,0.0005862177349627018,0.048543758137418604,,coarse_grid
125,0,local_loglinear,0.07685208320617676,ok,125,500,120,true,8.586013160637357e-7,125,8.586013160637357e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,1.4551915228366852e-11,236036.09138068184,0.0020247003703843802,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.0565468741481416,0.05989111562835725,true,9.412400289866509e-10,T_report_plus_1_only,1691.1159281208686,0.22398274741346125,0.09598881852637803,,0.23250035906979136,142.72477051349347,134.65850001034337,236036.08935598147,-0.007369053462887409,-0.043894781116962225,0.0,0.0020247003703843802,0.03302476316482418,,coarse_grid
