t,q_W,q_US,n_W,n_US_star,bond,NFA,CA,VA,RES,cum_CA,cum_VA,cum_RES,accounting_line,Y_US,e_US
38.0,0.09652324048727964,0.250982270279073,9.792763650496662,0.17978607479091202,-0.8047810917831847,0.09532507187320877,0.051760563215614924,-0.05189759538799224,-5.551115123125783e-17,1.710548209072187,-1.6956199255479292,2.7755575615628914e-17,0.09532507187320752,2.498316789599981,2.5430520011453916
39.0,0.0909422485502857,0.237743018512157,10.473746573232319,0.19083617679661943,-0.8120401961212085,0.09509589928144013,0.0520439292741982,-0.05227310186596682,-1.3877787807814457e-17,1.7625921383463852,-1.747893027413896,1.3877787807814457e-17,0.09509589928143881,2.536729534554487,2.5852161274671808
40.0,0.08568149971896918,0.2248575981639067,11.200171349896916,0.2029822321106438,-0.8192383105373677,0.0947670706488836,0.052311917056403215,-0.05264074568895978,2.7755575615628914e-17,1.8149040554027884,-1.8005337731028557,4.163336342344337e-17,0.09476707064888239,2.576808027895213,2.6292225027655505
41.0,0.08072276600730997,0.21234137823655158,11.974559335823283,0.21637314915035746,-0.8263436638874964,0.09433091471484585,0.052561941056613444,-0.05299809699065122,3.469446951953614e-17,1.8674659964594018,-1.8535318700935068,7.632783294297951e-17,0.09433091471484464,2.6186217707754826,2.6751486229267436
42.0,0.07604887168769363,0.20020811574265118,12.799487711051764,0.2311828533830559,-0.8333222708954124,0.09377964424274343,0.05279124217223775,-0.053342512644340166,0.0,1.9202572386316397,-1.906874382737847,7.632783294297951e-17,0.0937796442427424,2.6622428572494687,2.7230748577591375
43.0,0.07164363050069837,0.1884698801629534,13.67758004278721,0.24761490606323414,-0.8401381486021777,0.09310539045469662,0.05299689785412106,-0.05367115164216783,-3.469446951953614e-17,1.9732541364857608,-1.9605455343800147,4.163336342344337e-17,0.09310539045469572,2.707746045756285,2.773084522747231
44.0,0.06749178738515783,0.17713699223340046,14.611496512748523,0.265907950730396,-0.8467536281074022,0.09230025330666666,0.05317583740976941,-0.053980974557799315,-5.551115123125783e-17,2.0264299738955303,-2.014526508937814,-1.3877787807814457e-17,0.09230025330666568,2.7552088327032576,2.825263951101362
45.0,0.06357896297561798,0.16621798076567731,15.603923576617179,0.28634218763482855,-0.8531297148394069,0.09135634427602128,0.0533248592209595,-0.05426876825160495,6.245004513516506e-17,2.07975483311649,-2.068795277189419,4.85722573273506e-17,0.09135634427602041,2.8047115268757006,2.8797025669962966
46.0,0.05989160142442029,0.15571955620830705,16.657563478032245,0.30924705833884697,-0.8592265066292432,0.09026583121579457,0.05344065292954196,-0.054531165989768635,-4.163336342344337e-17,2.133195486046032,-2.1233264431791876,6.938893903907228e-18,0.09026583121579401,2.856337325921509,2.9364929602884997
47.0,0.05641692124270168,0.14564660151340622,17.775123834004717,0.33501038276094575,-0.8650036556998745,0.08902098200160208,0.05351982487046726,-0.054764674084659855,1.0408340855860843e-16,2.186715310916499,-2.1780911172638473,1.1102230246251565e-16,0.08902098200160158,2.9101723950765654,2.995730963311991
48.0,0.05314286900872224,0.13600218021571797,18.95930744025163,0.36408925253750785,-0.8704208540454578,0.08761420560971554,0.05355892623565143,-0.054965702627537964,0.0,2.2402742371521507,-2.2330568198913854,1.1102230246251565e-16,0.087614205609715,2.9663059485494485,3.0575157304150946
49.0,0.05005807599051592,0.12678756092029808,20.212803056775435,0.3970229852152638,-0.8754383611526269,0.0860380943200314,0.053554484080344286,-0.05513059537002826,-1.6653345369377348e-16,2.293828721232495,-2.2881874152614134,-5.551115123125783e-17,0.08603809432003112,3.024830334341732,3.1219498206482124
50.0,0.047151816715546545,0.11800225965572084,21.53827591473734,0.43444871799332085,-0.8800174643952932,0.08428544347752961,0.053503028980303215,-0.055255679822805055,5.551115123125783e-17,2.347331750212798,-2.3434430950842184,0.0,0.08428544347752931,3.085841121459606,3.1891392857746697
