t,N_US,N_W,φ_US,φ_W,ω,ω_star,θ,θ_US_star,R_f,R_f_W,Y_US,Y_W,e_US,e_W,q_US,q_W,d_US,d_W,Q_US,Q_W,I_US,I_W,A,A_star,S,S_star,R_US_u,R_W_u,R_p_u,R_A_u,R_p_star_u,R_A_star_u,R_US_b,R_W_b,R_p_b,R_A_b,R_p_star_b,R_A_star_b,Psi,residual_norm
11,1.2574852933815854,1.9311232859331213,0.8573844968154922,0.6600324028733316,0.5161780229363393,0.15158378498996045,-0.6816330400268676,0.7117742585182659,1.0467986376382867,1.0615653247501295,1.8965215274752865,1.855000984174773,1.8845630237608728,1.7958237442366758,0.6628867552170179,0.4787147260826021,0.028417441353369863,0.06319344618942974,0.8573463567258215,0.987314250373881,0.023776010862982595,0.06285709551667232,0.9422815118804364,0.9023790953627078,1.5845717233846113,0.26008888385853285,1.0197449916315868,1.0668883004878762,1.0425539605277594,1.0396606483649782,1.0597421392944892,1.0505292880005157,1.0593069818835321,1.0669871621985532,1.0630228219077509,1.0740817619533019,1.0658229713969969,1.0522819403420869,0.9824826650674158,6.940980444545064e-11
12,1.293352672954132,2.062427154587929,0.8518371356091933,0.6600494791182268,0.516287314977287,0.1516506983757408,-0.681460478902524,0.7118583215854131,1.0469024518593293,1.061668834865173,1.908575253924612,1.8672500701595733,1.8977081314088802,1.8076785899911345,0.6483605681890616,0.45117550863561834,0.02761488046240596,0.05955963189316818,0.8634075308490128,0.9937825424604125,0.02484865694363016,0.06326592196529267,0.9488540657044401,0.908336007905993,1.5954606117279948,0.26172946188243834,1.018611392837512,1.066899211908817,1.041968823454384,1.038606750678823,1.059576330423612,1.0505543245008644,1.0624103760355526,1.067297090156358,1.0647741416438659,1.0769529919232335,1.0665560165471752,1.052565462975315,0.9824944504957559,1.3102706767599584e-10
13,1.33167804029261,2.202651791684505,0.8461046667895755,0.6600647908706417,0.516441358287558,0.15174575716122551,-0.6812110612847391,0.712044745037537,1.0470148913839072,1.0617789393444501,1.921160052794584,1.8795787778288569,1.911434499017345,1.819610833420756,0.6336219375086641,0.4252237495340202,0.02680552391531667,0.05613504506188064,0.869751193807271,1.0002978669516536,0.02597077377932649,0.06367801317374075,0.9557172495086725,0.9143318118183899,1.606762411334607,0.26328664999245516,1.017443351503152,1.0669085118409831,1.041362657248202,1.0375122928339884,1.0594023836324176,1.0505819348726726,1.065642625163284,1.067632161390362,1.0666046825988875,1.0799494650627905,1.0673302577091843,1.0528648078737581,0.9825111221677603,9.958143566155337e-10
14,1.3726658474405773,2.3524035711735904,0.8401834246398547,0.6600787052405311,0.5166425082897522,0.1518699177212342,-0.6808810914948137,0.7123349598431296,1.0471367615965832,1.0618964274946516,1.9342992644829373,1.8919878173187503,1.9257678569940686,1.8316210929036,0.6186840245585571,0.4007672520478715,0.02599040312617882,0.05290758576691292,0.8763911621122686,1.0068595842119483,0.0271447312436498,0.06409326928510888,0.9628839284970343,0.9203668178271822,1.6184933887149093,0.2647573576093074,1.0162404318901812,1.066916234612917,1.0407349607846461,1.036376095660282,1.0592201046229577,1.0506127169534945,1.0690091792261684,1.0679947480293346,1.068518846307354,1.0830775034836584,1.0681488096117318,1.053181193232639,0.9825329290014021,2.7158451869757386e-11
15,1.4165407984109344,2.5123299847156155,0.8340698946139465,0.6600916278828715,0.5168932540129777,0.1520241353215244,-0.6804666517189442,0.7127302309062336,1.0472689274164428,1.062022154344568,1.9480172461777345,1.9044779087822967,1.9407350707534194,1.8437099866391338,0.6035611126402951,0.3777192275516368,0.025170607680648358,0.04986585995944414,0.8833419576653947,1.0134669142281758,0.028373017276118986,0.06451157304657824,0.9703675353767097,0.9264413365699131,1.6306702831112634,0.2661385888353593,1.0150022527769218,1.066922417957326,1.0400852348283356,1.0351969715859282,1.0590292997400244,1.0506473268582948,1.0725157170627049,1.0683874056246154,1.0705213019574285,1.0863437674058476,1.069015008601329,1.0535159191371193,0.9825601325358556,3.40249350620005e-11
16,1.4635501512037288,2.6831223837807623,0.8277607330378377,0.6601040071190852,0.5171962291168573,0.15220935902323132,-0.6799635818121451,0.7132316236632255,1.0474123207034363,1.0621570488895418,1.9623394130017655,1.9170497827385555,1.956364188604383,1.8558781318278665,0.588268606376574,0.3559979737664624,0.024347282641871002,0.046999137801903366,0.8906188526053689,1.0201189197373868,0.029658244794527416,0.06493278774399489,0.9781820943021915,0.9325556781821619,1.643310294808415,0.2674274776759382,1.0137284747465485,1.0669271119075152,1.0394129773737073,1.0339737152310795,1.058829781444335,1.0506864873819928,1.0761681778059224,1.068812882288967,1.0726170133943764,1.0897552865149824,1.0699324271050292,1.0538703750511524,0.9825930078481776,6.209474511675066e-11
17,1.513966312244867,2.8655188931119957,0.8212527955701878,0.6601163352429562,0.517554218141767,0.15242652370410886,-0.679367452383087,0.7138399618639572,1.0475679423408792,1.0623021170934892,1.977292282542552,1.9297041791983738,1.9726844918655633,1.8681261432210339,0.5728230120814602,0.3355265753378508,0.023521625001941736,0.04429731465772834,0.8982379003551727,1.0268144968602846,0.03100315718520749,0.06535675608850786,0.9863422459327816,0.9387101515687784,1.6564310647299478,0.26862133277161215,1.0124188130669418,1.0669303752163188,1.0387176862884115,1.0327051103811087,1.0586213672962088,1.0507309908476303,1.0799727631653555,1.06927413177535,1.0748112535795913,1.0933194725303146,1.07090488696652,1.0542460433049314,0.9826318440619196,1.170164087898586e-10
18,1.5680897614278033,3.060307505676286,0.8145431634369117,0.6601291513803247,0.517970165619967,0.15267654213400061,-0.6786735381490957,0.7145557828711167,1.0477368654106272,1.0624584460160587,1.9929035197851088,1.9424418473034246,1.9897265463149716,1.8804546318238116,0.557241914401145,0.3162326206222334,0.022694879587797465,0.04175087429802622,0.9062159754591884,1.0335523609330861,0.032410634848324536,0.0657832985031837,0.9948632731574858,0.9449050637522636,1.670050650725867,0.2697176861838825,1.0110730423750254,1.0669322761848823,1.0379988595969862,1.0313899327369263,1.0584038815205388,1.050781703473222,1.0839359461974614,1.0697743221797427,1.077109620917648,1.0970441328227865,1.0719364699657699,1.0546445025876985,0.9826769450649603,7.995449734466487e-10
19,1.626252354748077,3.2683293674745584,0.8076291708007575,0.6601430444382851,0.5184471858312297,0.15296029623810628,-0.6778767877939955,0.7153792864224733,1.0479202415833808,1.0626272112953334,2.0092019834966646,1.955263544874638,2.007522255394493,1.892864203465284,0.541543943433097,0.2980479354279936,0.02186833429935222,0.039350854296396225,0.9145708152542013,1.0403310315972427,0.033883702046567925,0.0662122113227703,1.0037611276972465,0.9511407191541975,1.6841874966531345,0.27071435019830964,1.0096909941032457,1.066932896286688,1.0372559931880558,1.0300269467415957,1.058177157971476,1.0508395724448656,1.0880644965063575,1.070316850950218,1.0795180678439285,1.1009375008107014,1.073031536072014,1.055067436139591,0.9827286302663535,1.997882801585691e-11
20,1.6888210575420985,3.4904822611951283,0.8005084364095215,0.6601586550902934,0.5189885706189037,0.15327862693332506,-0.6769717907692702,0.7163102769532285,1.0481193043483412,1.0628096815107746,2.0262177747947234,1.96817003744866,2.0261049151918127,1.90535545705314,0.5257487279863242,0.28090833345499583,0.02104331460923136,0.03708881352346114,0.9233210560289198,1.0471488202434436,0.035425533229642626,0.0666432652968947,1.0130524575959063,0.9574174187182445,1.698860393957817,0.2716094823563337,1.008272569684913,1.066932329767528,1.0364885847294039,1.0286149156410365,1.0579410422858264,1.0509056304636644,1.092365497620037,1.0709053531574995,1.082042922857387,1.105008255628829,1.074194734634508,1.0555166359445494,0.9827872351442845,2.393760701566274e-11
