T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
45,44,0,local_loglinear,40,39,5,2.3616258653795095,2.4604807390615866,1.1234180579029993,0.8657184633782977,0.13428153662170228,1.0543791411105161,1.322370202441089,0.7973403659309151,0.837750073090075,0.7793135821244774,0.07230630454429568,0.7485756879861563,1.8956308942838007,2.314555397384704,1.6110377134624633e-10
45,44,0,local_loglinear,41,40,4,2.3312671529829587,2.42907890733138,1.113385977316192,0.8576458441607255,0.14235415583927447,1.0543094969573825,1.3334486335968585,0.7906637499139932,0.8355045986807994,0.77358094799671,0.07700553600960056,0.7470651919719287,1.924890923145545,2.3228174388462466,3.559239831837619e-10
45,44,0,local_loglinear,42,41,3,2.3001374877137093,2.3968526262920324,1.1030310854595657,0.8495194423179535,0.1504805576820465,1.0542266381864094,1.3448033745712398,0.7839262290091484,0.8332409029293504,0.7678095597437926,0.0817810662370625,0.7455073384878278,1.9549353390792685,2.331384940823397,7.317823117647968e-10
45,44,0,local_loglinear,43,42,2,2.2682840932332735,2.3638519750710314,1.092369486300183,0.841350706732591,0.15864929326740895,1.0541302302543059,1.356439166721979,0.7771304870249035,0.8309542375017918,0.7620002096695819,0.08662789330395815,0.7439014470900104,1.9858092098016793,2.3402663411008766,1.4552248759247178e-9
45,44,0,local_loglinear,44,43,1,2.2357509857752023,2.3301237876890037,1.0814156160524808,0.8331515844494357,0.1668484155505643,1.0540193325009406,1.368362315234225,0.7702779598402797,0.8286393313772679,0.7561535507422319,0.09154053078056479,0.7422468671855506,2.0175630969916933,2.349470200930116,2.845065355318827e-9
45,44,0,local_loglinear,45,44,0,2.202578749748138,2.2957115494362297,1.0701816354103735,0.8249356470587895,0.17506435294121048,1.0538919047474897,1.3805815829711536,0.7633680745468195,0.8262897997947938,0.7502700847870054,0.09651230444312633,0.7405431490045417,2.050256295103735,2.3590042547753924,1.179029248801968e-7
60,59,0,local_loglinear,53,52,7,1.9190212710059142,2.000800527760483,0.9722791894644044,0.7588698504012362,0.24113014959876378,1.0525615992983404,1.4893825882407272,0.7067100203861226,0.8061284799424049,0.7019317255367701,0.13840699197223347,0.7248537461551664,2.350575320506448,2.449598161198557,7.787390076436078e-11
60,59,0,local_loglinear,54,53,6,1.8817975295515417,1.9620093017479998,0.9592020174921051,0.7506973939292321,0.24930260607076793,1.052340858412341,1.504524694271329,0.6994507052089367,0.8033655215466731,0.6957321561951328,0.14384505211503085,0.7226093927354046,2.394018869943225,2.4629830408943167,1.5487684922812886e-10
60,59,0,local_loglinear,55,54,5,1.8442830630086058,1.9228996256538153,0.9459779339946831,0.7425606114910328,0.2574393885089672,1.0521083692468225,1.5200463317322264,0.6921554608456261,0.8005371607842449,0.6894975841705946,0.14931975983964135,0.7202935010849828,2.4390282413368674,2.4769098945308166,2.961876526129046e-10
60,59,0,local_loglinear,56,55,4,1.8065071644799822,1.883502240416863,0.9326180489515165,0.7344641146110744,0.2655358853889256,1.0518640902345833,1.5359611432011449,0.6848246746935018,0.7976397257609644,0.683227842308981,0.1548286295902252,0.717903046321222,2.485695386067168,2.4914093967404796,5.583276938632879e-10
60,59,0,local_loglinear,57,56,3,1.7684987641749839,1.8438474635616913,0.9191334881553097,0.7264121167851085,0.27358788321489147,1.0516080919036908,1.5522834794752787,0.677458792680811,0.7946696142314655,0.6769227229687933,0.16036932857652836,0.7154347766130307,2.5341181679157336,2.5065149025418436,1.0478324681860044e-9
60,59,0,local_loglinear,58,57,2,1.730286606277738,1.8039653529128772,0.9055355618705582,0.7184082356787355,0.28159176432126454,1.0513406769869937,1.5690281939155837,0.6700584993079848,0.7916234144280684,0.6705819854185451,0.16593982160841744,0.7128851676927623,2.5844000596501817,2.5222628952405706,1.965222776223623e-9
60,59,0,local_loglinear,59,58,1,1.69189948927252,1.7638859186386895,0.8918360458199045,0.710455109254301,0.289544890745699,1.0510626051784828,1.5862101706334706,0.6626250572827492,0.7884981367634948,0.6642053667811572,0.1715386544083541,0.7102503430981835,2.6366490496756603,2.5386936832288747,3.6875086271356598e-9
60,59,0,local_loglinear,60,59,0,1.6533666261310445,1.7236394289906158,0.878047665675048,0.7025536796940043,0.2974463203059957,1.0507755019599416,1.6038434713918899,0.6551608811600734,0.7852916453947766,0.6577925995592062,0.17716548817917388,0.7075259326014266,2.6909750234110286,2.555852540177187,1.3789353756105648e-7
70,69,0,local_loglinear,63,62,7,1.5371121555739675,1.602141339793431,0.8361656145311751,0.6793420088989289,0.32065799110107107,1.0497839261713102,1.6598000994501627,0.6324761195755255,0.7750608169840694,0.6383307651733758,0.19408491009083623,0.6987989001351363,2.868371429071157,2.6120039729268627,1.4284166902304468e-11
70,69,0,local_loglinear,64,63,6,1.4982518514608516,1.5614994942426,0.822094876900643,0.671740513184562,0.32825948681543804,1.0494312894736169,1.6794978041182238,0.6248482652971333,0.7714562929826582,0.6317683995800429,0.19975714757465812,0.6956832197442804,2.9326704284463627,2.6324998255298744,9.045241228956886e-11
70,69,0,local_loglinear,65,64,5,1.4593805361899037,1.5208324817896728,0.8079826305020725,0.6642202451755922,0.3357797548244078,1.0490638139749697,1.6997638326101938,0.617182101329927,0.767743193719208,0.6251675893284658,0.20543553733297898,0.6924573873674121,2.999873416997475,2.6539755222057635,2.5419710058206137e-10
70,69,0,local_loglinear,66,65,4,1.4205261399115778,1.4801694694185101,0.7938397019832397,0.6567850824991438,0.3432149175008562,1.048681385923429,1.720622994896812,0.6094777234953319,0.7639168492356542,0.6185278474795957,0.2111167321262421,0.6891162319147798,3.070179385947488,2.676497216238704,5.68333628133596e-10
70,69,0,local_loglinear,67,66,3,1.3817169294439058,1.4395399230111408,0.7796772729312714,0.6494384506649207,0.3505615493350793,1.0482841587336005,1.742100743812806,0.6017356702571053,0.7599727516779087,0.6118486822652405,0.21679757884213607,0.6856542432765118,3.143802145403252,2.7001371784037738,1.1623421610377914e-9
70,69,0,local_loglinear,68,67,2,1.342981674324586,1.398973748249916,0.7655071253328617,0.6421829435945886,0.3578170564054114,1.0478727934896055,1.7642225552619404,0.5939572591701868,0.7559067997278172,0.6051296088485034,0.22247542320788488,0.6820654890185158,3.220969674799432,2.724974898618459,2.277556541193117e-9
70,69,0,local_loglinear,69,68,1,1.304349903462883,1.358501501105994,0.7513420670773996,0.6350196345967891,0.3649803654032109,1.0474488893677512,1.7870128427688052,0.5861451380197299,0.7517157387478705,0.5983701674141639,0.2281486740056365,0.6783434681711088,3.3019215561443396,2.7510987480311595,4.3623593064819535e-9
70,69,0,local_loglinear,70,69,0,1.2658523221254974,1.3181547214886196,0.7371966798084293,0.6279468312370344,0.37205316876296557,1.0470157662848825,1.8104928897907144,0.5783042685165768,0.7473979527028594,0.5915699522570359,0.23381783891594765,0.6744808498601897,3.386902664753283,2.778608642890643,1.581982999208967e-7
