T_report,model_T,terminal_rule,cutoff_t,cutoff_model_t,t,model_t,exact_leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,total_leakage_envelope,dividend_envelope_ok,switch_envelope_ok
70,69,local_loglinear,22,21,35,34,0.26108882911637293,0.029959956041020884,0.6933866192260562,0.044468154162371896,39.84914401706408,13.327516159850397,true,true
70,69,local_loglinear,22,21,36,35,0.25796739764532334,0.0298814624986035,0.6842578054401594,0.04413832819454218,39.76970417125667,13.300706385280098,true,true
70,69,local_loglinear,22,21,37,36,0.2548393402071755,0.029803162157654894,0.6751085341485619,0.04380622105897111,39.68927465339515,13.273564438857354,true,true
70,69,local_loglinear,22,21,38,37,0.2517068821967342,0.02972487698911869,0.6659460156228467,0.043471934887140455,39.607865425477094,13.246093743379504,true,true
70,69,local_loglinear,22,21,39,38,0.24857195293477755,0.029646438389218564,0.6567765436366769,0.04313556086387424,39.52548389929785,13.218296860629824,true,true
70,69,local_loglinear,22,21,40,39,0.24543619824877622,0.02956768597910078,0.6476055368090262,0.04279718016877847,39.44213510331243,13.190175547939587,true,true
70,69,local_loglinear,22,21,41,40,0.2423010056967098,0.029488466566529297,0.6384376173905416,0.042456864827176845,39.357821830964305,13.161730808481945,true,true
70,69,local_loglinear,22,21,42,41,0.2391675200057421,0.029408633247193405,0.629276660275646,0.042114678482980894,39.27254477307078,13.13296293617324,true,true
70,69,local_loglinear,22,21,43,42,0.23603665969377835,0.029328044255543157,0.6201258463147056,0.04177067710418811,39.18630263649587,13.103871555936143,true,true
70,69,local_loglinear,22,21,44,43,0.23290913880661732,0.02924656233603603,0.6109877294117438,0.04142490960915275,39.09909224570893,13.074455658178797,true,true
70,69,local_loglinear,22,21,45,44,0.22978548000516916,0.02916405375555392,0.6018642787488457,0.04107741844626929,39.01090863495436,13.044713630097723,true,true
70,69,local_loglinear,22,21,46,45,0.22666603462462864,0.02908038753001046,0.5927569412838546,0.04072824010872217,38.92174512605201,13.014643282126057,true,true
70,69,local_loglinear,22,21,47,46,0.2235509973029785,0.028995434773097697,0.5836666875896425,0.04037740559914178,38.83159339512855,12.984241870641991,true,true
70,69,local_loglinear,22,21,48,47,0.22044042260771257,0.028909068037147254,0.5745940637116959,0.04002494085319569,38.740443530217036,12.953506117592207,true,true
70,69,local_loglinear,22,21,49,48,0.21733423594198206,0.02882116057503818,0.5655392261008317,0.03967086712366894,38.64828407979069,12.922432227053898,true,true
70,69,local_loglinear,22,21,50,49,0.2142322519328784,0.02873158584036514,0.5565019982775398,0.039315201322860226,38.55510209130448,12.891015898424353,true,true
70,69,local_loglinear,22,21,51,50,0.211134183743908,0.02864021682335589,0.5474819007616564,0.0389579563383764,38.4608831433185,12.859252337444541,true,true
70,69,local_loglinear,22,21,52,51,0.20803965847042588,0.028546925684291572,0.5384781983584029,0.03859914131527369,38.36561136905881,12.827136264334877,true,true
70,69,local_loglinear,22,21,53,52,0.2049482254515012,0.028451583174884852,0.529489926829849,0.03823876192229993,38.26926947579568,12.79466192052086,true,true
70,69,local_loglinear,22,21,54,53,0.20185937077785573,0.028354058158747832,0.5205159378573239,0.0378768205924822,38.1718387572197,12.761823072999048,true,true
70,69,local_loglinear,22,21,55,54,0.19877252588681654,0.02825421721503334,0.5115549260153497,0.037513316745117785,38.0732991004023,12.728613016879217,true,true
70,69,local_loglinear,22,21,56,55,0.19568707896709434,0.02815192428665023,0.5026054640413323,0.03714824699503911,37.9736289886823,12.695024576555806,true,true
70,69,local_loglinear,22,21,57,56,0.19260238553150633,0.028047040318418995,0.4936660356392619,0.036781605352766936,37.87280550126632,12.661050105774873,true,true
70,69,local_loglinear,22,21,58,57,0.18951777529617403,0.027939422868210505,0.48473505728389055,0.036413383416288296,37.77080430957047,12.626681486606445,true,true
70,69,local_loglinear,22,21,59,58,0.18643256596782135,0.027828925880193235,0.4758109202628844,0.03604357055442015,37.66759967010924,12.591910127257501,true,true
70,69,local_loglinear,22,21,60,59,0.18334607183962168,0.0277153995514329,0.4668920168645664,0.035672154091015006,37.56316441634363,12.556726959538892,true,true
70,69,local_loglinear,22,21,61,60,0.1802576145391679,0.02759869011323243,0.4579767732778065,0.03529911949528793,37.45746995091269,12.521122436466184,true,true
70,69,local_loglinear,22,21,62,61,0.17716653318859618,0.027478639914305807,0.4490636798228711,0.034924450574675414,37.35048623721704,12.48508652964702,true,true
70,69,local_loglinear,22,21,63,62,0.17407220160866713,0.02735508765826128,0.4401513418512176,0.03454812968513458,37.24218179460311,12.448608727886171,true,true
70,69,local_loglinear,22,21,64,63,0.1709740447877609,0.027227869164093824,0.4312385268710013,0.034170137965646455,37.132523699297664,12.411678037731534,true,true
70,69,local_loglinear,22,21,65,64,0.16787156290391667,0.0270968186018544,0.42232423290618676,0.03379045561986403,37.02147759814106,12.37428298833355,true,true
70,69,local_loglinear,22,21,66,65,0.16476436934842684,0.026961771149493684,0.4134077945967994,0.03340906226335825,36.90900774132041,12.336411642703494,true,true
70,69,local_loglinear,22,21,67,66,0.16165224615141438,0.02682256770627914,0.40448903533540576,0.03302593739501385,36.79507705272359,12.29805162163621,true,true
70,69,local_loglinear,22,21,68,67,0.15853524289454404,0.02667906351980532,0.3955685381242163,0.032641061072789176,36.679647264382275,12.259190149200213,true,true
70,69,local_loglinear,22,21,69,68,0.15541383613734105,0.026531143720513083,0.386648077250484,0.0322544149456451,36.562679165155664,12.2198141366642,true,true
