T_report,model_T,terminal_rule,gate_source_terminal_rule,cutoff_t,cutoff_model_t,t,model_t,evaluation_date,bound_status,lower_bound_certified,hkt_gate_passed,prefix_stable,finite_prefix_product,omitted_tail_bound,bubble_share_lower,log_bubble_share_lower,log10_bubble_share_lower,bubble_share_lower_scientific,lower_bound_float64_underflow,bubble_share_upper,relative_interval_width_bound,leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,Q_US,NFA,B_agg_lower,B_agg_upper,V_agg_lower,V_agg_upper,NFA_bubble_lower,NFA_bubble_upper,NFA_fund_lower,NFA_fund_upper
30,29,local_loglinear,local_loglinear,22,21,12,11,false,diagnostic_only_hkt_gate_failed,false,false,true,0.06719120423790666,9095.621897212277,0.0,-9098.322110141613,-3951.3510870128525,4.45566968e-3952,true,0.06719120423790666,1.0,0.32090991834036825,0.03246538655375258,0.865333595359847,0.05091249534301917,41.3211993678798,1.4146414742748825,0.01847700134912178,0.0,0.09505146422141701,1.3195900100534654,1.4146414742748825,-0.09505146422141701,-0.0,0.01847700134912178,0.11352846557053879
30,29,local_loglinear,local_loglinear,22,21,13,12,false,diagnostic_only_hkt_gate_failed,false,false,true,0.08864559434001883,9095.621897212277,0.0,-9098.04500615721,-3951.230742281513,5.87838083e-3952,true,0.08864559434001883,1.0,0.31930355089555645,0.03229458453479005,0.861026899082299,0.0507104899376715,41.2771900697423,1.4604700775674129,0.01416668541954591,0.0,0.1294642380417767,1.3310058395256361,1.4604700775674129,-0.1294642380417767,-0.0,0.01416668541954591,0.1436309234613226
30,29,local_loglinear,local_loglinear,22,21,14,13,false,diagnostic_only_hkt_gate_failed,false,false,true,0.11679567020734236,9095.621897212277,0.0,-9097.769226491695,-3951.1109726945583,7.74510492e-3952,true,0.11679567020734236,1.0,0.31755752868380593,0.032132992727782354,0.8562736078680706,0.05049726429419773,41.23059687702234,1.5089247948038644,0.011038633206214232,0.0,0.17623588270159388,1.3326889121022705,1.5089247948038644,-0.17623588270159388,-0.0,0.011038633206214232,0.1872745159078081
30,29,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366558952043552,9095.621897212277,0.0,-9097.494873746584,-3950.9918228112615,1.01900705e-3951,true,0.15366558952043552,1.0,0.3156788196654855,0.03198003872160238,0.8510963428316495,0.050273622657085563,41.18157263576089,1.5601004009335466,0.00912304985669321,0.0,0.23973374782052126,1.3203666531130254,1.5601004009335466,-0.23973374782052126,-0.0,0.00912304985669321,0.24885679767721447
30,29,local_loglinear,local_loglinear,22,21,16,15,false,diagnostic_only_hkt_gate_failed,false,false,true,0.20186658552644052,9095.621897212277,0.0,-9097.222045479753,-3950.87333500047,1.33864370e-3951,true,0.20186658552644052,1.0,0.3136746239443211,0.03183514420316616,0.8455184392234647,0.050040322714094816,41.13026079280044,1.6141032441919934,0.008457988009292539,0.0,0.3258335105921881,1.2882697335998052,1.6141032441919934,-0.3258335105921881,-0.0,0.008457988009292539,0.33429149860148066
30,29,local_loglinear,local_loglinear,22,21,17,16,false,diagnostic_only_hkt_gate_failed,false,false,true,0.26475858295569404,9095.621897212277,0.0,-9096.950834088208,-3950.755549389692,1.75570122e-3951,true,0.26475858295569404,1.0,0.3115522921499847,0.03169773371721928,0.8395636752982962,0.04979807496809826,41.07679533128451,1.6710515767220375,0.00908965395264838,0.0,0.4424252474988049,1.2286263292232327,1.6710515767220375,-0.4424252474988049,-0.0,0.00908965395264838,0.4515149014514533
30,29,local_loglinear,local_loglinear,22,21,18,17,false,diagnostic_only_hkt_gate_failed,false,false,true,0.3466535108244846,9095.621897212277,0.0,-9096.681326738057,-3950.6385038346893,2.29877341e-3951,true,0.3466535108244846,1.0,0.30931925588412446,0.031567241307872904,0.8332560437287546,0.049547542917466915,41.0213008483976,1.7310759902552701,0.011072757461903615,0.0,0.6000835695259606,1.1309924207293094,1.7310759902552701,-0.6000835695259606,-0.0,0.011072757461903615,0.6111563269878643
30,29,local_loglinear,local_loglinear,22,21,19,18,false,diagnostic_only_hkt_gate_failed,false,false,true,0.4530702355608675,9095.621897212277,0.0,-9096.413605332405,-3950.5222339055276,3.00445770e-3951,true,0.4530702355608675,1.0,0.3069829712189566,0.03144311555274652,0.8266195669986304,0.04928934385750022,40.96389274049989,1.7943199449063592,0.014470931443830937,0.0,0.812952960110287,0.9813669847960721,1.7943199449063592,-0.812952960110287,-0.0,0.014470931443830937,0.8274238915541179
30,29,local_loglinear,local_loglinear,22,21,20,19,false,diagnostic_only_hkt_gate_failed,false,false,true,0.5910531683230441,9095.621897212277,0.0,-9096.147746514578,-3950.40677288798,3.91946790e-3951,true,0.5910531683230441,1.0,0.30455086636040873,0.031324823212145594,0.8196781294447896,0.04902405015627901,40.90467746911726,1.8609404010829802,0.019357222657258477,0.0,1.099914720120452,0.7610256809625283,1.8609404010829802,-1.099914720120452,-0.0,0.019357222657258477,1.1192719427777105
30,29,local_loglinear,local_loglinear,22,21,21,20,false,diagnostic_only_hkt_gate_failed,false,false,true,0.769569124765255,9095.621897212277,0.0,-9095.88382171126,-3950.2921518022617,5.10326590e-3951,true,0.769569124765255,1.0,0.30203028426140127,0.03121185150175415,0.8124552982789414,0.04875219087882861,40.84375288505423,1.9311085900029061,0.02581463093014813,0.0,1.486121547435202,0.44498704256770405,1.9311085900029061,-1.486121547435202,-0.0,0.02581463093014813,1.5119361783653502
