switch_index,G_N_US,G_N_W,nu_b_eff,nu_b_common_growth_implied,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
78,1.0767298119919109,1.030497418409948,1.0,0.4063604413454322,true,4.656606404407754e-11,1.0767298119919109,1.030497418409948,0.04623239358196285,0.04388687959233326
79,1.0770090680497293,1.0304723167642786,1.0,0.4046116729469078,true,4.3040409551999076e-11,1.0770090680497293,1.0304723167642786,0.04653675128545065,0.04417056076891485
80,1.077283033330143,1.0304478113127011,1.0,0.4029097946773236,true,3.978952413838876e-11,1.077283033330143,1.0304478113127011,0.046835222017441946,0.04444868551939467
81,1.0775518400569881,1.0304238828493824,1.0,0.4012530587061894,true,3.6805170913580846e-11,1.0775518400569881,1.0304238828493824,0.047127957207605764,0.04472139892975088
82,1.077815644632379,1.0304005104507206,1.0,0.3996396287164504,true,3.407810368789965e-11,1.077815644632379,1.0304005104507206,0.047415134181658436,0.04498886999224874
83,1.0780746293877859,1.0303776713535608,1.0,0.3980675717209925,true,3.159899145648029e-11,1.0780746293877859,1.0303776713535608,0.04769695803422502,0.04525129332716576
84,1.078329004166345,1.0303553408497783,1.0,0.3965348510726831,true,2.935882581799012e-11,1.078329004166345,1.0303553408497783,0.047973663316566606,0.045508890731161794
85,1.0785790076783899,1.0303334922018155,1.0,0.3950393209598357,true,2.7348180846583598e-11,1.0785790076783899,1.0303334922018155,0.04824551547657441,0.04576191249431516
86,1.0788249085929946,1.0303120965818844,1.0,0.39357872254915793,true,2.5557326012514643e-11,1.0788249085929946,1.0303120965818844,0.04851281201111024,0.04601063844899046
87,1.079067006276155,1.0302911230420577,1.0,0.39215068224649424,true,2.397710386194581e-11,1.079067006276155,1.0302911230420577,0.048775883234097206,0.046255378660981776
88,1.0793056311414453,1.030270538517588,1.0,0.3907527122088159,true,2.2598765371068947e-11,1.0793056311414453,1.030270538517588,0.04903509262385719,0.046496473729346274
89,1.0795411445271388,1.0302503078702596,1.0,0.3893822135454565,true,2.1414057174664605e-11,1.0795411445271388,1.0302503078702596,0.04929083665687917,0.04673429460896775
90,1.0797739380871625,1.0302303939721988,1.0,0.38803648221098147,true,2.041541841664275e-11,1.0797739380871625,1.0302303939721988,0.049543544114963645,0.046969241944112
91,1.0800044326158982,1.0302107578363626,1.0,0.386712717986132,true,1.9596896810881678e-11,1.0800044326158982,1.0302107578363626,0.04979367477953556,0.04720174483320192
92,1.080233076257795,1.030191358797176,1.0,0.3854080367531158,true,1.895242305598077e-11,1.080233076257795,1.030191358797176,0.05004171746061892,0.04743225897643833
93,1.08046034210942,1.03017215473993,1.0,0.3841194859437083,true,1.847922015777136e-11,1.08046034210942,1.03017215473993,0.050288187369490034,0.047661264215097025
94,1.0806867251610464,1.030153102382684,1.0,0.3828440633837657,true,1.8173943997148423e-11,1.0806867251610464,1.030153102382684,0.050533622778362375,0.04788926141031441
95,1.080912738563982,1.0301341576109777,1.0,0.38157873952247734,true,1.8036808724112922e-11,1.080912738563982,1.0301341576109777,0.05077858095300436,0.04811676864879026
96,1.0811389092359631,1.030115275863373,1.0,0.3803204828795048,true,1.8069088011400115e-11,1.0811389092359631,1.030115275863373,0.051023633372590194,0.04834431678927146
97,1.0813657728127613,1.0300964125661058,1.0,0.37906628855815877,true,1.827410508242619e-11,1.0813657728127613,1.0300964125661058,0.051269360246655404,0.0485724443596281
98,1.081593867899562,1.0300775236194886,1.0,0.37781320995762374,true,1.8657435444039664e-11,1.081593867899562,1.0300775236194886,0.051516344280073456,0.04880169175971591
99,1.0818237296026827,1.0300585659361308,1.0,0.3765583936368647,true,1.9225229583707747e-11,1.0818237296026827,1.0300585659361308,0.05176516366655193,0.04903259475289029
100,1.0820558822469852,1.0300394980368992,1.0,0.3752991176601474,true,1.9986581195889534e-11,1.0820558822469852,1.0300394980368992,0.05201638421008603,0.049265677154046256
101,1.0822908310112425,1.0300202807240935,1.0,0.37403283463093534,true,2.095011376014325e-11,1.0822908310112425,1.0300202807240935,0.052270550287149,0.049501442449299646
102,1.0825290520946869,1.030000877859919,1.0,0.3727572211528867,true,2.212484832334067e-11,1.0825290520946869,1.030000877859919,0.052528174234767855,0.0497403639647707
103,1.0827709805899037,1.0299812573123095,1.0,0.3714702376399161,true,2.351709465398317e-11,1.0827709805899037,1.0299812573123095,0.052789723277594236,0.04998287276526252
104,1.0830169947076662,1.029961392170038,1.0,0.37017020492003366,true,2.512855045954928e-11,1.0830169947076662,1.029961392170038,0.05305560253762831,0.05022934193761093
105,1.0832673940376083,1.0299412624017468,1.0,0.36885590868453183,true,2.6950395799781243e-11,1.0832673940376083,1.0299412624017468,0.05332613163586153,0.050480064957820786
106,1.0835223680140655,1.0299208572469947,1.0,0.3675267499921309,true,2.895524327423013e-11,1.0835223680140655,1.0299208572469947,0.05360151076707087,0.050735224337646656
107,1.0837819483339455,1.0299001788076838,1.0,0.36618297137311123,true,3.10855747847125e-11,1.0837819483339455,1.0299001788076838,0.05388176952626167,0.050994844343504646
108,1.0840459352293694,1.0298792475924523,1.0,0.3648260058970129,true,3.32306494007928e-11,1.0840459352293694,1.0298792475924523,0.05416668763691712,0.05125871777067076
109,1.0843137814316584,1.0298581112126497,1.0,0.36345902446306305,true,3.519643290636033e-11,1.0843137814316584,1.0298581112126497,0.054455670219008656,0.051526290747468464
110,1.0845844081446274,1.029836858125636,1.0,0.36208780010554564,true,3.665986029719366e-11,1.0845844081446274,1.029836858125636,0.05474755001899134,0.051796480120878036
