sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,17,16,-0.042155220545042255,-0.0561672340774565,-0.01218064679899787,-0.04398658727845863,0.014012013532414262,0.091624278063646,-0.06673074878423951,-0.010881515746992223,1.3008093852873168,0.9428672259912381,0.2777183408530275,0.23018165304324126
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,18,17,-0.04049889911609578,-0.057549716863585156,-0.011696084429476537,-0.045853632434108615,0.017050817747489386,0.0983637687010396,-0.06965480865242746,-0.011658142301122767,1.3212476249107967,0.9429972418694719,0.27765522296703,0.23058209777939262
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,19,18,-0.03850096712115477,-0.058715108049548805,-0.011145397318239901,-0.047569710731308903,0.02021414092839401,0.10500862962037509,-0.07239290103948605,-0.01240158765249503,1.3418944948107911,0.9433658337209283,0.2775630472670334,0.2306452750806693
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,20,19,-0.03618964034240611,-0.059674343545954515,-0.010537775649522005,-0.04913656789643251,0.023484703203548417,0.11153684313110104,-0.07494396869183834,-0.013108171235714294,1.362765008925476,0.9439583520224963,0.27744390826340415,0.23039193874592057
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,21,20,-0.03359197240627489,-0.06043861781232028,-0.009881586948870936,-0.05055703086344935,0.026846645406045377,0.11792938745246816,-0.07730785305441566,-0.013774888992007116,1.3838756258318248,0.9447621441462792,0.27729986756647435,0.22984250189641497
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,22,21,-0.030733741285700167,-0.061019224293281514,-0.00918441784020262,-0.0518348064530789,0.03028548300758137,0.12417006108240536,-0.07948521507280146,-0.014399363002022544,1.4052441142369185,0.9457663170103482,0.2771329411265998,0.2290168797495751
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,23,22,-0.027639370539536932,-0.06142741458596198,-0.00845311663379177,-0.052974297952170214,0.033788044046425034,0.13024528690541737,-0.08147745700223914,-0.014979785856753228,1.426889429263175,0.9469615402478335,0.27694508807951185,0.2279343649753083
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,24,23,-0.024331889577739955,-0.06167428471379598,-0.00769383887796481,-0.05398044583583117,0.037342395136056014,0.1361439090528855,-0.08328664508154587,-0.015514868835283635,1.448831633581901,0.9483398736548068,0.2767382032482473,0.22661353641565407
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,25,24,-0.020832919199997302,-0.06177067938632483,-0.006912092364833959,-0.05485858702149088,0.04093776018632756,0.14185698512849243,-0.08491543532838623,-0.016003789613778647,1.4710918323107296,0.9498946234037025,0.2765141112070554,0.22507219286249672
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,26,25,-0.01716268060456652,-0.061727117698277274,-0.006112782843996202,-0.055614334854281085,0.044564437093710794,0.1473775812726719,-0.08636700159325207,-0.016446142585709027,1.4936921395362222,0.9516202164127927,0.2762745624183656,0.22332730979035795
