sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,branch_iters,warm_start_T,seed_kind,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,60,104,horizon,ok,0.03706789016723633,true,3.293816013989964e-7,9.7700809043803e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,30,60,30,parameter,ok,0.011191844940185547,true,1.275016142085152e-7,2.2916140352371627e-11,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,45,60,30,horizon,ok,0.021738052368164062,true,1.0942284157700347e-7,9.25362623518041e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,60,60,45,horizon,ok,0.02365398406982422,true,1.1792568201404893e-7,9.253825298831195e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,70,60,60,horizon,ok,0.0230867862701416,true,1.4861270672953556e-7,9.253825298831195e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,80,60,70,horizon,ok,0.028914928436279297,true,1.727527787905096e-7,9.253825298831195e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,90,60,80,horizon,ok,0.032012939453125,true,2.1097087331499155e-7,9.253825298831195e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,100,60,90,horizon,ok,0.04130411148071289,true,2.375048058848328e-7,9.253825298831195e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,103,60,100,horizon,ok,0.037689924240112305,true,2.419972845592403e-7,9.253825298831195e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,104,60,103,horizon,ok,0.03204798698425293,true,2.869250819402514e-7,9.253825298831195e-10,true,
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,105,60,104,horizon,ok,0.033879995346069336,true,3.194250262110773e-7,9.253825298831195e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,30,60,30,parameter,ok,0.01143503189086914,true,1.0352359408440418e-7,2.3299987656386656e-11,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,45,60,30,horizon,ok,0.024875164031982422,true,1.1203999704616842e-7,9.451395596784416e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,60,60,45,horizon,ok,0.0219879150390625,true,1.2428973415766285e-7,9.451583685845348e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,70,60,60,horizon,ok,0.028731107711791992,true,1.4009449104811223e-7,9.451583685845348e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,80,60,70,horizon,ok,0.025745868682861328,true,1.5694798848639948e-7,9.451583685845348e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,90,60,80,horizon,ok,0.03285503387451172,true,1.9810631137150156e-7,9.451583685845348e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,100,60,90,horizon,ok,0.03714704513549805,true,2.0760578088078783e-7,9.451583685845348e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,103,60,100,horizon,ok,0.032533884048461914,true,2.7601680763786247e-7,9.451583685845348e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,104,60,103,horizon,ok,0.028508901596069336,true,2.690041598832032e-7,9.451583685845348e-10,true,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,105,60,104,horizon,ok,0.03137397766113281,true,2.9247773613316287e-7,9.451583685845348e-10,true,
