sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,t,model_t,US_NFA_change_current_Y,cum_VA_current_Y,cum_VA_RoW_equity_asset_current_Y,cum_VA_US_equity_liability_current_Y,cum_CA_current_Y,cum_CA_RoW_equity_quantity_current_Y,cum_CA_US_equity_liability_quantity_current_Y,cum_CA_bond_position_current_Y,US_equity_price_index,RoW_equity_price_index,US_held_RoW_equity_current_Y,foreign_held_US_equity_claim_current_Y
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,16,15,-0.043013631887451845,-0.054320974956958645,-0.012505956919395874,-0.041815018037562775,0.011307343069506823,0.08510188383688352,-0.06362411321834713,-0.01017042754902958,1.2802390223357265,0.9434436462515242,0.2783948378670262,0.22883288932910809
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,17,16,-0.04173409907832445,-0.05592966720048049,-0.012098269602432422,-0.04383139759804807,0.014195568122156034,0.09194408948702948,-0.0667124778950615,-0.011036043469811936,1.3005081358550585,0.9433224768185478,0.2783682145880214,0.22957475000610822
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,18,17,-0.04008586445104835,-0.057311785693333256,-0.01161458999991576,-0.04569719569341749,0.017225921242284895,0.09871695399620539,-0.06961589136032718,-0.011875141393593308,1.3209786535229424,0.9434561680931283,0.27831150102854363,0.22995904843168483
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,19,18,-0.03809786230024059,-0.05847768385665104,-0.01106490974028262,-0.04741277411636842,0.02037982155641044,0.10539514480273622,-0.0723324764905819,-0.0126828467557439,1.3416641137671412,0.9438279690242827,0.27822663168548334,0.23000660899187866
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,20,19,-0.03579805568868476,-0.05943816687710873,-0.010458367879135344,-0.04897979899797339,0.02364011118842398,0.1119564835513986,-0.07486131806320631,-0.013455054299768301,1.3625797097179435,0.9444233811117199,0.2781155379105326,0.22973811802502161
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,21,20,-0.03321327348628986,-0.06020430828100101,-0.009803288018896373,-0.05040102026210464,0.026991034794711162,0.11838179658747566,-0.07720238573516064,-0.01418837605760385,1.3837421213385657,0.9452298850272347,0.27798012969210983,0.22917392722927463
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,22,21,-0.030369090195598542,-0.060787286184586675,-0.009107217783712998,-0.051680068400873684,0.030418195988988123,0.12465473589859222,-0.07935645666786958,-0.014880083241734494,1.4051693647065728,0.9462367123611389,0.2778222798852242,0.2283338946363868
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,23,22,-0.027289751421382277,-0.06119824744856304,-0.008376972326853709,-0.052821275121709345,0.03390849602718075,0.13076158515602126,-0.08132503779096802,-0.015528051337872509,1.4268806886008296,0.9474346464438458,0.27764381297102303,0.22723726316381773
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,24,23,-0.023998127749183716,-0.06144818958812427,-0.00761867776134674,-0.05382951182677755,0.03745006183894059,0.1366910537734462,-0.08311029015972851,-0.016130701774777084,1.448896480327919,0.9488158575443045,0.27744649529963294,0.22590256712076345
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,25,24,-0.02051570483726179,-0.061547870373320525,-0.006837817445346354,-0.05471005292797418,0.041032165536058714,0.14243407175650766,-0.08471495485416362,-0.016686951366285292,1.4712382252225016,0.9503737548611164,0.2772320296377492,0.224347568909996
