t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
11,true,3.1157762959198707,0.016396755798995355,0.005262494557284813,-0.04283379479093421,-0.0019325097515766408,-0.010842859970082977,-0.012775369721659617,0.02378757560556928,-0.015934701984300255,-0.0030900711030065753,0.00476280251826245,8.673617379884035e-18,-0.012991855382358223,-0.02958442494531616,-0.04257628032767438,0.050967322204969204,-0.04554999030407041,-0.005674846364158608,-0.00025751446325981953,-1.2805360898250009e-17
12,true,3.2009804091621197,0.009505857419339292,0.0029696706022101275,-0.04384638545484973,-0.0015990387366788157,-0.011200287485764137,-0.012799326222442953,0.025770208898814862,-0.0165133423899777,-0.003348438666050335,0.005908427842786827,6.245004513516506e-17,-0.013145583039686265,-0.032295960688450726,-0.045441543728136996,0.057661391104821456,-0.04949637367516794,-0.006569859156366266,0.0015951582732872472,7.045155641424713e-18
13,true,3.2951038885354835,0.0037482891157193388,0.0011375329101946084,-0.044341239032103276,-0.00128402626871271,-0.011566004145978324,-0.012850030414691035,0.02783546584873147,-0.01713951575682516,-0.003603487980835096,0.0070924621110712155,-1.3357370765021415e-16,-0.013159761122140207,-0.0348834954808865,-0.048043256603026704,0.06446183681167798,-0.05328403721244757,-0.00747578202830694,0.003702017570923457,-3.3693111421703846e-17
14,true,3.398435201831499,-0.0008544870632590795,-0.00025143544381795943,-0.04434740001955048,-0.000983222070424726,-0.011942804233424373,-0.012926026303849099,0.029992328597020793,-0.01781249716396434,-0.0038565813081858635,0.00832325012487059,9.020562075079397e-17,-0.013048947377983804,-0.03733705023118306,-0.05038599760916687,0.07132717363764506,-0.056905288432555004,-0.008383287615473663,0.006038597589616383,-6.125372553963386e-18
15,true,3.511313869821114,-0.004271074419322174,-0.0012163750031095244,-0.04389478081606488,-0.000692838302311493,-0.012333383741237514,-0.013026222043549007,0.03225045975731589,-0.018531884805280573,-0.00410894026454936,0.00960963468748596,-4.683753385137379e-17,-0.012826777123399972,-0.03964924092261044,-0.05247601804601041,0.07821893675048446,-0.060353710332265664,-0.009283989188273244,0.008581237229945547,-1.9267493044289476e-17
16,false,3.6341317893511764,-0.006459928744753984,-0.0017775714033494957,-0.043013631887451845,-0.0004094551785343543,-0.012740356743158775,-0.013149811921693129,0.03462022389065294,-0.019297592231223345,-0.004361674063168258,0.010960957596261336,-1.734723475976807e-17,-0.012505956919395874,-0.041815018037562775,-0.054320974956958645,0.08510188383688352,-0.06362411321834713,-0.01017042754902958,0.011307343069506823,-2.3389754486047235e-17
17,false,3.7673349931773172,-0.007369053593616726,-0.001956038846283157,-0.04173409907832445,-0.00012993883310424338,-0.01316627164839499,-0.013296210481499234,0.03711272435502334,-0.020109840039559786,-0.00461579868282716,0.01238708563263639,1.0234868508263162e-16,-0.012098269602432422,-0.04383139759804807,-0.05592966720048049,0.09194408948702948,-0.0667124778950615,-0.011036043469811936,0.014195568122156034,4.604643545419797e-18
18,false,3.9114258664815313,-0.006935608821218797,-0.001773166374097134,-0.04008586445104835,0.00014862667588886553,-0.013613635289906927,-0.013465008614018061,0.039739861580712285,-0.020969145729318434,-0.004872262464977878,0.013898453386415974,1.5612511283791264e-17,-0.01161458999991576,-0.04569719569341749,-0.057311785693333256,0.09871695399620539,-0.06961589136032718,-0.011875141393593308,0.017225921242284895,8.426529651502206e-18
19,false,4.066965847235687,-0.005085426554882311,-0.0012504227342697925,-0.03809786230024059,0.00042899773777332293,-0.014084939793068898,-0.013655942055295574,0.0425144070561629,-0.021876313348222855,-0.005131969386307972,0.015506124321632071,-1.0408340855860843e-17,-0.01106490974028262,-0.04741277411636842,-0.05847768385665104,0.10539514480273622,-0.0723324764905819,-0.0126828467557439,0.02037982155641044,5.545019563669723e-18
20,false,4.23457864471943,-0.00173240386889717,-0.00040910891360052985,-0.03579805568868476,0.000713828736868746,-0.014582677805497716,-0.01386884906862897,0.04545008000744658,-0.02283242725282761,-0.005395781000004818,0.017221871754614156,-4.5102810375396984e-17,-0.010458367879135344,-0.04897979899797339,-0.05943816687710873,0.1119564835513986,-0.07486131806320631,-0.013455054299768301,0.02364011118842398,-5.325536984847445e-18
21,false,4.4149539982866415,0.0032222036984010938,0.0007298385667555243,-0.03321327348628986,0.0010057156442240952,-0.015109375064436662,-0.014103659420212567,0.0485616517835969,-0.023838842792712662,-0.0056645420033733795,0.01905826698751086,-2.7755575615628914e-17,-0.009803288018896373,-0.05040102026210464,-0.06020430828100101,0.11838179658747566,-0.07720238573516064,-0.01418837605760385,0.026991034794711162,-1.1394678364225443e-17
22,false,4.608852025640412,0.009890635408043469,0.0021460084535192122,-0.030369090195598542,0.0013072465049680313,-0.015667602010696825,-0.014360355505728794,0.05186504588366578,-0.02489718448264133,-0.005939074185653398,0.02102878721537105,1.1796119636642288e-16,-0.009107217783712998,-0.051680068400873684,-0.060787286184586675,0.12465473589859222,-0.07935645666786958,-0.014880083241734494,0.030418195988988123,1.4679190216287048e-17
23,false,4.8171081894807966,0.018399593212048426,0.0038196346206688775,-0.027289751421382277,0.001621037131673032,-0.01626000903300257,-0.014638971901329536,0.055377470672663305,-0.026009339491350904,-0.006220201475977932,0.02314792970533447,2.42861286636753e-17,-0.008376972326853709,-0.052821275121709345,-0.06119824744856304,0.13076158515602126,-0.08132503779096802,-0.015528051337872509,0.03390849602718075,1.908621118943156e-17
24,false,5.040638947593127,0.02889138087103338,0.00573169020265354,-0.023998127749183716,0.0019497781457350134,-0.016889336876375442,-0.014939558730640429,0.05911754671341872,-0.02717745997218608,-0.006508740351607034,0.025431346389625603,-2.220446049250313e-16,-0.00761867776134674,-0.05382951182677755,-0.06144818958812427,0.1366910537734462,-0.08311029015972851,-0.016130701774777084,0.03745006183894059,-2.5811065234177205e-17
25,false,5.280448126690023,0.04152516309723975,0.007863946790301913,-0.02051570483726179,0.002296263533078478,-0.017558462650653497,-0.01526219911757502,0.06310547794550374,-0.028403959137404854,-0.006805537464317751,0.02789598134378113,2.6020852139652106e-16,-0.006837817445346354,-0.05471005292797418,-0.061547870373320525,0.14243407175650766,-0.08471495485416362,-0.016686951366285292,0.041032165536058714,2.4638867303827607e-17
26,false,5.53763411477674,0.056478450120386325,0.01019902163085821,-0.01686258539604916,0.0026634422000560197,-0.01827040056767752,-0.0156069583676215,0.0673632043347026,-0.029691518092156935,-0.007111440851777284,0.030560245390768376,-2.983724378680108e-16,-0.006039275514904585,-0.055468452898082936,-0.0615077284129875,0.14798358192923414,-0.08614228258265619,-0.017196156329639556,0.044645143016938386,-3.038629380022417e-17
