sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,92,91,0.2193350623901553,0.025004895294673694,0.04496919100472746,-0.019964295710053766,0.19433016709548162,0.2180878104579235,-0.01857585707435438,-0.005181786288087491,7.35064676896846,1.795710903345445,0.263794038326475,0.03897879149843037
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,93,92,0.22076169463060497,0.027061179252705802,0.04628809814975839,-0.019226918897052588,0.19370051537789917,0.21623873313515962,-0.01745280722151104,-0.005085410535749394,7.745356987247605,1.8510747363321325,0.2631692904134823,0.03706207801952984
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,94,93,0.22209179774631846,0.0291342323482542,0.04762906796106057,-0.01849483561280636,0.19295756539806425,0.21433118759716915,-0.01637446207700107,-0.004999160122103822,8.174595767498063,1.910972341149831,0.2625186060120454,0.03520159331443158
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,95,94,0.22332537232082283,0.031220611187682535,0.04898931156282014,-0.017768700375137593,0.1921047611331403,0.21236970905366898,-0.015341014777385064,-0.004923933143143625,8.642018742068851,1.975844072906959,0.26184279894420137,0.03339763006418463
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,96,95,0.22446257323092064,0.03331639386057397,0.050365628794016466,-0.01704923493344248,0.19114617937034667,0.21035942452587789,-0.014352478083920947,-0.004860767071610259,9.151712399525973,2.0461764404406058,0.2611429206258643,0.03165040176920089
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,97,96,0.22550363491752093,0.03541714839541818,0.05175438082861259,-0.016337232433194404,0.19008648652210272,0.20830605316028536,-0.013408681616233983,-0.004810885021948663,9.708252244451943,2.1225067977630836,0.26042023174589785,0.029960043400597706
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,98,97,0.22644874003170076,0.03751788013932655,0.05315144298593876,-0.015633562846612208,0.18893085989237418,0.20621589300779142,-0.012509268605789707,-0.004775764509627517,10.316772298502428,2.2054282109728427,0.25967614054217913,0.02832661280264957
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,99,98,0.22729779818698384,0.039612938596962716,0.05455211962993633,-0.014939181032973611,0.1876848595900211,0.20409579446688716,-0.011653690193847387,-0.00475724468301867,10.983050336950406,2.2955942353818934,0.25891208975458146,0.02675009222414496
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,100,99,0.2280500814592762,0.0416958511997471,0.05595099067225079,-0.014255139472503694,0.18635423025952905,0.20195312483576897,-0.010841193052276855,-0.0047577015239630765,11.71361600872823,2.3937230821551627,0.25812936619931925,0.025230387791774382
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,101,100,0.22870363241685945,0.04375903226755779,0.05734164074431523,-0.013582608476757449,0.18494460014930164,0.19979573717700216,-0.010070791493115905,-0.0047803455345846275,12.515893665513945,2.5006002114246493,0.2573287972207621,0.023767320886816098
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,102,101,0.22925431179428332,0.04579328532205006,0.058716192875218516,-0.012922907553168453,0.1834610264722333,0.19763197598177543,-0.009341206006846509,-0.0048297435026956334,13.398399743261013,2.617077611030107,0.2565102883355066,0.02236059703738648
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,103,102,0.22969427995533143,0.0477869729819582,0.0600645250823966,-0.012277552100438403,0.18190730697337323,0.19547079188936395,-0.008650731788191828,-0.004912753127798894,14.371028090579802,2.7440666899121102,0.25567215272653676,0.021009720058859052
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,104,103,0.2300095971843115,0.049724664834282235,0.061372983964331225,-0.011648319130048991,0.18028493235002926,0.19332211807568828,-0.007996964409548115,-0.005040221316110903,15.445479446834883,2.882519455584151,0.25481019929050636,0.019713782297826235
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,105,104,0.230176470272858,0.05158498542350303,0.06262231788302149,-0.011037332459518462,0.17859148484935497,0.19120045303970049,-0.007375650341480293,-0.005233317848865208,16.635929143191127,3.033388871133123,0.2539192465597359,0.018470399127686533
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27591589808066747,0.1648811372590373
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,2,1,-0.0063023204085152626,-0.004878875663950332,-0.002310283824297487,-0.0025685918396528445,-0.0014234447445649122,0.0029755402586566938,-0.004960071967324454,0.0005610869641028481,1.0156042349053085,0.991612993728272,0.2761251463458895,0.17213730083659776
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,3,2,-0.01209433177139289,-0.009594201056339355,-0.004326209652659917,-0.005267991403679439,-0.0025001307150535495,0.006472834944162123,-0.009885274022536757,0.0009123083633210848,1.0316738875879317,0.9843018331126736,0.2763424410683416,0.17900652017320123
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,4,3,-0.017337964246096793,-0.014125142129900521,-0.006063114687011603,-0.008062027442888918,-0.0032128221161962663,0.01045751587446674,-0.014761249084956388,0.0010909110942933834,1.0481246366928951,0.9779535138814605,0.2765530533130937,0.18545916807854737
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,5,4,-0.02200847824186479,-0.01845355651057128,-0.007537555839019184,-0.010916000671552096,-0.003554921731293533,0.01489119378312092,-0.019573007120412825,0.001126891605998373,1.0648871955807735,0.9724659391541993,0.2767468433612581,0.1914723305653851
