sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,57,56,diagnostic_only_hkt_gate_failed,0.1348650744418175,-0.8701005035603177,0.068040448570487,-1.1672328318753844,0.07192613030214512,0.027115021359851194,0.40329998048064536,0.04481110894229391
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,58,57,diagnostic_only_hkt_gate_failed,0.1444001763239714,-0.8404322764583391,0.0728509794800809,-1.1375646047734058,0.07070104637259136,0.026976631959827618,0.3935197297148739,0.04372441441276376
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,59,58,diagnostic_only_hkt_gate_failed,0.15443289212777225,-0.8112601952681644,0.07791256037117603,-1.1083925235832313,0.06947855646167506,0.02683421309259513,0.3837990903217196,0.04264434336907994
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,60,59,diagnostic_only_hkt_gate_failed,0.16497425769013133,-0.7825838170910412,0.08323075890683782,-1.0797161454061082,0.06825855177041895,0.026687583750943617,0.3741387121752781,0.04157096801947533
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,61,60,diagnostic_only_hkt_gate_failed,0.17603428658637832,-0.7544027354526235,0.08881062701144372,-1.0515350637676901,0.06704093748383988,0.026536561146553526,0.3645393870355772,0.040504376337286346
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,62,61,diagnostic_only_hkt_gate_failed,0.1876218553979392,-0.7267165736015304,0.09465664298735987,-1.0238489019165973,0.06582563565464834,0.026380960999008777,0.3550020719007561,0.039444674655639556
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,63,62,diagnostic_only_hkt_gate_failed,0.19974458939909193,-0.6995249758484792,0.10077265384304637,-0.9966573041635459,0.06461258991091834,0.02622059799823404,0.34552792721415876,0.038391991912684297
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,64,63,diagnostic_only_hkt_gate_failed,0.21240874953266992,-0.672827597781272,0.10716181827144595,-0.9699599260963389,0.06340176808631788,0.02605528629059455,0.3361183361615101,0.037346481795723335
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,65,64,diagnostic_only_hkt_gate_failed,0.22561912202057635,-0.6466240951315695,0.11382655095765484,-0.9437564234466363,0.062193165380292376,0.025884840008554375,0.3267749283456421,0.036308325371738
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,66,65,diagnostic_only_hkt_gate_failed,0.2393789120479712,-0.6209141111751809,0.12076846894179208,-0.9180464394902478,0.06098680778546779,0.025709074032599113,0.3174996037758182,0.035277733752868676
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,67,66,diagnostic_only_hkt_gate_failed,0.25368964269535765,-0.5956972632160854,0.12798834062947395,-0.8928295915311523,0.05978275414886408,0.025527804732052864,0.308294544751301,0.03425494941681122
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,68,67,diagnostic_only_hkt_gate_failed,0.26855106105036314,-0.5709731273793122,0.13548603842449858,-0.8681054556943789,0.058581100107629513,0.02534085100055278,0.2991622419636906,0.03324024910707673
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,69,68,diagnostic_only_hkt_gate_failed,0.283961052541243,-0.5467412227218288,0.14326049550945122,-0.8438735510368955,0.05738197954090335,0.02514803518613865,0.2901054991928824,0.032233944354764704
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,70,69,diagnostic_only_hkt_gate_failed,0.29991556541708586,-0.5230009940626575,0.1513096677453979,-0.8201333223777244,0.056185567468009,0.024949184382814783,0.28112744776674803,0.031236383085194216
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,71,70,diagnostic_only_hkt_gate_failed,0.3164085465443409,-0.4997517942422581,0.15963050128074835,-0.7968841225573249,0.054992081202316495,0.024744131673159316,0.27223154576241476,0.030247949529157186
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,72,71,diagnostic_only_hkt_gate_failed,0.3334318904629386,-0.47699286524665474,0.1682189068496842,-0.7741251935617216,0.0538017828674929,0.024532717586550675,0.2634215875284801,0.029269065280942225
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,73,72,diagnostic_only_hkt_gate_failed,0.3509754026883891,-0.4547233190071731,0.17706974125779068,-0.7518556473222399,0.05261497993216269,0.02431479162067861,0.2547016948033568,0.028300188311484082
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,74,73,diagnostic_only_hkt_gate_failed,0.36902677883336577,-0.4329421176415246,0.18617679684873736,-0.7300744459565914,0.05143202630927219,0.02409021396851629,0.24607631106680317,0.0273418123407559
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,75,74,diagnostic_only_hkt_gate_failed,0.38757160057304646,-0.41164805351570577,0.195532799468763,-0.7087803818307725,0.05025332253206116,0.02385885722098284,0.237550187799705,0.026394465311078325
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,76,75,diagnostic_only_hkt_gate_failed,0.4065933493506488,-0.390839729396791,0.20512941538122093,-0.6879720577118579,0.04907931527871903,0.023620608303833616,0.2291283627739688,0.025458706974885417
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,77,76,diagnostic_only_hkt_gate_failed,0.42607343886732835,-0.3705155385826916,0.2149572676579787,-0.6676478668977583,0.04791049717805354,0.023375370385935186,0.22081614112906525,0.024535126792118354
