switch_index,G_N_US,G_N_W,nu_b_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
72,1.1420380547136204,1.0305027697462485,0.22623152621137513,true,2.23394440443247e-16,1.030502772724173,1.0305027697462485,2.9779243515548615e-9,2.889778048797975e-9
73,1.1437512877757745,1.0305151092819744,0.22379577814562623,true,2.220446049250313e-16,1.0305151121233245,1.0305151092819744,2.841350044135993e-9,2.7572133222408812e-9
74,1.1454547760669205,1.0305289072951453,0.22144174849036402,true,2.7755575615628914e-16,1.0305289100072281,1.0305289072951453,2.7120827805759973e-9,2.6317386221663686e-9
75,1.1471482695673159,1.0305440984402032,0.21916604081714633,true,2.8079977015133965e-16,1.0305441010298773,1.0305440984402032,2.589674030772926e-9,2.512919171360206e-9
76,1.1488315220491954,1.0305606189821082,0.216965434142909,true,1.7619359466329844e-16,1.0305606214558107,1.0305606189821082,2.4737025761112363e-9,2.400346470199377e-9
77,1.1505042888405712,1.0305784066904593,0.21483688125059558,true,3.3137551807660914e-16,1.0305784099947581,1.0305784066904593,3.304298834549968e-9,3.2062566004964488e-9
78,1.1521663266356938,1.0305974008820806,0.21277747287565363,true,4.669970780263225e-16,1.030597404042814,1.0305974008820806,3.160733452745035e-9,3.0668944432654666e-9
79,1.1538173888555052,1.0306175421406314,0.21078447250114596,true,2.922223904009267e-16,1.0306175451650081,1.0306175421406314,3.0243767490389928e-9,2.9345287970439227e-9
80,1.1554572252697173,1.0306387723462445,0.20885528078058552,true,4.1102551374356715e-16,1.030638775241044,1.0306387723462445,2.894799511210522e-9,2.8087431165613186e-9
81,1.157085579294314,1.030661034538711,0.206987436254568,true,2.566845751549376e-16,1.0306610373102976,1.030661034538711,2.771586515848412e-9,2.6891348731128417e-9
82,1.1587021856255089,1.0306842728067331,0.2051786092492687,true,3.6029288829635755e-16,1.030684275461081,1.0306842728067331,2.6543478526264153e-9,2.5753258102445553e-9
83,1.160306767333478,1.0307084321364537,0.2034266031556208,true,4.490400908369567e-16,1.0307084357051586,1.0307084321364537,3.568704887157992e-9,3.462380663427078e-9
84,1.1618990351011036,1.030733458434243,0.20172932080203798,true,2.0963071094464598e-16,1.0307334618558661,1.030733458434243,3.421623206989466e-9,3.3196004452229477e-9
85,1.1634786818764327,1.0307592981864755,0.20008480243316865,true,3.9099959359206227e-16,1.0307593014677305,1.0307592981864755,3.2812550454508482e-9,3.1833379023071817e-9
86,1.1650453820471358,1.0307858984797764,0.19849119196875517,true,2.220446049250313e-16,1.0307859016269811,1.0307858984797764,3.1472047190561625e-9,3.053208946085517e-9
87,1.1665987882984998,1.0308132068385223,0.1969467399096282,true,2.220446049250313e-16,1.0308132098576073,1.0308132068385223,3.0190849820144194e-9,2.92883802627264e-9
88,1.168138528966857,1.0308411711005732,0.1954497991055587,true,4.721816824419888e-16,1.030841173997105,1.0308411711005732,2.896531903218147e-9,2.8098720503133556e-9
89,1.1696642054720707,1.0308697392965411,0.19399882069812344,true,4.381092250949001e-16,1.0308697420757449,1.0308697392965411,2.7792037560203653e-9,2.695979595818132e-9
90,1.171175389448552,1.0308988594960329,0.19259235711782763,true,2.7062107460854326e-16,1.0308988632551461,1.0308988594960329,3.7591132429071195e-9,3.646442432725383e-9
91,1.1726716222902702,1.030928479857676,0.19122903022020157,true,2.503856028593603e-16,1.0309284834669654,1.030928479857676,3.6092893118677694e-9,3.5010084935283015e-9
92,1.1741524105040289,1.0309585482961081,0.18990757002659056,true,4.626410891635011e-16,1.030958551761451,1.0309585482961081,3.465342901520785e-9,3.361282571723301e-9
93,1.175617225934892,1.0309890125594556,0.18862678219622755,true,1.1102230246251565e-16,1.0309890158863873,1.0309890125594556,3.3269316190853715e-9,3.2269321208200363e-9
94,1.177065504150172,1.0310198201232799,0.18738555143144528,true,4.913083859162089e-16,1.031019823316998,1.0310198201232799,3.1937181788066482e-9,3.097630252996142e-9
95,1.1784966438184958,1.0310509181440537,0.18618283751216735,true,2.220446049250313e-16,1.0310509212094425,1.0310509181440537,3.065388831657856e-9,2.9730722536647214e-9
96,1.1799100067034258,1.0310822534343895,0.1850176711969707,true,3.3176439117839676e-16,1.0310822563760407,1.0310822534343895,2.9416511448943083e-9,2.8529743498206805e-9
97,1.181304917935025,1.0311137724206934,0.1838891569299726,true,1.5201534919393904e-16,1.0311137764150755,1.0311137724206934,3.994382158367671e-9,3.873852089802954e-9
98,1.1826806691915885,1.0311454213377058,0.18279644015779453,true,2.220446049250313e-16,1.0311454251709973,1.0311454213377058,3.83329146202982e-9,3.717508127720759e-9
99,1.1840365183739294,1.0311771460257957,0.1817387455246391,true,3.0531133177191805e-16,1.0311771497032174,1.0311771460257957,3.677421700487571e-9,3.5662366046351757e-9
100,1.1853716945205188,1.0312088921850702,0.18071534311270213,true,2.220446049250313e-16,1.031208895711586,1.0312088921850702,3.526515746088421e-9,3.4197880222075483e-9
101,1.186685401361901,1.031240605441835,0.17972555074758578,true,3.159013089232206e-16,1.0312406088221524,1.031240605441835,3.380317359358287e-9,3.2779134059857107e-9
102,1.1879768221424507,1.0312722314856548,0.1787687288652767,true,2.220446049250313e-16,1.0312722347242516,1.0312722314856548,3.238596724131071e-9,3.140389677469546e-9
103,1.1892451251629494,1.0313037162306076,0.1778442753381154,true,2.220446049250313e-16,1.031303719331757,1.0313037162306076,3.101149337325637e-9,3.007018380823956e-9
104,1.1904894694886057,1.031335005952215,0.17695162740634637,true,4.702375489209405e-16,1.0313350101685326,1.031335005952215,4.216317517347079e-9,4.0882132679165295e-9
105,1.1917090129459917,1.0313660476574706,0.17609022833078264,true,2.829717747685525e-16,1.0313660516920438,1.0313660476574706,4.034573120037521e-9,3.911873009548872e-9
106,1.192902916013841,1.0313967890099867,0.17525956622677785,true,3.823568183075445e-16,1.0313967928679644,1.0313967890099867,3.85797771507157e-9,3.740536956564622e-9
107,1.1940703491617861,1.031427178690511,0.17445914123711317,true,2.2915063695664895e-16,1.0314271823769123,1.031427178690511,3.686401406355344e-9,3.5740782486359812e-9
108,1.1952104966977997,1.0314571664924905,0.17368847050089098,true,5.13934089143979e-16,1.0314571700121835,1.0314571664924905,3.5196929815128897e-9,3.4123502079541623e-9
109,1.1963225584627573,1.0314867033921553,0.1729470875797358,true,1.8404034575834672e-16,1.0314867067498672,1.0314867033921553,3.357711886309289e-9,3.255215784425669e-9
