t,n,n_next,phi,rd_share,G,e,D_agg,d_per,C_old,young_saving,q,V,B,bubble_share,fundamental_share,PD_pv,PD_agg,dividend_yield,market_value,market_fundamental,market_bubble,cond_2_15a,cond_2_15b,mc_resid,mc_resid_abs
24,7.129199656046098,7.934058969938478,0.43551916573847227,0.5644808342615277,1.1128961668523056,35.46707438217044,1.3879633254372734,0.19468711670322994,19.12150051652249,17.73353719108522,2.2351153751536486,2.1245805692050057,0.11053480594864273,0.049453736114648775,0.9505462638853511,11.480551014378278,12.776661217253935,0.08710383314769447,17.73353719108521,16.856547522457973,0.8769896686272379,0.039133854416112,0.2203957664981357,-3.552713678800501e-15,3.552713678800501e-15
25,7.934058969938478,8.847287222642775,0.42448861537048865,0.5755113846295113,1.1151022769259022,41.8130902608801,1.5917087747442265,0.20061721002769012,22.498253905184278,20.90654513044005,2.36304582459289,2.229588777308166,0.13345704728472396,0.05647670726305792,0.943523292736942,11.778878912067073,13.134654694480487,0.08489772307409774,20.906545130440037,19.725812301226263,1.1807328292137709,0.038067235997464956,0.2030736652426549,-1.4210854715202004e-14,1.4210854715202004e-14
26,8.847287222642775,9.885023050089973,0.41352880191832597,0.586471198081674,1.1172942396163348,49.43948752651306,1.8298359840569312,0.20682452575675964,26.549579747313462,24.71974376325653,2.5007269723090353,2.3403957687874826,0.16033120352155278,0.06411383781473419,0.9358861621852659,12.091056237934124,13.50926748552095,0.0827057603836652,24.719743763256524,23.13486612079731,1.584877642459216,0.03701162927863359,0.18683790670229386,-3.552713678800501e-15,3.552713678800501e-15
27,9.885023050089973,11.065986573497769,0.4026500912423031,0.5973499087576969,1.1194699817515394,58.62705109489996,2.108693208163925,0.21332203248071654,31.422218755613905,29.31352554744998,2.6489753401340415,2.4572718259921587,0.19170351414188302,0.07236893120046281,0.9276310687995373,12.417729708128007,13.90127564975361,0.08053001824846062,29.313525547449988,27.192137033863574,2.121388513586417,0.0359679221243888,0.17164985078123324,7.105427357601002e-15,7.105427357601002e-15
28,11.065986573497769,12.411914759476051,0.3918625433715588,0.6081374566284412,1.1216274913256883,69.72219484082491,2.4358815035356196,0.22012330191773213,37.296978923948075,34.861097420412456,2.8086800542839097,2.5805004859641394,0.22817956831977027,0.08124085474660661,0.9187591452533934,12.759576245742545,14.311491494891055,0.07837250867431177,34.861097420412456,32.028952068573425,2.8321453518390305,0.03493695958792911,0.15746915405967193,0.0,0.0
29,12.411914759476051,13.948073213266605,0.38117587674466125,0.6188241232553388,1.1237648246510679,83.15309901066345,2.8205149978125488,0.22724253690665952,44.39706450314428,41.57654950533173,2.98080952613487,2.7103795905104047,0.2704299356244654,0.09072365518608769,0.9092763448139123,13.117304386366914,14.740765263640299,0.07623517534893226,41.576549505331705,37.80457296418268,3.771976541149018,0.03391954156093267,0.144254139972578,-7.105427357601002e-15,7.105427357601002e-15
30,13.948073213266605,15.70385824503612,0.37059943516086824,0.6294005648391318,1.1258801129678264,99.44998267336635,3.27353747357299,0.2346946007179966,52.99852881025616,49.724991336683175,3.166418759058839,2.8472223296533596,0.31919642940547927,0.10080676426397708,0.8991932357360228,13.491655749096383,15.18998689891566,0.07411988703217365,49.72499133668319,44.71237585697786,5.0126154797053255,0.03291642075318002,0.13196215675293113,7.105427357601002e-15,7.105427357601002e-15
31,15.70385824503612,17.713505615648042,0.36014215766142765,0.6398578423385723,1.1279715684677145,119.27060741499274,3.8081078549147844,0.24249504774525718,63.44341156241116,59.63530370749637,3.3666573405331315,2.991358268616241,0.3752990719168902,0.11147528065848818,0.8885247193415118,13.883406576079151,15.660087891294982,0.07202843153228554,59.63530370749633,52.98744148954899,6.647862217947333,0.03192830100768056,0.12054991951398104,-4.263256414560601e-14,4.263256414560601e-14
32,17.713505615648042,20.016925419617632,0.34981255152149016,0.6501874484785098,1.130037489695702,143.4324074229738,4.440070074578801,0.25066015564171895,76.1562737860657,71.7162037114869,3.5827781843659783,3.143134351264455,0.4396438331015232,0.12271031319214204,0.877289686807858,14.293369343817936,16.152043212581525,0.06996251030429804,71.71620371148686,62.915885893098846,8.800317818388011,0.03095583595334417,0.10997383336313439,-2.842170943040401e-14,2.842170943040401e-14
33,20.016925419617632,22.66068619187428,0.33961866849300826,0.6603813315069917,1.1320762663013983,172.95302352021716,5.188526365955805,0.25920695897037105,91.66503812606439,86.47651176010858,3.816147094041554,3.3029158757397203,0.5132312183018335,0.13448936994676677,0.8655106300532331,14.722394449594091,16.66687333951291,0.06792373369860165,86.47651176010861,74.84634017829742,11.630171581811172,0.02999962799348979,0.10019029498019587,2.842170943040401e-14,2.842170943040401e-14
