t,N_US,N_W,phi_US,phi_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,q_US,d_US,Q_US,Q_W,Y_US,Y_W,e_US,e_W,I_US,I_W,R_US,R_W,R_A,G_N_US,G_N_W,Psi,converged,resnorm
10,2.0455014428868625,1.7542209797816244,0.6626556474106668,0.7259403245585919,0.598530173713709,0.1703357190066705,0.7431261367427956,-0.7494570662137712,1.0727677879410231,1.0872537385328145,0.44556536671519614,0.05905128130888589,0.9728960394979731,0.8178169915306837,1.84241559850452,1.859476426621478,1.7831175563645016,1.7894059883378957,0.06149143898162543,0.042496800010251974,1.0666257997631972,1.091488794642186,1.0794852728089124,1.0674688705178665,1.0548119350882816,0.9880874029784087,true,2.3249600970138426e-16
11,2.215462090547481,1.8616946419651084,0.6626709964648487,0.7259420003457677,0.5985869200353608,0.17037560127656837,0.7434189860420145,-0.7493194890131128,1.0727739924187225,1.0872542433957393,0.41405893175182057,0.05487696897982995,0.979220395439531,0.8226908062889805,1.8544779150211825,1.8705667622838107,1.7947885994930046,1.8000781910731067,0.06188852889078572,0.04274981365776921,1.066631507671226,1.0914894262139374,1.079484047677051,1.0674658007070303,1.0548115999308465,0.9880938120081694,true,3.0184188481996443e-16
12,2.4032970667586677,1.9769896854296978,0.6626880745049522,0.72594386059012,0.5986500597645312,0.17041999410663694,0.7437451036781261,-0.7491664595267391,1.0727808946833006,1.0872548038148497,0.3842269060657754,0.05092451771074477,0.9857069315408307,0.8276450653352303,1.8668582031410357,1.881841073854413,1.8067669943238978,1.810927410322144,0.062295535223194524,0.04300697706126247,1.0666378585796832,1.0914901273044633,1.0794826868509046,1.0674623850990095,1.054811227881976,0.9881009409157895,true,6.808789643208968e-17
13,2.6111685509300773,2.1007564156953333,0.6627068870121432,0.7259459045023928,0.5987196135816931,0.17046891755379273,0.7441046847285735,-0.7489979430517179,1.072788496592971,1.0872554195474486,0.3560270699378503,0.04718831824211348,0.9923593733967107,0.8326815496277216,1.8795637901194826,1.893303426783283,1.8190598226496089,1.8219575579368852,0.06271268509521281,0.04326838230870299,1.0666448545384852,1.0914908976164435,1.0794811906315707,1.0674586225975713,1.0548108190995213,0.9881087913300506,true,4.2582941973143094e-16
14,2.8415285738448066,2.2337051174341287,0.6627274376705646,0.7259481309493389,0.598795595575203,0.17052238762842684,0.7444978997320446,-0.7488139224949392,1.0727967992419383,1.0872560902466473,0.3294147001071998,0.043662432026612394,0.9991814913917758,0.8378020739277555,1.8926020901169442,1.9049579621214932,1.8316742503024184,1.8331726185527997,0.06314020839264947,0.04353412328038978,1.0666524969305,1.091491736722927,1.0794795595397262,1.0674545124658872,1.0548103738101322,0.9881173640613488,true,2.220446049250313e-16
15,3.097161083382796,2.376612071847966,0.6627497282920692,0.7259505384465096,0.5988780129648855,0.17058041609564947,0.7449248932194785,-0.7486143990272179,1.0728058029303664,1.0872568154591835,0.30434282746179336,0.04034062524158873,1.0061770988880432,0.8430084872151461,1.9059806004294935,1.9168088973900301,1.8446175235186069,1.8445766504269407,0.06357833766669194,0.04380429567269999,1.066660786443543,1.0914926440646133,1.0794777943203464,1.0674500543415861,1.054809892310698,0.9881266590714135,true,2.983724378680108e-16
16,3.381230513628375,2.530326222056458,0.6627737587444374,0.7259531251522562,0.5989668658384704,0.17064301028222598,0.7453857822607622,-0.7483993926966115,1.0728155071359864,1.0872575946236112,0.28076250302501377,0.037216403888876974,1.0133500503364379,0.8483026731134913,1.9197068975568832,1.928860527473452,1.8578969651458772,1.8561737862997534,0.06402730802558255,0.04407899702227253,1.0666697230436601,1.0914936189475906,1.0794758959466393,1.0674452482511125,1.0548093749695489,0.9881366754449402,true,2.3854567732004115e-16
17,3.697337915679584,2.6957765605738317,0.6627995268838096,0.7259558888630474,0.5990621469034919,0.17071017289091547,0.7458806550382266,-0.7481689429942326,1.072825910487637,1.0872584270688888,0.2586230699241285,0.034283049677390154,1.0207042393225776,0.853686550322575,1.9337886331295788,1.9411172255330267,1.8715199707148829,1.8679682342755441,0.06448735702264514,0.04435832673046949,1.0666793059499726,1.0914946605415698,1.0794738656231182,1.067440094623238,1.0548088222273906,0.9881474113634421,true,4.1461797696132277e-16
18,4.049585888100096,2.873980321831337,0.6628270284920721,0.7259588270102386,0.599163841257449,0.1707819018240097,0.7464095694587731,-0.7479231093654612,1.072837010741051,1.0872593120134029,0.23787243896911245,0.03153365637641172,1.0282435965586083,0.8591620730542634,1.9482335297190998,1.953583443931877,1.8854940043983246,1.8799642787144106,0.06495872454133933,0.044642386087902934,1.066689533611354,1.0914957678786665,1.0794717047877564,1.0674345943015855,1.0548082345979524,0.9881588640816523,true,3.5293621583309417e-16
19,4.44265375614049,3.066052072682964,0.6628562572199804,0.725961936658384,0.5992719261789521,0.1708581900179733,0.7469725518175685,-0.7476619716597614,1.072848804757205,1.087260248564464,0.21845736544612376,0.028961166324351018,1.0359720878338454,0.8647312314673992,1.9630493765584445,1.9662637151625686,1.8998265948834248,1.8921662811263944,0.06544165267806798,0.044931278298775426,1.0667004036852332,1.0914969398527632,1.0794694151131394,1.067428748556004,1.0548076126683232,0.9881710299067915,true,5.403033115951047e-16
20,4.881884697665823,3.2732138050455024,0.6628872045369465,0.7259652145052184,0.599386370943401,0.17093902529151278,0.7475695955294042,-0.7473856305102722,1.0728612884836122,1.0872612357183051,0.2003237247261222,0.02655840677722559,1.0438937119437302,0.87039605209594,1.9782440252133549,1.9791626527649266,1.9145253311970865,1.9045786810561,0.06593638562385346,0.04522510850470985,1.066711913018868,1.0914981752195014,1.0794669985065557,1.0674225590926107,1.0548069570989562,0.9881839041811057,true,9.279456395627681e-16
21,5.373386804274655,3.4968061475477814,0.6629198596874585,0.7259686568833181,0.5995071366629199,0.1710243902069282,0.748200659926013,-0.7470942076439085,1.0728744569385456,1.0872622723605925,0.18341678441178888,0.02431812579731758,1.0520124985849573,0.8761585982665604,1.9938253851798273,1.9922849522257682,1.929597858459992,1.9172059969497584,0.06644316954416175,0.045523983807864724,1.066724057633077,1.0914994725969047,1.0794644571090228,1.0674160280625082,1.0548062686233364,0.9881974812676401,true,9.64449456422042e-16
22,5.924150415030719,3.7383008270811953,0.6629542096563408,0.7259722597636742,0.599634176158763,0.17111426195050408,0.7488656691613915,-0.7467878461021215,1.072888304199079,1.0872633572675112,0.16768147062916866,0.022233027366994684,1.0603325062813302,0.8820209704951143,2.0098014195423257,2.0056353918379846,1.9450518736993343,1.9300528269829882,0.06696225246057926,0.0458280132927395,1.0667368327092486,1.091500830466726,1.0794617932930963,1.067409158068732,1.0548055480472651,0.9882117545401697,true,8.288004243069921e-16
23,6.54218446087316,3.999314527472042,0.6629902391420942,0.7259760187610834,0.5997674338632668,0.1712086122299418,0.7495645112103027,-0.7464667103795841,1.0729028233926363,1.0872644891074064,0.1530626264308421,0.02029580546022021,1.068857820308789,0.8879853068601278,2.0261801406279547,2.0192188335146297,1.9608951216576977,1.9431238498450811,0.06749388413250046,0.04613730804658058,1.0667502325793505,1.0915022471764757,1.0794590096595362,1.0674019521715812,1.0548047962477833,0.9882267163769435,true,1.0779728418187669e-15
24,7.236675040404397,4.281624310382607,0.6630279305395381,0.7259799291414822,0.5999068457559154,0.17130740719213852,0.7502970369845774,-0.7461309864701212,1.0729180066925348,1.0872656664430116,0.13950526023055063,0.018499176798008343,1.0775925506564799,0.8940537833453605,2.0429696057335964,2.033040223540937,1.9771353906723557,1.9564238254633428,0.06803831594093407,0.04645198117794453,1.0667642507193889,1.091503720942186,1.0794561090327575,1.0673944138920923,1.0548040141717037,0.9882423581587382,true,1.675205862887153e-15
25,8.018170011415197,4.587184784059287,0.6630672639320928,0.7259839858312097,0.6000523393346753,0.1714106073622569,0.7510630595747904,-0.7457808818174815,1.0729338453176427,1.0872668877342577,0.12695478242664202,0.016835912045345534,1.0865408300340371,0.9002286141470341,2.0601779129477595,2.0471045932546055,1.993780508645941,1.969957595658196,0.06859580077499498,0.04677214783318053,1.0667788797464433,1.0915052498518982,1.0794530944550775,1.0673865472135815,1.054803202833758,0.9882586702713264,true,1.4948118915209317e-15
26,8.898794049851054,4.9181472286114625,0.6631082170940157,0.7259881834282024,0.6002038336237397,0.17151816760508748,0.7518623536256531,-0.7454166251688166,1.0729503295362743,1.0872681513416766,0.11535722854874134,0.015298865230372551,1.0957068119387046,0.9065120519421914,2.077813197095669,2.061417059646723,2.010838339136014,1.9837300847216837,0.06916659292185708,0.04709792521063574,1.0667941114194006,1.0915068318698802,1.0794499691797586,1.067378356581197,1.0548023633143595,0.9882756421124596,true,1.8298379100083053e-15
27,9.89249941597971,5.276880912595865,0.6631507655027639,0.7259925162150833,0.6003612392183064,0.17163003710934643,0.7526946548511493,-0.7450384663300157,1.0729674486743623,1.0872694555303708,0.10465946747103182,0.013881001194105272,1.1050946687948158,0.9129063881163684,2.0958836258337037,2.0759828258794952,2.0283167775886892,1.9977462999156823,0.06975094796088588,0.0474294325724821,1.0668099366434465,1.0915084648415594,1.079446736662903,1.0673698468994472,1.0548014967569834,0.9882932621033967,true,2.214393128691477e-15
