date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2003-07-01,2002M01-2007M12,Taiwan,45.000000,0.0317124736,1419.000000,Stable panel of economies reported in every month
2003-07-01,2002M01-2007M12,Hong Kong,42.300000,0.0298097252,1419.000000,Stable panel of economies reported in every month
2003-07-01,2002M01-2007M12,United Kingdom,78.400000,0.0552501762,1419.000000,Stable panel of economies reported in every month
2003-07-01,2002M01-2007M12,Mainland China,151.300000,0.1066243834,1419.000000,Stable panel of economies reported in every month
2003-07-01,2002M01-2007M12,Japan,463.100000,0.3263565891,1419.000000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,All other foreign,566.400000,0.3919994463,1444.900000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,South Korea,59.700000,0.0413177383,1444.900000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,Singapore,24.600000,0.0170253997,1444.900000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,Taiwan,46.300000,0.0320437401,1444.900000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,Hong Kong,44.000000,0.0304519344,1444.900000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,United Kingdom,83.700000,0.0579278843,1444.900000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,Mainland China,148.800000,0.1029829054,1444.900000,Stable panel of economies reported in every month
2003-08-01,2002M01-2007M12,Japan,471.400000,0.3262509516,1444.900000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,All other foreign,557.200000,0.3860597242,1443.300000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,South Korea,61.700000,0.0427492552,1443.300000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,Singapore,23.400000,0.0162128456,1443.300000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,Taiwan,47.900000,0.0331878334,1443.300000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,Hong Kong,42.500000,0.0294464075,1443.300000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,United Kingdom,72.300000,0.0500935356,1443.300000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,Mainland China,147.100000,0.1019192129,1443.300000,Stable panel of economies reported in every month
2003-09-01,2002M01-2007M12,Japan,491.200000,0.3403311855,1443.300000,Stable panel of economies reported in every month
2003-10-01,2002M01-2007M12,All other foreign,538.300000,0.3707555617,1451.900000,Stable panel of economies reported in every month
2003-10-01,2002M01-2007M12,South Korea,62.600000,0.0431159171,1451.900000,Stable panel of economies reported in every month
2003-10-01,2002M01-2007M12,Singapore,22.900000,0.0157724361,1451.900000,Stable panel of economies reported in every month
