date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2002-10-01,2002M01-2007M12,Mainland China,106.500000,0.0891810417,1194.200000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,Japan,373.100000,0.3124267292,1194.200000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,All other foreign,184.700000,0.1513934426,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,Canada & other advanced,29.300000,0.0240163934,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,Commodity exporters,52.900000,0.0433606557,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,Core EU-27 (identifiable),103.800000,0.0850819672,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,Financial/offshore centres,204.300000,0.1674590164,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,Other East Asian exporters,75.200000,0.0616393443,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,United Kingdom,82.500000,0.0676229508,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,Mainland China,112.400000,0.0921311475,1220.000000,Economic-function and custody-role grouping
2002-11-01,2002M01-2007M12,Japan,374.900000,0.3072950820,1220.000000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,All other foreign,187.600000,0.1518290709,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,Canada & other advanced,31.300000,0.0253318226,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,Commodity exporters,49.600000,0.0401424409,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,Core EU-27 (identifiable),107.900000,0.0873259955,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,Financial/offshore centres,206.500000,0.1671252833,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,Other East Asian exporters,75.400000,0.0610229848,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,United Kingdom,80.800000,0.0653933312,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,Mainland China,118.400000,0.0958238912,1235.600000,Economic-function and custody-role grouping
2002-12-01,2002M01-2007M12,Japan,378.100000,0.3060051797,1235.600000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,All other foreign,201.500000,0.1629731478,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,Canada & other advanced,26.800000,0.0216758331,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,Commodity exporters,42.300000,0.0342122291,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,Core EU-27 (identifiable),93.100000,0.0752992559,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,Financial/offshore centres,209.600000,0.1695244258,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,Other East Asian exporters,74.300000,0.0600938208,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,United Kingdom,75.900000,0.0613879004,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,Mainland China,121.800000,0.0985118085,1236.400000,Economic-function and custody-role grouping
2003-02-01,2002M01-2007M12,Japan,391.100000,0.3163215788,1236.400000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,All other foreign,200.700000,0.1573870765,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,Canada & other advanced,29.300000,0.0229767880,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,Commodity exporters,42.400000,0.0332496863,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,Core EU-27 (identifiable),92.200000,0.0723023839,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,Financial/offshore centres,222.500000,0.1744824341,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,Other East Asian exporters,74.000000,0.0580301129,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,United Kingdom,81.600000,0.0639899624,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,Mainland China,133.200000,0.1044542033,1275.200000,Economic-function and custody-role grouping
2003-03-01,2002M01-2007M12,Japan,399.300000,0.3131273526,1275.200000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,All other foreign,198.500000,0.1553208138,1278.000000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,Canada & other advanced,32.500000,0.0254303599,1278.000000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,Commodity exporters,40.900000,0.0320031299,1278.000000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,Core EU-27 (identifiable),93.000000,0.0727699531,1278.000000,Economic-function and custody-role grouping
