date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,TIC_classification_vintage
2004-03-01,2002M01-2007M12,Japan,645.300000,0.3864071856,1670.000000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,All other foreign,305.400000,0.1784712482,1711.200000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,EU-27 (identifiable),171.300000,0.1001051893,1711.200000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,Middle East (reported/bridge),77.200000,0.0451145395,1711.200000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,Four Asian dragons,194.600000,0.1137213651,1711.200000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,Canada,33.800000,0.0197522207,1711.200000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,United Kingdom,113.200000,0.0661524077,1711.200000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,Mainland China,163.900000,0.0957807387,1711.200000,pre-2012 TIC classification
2004-04-01,2002M01-2007M12,Japan,651.800000,0.3809022908,1711.200000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,All other foreign,316.500000,0.1815001720,1743.800000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,EU-27 (identifiable),174.300000,0.0999541232,1743.800000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,Middle East (reported/bridge),79.800000,0.0457621287,1743.800000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,Four Asian dragons,193.800000,0.1111365982,1743.800000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,Canada,33.800000,0.0193829568,1743.800000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,United Kingdom,113.400000,0.0650303934,1743.800000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,Mainland China,165.800000,0.0950797110,1743.800000,pre-2012 TIC classification
2004-05-01,2002M01-2007M12,Japan,666.400000,0.3821539167,1743.800000,pre-2012 TIC classification
2004-06-01,2002M01-2007M12,All other foreign,359.200000,0.1973192705,1820.400000,pre-2012 TIC classification
2004-06-01,2002M01-2007M12,EU-27 (identifiable),173.700000,0.0954185893,1820.400000,pre-2012 TIC classification
2004-06-01,2002M01-2007M12,Middle East (reported/bridge),85.000000,0.0466930345,1820.400000,pre-2012 TIC classification
2004-06-01,2002M01-2007M12,Four Asian dragons,196.900000,0.1081630411,1820.400000,pre-2012 TIC classification
