survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,11645.0,11.645,0.004548085507913161,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,330427.0,330.427,0.12905197510718952,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,268682.0,268.682,0.0809842948664815,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada & other advanced,374738.0,374.738,0.11295097062577897,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Commodity exporters,138.0,0.138,4.1595018243032455e-05,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),628637.0,628.637,0.18947947451626954,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Financial/offshore centres,820036.0,820.036,0.24716965492712584,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Other East Asian exporters,167352.0,167.352,0.05044209777542006,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,537891.0,537.891,0.16212743447654326,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,26888.0,26.888,0.008104397467526498,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,493343.0,493.343,0.1487000803266113,3317705.0,3317.705,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,384782.0,384.782,0.08888555218805441,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada & other advanced,462913.0,462.913,0.10693399800413957,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
