survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,1770841.0,1770.841,0.5337548094239843,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,South Korea,110264.0,110.264,0.03323502240253428,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Singapore,29109.0,29.109,0.008773836130698782,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Taiwan,57088.0,57.088,0.017207075372885777,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Hong Kong,44465.0,44.465,0.013402336856351001,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada,247816.0,247.816,0.07469500754286472,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,537891.0,537.891,0.16212743447654326,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,26888.0,26.888,0.008104397467526498,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2005-12-31,2005,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,493343.0,493.343,0.1487000803266113,3317705.0,3317.705,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,2421300.0,2421.3,0.5593260274985216,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,South Korea,114155.0,114.155,0.026370075029568302,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Singapore,43911.0,43.911,0.010143544869899468,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Taiwan,74228.0,74.228,0.0171468435836783,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Hong Kong,85833.0,85.833,0.0198276260348906,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
