t,home_equity,foreign_liability,bond_position,nfa_sum,NFA,A_US,Q_US,V_agg,B_agg,NFA_fund,NFA_bubble,NFA_b_cf,DeltaNFA,DeltaA,DeltaV,DeltaB,e_US
34.0,0.9153765691511818,-0.04429946978096414,-0.7756846442571987,0.09539245511301897,0.095392455189655,1.1956823352313704,1.1002898800417154,1.100289880045022,-3.3066882565435662e-12,0.09539245518634831,3.3066882565435662e-12,0.11821337407057508,-0.022820918880920082,-0.1569262029465468,0.13410528406232003,3.3066882565435662e-12,2.3913646704627407
35.0,0.9228962536760921,-0.04448835729927161,-0.7829190778624825,0.09548881851433799,0.09548881865409142,1.2134398857402189,1.1179510670861275,1.1179510671002886,-1.4161116723698797e-11,0.0954888186399303,1.4161116723698797e-11,0.12070661881123579,-0.025217800157144366,-0.16910457850699823,0.14388677833569274,1.4161116723698797e-11,2.4268797714804378
36.0,0.9303955811982313,-0.04468633927205395,-0.7901949226595556,0.0955143192666218,0.09551431949334721,1.2319772271703784,1.1364629076770312,1.1364629077086423,-3.161115813554716e-11,0.09551431946173605,3.161115813554716e-11,0.12332648657923251,-0.027812167085885298,-0.1821774964928078,0.15436532937531133,3.161115813554716e-11,2.4639544543407568
37.0,0.9378491509073442,-0.04489667314883621,-0.797490373712922,0.09546210404558608,0.09546210439049663,1.2513277152962035,1.1558656109057068,1.1558656109649144,-5.920752776944482e-11,0.0954621043312891,5.920752776944482e-11,0.1260791573391895,-0.03061705294869288,-0.19621455358513273,0.16559750057723233,5.920752776944482e-11,2.502655430592407
38.0,0.9452292808719798,-0.04512311721558631,-0.8047810917831847,0.09532507187320882,0.09532507237672205,1.2715260005726958,1.1762009281959738,1.1762009282983623,-1.0238854208921566e-10,0.09532507227433351,1.0238854208921566e-10,0.12897101053348559,-0.03364593815676353,-0.2112906096836702,0.17764467142451812,1.0238854208921566e-10,2.5430520011453916
39.0,0.9525060641155967,-0.04536996871294796,-0.8120401961212085,0.09509589928144024,0.09509589999539947,1.2926080637335904,1.197512163738191,1.1975121639077142,-1.6952328429908903e-10,0.09509589982587618,1.6952328429908903e-10,0.13200861109151885,-0.03691271109611938,-0.22748606446083608,0.19057335319519342,1.6952328429908903e-10,2.5852161274671808
40.0,0.9596474783685993,-0.04564209718234799,-0.8192383105373677,0.09476707064888357,0.09476707064888323,1.3146112513827752,1.219844180733892,1.2198441807246452,9.246825527498004e-12,0.09476707065813006,-9.246825527498004e-12,0.13519869387939543,-0.04043162323051219,-0.24488719876128728,0.20445557554002192,-9.246825527498004e-12,2.6292225027655505
41.0,0.966619551306312,-0.04594497270396984,-0.8263436638874964,0.09433091471484589,0.09433091474644284,1.3375743114633718,1.243243396716929,1.2432433967096967,7.232214827013195e-12,0.09433091475367505,-7.232214827013195e-12,0.13854814416753825,-0.044217229421095405,-0.2635865119370091,0.21936928252314591,-7.232214827013195e-12,2.6751486229267436
42.0,0.9733865986059871,-0.04628468346783121,-0.8333222708954124,0.09377964424274343,0.09377964431703734,1.3615374288795687,1.2677577845625314,1.2677577845585946,3.936850845320805e-12,0.09377964432097419,-3.936850845320805e-12,0.14206397512267976,-0.04828433080564243,-0.283683084957719,0.2353987541560134,-3.936850845320805e-12,2.7230748577591375
43.0,0.979911490729173,-0.0466679516722987,-0.8401381486021777,0.09310539045469657,0.093105390585702,1.3865422613736156,1.2934368707879136,1.2934368707891641,-1.2505552149377763e-12,0.09310539058445144,1.2505552149377763e-12,0.14575329698641548,-0.052647906400713484,-0.3052828481607459,0.2526349417587819,1.2505552149377763e-12,2.773084522747231
