t,cum_VA_row_equity_Y,cum_VA_us_liability_Y,cum_VA_total_Y,cum_CA_row_equity_Y,cum_CA_us_liability_Y,cum_CA_bond_Y,cum_CA_total_Y,Y_US
16.0,-0.3314023466161034,0.005870371707886844,-0.32553197490821656,0.3677867112501158,-0.008007708008895395,-0.030595033576295623,0.32918396966492475,1.9623394130017655
17.0,-0.3519699956084786,0.00636649037427926,-0.3456035052341993,0.3909830674101196,-0.008609067400622589,-0.032872458509897104,0.3495015414995999,1.977292282542552
18.0,-0.37227130989230917,0.006875465302500973,-0.36539584458980817,0.4139272673560031,-0.0092181667592662,-0.03517331200187409,0.36953578859486275,1.9929035197851088
19.0,-0.39229129899732706,0.00739706703805903,-0.38489423195926803,0.436601077210862,-0.00983473211231434,-0.03749548790880266,0.3892708571897449,2.0092019834966646
20.0,-0.4120146607253126,0.007931015762215825,-0.4040836449630968,0.45898559014576074,-0.010458455251400675,-0.0398365748680405,0.4086905600263194,2.0262177747947234
21.0,-0.4314258027509959,0.008476979455630826,-0.4229488232953651,0.48106122505894094,-0.011088995072241894,-0.04219383035794519,0.42777839962875375,2.0439822861320303
22.0,-0.4505088670054552,0.009034572475189795,-0.44147429453026543,0.5028077271861,-0.01172598010313045,-0.0445641525423974,0.446517594540572,2.062528252273327
23.0,-0.46924775480448117,0.009603354550378007,-0.4596444002541032,0.52420417174136,-0.01236901179307494,-0.046944051685431115,0.4648911082628539,2.081889802755965
24.0,-0.48762615465978076,0.01018283023578984,-0.47744332442399096,0.5452289707882771,-0.013017668794593021,-0.049329621198657025,0.48288168079502697,2.102102515599869
25.0,-0.5056275736241767,0.010772448827706789,-0.49485512479646987,0.5658598829593945,-0.01367151257587771,-0.05171650812234076,0.5004718622611758,2.123203471869967
26.0,-0.5232353682964754,0.011371605133114027,-0.5118637631633616,0.5860740282336576,-0.014330094288290707,-0.054099883930840115,0.5176440500145266,2.145231312676429
27.0,-0.5404327798613411,0.011979640742963827,-0.5284531391183774,0.6058479072229896,-0.014992962831148909,-0.05647441719391524,0.5343805271979254,2.168226296013425
28.0,-0.5572029695662893,0.012595846358228571,-0.5446071232080609,0.6251574271761344,-0.015659674374106678,-0.05883424808842442,0.5506635047136033,2.1922303560443894
29.0,-0.5735290585656478,0.013219464878531482,-0.5603095936871165,0.6439779333740576,-0.016329803607337316,-0.0611729650121862,0.566475164754534,2.217287162455168
30.0,-0.5893941670427976,0.01384969569436496,-0.5755444713484329,0.6622842502683495,-0.017002956114438944,-0.06348358687351566,0.5817977072803946,2.2434421817666848
31.0,-0.6047814569550609,0.01448570004319461,-0.5902957569118666,0.6800507311924004,-0.017678782371678657,-0.06575855028210689,0.5966133985386146,2.270742739166179
32.0,-0.6196741758709837,0.015126607639464308,-0.6045475682315199,0.6972513206225545,-0.0183569925758578,-0.0679897060305964,0.6109046220161,2.2992380814713616
33.0,-0.6340557050426041,0.015771524586092597,-0.6182841804565119,0.7138596263607596,-0.019037373368753344,-0.07016832142177802,0.624653931570228,2.328979440849195
34.0,-0.6479096073286635,0.016419542649842796,-0.6314900646788211,0.7298490089852003,-0.019719804407653817,-0.07228509792712418,0.6378441066504221,2.360020099188919
35.0,-0.6612196788810707,0.01706975000496202,-0.6441499288761091,0.7451926857577809,-0.020404276032544483,-0.07433019934153198,0.650458210383704,2.3924154537518416
36.0,-0.6739700027510938,0.017721243361315718,-0.6562487593897784,0.7598638549293258,-0.021090906121611873,-0.07629329868844491,0.6624796501192688,2.4262230833419767
37.0,-0.6861450083441194,0.01837314131328751,-0.6677718670308322,0.7738358349834429,-0.02177995742553881,-0.07816363739253349,0.6738922401653703,2.4615028145293865
38.0,-0.6977295306338451,0.019024599134976596,-0.6787049314988689,0.7870822290086102,-0.02247185272246888,-0.07993010827814667,0.6846802680079944,2.498316789599981
39.0,-0.7087088755294906,0.019674824557687487,-0.6890340509718036,0.7995771082872405,-0.023167188600572448,-0.08158135624033235,0.6948285634463354,2.536729534554487
40.0,-0.7190688890839427,0.020323094437546055,-0.698745794646397,0.8112952177315118,-0.023866746655154616,-0.08310589999012907,0.7043225710862278,2.576808027895213
41.0,-0.7287960310072275,0.020968772111186786,-0.707827258896041,0.8222122011888526,-0.024571502031678665,-0.08449227226298804,0.7131484268941854,2.6186217707754826
42.0,-0.737877452750294,0.021611324908013565,-0.7162661278422808,0.8323048501589105,-0.02528262699875658,-0.08572918507287003,0.7212930380872835,2.6622428572494687
43.0,-0.746301083779314,0.022250341482901538,-0.7240507422964128,0.8415513591170427,-0.026001493105215583,-0.08680569904005951,0.7287441669717672,2.707746045756285
44.0,-0.7540557181818272,0.022885548782626965,-0.7311701693992004,0.8499316019100236,-0.026729667158580474,-0.08771141590488776,0.735490518846555,2.7552088327032576
45.0,-0.7611311091511642,0.023516827837197454,-0.7376142813139671,0.8574274100141388,-0.027468904345076244,-0.08843667242968233,0.7415218332393799,2.8047115268757006
46.0,-0.7675180670185472,0.024144228113101643,-0.7433738389054458,0.8640228515551973,-0.02822113768453932,-0.08897273583396093,0.7468289780366969,2.856337325921509
47.0,-0.7732085606488066,0.024767979964052212,-0.7484405806847545,0.8697045028036987,-0.028988464647939277,-0.0893119926029983,0.751404045552761,2.9101723950765654
48.0,-0.7781958209212501,0.025388504810324068,-0.7528073161109262,0.8744617026003745,-0.029773132243858615,-0.08944812112110703,0.7552404492354087,2.9663059485494485
49.0,-0.7824744433052039,0.026006422840389454,-0.7564680204648145,0.8782867914494268,-0.030577518966943707,-0.08937625287803587,0.7583330196044471,3.024830334341732
50.0,-0.7860404936098311,0.026622557674177056,-0.7594179359356542,0.8811753020524205,-0.03140412099744307,-0.08909308460699555,0.7606780964479817,3.085841121459606
51.0,-0.7888916030514532,0.027237938708802655,-0.7616536643426508,0.8831261285592402,-0.032255535596533706,-0.08859697648850291,0.7622736164742034,3.149437193463902
52.0,-0.7910270614669589,0.027853800328646296,-0.7631732611383127,0.8841416430813002,-0.03313444809344679,-0.087888002689032,0.7631191922988212,3.21572084463303
53.0,-0.7924478998353872,0.028471578766882187,-0.7639763210685052,0.8842277660061924,-0.03404362119812224,-0.08696796323850525,0.7632161815695645,3.284797882846792
54.0,-0.7931569613698324,0.029092906608397737,-0.7640640547614349,0.8833939862950234,-0.03498588678380386,-0.08584035669841468,0.7625677428128047,3.356777737802799
55.0,-0.7931589583195581,0.029719605347415325,-0.7634393529721429,0.8816533320392235,-0.03596413999937527,-0.08451031595822273,0.7611788760816253,3.4317735758300745
56.0,-0.7924605123780049,0.03035367633205127,-0.7621068360459539,0.8790222934921474,-0.03698133494834042,-0.08298451205413777,0.7590564464896691,3.5099024217194756
57.0,-0.79107017695192,0.030997290413810562,-0.7600728865381097,0.8755207025889759,-0.03804048076673654,-0.08127103250484365,0.7562091893173954,3.5912852880672363
58.0,-0.7889984400692368,0.03165277654598438,-0.7573456635232527,0.8711715743621269,-0.03914463656375085,-0.07937924175942053,0.7526476960389552,3.6760473125765136
59.0,-0.7862577072885373,0.03232260945918424,-0.7539350978293533,0.8660009165543695,-0.04029690340943837,-0.07731963179564812,0.7483843813492828,3.7643179037019916
60.0,-0.7828622645802579,0.03300939639323241,-0.7498528681870257,0.8600375140767428,-0.04150041138448184,-0.07510367067037554,0.7434334320218852,3.8562308949575663
61.0,-0.7788282217379072,0.03371586269402146,-0.745112359043886,0.8533126947555688,-0.04275829966191306,-0.07274365594831822,0.7378107391453373,3.9519247081398294
62.0,-0.7741734374076934,0.034444835905893215,-0.7397286015018004,0.8458600821167215,-0.04407368768082019,-0.07025257851601782,0.7315338159198833,4.051542525653744
63.0,-0.7689174272649056,0.03519922782039567,-0.7337181994445102,0.8377153432569991,-0.045449634217335805,-0.06764400533939718,0.7246217037002661,4.155232472064532
64.0,-0.7630812589927861,0.03598201359184958,-0.7270992454009367,0.8289159136254846,-0.04688909176932705,-0.06493195289581069,0.7170948689603468,4.263147804545029
65.0,-0.7566874278091769,0.036796208098868376,-0.7198912197103087,0.819500755960545,-0.04839483415794866,-0.06213082648560553,0.7089750953169907,4.375447114017004
66.0,-0.7497597302175109,0.03764483694700618,-0.7121148932705049,0.8095100787718126,-0.049969385287081,-0.05925532040297943,0.7002853730817521,4.492294534051799
67.0,-0.742323123700402,0.038530902863631644,-0.7037922208367705,0.7989850700024244,-0.051614929263139715,-0.056320352235336074,0.6910497885039485,4.613859959145573
68.0,-0.7344035806049675,0.03945734635295882,-0.6949462342520089,0.7879676226782388,-0.053333212347031145,-0.05334099386013547,0.6812934164710721,4.740319273167852
69.0,-0.7260279373686964,0.040427000067251063,-0.6856009373014456,0.7765000540264542,-0.05512543833577431,-0.05033239814250648,0.6710422175481733,4.871854586294259
70.0,-0.7172237403398206,0.041442536973138606,-0.6757812033666821,0.7646248174049634,-0.056992161995643095,-0.04730971472956801,0.6603229406797522,5.008654481196666
71.0,-0.7080190896083697,0.042506412715690584,-0.6655126768926792,0.7523842109937056,-0.05893318348931651,-0.04428799579864143,0.6491630317057475,5.150914268350935
72.0,-0.6984424839420206,0.04362080280032069,-0.6548216811417,0.7398200613693388,-0.06094746550263301,-0.041282049244737044,0.6375905466219686,5.298836250074463
73.0,-0.6885226590752187,0.04478753791996316,-0.6437351211552557,0.7269734484214214,-0.06303304262139252,-0.03830633628932162,0.6256340695107072,5.452629995454551
74.0,-0.6782884373294664,0.04600803622652175,-0.6322804011029448,0.7138843927306491,-0.0651869777887317,-0.03537478321165813,0.613322631730259,5.6125126223700565
75.0,-0.6677685735076988,0.047283238586324855,-0.620485334921374,0.7005915791228131,-0.06740533586597804,-0.03250061285082331,0.6006856304060116,5.7787090907319705
76.0,-0.6569916062425283,0.04861354825860581,-0.6083780579839226,0.68713209945514,-0.06968319182521326,-0.02969616361518102,0.5877527440147456,5.9514525054008045
77.0,-0.6459857147478493,0.049998778539324475,-0.5959869362085248,0.6735412320568048,-0.07201466913909323,-0.026972720146235217,0.5745538427714764,6.130984429585647
78.0,-0.6347785844557308,0.0514381109494465,-0.5833404735062844,0.6598522452810837,-0.07439302803593713,-0.0243403255566265,0.56111889168852,6.317555208797604
79.0,-0.6233972746073904,0.05293006906456639,-0.570467205542824,0.6460962874832936,-0.07681074936313817,-0.021807690952241297,0.5474778471679141,6.511424308040779
80.0,-0.6118681060663959,0.05447250519654721,-0.5573956008698487,0.6323022893503492,-0.07925967395183073,-0.019382070138591306,0.533660545259927,6.712860658786728
81.0,-0.6002165549847196,0.056062605719447,-0.5441539492652727,0.6184969385768192,-0.0817311421748284,-0.017069212829100202,0.5196965835728905,6.922143020357511
82.0,-0.5884671614319533,0.057696912835575785,-0.5307702485963777,0.6047047014478123,-0.0842161404206269,-0.014873362201002868,0.5056151988261826,7.139560354416666
83.0,-0.5766434542974602,0.05937136175684504,-0.5172720925406153,0.5909478730632902,-0.08670546803325081,-0.012797263124479768,0.49144514190555966,7.3654122130744515
84.0,-0.5647678842853783,0.06108133466666466,-0.5036865496187137,0.5772466927016965,-0.08918985929666248,-0.010842277496542846,0.47721455590849116,7.6000091437539945
85.0,-0.55286178207276,0.06282172296393868,-0.4900400591088215,0.5636194519101645,-0.09166013106119812,-0.009008464162403765,0.4629508566865626,7.843673106184094
86.0,-0.540945324444237,0.0645870010939632,-0.4763583233502739,0.550082638358166,-0.09410729250548973,-0.007294724393503663,0.4486806214591726,8.096737907572686
87.0,-0.5290375178859404,0.06637130512223613,-0.46266621276370434,0.536651073970632,-0.09652266235272133,-0.005698925216855134,0.4344294864010556,8.35954965291708
88.0,-0.5171561888237037,0.06816851698547433,-0.4489876718382294,0.5233380774454386,-0.09889792606452431,-0.0042180934493707065,0.42022205793154355,8.632467213878238
89.0,-0.505317994253568,0.06997234522972735,-0.4353456490238407,0.5101555983497098,-0.10122521128448073,-0.002848551504452316,0.4060818355607768,8.915862712589709
90.0,-0.49353843850083956,0.0717764054220063,-0.4217620330788332,0.4971143486291489,-0.10349714951658144,-0.0015860506092398193,0.3920311485033276,9.210122024406578
91.0,-0.48183189311403085,0.07357429864774866,-0.4082575944662822,0.4842239395714851,-0.10570688325400154,-0.00042594704768212076,0.3780911092698014,9.51564530052906
92.0,-0.47021163392075577,0.07535968010570389,-0.39485195381505184,0.47149298501659465,-0.10784809880611466,0.0006366917638390927,0.3642815779743191,9.83284750669028
93.0,-0.4586898781064912,0.0771263231827726,-0.38156355492371863,0.45892920061453685,-0.10991504304474616,0.0016069833637390356,0.3506211409335298,10.162158983018903
94.0,-0.44727782328586013,0.07886817721019113,-0.368409646075669,0.4465394960476017,-0.11190251995018993,0.002490126782166446,0.33712710287957826,10.50402602471642
95.0,-0.4359856923337027,0.08057941658702686,-0.3554062757466758,0.43433005291817905,-0.11380586566202491,0.003291302271284989,0.3238154895274392,10.858911482821892
96.0,-0.4248227847540006,0.08225447935703305,-0.3425683053969676,0.4223063827857089,-0.11562097060586275,0.004015645665299949,0.31070105784514623,11.227295385351344
97.0,-0.41379751935311687,0.08388810364960034,-0.32990941570351656,0.41047339229790014,-0.11734425986608811,0.0046681855368614685,0.2977973179686736,11.609675583725444
98.0,-0.4029174785619595,0.085475356121945,-0.31744212244001446,0.39883543693391926,-0.11897261387259742,0.005253741061993891,0.2851165641233158,12.006568422022216
99.0,-0.3921894708654777,0.08701164405678861,-0.30517782680868905,0.3873963461868369,-0.12050343735952872,0.00577699246895017,0.27266990129625845,12.418509425044514
100.0,-0.3816195652988069,0.08849273632206875,-0.2931268289767382,0.37615947450821674,-0.121934589201098,0.006242401880910561,0.2604672871880294,12.846054019597487
