t,Y_US,q_US,q_W,NFA,NFA_over_Y,asset_position,liability_position,foreign_liability_exposure_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_current_Y,cum_CA_current_Y,NFA_change_current_Y
13,2.073728486230645,0.7557626432747462,1.756894443924162,-0.05538077501202815,-0.026705894903672825,0.49537370083464166,0.37046890732076937,0.1786487043895316,-7.419086194712783e-5,-0.0007448873906611195,-0.0008190782526082474,0.0015951322023951243,-0.001074871623784645,-0.0002916684933792768,0.00022859208523120242,-1.2902005852577503e-17,-0.005199999252737718,-0.0001755879823590377,-0.005375587235096776
14,2.0806782144101095,0.757286566874382,1.75666288418158,-0.055935844188587325,-0.026883467035504875,0.4969462200067986,0.3722904636715483,0.17892745792846967,-6.529055120182875e-5,-0.0007470153702637795,-0.0008123059214656082,0.0016378097233587848,-0.0010745409805151323,-0.00030603199793727276,0.00025723674490637973,5.312590645178972e-17,-0.005573034994040807,-5.1370296094354796e-5,-0.005624405290135156
15,2.087842000780867,0.7588108075796319,1.7564601355208702,-0.05645939315185616,-0.027041985519373576,0.49856582385265363,0.3741145986116527,0.17918721745789734,-5.7356013756765696e-5,-0.0007493336125671324,-0.0008066896263238981,0.0016769598596117921,-0.0010748013275373072,-0.00031901786901941676,0.0002831406630550682,-8.456776945386935e-18,-0.005940287685529463,8.441999300609271e-5,-0.005855867692523368
16,2.095201656276396,0.7603357217798813,1.7562830032439825,-0.056954894271875445,-0.027183490477520906,0.5002285057648777,0.3759420121284887,0.17942998994980508,-5.0278453675951775e-5,-0.0007518246422493526,-0.0008021030959253043,0.0017129603658999246,-0.0010755888745866589,-0.0003307695154073087,0.00030660197590595705,6.570265165262157e-17,-0.006302250278840542,0.00023045876351006787,-0.0060717915153304415
17,2.1027409625781615,0.7618616399387029,1.7561286438838315,-0.05742545640517799,-0.027309810113162435,0.5019306983884549,0.377773334646331,0.17965757141247907,-4.396498282823121e-5,-0.0007544782213150837,-0.0007984432041433149,0.0017461576064055735,-0.001076844296527187,-0.00034143223903751463,0.00032788107084087193,-1.0039712117215771e-16,-0.006659369211826012,0.0003855627812835934,-0.006273806430542433
18,2.110445462784784,0.7633888577199935,1.7559945357445708,-0.057873851383847374,-0.027422576135884325,0.503669220439232,0.379609132233959,0.179871566893302,-3.833033088615235e-5,-0.000757279437268616,-0.0007956097681547684,0.0017768523816632084,-0.0010785181503593503,-0.00035111944181848154,0.0003472147894853766,5.421010862427522e-18,-0.007012044829277956,0.0005486772644709829,-0.006463367564806985
19,2.1183022667640086,0.7649176444881068,1.7558784367603613,-0.0583025580587721,-0.02752324773170219,0.5054412376167448,0.3814499150529319,0.18007341116414322,-3.330049364065436e-5,-0.0007602173028141236,-0.000793517796454778,0.0018053176711534194,-0.0010805655161588187,-0.0003599410334645392,0.00036481112153006145,-1.1600963245594897e-17,-0.007360637920227932,0.0007188608485002671,-0.006641777071727683
20,2.1262998821812973,0.766448247487538,1.7557783512728695,-0.05871379496861612,-0.027613129954361694,0.5072442255779213,0.3832961437731148,0.18026438649843904,-2.8810270464187576e-5,-0.0007632826727425171,-0.0007920929432067047,0.0018317982316406695,-0.0010829460474403323,-0.0003679961508376295,0.0003808560333627077,-1.7997756063259374e-17,-0.007705474223911784,0.0008952738107081414,-0.006810200413203669
21,2.134428066429455,0.7679808880907779,1.755692507672269,-0.05910954241662719,-0.02769338697626277,0.5090759341875077,0.38514823379254176,0.18044563780349412,-2.480020936350187e-5,-0.0007664643176335225,-0.0007912645269970243,0.0018565088189499595,-0.0010856257017935033,-0.0003753660381705659,0.00039551707898589027,5.952269926945419e-17,-0.008046845771749666,0.0010771680308068142,-0.006969677740942849
22,2.14267769015676,0.7695157676354883,1.755619329829536,-0.059491572101728396,-0.027765058821038056,0.5109343593924363,0.38700656098199715,0.18061818758829912,-2.1218452826062514e-5,-0.0007697537203030593,-0.0007909721731291217,0.0018796436577545616,-0.0010885734691523097,-0.00038212770057438616,0.00040894248802786576,5.204170427930421e-17,-0.008385015495851997,0.001263876586610818,-0.007121138909241152
23,2.151040618538227,0.7710530684849854,1.7555574159925207,-0.059861468513621785,-0.027829073982945787,0.5128177164589627,0.38887146582072024,0.18078294871297404,-1.8018659350253804e-5,-0.0007731427216711641,-0.0007911613810214179,0.0019013757258767047,-0.001091762117051958,-0.00038834863969666733,0.0004212649691280794,-5.0415401020575956e-17,-0.008720219810795205,0.001454805226549907,-0.007265414584245294
24,2.1595096049140574,0.7725929557963088,1.755505519323637,-0.0602206489438204,-0.02788626121726234,0.5147244164465506,0.390743257260561,0.18094073597607896,-1.515959033084317e-5,-0.0007766238932550318,-0.000791783483585875,0.0019218595779187861,-0.001095167546585737,-0.00039408897794585007,0.0004326030533871991,6.245004513516506e-17,-0.009052671242907531,0.0016494245636381473,-0.007403246679269351
25,2.1680781959921736,0.7741355791577207,1.7554625306403722,-0.06057038133564163,-0.027937360122715926,0.5166530452509992,0.3926222161691011,0.18109227651239126,-1.2604531665535283e-5,-0.0007801904902731548,-0.0007927950219386901,0.0019412333361141264,-0.0010987684182668807,-0.00039940228772966657,0.00044306263011757913,-1.2262326570811055e-16,-0.00938256081294967,0.0018472630854730451,-0.007535297727476649
26,2.176740647324548,0.7756810741053638,1.7554274630959072,-0.0609118002205114,-0.02798303063590909,0.518602344933162,0.3945085984001409,0.1812382191167492,-1.0320786300500084e-5,-0.0007838364076768004,-0.0007941571939773005,0.0019596204684633415,-0.0011025458233630092,-0.00040433633599282204,0.00045273830910751026,1.940721888749053e-17,-0.009710060195312143,0.0020479008982819827,-0.0076621592970301765
27,2.1854918479212233,0.7772295635344703,1.7553994385656917,-0.061245920964050404,-0.02802386154965792,0.5205711970864559,0.39640263753541133,0.1813791426000779,-8.279229641197806e-6,-0.000787556142218372,-0.0007958353718595698,0.001977131382935122,-0.0011064829930520542,-0.0004089337615624522,0.0004617146283206156,-4.7271214720367993e-17,-0.010035323676830387,0.0022509641296455593,-0.007784359547184866
28,2.1943272530025353,0.7787811590288503,1.7553776755275636,-0.0615736525284985,-0.02806037816111805,0.5225586080309067,0.39830454733837656,0.1815155632749717,-6.453921860554711e-6,-0.0007913447650695467,-0.0007977986869301014,0.0019938648663112607,-0.0011105650378956968,-0.00041323270593365824,0.0004700671224819057,9.855397747893235e-17,-0.010358489939361606,0.0024561199203130624,-0.007902370019048536
29,2.2032428240133353,0.7803359621460556,1.7553614782364781,-0.06189580895050517,-0.028093049152774885,0.5245636956567004,0.40021452395992413,0.18164794166033413,-4.821773685231849e-6,-0.0007951979123005878,-0.0008000196859858197,0.002009909399478939,-0.001114778709246966,-0.00041726742625275426,0.0004778632639792187,-6.873841773558098e-17,-0.010679683693247401,0.0026630719400582395,-0.008016611753189186
30,2.2122349751376458,0.7818940657193495,1.7553502269970922,-0.06221311973967525,-0.028122292811957886,0.5265856777796691,0.4021327479377139,0.18177668848793657,-3.3622657134638607e-6,-0.0007991118058318528,-0.0008024740715453166,0.00202534438868221,-0.001119112171957962,-0.000421068934349067,0.0004851632823751808,5.811323644522304e-17,-0.010999017195228512,0.002871556365184268,-0.008127460830044243
