t,N_US,N_W,phi_US,phi_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,q_US,d_US,Q_US,Q_W,Y_US,Y_W,e_US,e_W,I_US,I_W,Psi,resnorm
29,11.01535859891617,5.665996865196946,0.4232836354288373,0.6272698815802485,0.5635822847533739,0.15581978321587545,0.7441606096796481,-0.48852230309083033,0.9760874497764092,0.9892493232041263,0.10749355196563078,0.009100052292234167,1.3206556870993353,1.2081794756026392,3.0169389559429898,2.051712297353981,3.0532742818018237,1.9944732939428587,0.1365756651266822,0.08381676895882055,0.9879277811485592,1.0471013583218512e-9
30,12.285906112039097,6.088374401703106,0.4141124429639422,0.6232029225953194,0.5636844482813156,0.15424303223262442,0.7383249419804054,-0.4758512178775726,0.9720124597711844,0.9852243890541958,0.09786676621248425,0.00810556912824657,1.343274020116274,1.2315539355463967,3.0901318194371195,2.0646642578420003,3.1314396770836517,2.008225064765246,0.14089211894081238,0.08630527001478444,0.9879471083207415,6.039627091268033e-14
31,13.72553801563049,6.547190737844546,0.40496275490884587,0.6191012654134572,0.5638659335740638,0.15257140420201404,0.7320625703901296,-0.4631254737326212,0.9679077874338555,0.9811780107213834,0.08898263566561769,0.007206930655639733,1.366682457581324,1.2556835715753776,3.166012891560745,2.0778162273197753,3.2124417998926402,2.022229415632635,0.14534790902189068,0.08888631937633416,0.9879633781993136,1.2402736559683873e-11
32,15.358979281273426,7.045954071272891,0.39584147049092205,0.6149659218363898,0.5641214977324084,0.15080802986548203,0.7253979206891856,-0.4503767696991271,0.9637740215710272,0.9771106504750628,0.08079728965416237,0.00639658358967692,1.3909116825128116,1.2805948550368016,3.244686056274199,2.0911716595239644,3.296388846180902,2.0364924259773307,0.14994778473148412,0.09156351702760314,0.9879760866921897,2.7921150255949263e-11
33,17.214830948740335,7.588540557396031,0.386755456422153,0.6107979527737674,0.5644455241667639,0.14895678929826497,0.7183578707324196,-0.43763662612038207,0.9596117648307644,0.9730227526300333,0.07326804285455084,0.005667363071073935,1.4159936688297141,1.3063151255070833,3.3262591812579476,2.1047340453081436,3.383393181207835,2.051020326536702,0.15469669714355935,0.09434059378635261,0.9879847807243586,4.7090272259669214e-11
34,19.326211178326346,8.179235661475596,0.37771152487396614,0.6065984666386558,0.5648321046394135,0.14702222858476538,0.7109712297795809,-0.4249359453350107,0.9554216369343468,0.9689147502235044,0.06635350909661851,0.0050124970203244724,1.4419617391235748,1.3328726150111463,3.410844263041154,2.118506912033626,3.4735714969949596,2.06581950275917,0.15959980989932718,0.09722141533080608,0.9879890641187317,7.052677429839009e-11
35,21.73150687515123,8.822780431665253,0.36871641218231604,0.6023686170922892,0.5652751243460352,0.14500946373160872,0.7032682036752708,-0.41230460803866054,0.9512042774869109,0.964787071638596,0.06001369893836582,0.004425607150868783,1.468850621073,1.3602964747797146,3.4985575774608906,2.1324938227166026,3.567044975225714,2.0808964982310245,0.1646625099906472,0.10020998657743842,0.9879886016142457,9.891424210737348e-11
36,24.475255600917254,9.52442330849208,0.35977675813227256,0.598109600172729,0.5657683475811686,0.14292407621204437,0.695279865715388,-0.3997711166313831,0.9469603482423903,0.960640146913849,0.05421010128893368,0.003900706899950938,1.4966965038373583,1.3886168048227474,3.5895198354411857,2.146698374934482,3.663939455679717,2.0962580181591393,0.16989041863909235,0.1033104564496396,0.987983121058995,1.3299485955871725e-10
37,27.609181098189357,10.289978166806893,0.35089908590089797,0.5938226508832042,0.5663055014733912,0.14077200461807432,0.6870376511431998,-0.38736229382471327,0.9426905347350313,0.9564744135113611,0.04890574940682906,0.0034321965524309406,1.5255370943583255,1.417864686457168,3.6838563442298513,2.161124199513115,3.76438561029172,2.1119109329528425,0.17528940224251507,0.10652712305961894,0.9879724138875104,1.7357482805958962e-10
38,31.19341003586183,11.12588937765956,0.34208978272479473,0.5895090393364865,0.5668803555097698,0.13855943667295492,0.6785728902624109,-0.3751030414407543,0.9383955472337425,0.9522903213671342,0.04406527175585578,0.003014855848133947,1.5554116735966503,1.448072217837855,3.781697174236589,2.1757749590264863,3.8685191229412914,2.127862281951197,0.18086558337455988,0.10986443931467343,0.987956334059208,2.2151137440326065e-10
