t,N_US,e_US,A,q_US,v,B_per,Q_US,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
11,2.045504694545907,2.0293583872083243,1.0146791936041621,0.4604198748164823,0.46041987491964137,-1.0315909237945675e-10,1.0200449724444398,1.0200449726729852,-2.2854540482342145e-10,-2.240542436827411e-10,-0.0053657788402776685,-0.005365779068823073,2.2854540482342145e-10,-0.08133955001280313,0.07597377117252546,0.12311279525505014,-0.04713902431107009,2.2854540482342145e-10
12,2.2154668558802273,2.0710204368021445,1.0355102184010723,0.42962461902440574,0.42962461914467776,-1.2027201456987768e-10,1.0325185296132111,1.0325185299022612,-2.890501171748383e-10,-2.799466633137505e-10,0.0029916887878611576,0.0029916884988110404,2.890501171748383e-10,-0.08182899096630736,0.08482067975416852,0.13810521838216783,-0.05328453891704943,2.890501171748383e-10
13,2.403303916702587,2.114135067676678,1.057067533838339,0.40035422021346834,0.4003542203232979,-1.0982958986716085e-10,1.0453962258262566,1.0453962261130412,-2.867845960707882e-10,-2.7433100386805054e-10,0.011671308012082493,0.011671307725297897,2.867845960707882e-10,-0.08232701375012652,0.09399832176220901,0.15366947319651947,-0.05967115172109505,2.867845960707882e-10
14,2.611178234286759,2.158756828838375,1.0793784144191876,0.3725770232843512,0.37257702331990017,-3.5548952670438894e-11,1.0586932841743455,1.0586932842753594,-1.0101386394012479e-10,-9.541371939362358e-11,0.020685130244842087,0.020685130143828223,1.0101386394012479e-10,-0.08283380423137965,0.10351893447622174,0.16982918742018616,-0.06631025304497828,1.0101386394012479e-10
15,2.8415420651593686,2.204942401539817,1.1024712007699085,0.3462587435442202,0.34625874357373976,-2.9519553468304593e-11,1.072425531691658,1.0724255317830853,-9.142731016709149e-11,-8.525282871890681e-11,0.03004566907825046,0.03004566898682315,9.142731016709149e-11,-0.08334955336464522,0.11339522244289568,0.18660899670568454,-0.07321377435421617,9.142731016709149e-11
16,3.0971796429299414,2.252750681533361,1.1263753407666806,0.32136267882006975,0.32136267885728775,-3.721800645450912e-11,1.0866094089541736,1.0866094090800171,-1.2584355779665657e-10,-1.158130573503656e-10,0.03976593181250698,0.039765931686663425,1.2584355779665657e-10,-0.08387445542366123,0.12364038723616821,0.20403459203686047,-0.08039420492653582,1.2584355779665657e-10
17,3.3812557604505273,2.3022428633489036,1.1511214316744518,0.2978499419032838,0.2978499419470382,-4.37543890008385e-11,1.1012620114618912,1.1012620116236673,-1.6177614803325469e-10,-1.4690068880020828e-10,0.04985942021256062,0.049859420050784475,1.6177614803325469e-10,-0.08440870281590462,0.13426812302846525,0.22213279095481075,-0.08786466808812166,1.6177614803325469e-10
18,3.6973719196476695,2.353482528740472,1.176741264370236,0.2756796905473737,0.2756796905937053,-4.633160521905211e-11,1.1164010989153477,1.1164010991029736,-1.8762591480481206e-10,-1.680631763862488e-10,0.060340165454888295,0.06034016526726238,1.8762591480481206e-10,-0.08495249668317884,0.14529266213806713,0.24093153012771118,-0.09563886817726996,1.8762591480481206e-10
19,4.04963128295264,2.406535737488673,1.2032678687443366,0.2548093712594081,0.2548093712997141,-4.030598077520153e-11,1.1320451304367594,1.1320451306158275,-1.7906809368639642e-10,-1.5818105557091118e-10,0.0712227383075772,0.0712227381285091,1.7906809368639642e-10,-0.08550603518298583,0.15672877349056302,0.2604599745905648,-0.10373120127906987,1.7906809368639642e-10
20,4.442713879954923,2.4614711219603214,1.2307355609801607,0.23519496296551096,0.23519496298386147,-1.835051555154621e-11,1.1482132870846267,1.148213287174213,-8.958633834765806e-11,-7.802238430381035e-11,0.08252227389553402,0.08252227380594768,8.958633834765806e-11,-0.08606952345962193,0.16859179735515595,0.2807485117015397,-0.11215671443597008,8.958633834765806e-11
