t,n,phi,G,q,d,dividend_yield,V,B,fundamental_share,bubble_share,pi_persist,T_ext,tail_ratio,tail_loss
66,2553.395641252704,0.10334342782362327,1.1793313144352753,45.07424525054874,0.9316254021508756,0.020668685564724655,16.952689015444793,28.12155623510395,0.37610588754646773,0.6238941124535322,0.8,600,0.95544292062394,1.3322200529481991e-11
67,3011.299437871854,0.09920653901450285,1.1801586921970995,48.9868107598492,0.9719623905686096,0.01984130780290057,17.798748215715374,31.188062544133825,0.36333755840875576,0.6366624415912442,0.8,600,0.95544292062394,1.3322200529481991e-11
68,3553.811206412708,0.09521722792936863,1.1809565544141263,53.25618409003778,1.0141812438299085,0.019043445585873727,18.685602213513157,34.57058187652462,0.35086258117784536,0.6491374188221546,0.8,600,0.95544292062394,1.3322200529481991e-11
69,4196.896637363461,0.09137165714497256,1.1817256685710056,57.915645574354336,1.0583697021499303,0.01827433142899451,19.615136806511472,38.300508767842864,0.3386845922545887,0.6613154077454113,0.8,600,0.95544292062394,1.3322200529481991e-11
70,4959.5804847117415,0.0876659735646495,1.1824668052870702,63.00161583121817,1.1046195975979551,0.0175331947129299,20.58932428534313,42.412291545875036,0.326806289230773,0.673193710769227,0.8,600,0.95544292062394,1.3322200529481991e-11
71,5864.539291321192,0.08409631983313223,1.1831807360333735,68.55395380298057,1.1530270449682452,0.016819263966626447,21.610227584209092,46.94372621877148,0.3152294854694366,0.6847705145305634,0.8,600,0.95544292062394,1.3322200529481991e-11
72,6938.809915202046,0.08065884486155506,1.183868231027689,74.61628316238577,1.2036926415481473,0.01613176897231101,22.680004625648202,51.93627853673757,0.3039551645354702,0.6960448354645298,0.8,600,0.95544292062394,1.3322200529481991e-11
73,8214.636619747635,0.07734971348647537,1.1845300573027049,81.23634979063391,1.2567216761985256,0.015469942697295078,23.800912867503023,57.43543692313089,0.29298353420413203,0.707016465795868,0.8,600,0.95544292062394,1.3322200529481991e-11
74,9730.483985910563,0.07416511529051015,1.185166976941898,88.46641328883835,1.3122243481809233,0.01483302305810203,24.975314060602727,63.491099228235626,0.28231407979726264,0.7176859202027374,0.8,600,0.95544292062394,1.3322200529481991e-11
75,11532.248289763173,0.07110127261525934,1.185779745476948,96.36367576718136,1.3703159961861644,0.014220254523051867,26.205679226192657,70.1579965409887,0.2719456166191363,0.7280543833808637,0.8,600,0.95544292062394,1.3322200529481991e-11
76,13674.706441812345,0.06815444779962598,1.1863691104400749,104.99075146553875,1.431117338040313,0.013630889559925195,27.4945938626674,77.49615760287135,0.26187634128604165,0.7381236587139584,0.8,600,0.95544292062394,1.3322200529481991e-11
77,16223.249316902073,0.06532094967849963,1.1869358100643002,114.41618109833483,1.4947547215860864,0.01306418993569993,28.844763391710742,85.57141770662409,0.25210388176581555,0.7478961182341844,0.8,600,0.95544292062394,1.3322200529481991e-11
78,19255.955569832266,0.06259713937809841,1.1874805721243804,124.71499518773354,1.561360387261086,0.012519427875619684,30.25901885451384,94.4559763332197,0.24262534596553467,0.7573746540344654,0.8,600,0.95544292062394,1.3322200529481991e-11
79,22866.073136866067,0.05997943544512442,1.188004112910975,135.96933105603918,1.6310727429184908,0.011995887089024885,31.740322869329574,104.2290081867096,0.23343736872727525,0.7665626312727247,0.8,600,0.95544292062394,1.3322200529481991e-11
80,27164.98893272005,0.057464318347324725,1.188507136330535,148.26910859377284,1.7040366514613245,0.011492863669464944,33.29177586223034,114.9773327315425,0.2245361571130978,0.7754638428869022,0.8,600,0.95544292062394,1.3322200529481991e-11
81,32285.783204877785,0.05504833438312148,1.1889903331233758,161.71277040799467,1.7804037318880488,0.011009666876624297,34.91662258356628,126.79614782442839,0.21591753388104773,0.7840824661189523,0.8,600,0.95544292062394,1.3322200529481991e-11
82,38387.48412791673,0.05272809903772496,1.189454380192455,176.40809249012256,1.8603326743750654,0.010545619807544992,36.61825892327337,139.78983356684918,0.20757697907381265,0.7924230209261874,0.8,600,0.95544292062394,1.3322200529481991e-11
83,45660.1611405189,0.0505002998226176,1.1898999400354766,192.47307212820698,1.9439895700509509,0.010100059964523518,38.400239038858274,154.0728330893487,0.19950966966059408,0.8004903303394059,0.8,600,0.95544292062394,1.3322200529481991e-11
84,54331.023003113645,0.04836169863453903,1.1903276602730921,210.03690043021027,2.031548256147702,0.009672339726907807,40.26628281058697,169.7706176196233,0.19171051719060384,0.8082894828093962,0.8,600,0.95544292062394,1.3322200529481991e-11
85,64671.719491539814,0.04630913366914827,1.1907381732661704,229.24102752766294,2.123190677246288,0.009261826733829654,42.220283639133214,187.02074388852972,0.18417420343327687,0.8158257965667232,0.8,600,0.95544292062394,1.3322200529481991e-11
86,77007.0851293383,0.04433952092342669,1.1911320958153147,250.24032929895142,2.219107263367208,0.008867904184685338,44.266316601696815,205.9740126972546,0.17689521399571745,0.8231047860042826,0.8,600,0.95544292062394,1.3322200529481991e-11
87,91725.61070273709,0.04244985531964486,1.191510028936071,273.2043852948501,2.3194973256917795,0.008489971063928972,46.408646983387996,226.79573831146212,0.1698678699220089,0.8301321300779911,0.8,600,0.95544292062394,1.3322200529481991e-11
88,109291.98506259704,0.040637211482377616,1.1918725577035245,298.3188784727432,2.4245694707365146,0.008127442296475523,48.65173920148902,249.6671392712542,0.16308635729178042,0.8369136427082196,0.8,600,0.95544292062394,1.3322200529481991e-11
89,130262.11777305293,0.03889874419863988,1.192220251160272,325.78712835797387,2.534542033841257,0.007779748839727978,51.000266141052975,274.7868622169209,0.15654475484683375,0.8434552451531663,0.8,600,0.95544292062394,1.3322200529481991e-11
90,155301.13476805808,0.03723168858975448,1.1925536622820492,355.8317703593337,2.6496435328719485,0.0074463377179508974,53.4591189211838,302.3726514381499,0.1502370596846891,0.8497629403153109,0.8,600,0.95544292062394,1.3322200529481991e-11
91,185204.93702420575,0.03563336002207074,1.1928733279955859,388.69659518005653,2.770113143080808,0.0071266720044141476,56.03341711226142,332.6631780677951,0.14415721106665463,0.8558427889333453,0.8,600,0.95544292062394,1.3322200529481991e-11
92,220926.0295892772,0.03410115378214937,1.1931797692435702,424.6485635959331,2.89620119411075,0.006820230756429874,58.728519425335605,365.9200441705975,0.13829911239548592,0.861700887604514,0.8,600,0.95544292062394,1.3322200529481991e-11
93,263604.4690052319,0.032632544540526,1.1934734910918947,463.98001332936065,3.028169690176842,0.006526508908105201,61.550034895912404,402.42997843344824,0.13265665142394942,0.8673433485760506,0.8,600,0.95544292062394,1.3322200529481991e-11
94,314604.9458910993,0.031225085626680034,1.193754982874664,507.0110763443893,3.166292854505753,0.0062450171253360075,64.50383458540108,442.50724175898824,0.12722371876070532,0.8727762812392946,0.8,600,0.95544292062394,1.3322200529481991e-11
95,375561.22179451387,0.02987640813637374,1.1940247183727253,554.0923266364279,3.310857699164566,0.0059752816272747485,67.5960638245781,486.49626281184976,0.12199422474394199,0.878005775256058,0.8,600,0.95544292062394,1.3322200529481991e-11
96,448429.38208491105,0.02858421989110061,1.19428315602178,605.6076805057377,3.462164621463082,0.005716843978220122,70.83315502456537,534.7745254811723,0.11696211475622836,0.8830378852437717,0.8,600,0.95544292062394,1.3322200529481991e-11
97,535551.6576892642,0.027346304267997647,1.1945307391464004,661.9775734021028,3.6205280281689305,0.00546926085359953,74.22184108200634,587.7557323200965,0.11212138305616286,0.8878786169438372,0.8,600,0.95544292062394,1.3322200529481991e-11
98,639732.9175106367,0.026160518917239535,1.1947678962165522,723.6624397265962,3.7862769888326673,0.005232103783447907,77.76916940636613,645.89327032023,0.10746608520368664,0.8925339147963134,0.8,600,0.95544292062394,1.3322200529481991e-11
99,764332.3519946606,0.025024794382648402,1.1949950411234704,791.1665244942039,3.959755919580403,0.005004958876529681,81.48251659858431,709.6840078956196,0.10299034915648943,0.8970096508435106,0.8,600,0.95544292062394,1.3322200529481991e-11
100,913373.3704038583,0.02393713264002361,1.1952125734719954,865.0420585192628,4.141325298794932,0.004787426528004722,85.36960381165898,779.6724547076038,0.09868838511481226,0.9013116148851877,0.8,600,0.95544292062394,1.3322200529481991e-11
