comparison_type,T_report,n_buffer,terminal_rule,T_solve,t,periods_to_terminal,n,phi,G,q,d,dividend_yield,free_entry_resid,clearing_resid,pricing_identity_resid,terminal_phi,terminal_q,terminal_mc_resid
unreduced_equilibrium,45,20,local_loglinear,65,13,52,2.5120649391758203,0.5583764746061557,1.0883247050787688,1.2945824412353357,0.1445728759248035,0.11167529492123114,0.0,1.7763568394002505e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,14,51,2.73394233406724,0.5472978808586478,1.0905404238282705,1.3535724563458982,0.1481614673893489,0.10945957617172955,4.440892098500626e-16,1.7763568394002505e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,15,50,2.9814746317157392,0.5361678443347417,1.0927664311330516,1.4166979734113458,0.1519175796954717,0.10723356886694835,0.0,-2.6645352591003757e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,16,49,3.2580553928137377,0.5249972707741564,1.0950005458451688,1.4842845968613685,0.1558490724808675,0.10499945415483128,0.0,0.0,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,17,48,3.567572433524839,0.5137972405679092,1.0972405518864181,1.5566857856263134,0.15996417221721754,0.10275944811358184,0.0,-2.6645352591003757e-15,-2.220446049250313e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,18,47,3.914485145855566,0.5025789652989412,1.0994842069402118,1.634285360829302,0.16427148912975947,0.10051579305978824,0.0,-8.881784197001252e-16,-2.220446049250313e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,19,46,4.303914596170246,0.4913537430828053,1.101729251383439,1.7175002457903488,0.16878003490294521,0.09827074861656107,0.0,-3.552713678800501e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,20,45,4.741748606056901,0.4801329130836746,1.1039734173832652,1.8067834601897206,0.17349924121045832,0.09602658261673488,8.881784197001252e-16,5.329070518200751e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,21,44,5.2347644130009705,0.4689278095939928,1.1062144380812013,1.9026273923076913,0.17843897910967527,0.09378556191879858,-6.661338147750939e-16,-5.329070518200751e-15,4.440892098500626e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,22,43,5.790771973615338,0.4577497160734841,1.1084500567853033,2.0055673755247647,0.18360957934254085,0.09154994321469688,-8.881784197001252e-16,0.0,-4.440892098500626e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
