T_report,model_T,terminal_rule,cutoff_t,cutoff_model_t,t,model_t,binding_continuation_date,exact_leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,total_leakage_envelope,dividend_envelope_ok,switch_envelope_ok
105,104,local_loglinear,103,102,93,92,false,0.01986493869687595,0.01736838705360086,0.007489654929825274,0.018950475167729505,0.26739625348381607,0.10808255966233486,true,true
105,104,local_loglinear,103,102,94,93,false,0.019223106664973677,0.0170078402542569,0.006645799232150335,0.018497633832930026,0.23722523478711782,0.09757271209530263,true,true
105,104,local_loglinear,103,102,95,94,false,0.01860558320227757,0.01664466463058143,0.005882755715088417,0.01804725136906563,0.20997644891546421,0.0880394010075537,true,true
105,104,local_loglinear,103,102,96,95,false,0.018010882494326332,0.016279304994877373,0.005194732498346881,0.017599635806692042,0.1854295839280597,0.07940949711604528,true,true
105,104,local_loglinear,103,102,97,96,false,0.01743757615392426,0.015912206301961787,0.004576109555887412,0.017155097155886652,0.16337366579397825,0.0716129857538794,true,true
105,104,local_loglinear,103,102,98,97,false,0.016884290224884926,0.01554380377932041,0.004021459336693544,0.016713945651826947,0.14360738766406836,0.06458307487318307,true,true
105,104,local_loglinear,103,102,99,98,false,0.01634969727735788,0.015174509121361033,0.0035255644679905397,0.01627648986035965,0.1259393726118765,0.05825628073098514,true,true
105,104,local_loglinear,103,102,100,99,false,0.01583250139488754,0.0148046906763885,0.0030834321554971313,0.01584303461132864,0.11018836513956473,0.05257248965785021,true,true
105,104,local_loglinear,103,102,101,100,false,0.0153314127067893,0.01443464442016966,0.0026903048598589233,0.015413878702597363,0.09618334829504135,0.04747499480094448,true,true
105,104,local_loglinear,103,102,102,101,false,0.014845106396922204,0.014064550792574897,0.0023416668130419203,0.014989312280504132,0.08376358485276991,0.04291050723142743,true,true
105,104,local_loglinear,103,102,103,102,false,0.014372158716708732,0.013694409900693049,0.002033246448047047,0.014569613747713525,0.072778582615059,0.03882914128606652,true,true
105,104,local_loglinear,103,102,104,103,true,0.013910948579645739,0.013323943832068785,0.0017610142427308625,0.014155045969956205,0.06308798544156385,0.035184374450477486,true,true
