t,n,phi_u,phi_b,q_u,q_b,e_u,e_b,G_u,G_b
20,4.741748606056901,0.4801329130836746,0.6933034373659253,1.806783460189721,0.3648564847666127,18.9161715187998,3.67235655944675,1.103973417383265,1.061339312526815
21,5.234764413000971,0.4689278095939928,0.6933034373659253,1.902627392307691,0.3472504054679071,22.03536275921644,3.858550152832539,1.106214438081201,1.061339312526815
22,5.790771973615338,0.4577497160734841,0.6933034373659253,2.005567375524765,0.330158969445333,25.74659762623841,4.058296848152745,1.108450056785303,1.061339312526815
23,6.418781522984663,0.4466098195447701,0.6933034373659253,2.116185597748732,0.3135920435797249,30.17341927119994,4.272694835603231,1.110678036091046,1.061339312526815
24,7.129199656046098,0.4355191657384723,0.6933034373659253,2.235115375153649,0.2975575289270501,35.46707438217044,4.5029380030167,1.112896166852306,1.061339312526815
25,7.934058969938478,0.4244886153704887,0.6933034373659253,2.36304582459289,0.2820613759540906,41.8130902608801,4.750324643199072,1.115102276925902,1.061339312526815
26,8.847287222642775,0.413528801918326,0.6933034373659253,2.500726972309035,0.267107614574823,49.43948752651306,5.016266972479071,1.117294239616335,1.061339312526815
27,9.885023050089973,0.4026500912423031,0.6933034373659253,2.648975340134041,0.2526983981853271,58.62705109489996,5.302301536975688,1.119469981751539,1.061339312526815
28,11.06598657349777,0.3918625433715588,0.6933034373659253,2.80868005428391,0.2388340607287615,69.72219484082491,5.610100590346825,1.121627491325688,1.061339312526815
29,12.41191475947605,0.3811758767446612,0.6933034373659253,2.98080952613487,0.2255131856789028,83.15309901066345,5.94148453473203,1.123764824651068,1.061339312526815
30,13.94807321326661,0.3705994351608682,0.6933034373659253,3.166418759058839,0.2127326857130586,99.44998267336635,6.298435525308207,1.125880112967826,1.061339312526815
31,15.70385824503612,0.3601421576614277,0.6933034373659253,3.366657340533131,0.2004878917541647,119.2706074149927,6.683112348412038,1.127971568467715,1.061339312526815
