t,evidence_window,Y_US,e_US,q_US,q_W,n_W,n_US_star,bond,asset_position,liability_position,foreign_liability_exposure_Y,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
11,true,3.124504892284643,3.1006722376064313,1.2475601333940038,2.2160794874857856,0.3909983249153286,0.5455148038944801,-0.16197387141373135,0.8664833674861621,0.6805625215150015,0.21781451621199835,0.023946974557429224,0.007664246139144035,-0.03784118329837418,-0.0016896184420142615,-0.010102086585897374,-0.011791705027911634,0.022549643082105237,-0.01609529053350255,-0.0012770211614425153,0.005177331387160172,3.469446951953614e-18,-0.01184336383814287,-0.027676090108428975,-0.03951945394657185,0.04847260065714088,-0.04630786548020566,-0.00048646452873755806,0.0016782706481976671,1.1103989500930975e-18
12,true,3.2075918228207736,3.1847077221550846,1.2666350542813243,2.2125901787443794,0.40201361008756425,0.5586515742485348,-0.1634066934387441,0.889491365401317,0.7076076670726402,0.22060402512510655,0.018477004889932647,0.00576039780326035,-0.038566294854910754,-0.0013643138730022744,-0.01040565172714933,-0.011769965600151606,0.0243723117881572,-0.01663949383048936,-0.0014328220250127421,0.006299995932655098,-6.938893903907228e-17,-0.011961921667653095,-0.03020326027176666,-0.04216518193941976,0.05481532545139489,-0.05029587771326146,-0.0009205606536244042,0.0035988870845090203,-2.0551084966025605e-17
13,true,3.2989383355501753,3.2769705815100547,1.2858134247987374,2.209960675607489,0.4138984529514684,0.5720492665605605,-0.16498398565527242,0.9146993047175216,0.7355486265898402,0.22296525481042986,0.014166692472408982,0.004294318666022096,-0.03880498251546758,-0.0010570960487977811,-0.010714026881074524,-0.011771122929872304,0.0262650353650024,-0.01722693263612548,-0.001577292216528331,0.007460810512348589,5.0306980803327406e-17,-0.011951135233514227,-0.032614661629732165,-0.044565796863246396,0.06125917022163824,-0.054125164082825514,-0.0013731917910338935,0.0057608143477788165,-4.732586576580405e-18
14,true,3.3987757461347328,3.3776965008407194,1.3050952447947193,2.208113754599054,0.4266859200536352,0.5857314039366698,-0.1666971327936553,0.9421710489641841,0.7644352700046827,0.22491488909618085,0.011038646165846155,0.0032478300983522926,-0.038585449742112636,-0.0007644377481149404,-0.011030150986654188,-0.01179458873476913,0.028236181994777478,-0.017856492428188264,-0.0017131471383828867,0.008666542428206327,-2.42861286636753e-17,-0.011824991975126976,-0.03490195217289059,-0.04672694414801758,0.06776746224132997,-0.057789064595490006,-0.0018369032399350046,0.008141494405904948,-1.1739121062294682e-17
15,true,3.507377326824889,3.487163212998988,1.324484378921535,2.2069813113149737,0.4404126427513552,0.5997198056106022,-0.16853988267640213,0.9719824718190789,0.7943195142611023,0.2264710751780371,0.0091230748815746,0.0026011101833270426,-0.03793685412852868,-0.00048319760457633836,-0.011356824753216187,-0.011840022357792525,0.030294620459471136,-0.01852741950320338,-0.0018427498827468247,0.00992445107352093,3.9898639947466563e-17,-0.011596611866307605,-0.0370592386217135,-0.04865585048802111,0.0743065268481781,-0.0612821121349797,-0.0023054183537059548,0.01071899635949243,0.0
16,false,3.6250594010592048,3.6056916063773063,1.3439880484965834,2.2065032230970356,0.45511905945506576,0.6140348904021364,-0.17050807666870682,1.004221671580494,0.8252555540603808,0.2276529741331272,0.008458040851406334,0.0023332144154479184,-0.036888746157527845,-0.0002105560955303799,-0.01169673692624141,-0.011907293021771789,0.03244975585694537,-0.019239302873037177,-0.00196819399230469,0.011242258991603506,1.734723475976807e-17,-0.01127822887852822,-0.03908279962972079,-0.05036102850824902,0.08084578787142574,-0.06459998791930989,-0.002773517601394668,0.01347228235072117,4.785365656270181e-18
17,false,3.752182739567057,3.733647137987659,1.3636163771798553,2.206626373621105,0.47084966210358586,0.6286959509991107,-0.17259942473956236,1.0389892824083584,0.8573000950490511,0.2284803685089096,0.009089762619744923,0.0024225266333360246,-0.035470600320135555,5.604815068592125e-5,-0.01205247865180998,-0.011996430501124058,0.03471156267717848,-0.019992062336860354,-0.0020913480708555365,0.012628152269462591,5.551115123125783e-17,-0.01088118684684082,-0.04097080540565052,-0.051851992252491354,0.08735777780224785,-0.06773946619705229,-0.0032369196728397765,0.016381391932355775,1.9417600646879107e-17
18,false,3.889154284506966,3.871441578116933,1.3833819902955609,2.2073038154068017,0.4876532523746341,0.6437214004704531,-0.17481331432510983,1.0763988845620658,0.8905125921786612,0.22897332608432447,0.011072978058294769,0.0028471429128964234,-0.03371143165161558,0.00031897323589005094,-0.01242656093485901,-0.012107587698968959,0.03709062891781734,-0.020785936194751078,-0.0022138895855474683,0.014090803137518797,6.938893903907228e-18,-0.010415947857405607,-0.04272304404739383,-0.053138991904799454,0.09381807669802984,-0.07069835031799811,-0.00369216612684788,0.01942756025318384,2.0517900308768325e-17
19,false,4.036429226346966,4.019535111576004,1.4032996690325812,2.2084940480933963,0.5055832134069261,0.6591289924425039,-0.17715064754937837,1.1165775176251298,0.9249554969443444,0.22915191746875843,0.014471373131407006,0.0035851918415782144,-0.031639490403554626,0.0005804208407004959,-0.012821436050715292,-0.012241015210014796,0.039598212222363524,-0.021621468714967902,-0.002337333224268545,0.015639410283127077,-4.336808689942018e-17,-0.009892111358103977,-0.04434066245645406,-0.05423277381455806,0.10020519734041328,-0.07347540217624299,-0.004136511753166866,0.02259328341100341,9.025103861038575e-18
20,false,4.194513462597754,4.178438822526659,1.4233860406474435,2.210160405400195,0.524697798288214,0.6749360179609585,-0.17961368751528844,1.1596662985772686,0.9606945062958004,0.2290359811363727,0.019358104766179607,0.004615101355328756,-0.02928202120033063,0.0008424822818553161,-0.013239509884329873,-0.012397027602474558,0.042246298670283504,-0.022499499467126177,-0.0024630399659100743,0.017283759237247252,-9.367506770274758e-17,-0.009318440735213982,-0.04582592413950729,-0.05514436487472129,0.1065004296279767,-0.07607026728465882,-0.004567818668927212,0.025862343674390664,-1.3647798539137604e-17
