t,evidence_window,Y_US,e_US,q_US,q_W,n_W,n_US_star,bond,asset_position,liability_position,foreign_liability_exposure_Y,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
59,false,37.448936810315615,37.61593961797405,2.636726634606661,2.5386711968104136,4.029980886788522,1.8333216287558138,-0.49600683351685904,10.23079640098651,4.833967968340919,0.12908158094916497,4.900821599128732,0.1308667753093263,0.12707008709886758,0.06195843959293036,-0.09321429108197365,-0.03125585148904329,0.6516736998558876,-0.13324220422580677,-0.019026751990044832,0.499404743640036,2.373101715136272e-15,0.016104806674152105,-0.044798133955767136,-0.028693327281615055,0.23700681866095988,-0.07228312525911446,-0.008960279021362783,0.1557634143804826,4.0346783547659943e-17
60,false,40.3030932687491,40.49004170982263,2.691122030864397,2.5558104505037202,4.307590910390336,1.8855586552037815,-0.5161920446713777,11.009385865270454,5.074268437505942,0.12590270438225928,5.418925383093135,0.13445432952152467,0.13092651253899582,0.06907086479784517,-0.09972425646405034,-0.030653391666205163,0.7095185994861005,-0.140576212700972,-0.020185211154518656,0.5487571756306099,-2.0122792321330962e-15,0.016678093361179352,-0.04410000821380608,-0.027421914852626756,0.23782720376370298,-0.07065220488149536,-0.008826571490585028,0.15834842739162255,-1.2439121762051722e-17
61,false,43.42142583048356,43.63067703566771,2.7477624877494824,2.5737129409444566,4.608078066898189,1.9395666528759452,-0.5376219158240891,11.859870153658184,5.329468491262344,0.12273821942348209,5.992779746571752,0.13801434734012313,0.13473988239194262,0.0771166050958657,-0.1067989037143697,-0.029682298618504008,0.7733676832918643,-0.14840115004203275,-0.021429871152711444,0.6035366620971201,7.632783294297951e-16,0.01725635082324605,-0.0433925328768278,-0.026136182053581772,0.2385582569044538,-0.06899597366331689,-0.008686218795612528,0.16087606444552438,6.032580456826071e-18
62,false,46.83271821280795,47.06693828394006,2.8067943421391246,2.592426479514774,4.933618045774628,1.99541587860657,-0.5603907602940005,12.790042061678076,5.600721998287491,0.11958994079390825,6.628929303096585,0.14154483352802028,0.1385088804100342,0.08623344663993204,-0.1144962162315785,-0.02826276959164646,0.8439384613799595,-0.1567572907935688,-0.022768844469911342,0.6644123261164794,4.163336342344337e-17,0.017840707007858697,-0.04267661456372559,-0.024835907555866912,0.23920196280092187,-0.0673174858117691,-0.008539689023251635,0.1633447879659011,6.482147948715867e-18
63,false,50.56938114991231,50.83159025709595,2.8683759831619593,2.612002715947947,5.286621280243097,2.0531798983879606,-0.5846018981010223,13.808669142183183,5.889291909646938,0.11645963972128123,7.334775334435222,0.1450438025470664,0.142232181490039,0.09658167333505452,-0.1228809843276141,-0.026299310992559582,0.9220454071700528,-0.16568892703183272,-0.024211137807021776,0.7321453423311983,-1.0824674490095276e-15,0.018432309357081882,-0.0419531107604007,-0.02352080140331883,0.239760172089771,-0.0656197425278333,-0.008387446668579811,0.16575298289335785,-1.5402419863604304e-17
64,false,54.6679708971337,54.961595682690614,2.9326790264134814,2.632497479493704,5.669761081220602,2.112935790658327,-0.6103686758011483,14.925631755644734,6.196562477422062,0.11334904836841043,8.118700602421523,0.14850927278237785,0.14590844574327894,0.10834805309454984,-0.13202571580919686,-0.023677662714647024,1.0086145603670005,-0.17524485196592726,-0.02576677770012603,0.8076029307009471,5.828670879282072e-16,0.019032323925168237,-0.04122283171103657,-0.022190507785868344,0.2402345993791363,-0.06390569405600918,-0.008229951793979796,0.16809895352914728,-3.585714808296588e-18
65,false,59.16979048090535,59.49872508200701,2.9998896325335918,2.6539711485800916,6.086005451446021,2.174764372948725,-0.6378156363710776,16.152082878238897,6.524053095612298,0.11025986474834099,8.990214146255521,0.15193925942929862,0.14953631130786119,0.1217505732570097,-0.14201169518302068,-0.02026112192601097,1.1047005493371522,-0.18547892300721466,-0.027446960569929346,0.8917746657600082,1.2628786905111156e-15,0.019641933734377243,-0.04048654287921612,-0.020844609144838884,0.24062682191303406,-0.06217824190216672,-0.008067659558167259,0.17038092045270006,1.8030399111688937e-17
66,false,64.12158830148151,64.49026553512962,3.070209950019363,2.676489065462767,6.538653096802237,2.2387504417843074,-0.667079823550391,17.500633516445447,6.873433881976425,0.10719375586361787,9.96011981091863,0.15533177007545376,0.15311438992863893,0.1370441649031699,-0.15293012116249838,-0.015885956259328482,1.2115064733033811,-0.1964506652016291,-0.02926418717931334,0.9857916209224387,-9.43689570931383e-16,0.020262337584299663,-0.039744966525774965,-0.01948262894147532,0.24093827865500295,-0.06044024038834266,-0.007901019396546013,0.17259701887011428,1.9208096688944244e-18
67,false,69.57637136703191,69.98984592894799,3.1438597085418327,2.700121998377629,7.031374217147493,2.3049830309102917,-0.6983122576508257,18.985568202545224,7.2465432797515,0.10415236002355255,11.040712665142898,0.1586848012941134,0.1566412636090005,0.15452754999028132,-0.16488342942948683,-0.010355879439205518,1.3304071361094967,-0.20822596834558793,-0.031232434100434747,1.090948733663474,-9.43689570931383e-16,0.02089474903667137,-0.038998783016975624,-0.018104033980304267,0.24117026968216038,-0.058694497846499036,-0.007730474246356531,0.1747452975893048,-1.1793144540530425e-17
68,false,75.5943537895206,76.05839970474123,3.2210780074870518,2.724946642594806,7.568256767541926,2.3735556995471625,-0.7316796255843158,20.62309586900879,7.64540806335691,0.10113728975902388,12.246008180067562,0.16199633393473345,0.1601154800117299,0.1745513632985188,-0.17798686874448794,-0.003435505445969128,1.4629763031650458,-0.22087791486092176,-0.033367367933490044,1.208731020370634,-6.938893903907228e-16,0.021540394226117837,-0.03824863278607329,-0.016708238559955468,0.24132395654908298,-0.056943777920450064,-0.007556460056947472,0.1768237185716854,-2.003342205615482e-17
69,false,82.24406533573125,82.76529031917127,3.3021252810642525,2.7510461851406567,8.153858955276291,2.444566839679878,-0.7673661831950673,22.43164257308782,8.07226596255827,0.0981501331385578,13.592010427334483,0.16526433088940926,0.16353555038346596,0.19752803950238362,-0.192370218131923,0.0051578213704606135,1.611018664576649,-0.2344876810694365,-0.03568655761075157,1.340844425896461,-1.3322676295501878e-15,0.02220051032185577,-0.03749511754239679,-0.015294607220541025,0.24140036284428884,-0.05519080017227448,-0.007379405068007313,0.17883015760400703,-3.4612603504671225e-17
70,false,89.60364956855095,90.18962951843315,3.387285495146625,2.7785109190350985,8.793268895819322,2.5181200121539877,-0.8055759301428695,24.43219364104569,8.529591392207646,0.09519245514304764,15.097026318695175,0.16848673454026278,0.16689994719882573,0.22394356641947472,-0.20817983540580695,0.015763731013667764,1.776607501538394,-0.24914559424356958,-0.038209746947802214,1.4892521603470221,2.248201624865942e-15,0.022876342623171408,-0.03673880191470473,-0.013862459291533326,0.24140037620705493,-0.053438240435509904,-0.007199729281185959,0.18076240649035907,-6.6791877573483634e-18
71,false,97.76238716293182,98.4218246739057,3.4768686007252527,2.8074389251420704,9.492172426775275,2.5943243219168415,-0.8465351027194953,26.648694355089177,9.0201247749705,0.09226579911492408,16.78203447739918,0.17166146372254665,0.1702071013546865,0.25437173631850724,-0.22558101090844623,0.028790725410061002,1.9621289777249773,-0.264952371854407,-0.040959172576625735,1.6562174332939446,-1.1102230246251565e-15,0.02356914137433143,-0.035980215349894595,-0.012411073975563172,0.2413247505278161,-0.05168873109630667,-0.0070178441012596965,0.18261817533024974,-1.7478118869882066e-17
72,false,106.82248723023082,107.56539879867853,3.571213245193554,2.8379368304776946,10.256930297863859,2.673294817906232,-0.8904949943441335,29.108520259950396,9.546905862014025,0.08937168670710605,18.671119403592236,0.17478641330781802,0.173455402014517,0.28949137610121495,-0.24476060578671147,0.04473077031450348,2.170334528760005,-0.28202048125681556,-0.0439598916246382,1.8443541558785514,1.970645868709653e-15,0.02428015830268432,-0.03521985348384627,-0.010939695181161956,0.24117410940200806,-0.049944860496982955,-0.006834151709346118,0.184395097195679,2.452135797099918e-18
