nu_b,t,e_W_over_e_US,Q_W_over_beta_e_US,Q_W_over_beta_e_W,Q_US_over_beta_e_W,zeta,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b
0.1,23,2.403645124516526,2.412656980998809,1.003749245839315,0.4125299419672971,0.9915755837267789,1.0663441206436708,0.943957558615863,1.1296526108729559
0.1,24,2.3838178649006885,2.398058209827583,1.0059737554351655,0.4137657763434825,0.9863422495320961,1.0663372798965893,0.9415643852414282,1.1325165826266548
0.1,25,2.3619612083838115,2.3818372514279558,1.008415059050756,0.4152063150682752,0.9807012096672528,1.0662691284856398,0.9394417920121724,1.135002868247769
0.1,26,2.338237025219658,2.3641174401968477,1.0110683453807505,0.4168486894315038,0.9746910395430325,1.0661448347027696,0.9375790706284771,1.1371252495942687
0.1,27,2.312796784753299,2.345014499665864,1.0139301970345838,0.41869113998635815,0.9683475223651427,1.0659691980456385,0.9359661236602425,1.138897200549309
0.1,28,2.2857820468169003,2.324636864713756,1.0169984789017674,0.42073294717556536,0.9617038171582707,1.0657466625013876,0.9345935166040773,1.1403317523257235
0.1,29,2.25732498471527,2.3030860473838177,1.020272252767503,0.42297437194647053,0.9547906176890174,1.0654813162989487,0.9334525073426152,1.1414413780216817
0.1,30,2.2275489300709697,2.2804570115038034,1.0237517033716284,0.4254166133490156,0.9476363219000151,1.0651769084046194,0.9325350637927685,1.1422379165801824
0.1,31,2.1965689216345794,2.2568385594819116,1.0274380818437885,0.4280617760704545,0.9402671938560611,1.0648368682820315,0.9318338682369193,1.1427325240890431
0.1,32,2.1644922503178443,2.232313726506456,1.0313336655183925,0.4309128461528475,0.9327075160602438,1.064464314430493,0.9313423098435852,1.1429356351364142
0.1,33,2.1314189958232657,2.206960159189403,1.0354417238066131,0.433973680284745,0.9249797458462382,1.0640620814503476,0.9310544736578653,1.142856955801878
0.1,34,2.0974425442898528,2.18085049501131,1.0397665008505381,0.4372489998293602,0.9171046546902866,1.0636327530898484,0.9309649442275306,1.1425056976472934
0.1,35,2.062650087266748,2.1540527458556493,1.0443132158736728,0.44074438469859584,0.9091014435608878,1.063178622813298,0.9310694531584635,1.1418897045829193
0.1,36,2.0271231079814442,2.126630611168423,1.0490880414688115,0.44446630456902686,0.9009879167109929,1.0627017855427099,0.9313638905154165,1.141016735096538
0.1,37,1.9909378232134125,2.0986438348886303,1.054098129243121,0.4484221226600887,0.892780564769615,1.0622041189576232,0.9318448935644177,1.1398936950703953
0.1,38,1.9541656153227869,2.0701485241150377,1.0593516270488121,0.4526201228010623,0.8844946807810135,1.0616873012600072,0.9325096664421018,1.1385268587196204
0.1,39,1.9168734374840362,2.0411974456991,1.064857703061629,0.45706954371819664,0.8761444674363597,1.0611528318883967,0.9333559515391571,1.1369219108085133
0.1,40,1.879124192183018,2.0118403104044944,1.070626581666908,0.4617806185704044,0.8677431318368855,1.0606020445764164,0.9343819983023492,1.1350839876018508
0.1,41,1.8409770857488583,1.9821240371884572,1.0766695862388662,0.46676462289941734,0.8593029751960342,1.0600361266135356,0.9355865329851321,1.1330177265712964
0.1,42,1.802487958463419,1.9520930077067469,1.082999194830052,0.47203392774620334,0.8508354707487231,1.0594561220081473,0.9369687249864357,1.1307273057843898
0.1,43,1.7637095936999585,1.9217892912831414,1.0896290966199027,0.4776020655917199,0.8423513450550332,1.0588629530775804,0.9385281591258853,1.1282164981216665
0.1,44,1.7246920023978982,1.8912528651996956,1.0965742651848691,0.48348380048792067,0.8338606439904577,1.058257427147277,0.940264802417452,1.1254887180999036
0.1,45,1.6854826880472795,1.860521814460684,1.103851037839016,0.4896952092707014,0.825372797645457,1.0576402477954543,0.942178973004839,1.1225470723703175
0.1,46,1.6461268912080969,1.8296325175646242,1.1114772058804363,0.49625377210924737,0.8168966791324866,1.0570120256507922,0.944271308212738,1.1193944118152264
0.1,47,1.6066678148538058,1.7986198198549337,1.1194721169033899,0.503178472870165,0.8084406574877829,1.0563732814901035,0.9465427309485595,1.1160333780509617
0.1,48,1.5671468321396034,1.7675171850180964,1.1278567832759678,0.5104899136018979,0.8000126509404342,1.0557244654727127,0.9489944194567663,1.1124664632664985
0.1,49,1.527603675003586,1.7363568483464655,1.1366540135761256,0.5182104359676699,0.791620166409423,1.0550659541679313,0.95162776785264,1.108696057229079
0.1,50,1.4880766087740347,1.705169944205085,1.1458885477743679,0.52636426081545,0.7832703442141065,1.0543980626906915,0.9544443521892806,1.1047245030809179
0.1,51,1.4486025895778232,1.6739866274942923,1.1555872117984785,0.5349776399639229,0.774969994617971,1.0537210503399579,0.9574458903740072,1.1005541523901081
0.1,52,1.4092174070972854,1.6428361825659095,1.1657790872380958,0.5440790241753916,0.7667256317044666,1.0530351266120155,0.9606342038842981,1.0961874169731796
0.1,53,1.369955812959818,1.6117471209136558,1.1764956983769008,0.5536992484955686,0.758543504107987,1.0523404571189834,0.9640111694656386,1.0916268301147452
0.1,54,1.3308516352603752,1.5807472682427213,1.1877712183397926,0.5638717364229019,0.7504296224955262,1.0516371703139,0.9675786741784129,1.0868751021273413
0.1,55,1.291937879755708,1.5498638412571506,1.1996426960948106,0.574632723461465,0.742389782387053,1.0509253585664071,0.9713385637182548,1.0819351746351926
0.1,56,1.253246818399557,1.5191235158130856,1.2121503071143345,0.5860215081088717,0.7344295905511535,1.050205085816479,0.9752925837147018,1.076810285808234
0.1,57,1.2148100645763027,1.4885524775489325,1.2253376235140963,0.5980807226764989,0.7265544813364795,1.0494763968606422,0.9794423242277798,1.0715040292832754
0.1,58,1.176658636034565,1.4581764757117515,1.239251921547888,0.6108566311956728,0.7187697304753696,1.0487393095924513,0.9837891485846808,1.0660204080327684
0.1,59,1.1388230069641736,1.4280208540765364,1.2539445070426654,0.6243994650163459,0.7110804762967363,1.0479938340731052,0.9883341242647979,1.0603639076538887
0.1,60,1.1013331461683364,1.3981105829022284,1.2694710839916283,0.6387637806512149,0.7034917242029837,1.0472399611477043,0.9930779423278419,1.0545395446936452
