nu_b,t,bubble_share_upper,log10_bubble_share_upper,a_t,dividend_leakage,switch_leakage,state_price_SDF_factor,physical_payoff_crash_factor
0.1,35,0.03665465413652128,-1.435870874024733,0.15020941497243784,0.029202643066836825,0.12100677190560101,0.49319824708278015,0.24535118002009199
0.1,36,0.041999106569843264,-1.3767599480762427,0.1458055616461807,0.02910555840084143,0.11670000324533926,0.4990867782578522,0.23382707843453715
0.1,37,0.04794148277287145,-1.319288537884396,0.14148815744797305,0.029007801313036943,0.11248035613493612,0.505106541871938,0.222686397444153
0.1,38,0.05452180980694117,-1.2634297365475147,0.1372574783563708,0.02890916609765284,0.10834831225871797,0.5112634418246829,0.21192266724964004
0.1,39,0.061779407591221136,-1.2091562605068444,0.13311366240370104,0.02880945394853489,0.10430420845516615,0.5175636799541672,0.20152922721393973
0.1,40,0.06975245559994897,-1.1564404986674772,0.12905672487964745,0.028708471975473947,0.1003482529041735,0.5240137779475028,0.19149926419344393
0.1,41,0.07847755114599661,-1.1052545573657973,0.12508657180599708,0.028606032274525826,0.09648053953147125,0.5306206011210663,0.18182584567510648
0.1,42,0.0879892667736132,-1.0555703013189983,0.12120301269239862,0.028501951162449843,0.09270106152994878,0.5373913844341911,0.1725019496312765
0.1,43,0.09831971447096585,-1.0073593913488603,0.11740577090989732,0.02839604832818817,0.08900972258170915,0.5443337606477876,0.16352048874532896
0.1,44,0.10949812466240691,-0.9605933187758513,0.11369449404516004,0.02828814620691589,0.08540634783824415,0.5514557912757434,0.15487433297357206
0.1,45,0.12155044775339476,-0.9152434370142247,0.1100687626217008,0.02817806934980396,0.08189069327189684,0.5587659996614155,0.14655632826893286
0.1,46,0.13449898576055683,-0.8712809906077017,0.10652809797486282,0.028065643872523457,0.07846245410233936,0.566273407019598,0.13855931274488378
0.1,47,0.14836206109385464,-0.8286771419417689,0.10307196931564752,0.027950696984102272,0.07512127233154525,0.5739875713715309,0.13087613056158098
0.1,48,0.16315372883072338,-0.7874029960893982,0.09969979944880561,0.0278330564931662,0.07186674295563941,0.5819186296258951,0.12349964289997252
0.1,49,0.17888353819740363,-0.7474296236527297,0.09641097068029861,0.027712550535314264,0.06869842014498434,0.5900773432685964,0.11642273835569657
0.1,50,0.19555634779549047,-0.708728082203234,0.09320482905301121,0.02758900720672099,0.06561582184629022,0.5984751473937072,0.10963834025863871
0.1,51,0.213172198222363,-0.6712694363524658,0.09008068838192299,0.027462254332205227,0.06261843404971776,0.6071242041688862,0.10313941302247757
0.1,52,0.23172624452526056,-0.6350247767105186,0.08703783353373098,0.027332119281319203,0.05970571425241178,0.6160374607247397,0.09691896687933677
0.1,53,0.2512087497756717,-0.5999652378921927,0.08407552321199135,0.027198428845096344,0.05687709436689501,0.6252287107151069,0.0909700616624622
0.1,54,0.27160513978785794,-0.5660620158334206,0.08119299200525526,0.02706100918048901,0.05413198282476625,0.6347126632514046,0.08528580877442649
0.1,55,0.29289611792072656,-0.5332863844699196,0.07838945223753234,0.02691968585349593,0.051469766384036414,0.6445050152274292,0.07985937295751541
0.1,56,0.3150578375372602,-0.5016097121864638,0.07566409474410242,0.026774283839873944,0.048889810904228476,0.6546225310848962,0.07468397218654255
0.1,57,0.33806212890233034,-0.4710034779474781,0.07301608982303001,0.026624627728605344,0.046391462094424664,0.6650831293302029,0.06975287757057519
0.1,58,0.36187677617359043,-0.44143928730708293,0.07044458765193552,0.026470542005281483,0.04397404564665404,0.6759059751223485,0.06505941249993258
0.1,59,0.38646583906125953,-0.412888888712975,0.06794871764822462,0.026311851238598322,0.0416368664096263,0.6871115818000983,0.06059695035345763
0.1,60,0.41179001353707756,-0.3853241898168955,0.06552758851165594,0.026148380607760844,0.0393792079038951,0.6987219210843097,0.05635891291743728
0.1,61,0.43780702467971877,-0.3587172743917423,0.06318028676598446,0.02597995624115244,0.037200330524832015,0.7107605417340317,0.052338767194468803
0.1,62,0.4644720450718634,-0.3330404195312143,0.06090587608011003,0.02580640591124944,0.035099470168860586,0.7232526994376212,0.048530023041950414
0.1,63,0.4917381286862263,-0.30826611581797386,0.05870339001811027,0.02562755974304408,0.03307583027506619,0.7362256415881895,0.04492621338712796
