nu_b,t,model_switch_index,xi_W_seed,xi_W_eff,G_N_US_b,G_N_W_b,common_growth_log_gap,fixed_nu_b_error,bgp_residual_norm
0.1,38,37,1.0,0.0614144632443097,1.0234480371402812,1.0384604220624212,-4.5598924289236287e-10,0.0,4.977840813177612e-14
0.1,39,38,1.0,0.06129818984637511,1.0234088845460083,1.038469951793037,-5.334831213940627e-10,0.0,6.79324996486998e-14
0.1,40,39,1.0,0.061175801262372854,1.0233676602032684,1.0384799984907729,-6.213836389878935e-10,0.0,9.182603048008975e-14
0.1,41,40,1.0,0.06104720445082027,1.0233243307890174,1.0384905722855766,-7.208743471945334e-10,0.0,1.2318933141764336e-13
0.1,42,41,1.0,0.06091229109415611,1.0232788576802352,1.0385016847573842,-8.332645719255627e-10,0.0,1.6392595236783045e-13
0.1,43,42,1.0,0.06077093775377438,1.023231196990209,1.0385133489437928,-9.600028059823795e-10,0.0,2.1685000722143685e-13
0.1,44,43,1.0,0.06062300594883587,1.0231812995776115,1.0385255793559813,-1.1026911436902431e-9,0.0,2.853196800213032e-13
0.1,45,44,1.0,0.060468342178220245,1.0231291110347593,1.038538392001475,-1.263101207394507e-9,0.0,3.7287675746694724e-13
0.1,46,45,1.0,0.06030677788141123,1.0230745716534908,1.0385518044142992,-1.4431905102398057e-9,0.0,4.851894453015431e-13
0.1,47,46,1.0,0.06013812934293902,1.023017616369988,1.0385658356923937,-1.6451259209071534e-9,0.0,6.283663431471733e-13
0.1,48,47,1.0,0.05996219754457772,1.0229581746899046,1.0385805065421696,-1.8712989231089994e-9,0.0,8.101540617948539e-13
0.1,49,48,1.0,0.05977876795893906,1.0228961705912558,1.0385958393310757,-2.1243523285960353e-9,0.0,1.040449416068595e-12
0.1,50,49,1.0,0.059587610304384725,1.022831522411682,1.0386118581468167,-2.4072048378058486e-9,0.0,1.3314551291441828e-12
0.1,51,50,1.0,0.05938847824633082,1.0227641427147312,1.0386285888648452,-2.7230786627321923e-9,0.0,1.6981778871318993e-12
0.1,52,51,1.0,0.059181108121327354,1.0226939380636542,1.0386460592419795,-3.048464038927362e-9,0.0,2.1515818018382302e-12
0.1,53,52,1.0,0.05896522210376109,1.0226208091337827,1.0386642989309305,-3.4363032913944935e-9,0.0,2.7271475056963525e-12
0.1,54,53,1.0,0.05874052269489674,1.0225446501241422,1.0386833396706086,-3.868093863441946e-9,0.0,3.4475789598876262e-12
0.1,55,54,1.0,0.05850669550173633,1.0224653488072715,1.0387032153250113,-4.348445089685099e-9,0.0,4.347498262940614e-12
0.1,56,55,1.0,0.05826340796022117,1.0223827862475598,1.0387239620083832,-4.882437609592116e-9,0.0,5.4692033437641225e-12
0.1,57,56,1.0,0.0580103087944117,1.0222968365612226,1.0387456182060064,-5.475653745527775e-9,0.0,6.866125807014474e-12
0.1,58,57,1.0,0.057747027445672346,1.0222073666603317,1.0387682249053078,-6.134221801519513e-9,0.0,8.601944752855332e-12
0.1,59,58,1.0,0.057473173479249004,1.0221142359829263,1.0387918257374764,-6.8648630755646645e-9,0.0,1.0756465101076957e-11
0.1,60,59,1.0,0.05718833595097451,1.0220172962026777,1.0388164671320146,-7.674941679587655e-9,0.0,1.3426306761167919e-11
0.1,61,60,1.0,0.05689208276402749,1.0219163909275686,1.0388421984827063,-8.572516130983532e-9,0.0,1.6730762088461522e-11
0.1,62,61,1.0,0.05658395999194306,1.0218113553786914,1.0388690723282257,-9.566393387519523e-9,0.0,2.081583880068992e-11
0.1,63,62,1.0,0.05626311914977224,1.0217019782588397,1.0388971541629044,-6.894256875458749e-10,0.0,1.0786960000390185e-13
0.1,64,63,1.0,0.055929759954738124,1.0215881472010688,1.038926485598891,-7.893478045674363e-10,0.0,1.4140443724772334e-13
0.1,65,64,1.0,0.0555830265907656,1.0214696371089342,1.0389571382297953,-9.0371496570818e-10,0.0,1.8511991198204496e-13
0.1,66,65,1.0,0.05522237036142404,1.021346246105566,1.0389891793016282,-1.0335565068728125e-9,0.0,2.422521779940603e-13
0.1,67,66,1.0,0.05484721725770573,1.0212177621280258,1.0390226803442764,-1.1808126542528496e-9,0.0,3.1629560552817133e-13
0.1,68,67,1.0,0.05445696724466832,1.0210839625282049,1.0390577174570454,-1.3476373910033257e-9,0.0,4.1207273397178913e-13
0.1,69,68,1.0,0.05405099360455842,1.0209446136699203,1.0390943716154681,-1.5364143182532153e-9,0.0,5.360108561352784e-13
0.1,70,69,1.0,0.0536286422933819,1.0207994705121504,1.0391327290043348,-1.7497719410550228e-9,0.0,6.967692548506761e-13
0.1,71,70,1.0,0.05318923131163183,1.0206482761767053,1.0391728813800742,-1.990597297673452e-9,0.0,9.031648785854105e-13
0.1,72,71,1.0,0.052732050067384136,1.0204907614906475,1.0392149264681199,-2.2620466203285283e-9,0.0,1.1693566278169828e-12
0.1,73,72,1.0,0.05225635868644343,1.0203266444852914,1.0392589684036888,-2.567552850017696e-9,0.0,1.510885743680381e-12
0.1,74,73,1.0,0.051761387181436615,1.0201556298183383,1.0393051182292343,-2.910827302284036e-9,0.0,1.948668268756001e-12
0.1,75,74,1.0,0.051246334319329845,1.01997740805983,1.0393534944699128,-3.2958556491630153e-9,0.0,2.5089152739964577e-12
0.1,76,75,1.0,0.05071036590604782,1.019791654739476,1.0394042238217847,-3.726885631268745e-9,0.0,3.2233477833218662e-12
0.1,77,76,1.0,0.05015261200805219,1.0195980289817357,1.0394574420096256,-4.208406847831803e-9,0.0,4.1327478272964005e-12
0.1,78,77,1.0,0.049572162306165214,1.0193961714385558,1.039513294907685,-4.745122910484317e-9,0.0,5.2878170981787554e-12
0.1,79,78,1.0,0.04896805825137607,1.0191857010403893,1.039571940076573,-5.3419185474818526e-9,0.0,6.750142648487462e-12
0.1,80,79,1.0,0.04833927984779094,1.018966209780709,1.0396335489671986,-6.003830287960865e-9,0.0,8.596750068140595e-12
0.5,1,0,1.0,0.3010863527368462,1.0230443626695063,1.038559243396312,1.1970159169427674e-9,0.0,8.372874026301768e-15
0.5,2,1,1.0,0.3083185994982708,1.0235319411136898,1.0384400393271758,4.759843390961249e-9,0.0,6.102926732159842e-10
0.5,3,2,1.0,0.31529942913756587,1.024000865835638,1.0383271059153782,1.4879921687166453e-9,0.0,1.9927710571184453e-10
0.5,4,3,1.0,0.32203916009763806,1.0244520619925432,1.038219990299918,1.1352537833408949e-10,0.0,1.4219405400938985e-11
0.5,5,4,1.0,0.3285505736232912,1.024886570529374,1.038118241633368,-3.717769208808064e-9,0.0,4.607339682833529e-11
0.5,6,5,1.0,0.3348478612765349,1.0253055272639295,1.0380214143949338,3.415272925577639e-11,0.0,1.7562332278387922e-15
0.5,7,6,1.0,0.3409473416239761,1.0257101481507171,1.0379290706803004,5.895152074830712e-11,0.0,1.3667575420023844e-14
0.5,8,7,1.0,0.3468663010152144,1.0261017175367158,1.0378407808101717,-4.013612359132779e-12,0.0,5.70280662818654e-14
0.5,9,8,1.0,0.35262340496108163,1.0264815839777843,1.0377561229778858,-1.0332963651382698e-11,0.0,1.7066013144349107e-13
0.5,10,9,1.0,0.35823860395774104,1.0268511607993749,1.037674681711235,-2.2079804998242913e-11,0.0,4.2462080926107205e-13
0.5,11,10,1.0,0.36373320762595757,1.0272119322929638,1.0375960453549529,-4.178751962513605e-11,0.0,9.331609209941246e-13
0.5,12,11,1.0,0.36913006552357147,1.0275654661044789,1.0375198025036243,-7.27403432626561e-11,0.0,2.3840039677731736e-12
0.5,13,12,1.0,0.3744538596646827,1.0279134327211417,1.0374455372720153,-1.1930964896600393e-10,0.0,5.633881705623599e-12
0.5,14,13,1.0,0.3797315359126055,1.028257633615743,1.037372823171291,-1.8748858021666592e-10,0.0,1.210697502073238e-11
0.5,15,14,1.0,0.38499291602534613,1.0286000406341365,1.0373012151738024,-2.8573822127841986e-10,0.0,2.4358783682744973e-11
0.5,16,15,1.0,0.39027155398252283,1.0289428505780787,1.0372302393195585,-4.2633413639692197e-10,0.0,4.679243235866032e-11
0.5,17,16,1.0,0.3956059389929679,1.0292885613619664,1.0371593788065145,-6.275575597375349e-10,0.0,8.706315982873278e-11
0.5,18,17,1.0,0.4010412105756764,1.0296400800512064,1.0370880548539902,-9.173591591221664e-10,0.0,1.5869071044621744e-10
0.5,19,18,1.0,0.406631659139451,1.0300008798176152,1.0370155995210204,-1.3396839141505135e-9,0.0,2.8607609266706895e-10
0.5,20,19,1.0,0.4124444830771874,1.0303752351464295,1.036941215641638,-1.965818032662048e-9,0.0,5.144966612623866e-10
0.5,21,20,1.0,0.4185656344424359,1.0307685870539747,1.036863915406604,-2.9156927618817496e-9,0.0,9.309115660475803e-10
0.5,22,21,1.0,0.42510928554984717,1.0311881329645118,1.036782422112933,-4.636503283736437e-9,0.0,2.220446049250313e-16
0.5,23,22,1.0,0.4322338500743438,1.031643825782209,1.0366950062681437,-7.254624220798256e-9,0.0,4.440892098500626e-16
0.5,24,23,1.0,0.4401696371829369,1.0321501090911087,1.036599203934223,-3.410122531577464e-11,0.0,5.2656678778852165e-14
0.5,25,24,1.0,0.449274711407091,1.0327293158626982,1.036491272604769,-8.016233163377073e-11,0.0,2.0525381544082182e-13
0.5,26,25,1.0,0.4601378830050681,1.0334181136434333,1.0363651898976387,-2.1133446381771392e-10,0.0,9.398232287942734e-13
0.5,27,26,1.0,0.47381063434766657,1.0342817105656874,1.0362105073783239,-6.530755346234596e-10,0.0,5.3939395898669185e-12
0.5,28,27,1.0,0.4923622972424034,1.0354477863846199,1.0360074546273588,-2.507341938240426e-9,0.0,4.208726188135335e-11
0.5,29,28,1.0,0.5204786153173235,1.037203417083493,1.0357137948206796,-2.5366091171985516e-10,0.0,4.068741320456225e-13
0.5,30,29,1.0,0.571837423577944,1.0403779102262354,1.0352172018846577,-3.473590838576346e-9,0.0,4.970386762024273e-11
0.5,31,30,1.0,0.7359222290573905,1.0503074369913978,1.0339101783480527,-4.753108281962959e-9,0.0,2.0714369718130455e-10
0.5,32,31,1.0,1.7085165144957573,1.1086148970707832,1.0306356061869704,6.976187488794139e-9,0.0,9.195549311217337e-12
0.5,33,32,1.0,1.972680218330621,1.1257191200585484,1.030470525555153,4.342718268324219e-9,0.0,2.086465743373394e-12
0.5,34,33,1.0,2.148061051623678,1.1376717506952503,1.0304785627793167,4.149328061697766e-9,0.0,2.7743229639919493e-11
0.5,35,34,1.0,2.2802296699340032,1.1470652245690418,1.0305433198352132,4.763616584524399e-10,0.0,1.2290971996676455e-13
0.5,36,35,1.0,2.385363818284008,1.1548093124157244,1.0306302400375724,5.776940731339053e-10,0.0,1.1413523764979924e-13
0.5,37,36,1.0,2.4716155791430103,1.1613623874314665,1.0307249082200187,4.902007133544828e-10,0.0,6.446392588902822e-14
0.5,38,37,1.0,2.543838645668578,1.1670001294071048,1.0308204105710939,9.220498184414616e-9,0.0,1.959830659873788e-11
0.5,39,38,1.0,2.6052223646026906,1.1719069447668589,1.030913244913926,6.619659445594728e-9,0.0,9.141408324047992e-12
0.5,40,39,1.0,2.6579972575667608,1.176214904208496,1.031001644386096,4.618911461640174e-9,0.0,4.141251061164748e-12
0.5,41,40,1.0,2.703795114402131,1.1800232540665447,1.0310847905590772,3.2381925196833805e-9,0.0,1.8187236270396965e-12
0.5,42,41,1.0,2.7438482896470116,1.183409124125666,1.031162401027533,2.2661454379679924e-9,0.0,8.842371279627059e-13
0.5,43,42,1.0,2.779110566271269,1.1864339680695652,1.031234499695127,1.5887401394465428e-9,0.0,6.238620731124911e-13
0.5,44,43,1.0,2.81033460184343,1.1891476828692644,1.0313012826392665,1.1178660497268567e-9,0.0,4.3548498140921765e-13
1.0,1,0,1.0,0.6021727590110088,1.0230443625209142,1.0385592434442659,1.9542972448660656e-10,0.0,8.587563104049537e-16
1.0,2,1,1.0,0.6326792873710081,1.0240705990319487,1.038310452649375,2.6962491267434885e-11,0.0,5.617650355367907e-14
