nu_b,path,t,regime,phi_US,phi_W,e_US,e_W,Q_US,Q_W,q_US,q_W,N_US,N_W
0.1,realized_switch_tau_5,69,b,0.8831400021618405,0.7862281091506379,2.0792936557039923,5.980745054892873,1.045572573786402,2.582102596401999,0.2280321281292507,0.1865905943411738,4.480480715154216,13.325577903228293
0.1,all_u,70,u,0.6860606338135438,0.6269121403686816,166.62734872677535,125.25448397046277,47.55048646387485,83.81011352212393,4.418237266911383,3.154168609001795,10.126499357546226,24.89910224482848
0.1,realized_switch_tau_5,70,b,0.8831399976050126,0.7862281103703984,2.0841030129790443,5.994578524634401,1.047990969220104,2.5880749945067887,0.22333966856305879,0.1800924128380071,4.585198508491583,13.838332020534338
0.1,all_u,71,u,0.6796346128340336,0.620250495817397,185.5882412414085,133.59676743625778,52.44503738270588,91.20290927481183,4.579594387353399,3.2127846619165665,10.76232071554535,26.571221742216075
0.1,realized_switch_tau_5,71,b,0.8831399924401541,0.7862281117532078,2.0889234943603814,6.008444011277864,1.0504149598878647,2.594061214353257,0.2187437708220797,0.17382053676976347,4.692363770228347,14.370816369897598
0.1,all_u,72,u,0.6730217710577049,0.6133378521069838,207.14379556715474,142.65409214884167,57.97438091119455,99.45035744135973,4.751686911441702,3.2753537339338124,11.451895724113347,28.38749523299993
0.1,realized_switch_tau_5,72,b,0.8831399865946188,0.7862281133185735,2.093755125602309,6.0223415913678675,1.0528445589214586,2.6000612888527628,0.21424244785579147,0.1677670848761439,4.802033703360833,14.923790149084963
0.1,all_u,73,u,0.6662190326367742,0.6061680289468598,231.70545529005898,152.50251782082537,64.2363859077363,108.67397401984246,4.935459848281551,3.342201630693083,12.200799840493833,30.36324181141694
0.1,realized_switch_tau_5,73,b,0.8831399799879873,0.7862281150880908,2.0985979325217197,6.036271341899599,1.0552797795041167,2.6060752510962195,0.20983375350354141,0.16192445037064052,4.914266847950401,15.498041768874328
0.1,all_u,74,u,0.6592234200029051,0.5987354682359539,259.7582461946664,163.22767550057137,71.34624330389998,119.01537308442214,5.1319596005841595,3.413682862502153,13.015278795166859,32.515684578044564
0.1,realized_switch_tau_5,74,b,0.8831399725313102,0.7862281170856477,2.103451940998576,6.050233340347067,1.057720634872781,2.6121031343647894,0.20551578165311374,0.15628529138181427,5.0291231123895725,16.094389977121963
0.1,all_u,75,u,0.6520318824105308,0.591035447749723,291.87534654781206,174.9261373355617,79.43995751654951,130.63994855052695,5.342349745881856,3.490182190450099,13.902339234271993,34.86421494853993
0.1,realized_switch_tau_5,75,b,0.8831399641262938,0.7862281193376417,2.1083171769764206,6.064227664693915,1.0601671383205362,2.6181449721415464,0.20128666541660692,0.15084252172746643,5.146663805401027,16.713685026080068
0.1,all_u,76,u,0.6446409899689001,0.5830643772839573,328.73583166344474,187.70700118915215,88.6786744844789,143.74124445443033,5.567931969170844,3.572115360251426,14.869853396959963,37.4306959986176
0.1,realized_switch_tau_5,76,b,0.8831399546644106,0.7862281218732188,2.113193666462932,6.078254393466996,1.0626193031992741,2.624200798124205,0.1971445763232717,0.1455893020101112,5.266951668786841,17.356809884628287
0.1,all_u,77,u,0.637046409860747,0.5748202256759278,371.1463682971343,201.69372398705082,99.25411774810526,158.54610657789715,5.810175174071843,3.659928221447619,15.92668067345022,40.23981029669574
0.1,realized_switch_tau_5,77,b,0.8831399440259308,0.7862281247245347,2.1180814355305104,6.092313605773012,1.0650771429225891,2.6302706462389778,0.19308772352895726,0.14051903102255855,5.390050910945798,18.02468149714705
0.1,all_u,78,u,0.6292420313101753,0.5663031584008226,420.06786348079663,217.02624061662627,111.39553937369888,175.32067727363705,6.070757939824905,3.7540928151737814,17.082809859336262,43.319457919638396
0.1,realized_switch_tau_5,78,b,0.8831399320788728,0.7862281279270338,2.1229805103169266,6.1064053813383765,1.0675406709689315,2.6363545506556765,0.18911435304182397,0.13562533745280855,5.51602724117704,18.71825209082691
0.1,all_u,79,u,0.6212185260584121,0.5575165169109136,476.6483949145523,233.86340554670412,125.37882368608899,194.37720947495916,6.351633209614153,3.855097940171607,18.349527435928664,46.70121009395481
0.1,realized_switch_tau_5,79,b,0.88313991867786,0.7862281315197576,2.127890917026,6.120529800552554,1.070009900885044,2.6424525458041095,0.18522274696398983,0.1309020718778307,5.644947904788788,19.43851053327707
0.1,all_u,80,u,0.612961004830803,0.5484683557885011,542.264221423608,252.38578856961158,141.53878911234364,216.08147807863725,6.655130572830169,3.9634298281231217,19.739619645591194,50.42082263318752
0.1,realized_switch_tau_5,80,b,0.8831399036628772,0.7862281355456767,2.1328126819283453,6.13468694451549,1.072484846289708,2.648564666392045,0.1814112227487811,0.12634329903617544,5.77688171903136,20.186483742367944
0.5,all_u,1,u,0.9893989718603499,0.7480260458527832,2.6893811492547157,5.085541369091102,1.0766042291400437,2.4226702018066364,1.074326436183813,2.3175566953967315,1.0,1.0
0.5,realized_switch_tau_5,1,u,0.9893989718603499,0.7480260458527832,2.6893811492547157,5.085541369091102,1.0766042291400437,2.4226702018066364,1.074326436183813,2.3175566953967315,1.0,1.0
0.5,all_u,2,u,0.9798099940456669,0.7519902441614963,2.69905525708338,5.318222017140892,1.1010335832623623,2.507326077582956,1.0942853789728426,2.2960402969325155,1.00212020562793,1.045355311746499
