nu_b,t,s_W,A_t,B_t,zeta,m_t,mu_t,zeta_from_A_B,zeta_from_m_mu
0.1,23,0.4501099780043991,2.404232564725588,2.412656980998809,0.9915755837267789,2.403645124516526,0.4516871606276917,0.991575583726779,0.991575583726779
0.1,24,0.4501099780043991,2.3844004594154278,2.398058209827583,0.9863422495320961,2.3838178649006885,0.45268818994582444,0.9863422495878447,0.9863422495878446
0.1,25,0.4501099780043991,2.3625384612286253,2.3818372514279558,0.9807012096672528,2.3619612083838115,0.45378677657284017,0.9807012098006695,0.9807012098006691
0.1,26,0.4501099780043991,2.3388084799793147,2.3641174401968477,0.9746910395430325,2.338237025219658,0.45498075542133776,0.9746910397824671,0.9746910397824673
0.1,27,0.4501099780043991,2.313362022031005,2.345014499665864,0.9683475223651427,2.312796784753299,0.4562685886655627,0.968347522365141,0.9683475223651411
0.1,28,0.4501099780043991,2.2863406818124563,2.324636864713756,0.9617038171582707,2.2857820468169003,0.4576493155057953,0.9617038170987002,0.9617038170987005
0.1,29,0.4501099780043991,2.2578766649310458,2.3030860473838177,0.9547906176890174,2.25732498471527,0.4591225137453764,0.954790617547228,0.9547906175472282
0.1,30,0.4501099780043991,2.2280933331510377,2.2804570115038034,0.9476363219000151,2.2275489300709697,0.46068826651723277,0.9476363216472343,0.9476363216472341
0.1,31,0.4501099780043991,2.1971057533379716,2.2568385594819116,0.9402671938560611,2.1965689216345794,0.4623471368297049,0.9402671938560601,0.94026719385606
0.1,32,0.4501099780043991,2.165021242625016,2.232313726506456,0.9327075160602438,2.1644922503178443,0.4641001494832766,0.9327075161185601,0.9327075161185598
0.1,33,0.4501099780043991,2.131939905173708,2.206960159189403,0.9249797458462382,2.1314189958232657,0.4659487757129759,0.924979745984305,0.9249797459843054
0.1,34,0.4501099780043991,2.0979551499462143,2.18085049501131,0.9171046546902866,2.0974425442898528,0.4678949253827422,0.9171046549349042,0.9171046549349043
0.1,35,0.4501099780043991,2.0631541898009065,2.1540527458556493,0.9091014435608878,2.062650087266748,0.4699409471431527,0.9091014439452572,0.9091014439452572
0.1,36,0.4501099780043991,2.027618527879415,2.126630611168423,0.9009879167109929,2.0271231079814442,0.47208961866096516,0.9009879167109922,0.9009879167109923
0.1,37,0.4501099780043991,1.9914243995882566,2.0986438348886303,0.892780564769615,1.9909378232134125,0.4743441581594045,0.8927805646996263,0.8927805646996264
0.1,38,0.4501099780043991,1.954643204733095,2.0701485241150377,0.8844946807810135,1.9541656153227869,0.4767082321719655,0.8844946806180576,0.8844946806180572
0.1,39,0.4501099780043991,1.9173419128514588,2.0411974456991,0.8761444674363597,1.9168734374840362,0.4791859663777331,0.8761444671523586,0.8761444671523587
0.1,40,0.4501099780043991,1.8795834418022943,2.0118403104044944,0.8677431318368855,1.879124192183018,0.4817819617501086,0.8677431313978001,0.8677431313977999
0.1,41,0.4501099780043991,1.8414270123844918,1.9821240371884572,0.8593029751960342,1.8409770857488583,0.48450131380748984,0.8593029751960348,0.8593029751960348
0.1,42,0.4501099780043991,1.8029284785270308,1.9520930077067469,0.8508354707487231,1.802487958463419,0.4873496376735234,0.8508354708202841,0.8508354708202837
0.1,43,0.4501099780043991,1.764140636503191,1.9217892912831414,0.8423513450550332,1.7637095936999585,0.4903330934789562,0.8423513452200495,0.8423513452200497
0.1,44,0.4501099780043991,1.7251135094748467,1.8912528651996956,0.8338606439904577,1.7246920023978982,0.4934584193331911,0.833860644275151,0.8338606442751509
0.1,45,0.4501099780043991,1.6858946125416812,1.860521814460684,0.825372797645457,1.6854826880472795,0.4967329670275572,0.8253727980809971,0.8253727980809971
0.1,46,0.4501099780043991,1.6465291973202807,1.8296325175646242,0.8168966791324866,1.6461268912080969,0.5001647426461964,0.8168966797556565,0.8168966797556563
0.1,47,0.4501099780043991,1.6070604773427166,1.7986198198549337,0.8084406574877829,1.6066678148538058,0.5037624526065254,0.8084406574877829,0.8084406574877832
0.1,48,0.4501099780043991,1.5675298358756016,1.7675171850180964,0.8000126509404342,1.5671468321396034,0.5075355524741856,0.8000126508575052,0.800012650857505
0.1,49,0.4501099780043991,1.5279770145673408,1.7363568483464655,0.791620166409423,1.527603675003586,0.5114943061092566,0.7916201662208755,0.791620166220875
0.1,50,0.4501099780043991,1.4884402880980925,1.705169944205085,0.7832703442141065,1.4880766087740347,0.5156498464984656,0.7832703438930078,0.7832703438930075
0.1,51,0.4501099780043991,1.4489566216266436,1.6739866274942923,0.774969994617971,1.4486025895778232,0.5200142453093153,0.7749699941323511,0.7749699941323513
0.1,52,0.4501099780043991,1.4095618135821677,1.6428361825659095,0.7667256317044666,1.4092174070972854,0.5246005892571431,0.7667256310162585,0.7667256310162582
0.1,53,0.4501099780043991,1.370290624085205,1.6117471209136558,0.758543504107987,1.369955812959818,0.5294230642696054,0.7585435031715493,0.7585435031715493
0.1,54,0.4501099780043991,1.3311768894981468,1.5807472682427213,0.7504296224955262,1.3308516352603752,0.5344970482529067,0.7504296212554256,0.7504296212554257
0.1,55,0.4501099780043991,1.2922536236442037,1.5498638412571506,0.742389782387053,1.291937879755708,0.5398392132426647,0.7423897823870529,0.7423897823870533
0.1,56,0.4501099780043991,1.2535531063642396,1.5191235158130856,0.7344295905511535,1.253246818399557,0.5454676382014505,0.7344295905511538,0.734429590551154
0.1,57,0.4501099780043991,1.215106958768805,1.4885524775489325,0.7265544813364795,1.2148100645763027,0.5514019305813433,0.7265544812198728,0.7265544812198724
0.1,58,0.4501099780043991,1.1769462061871205,1.4581764757117515,0.7187697304753696,1.176658636034565,0.5576633646965496,0.7187697304753693,0.718769730475369
0.1,59,0.4501099780043991,1.1391013302567727,1.4280208540765364,0.7110804762967363,1.1388230069641736,0.5642750281691994,0.7110804761802363,0.7110804761802365
0.1,60,0.4501099780043991,1.1016023071052123,1.3981105829022284,0.7034917242029837,1.1013331461683364,0.5712619877962327,0.7034917242029837,0.703491724202984
0.1,61,0.4501099780043991,1.0644786357203362,1.3684702715878374,0.6960083642515685,1.0642185454272903,0.5786514667128588,0.6960083641324988,0.696008364132499
0.1,62,0.4501099780043991,1.0277593527268547,1.3391241809698757,0.6886351717569795,1.0275082342710575,0.5864730435605212,0.6886351717569787,0.688635171756979
0.1,63,0.4501099780043991,0.9914730372761266,1.3100962269721146,0.68137681042457,0.9912307848680849,0.5947588706255822,0.6813768103040121,0.6813768103040119
0.1,64,0.4501099780043991,0.9556478054222369,1.281409950201853,0.6742378552203853,0.9554143064026981,0.6035439010348961,0.6742378552203838,0.6742378552203839
0.1,65,0.4501099780043991,0.92031128850483,1.2530885068486195,0.6672227817773766,0.9200864234632141,0.6128661544199208,0.6672227816562106,0.6672227816562106
0.1,66,0.4501099780043991,0.8854906039742202,1.2251546347487015,0.6603359692255192,0.885274246874182,0.6227669985697335,0.6603359692255188,0.6603359692255188
0.1,67,0.4501099780043991,0.8512123149494761,1.197630603013776,0.6535817120567031,0.8510043332643485,0.6332914537449124,0.6535817119357001,0.6535817119357002
0.1,68,0.4501099780043991,0.8175023771371556,1.1705381553283474,0.6469642220472498,0.8173026319983616,0.644488527596975,0.6469642218088081,0.6469642218088083
0.1,69,0.4501099780043991,0.7843860756602826,1.143898430453005,0.640487645527428,0.7841944220211831,0.6564115724989785,0.6404876452072774,0.6404876452072774
0.1,70,0.4501099780043991,0.751887949776584,1.1177318617799221,0.6341560884508025,0.7517042365947195,0.6691186683734839,0.6341560879966619,0.6341560879966619
