nu_b,t,Y_US,delta_NFA,VA,CA,VA_asset,VA_liability,CA_asset,CA_liability,CA_bond,adding_up_residual,n_W,n_US_star,bond,q_W,q_US,NFA
0.1,50,27.603278196215193,0.29203518299851794,-0.03306115496266017,0.32509633796117865,0.047245106316303645,-0.08030626127896381,0.4409473561332803,-0.10821805302270453,-0.007632965149397097,-5.551115123125783e-16,2.7883243379268445,1.5254524080853484,-0.35552591648972987,2.4887757252451856,2.5416672992063454,2.7067955077268513
0.1,51,29.77774313277192,0.3257347586645727,-0.033160543408623365,0.35889530207319575,0.05296931180068349,-0.08612985520930685,0.48117072700138475,-0.11430527052227775,-0.007970154405911256,2.7755575615628914e-16,2.980196095513231,1.5694476308943972,-0.3634960708956411,2.507772551073585,2.598129142757015,3.032530266391424
0.1,52,32.16206748000854,0.36357425400913357,-0.03300045534167865,0.3965747093508121,0.05947361129892726,-0.09247406664060591,0.5257057882865941,-0.12080957601821718,-0.008321502917564783,1.1102230246251565e-16,3.18817164374894,1.6149151798324235,-0.3718175738132059,2.5277288255578267,2.6570505523155528,3.3961045204005575
0.1,53,34.78008579481377,0.40611760750188797,-0.03251552784772069,0.4386331353496096,0.0668771942290106,-0.09939272207673129,0.5750864562272502,-0.12776553262234364,-0.008687788255296924,-9.43689570931383e-16,3.4138102902579797,1.6619120389199245,-0.38050536206850283,2.548705486071114,2.7185972659250224,3.8022221279024455
0.1,54,37.658757749049975,0.45401370820232323,-0.03162670476620588,0.48564041296852895,0.07531922008907127,-0.10694592485527715,0.6299213677790791,-0.13521111389081442,-0.009069840919735783,1.6653345369377348e-16,3.6588426017870748,1.7104976015838231,-0.3895752029882386,2.570768580878699,2.7829484002514704,4.256235836104769
0.1,55,40.82863046186693,0.5080105019349901,-0.03023839752713714,0.5382488994621266,0.08496244840682268,-0.11520084593395982,0.6909055336025105,-0.14318808996118834,-0.009468544179195515,6.661338147750939e-16,3.925191204299834,1.7607337888680112,-0.3990437471674341,2.593989707790615,2.8502977176824276,4.764246338039759
0.1,56,44.32437672443405,0.5689714201922556,-0.028235089692418572,0.5972065098846747,0.09599758287177859,-0.12423267256419716,0.7588338877826456,-0.15174252719038653,-0.00988485070758438,-5.551115123125783e-16,4.214994294792201,1.812685195146171,-0.4089285978750185,2.618446499288216,2.920855046308504,5.333217758232014
0.1,57,48.18542281868873,0.6378952186901188,-0.025477188867754103,0.6633724075578729,0.10864841959184268,-0.13412560845959678,0.834617408041158,-0.16092523017367594,-0.010319770309609233,0.0,4.530632333603936,1.8664192209650603,-0.41924836818462774,2.644223146180973,2.9948478216777437,5.971112976922133
0.1,58,52.45668216711699,0.7159391446777388,-0.021795903396028063,0.7377350480737654,0.12317814722234892,-0.14497405061837698,0.9193018005038919,-0.17079236941609416,-0.01077438301403233,1.4432899320127035e-15,4.874758266379957,1.9220062356712304,-0.43002275119866007,2.671410995062183,3.072522788260769,6.687052121599872
0.1,59,57.18941427366611,0.8044463181334391,-0.01698728710771269,0.8214336052411528,0.13989672410393145,-0.15688401121164414,1.0140896361583078,-0.18140617561250302,-0.01124985530465189,-9.992007221626409e-16,5.250331833149415,1.9795197639656763,-0.44127260650331196,2.7001091820202454,3.1541479194908217,7.491498439733311
0.1,60,62.442232460575376,0.9049788361627318,-0.010804609605775423,0.9157834457685081,0.15916995468019934,-0.16997456428597477,1.1203665199410298,-0.19283564487029806,-0.011747429302223555,-8.881784197001252e-16,5.660658568115695,2.039036672219975,-0.4530200358055355,2.7304253524526048,3.240014485402473,8.396477275896043
0.1,61,68.28228829705718,1.019356406171461,-0.0029495080026828713,1.022305914174142,0.18143022049727964,-0.1843797284999625,1.239731868011136,-0.20515750090623627,-0.012268452930757678,1.9984014443252818e-15,6.109434113657687,2.1006374029095065,-0.4652884887362932,2.762476432431038,3.330439405666031,9.415833682067504
0.1,62,74.78666672649499,1.1497033288745193,0.006939266054741489,1.1427640628197786,0.2071896460759046,-0.2002503800211631,1.3740354699134967,-0.21845714987303394,-0.012814257220684244,-6.661338147750939e-16,6.600794659240582,2.1644062170705616,-0.47810274595697744,2.7963894990459526,3.4257677949176957,10.565537010942023
0.1,63,82.04403247057327,1.298504099515295,0.019299316618673373,1.2792047828966195,0.23705591438283796,-0.2177565977641646,1.5254212825161637,-0.23282977992922577,-0.01338671969031846,1.9984014443252818e-15,7.139374544142222,2.230431448908827,-0.4914894656472959,2.8323027377725927,3.5263758028076793,11.864041110457318
0.1,64,90.15657692372761,1.46866930431168,0.03466050354957659,1.434008800762105,0.2717510660883707,-0.2370905625387941,1.696378103102116,-0.24838204555394824,-0.013987256786062607,-1.5543122344752192e-15,7.730371594624985,2.2988058899184773,-0.5054767224333585,2.8703664455117166,3.632673874714253,13.332710414768998
0.1,65,99.24232567972652,1.6636166786174051,0.05366576539189111,1.6099509132255152,0.3121351147421067,-0.2584693493502156,1.889802017830985,-0.26523328715216965,-0.014617817453300153,-1.1102230246251565e-15,8.379622055069781,2.369627113076442,-0.5200945398866587,2.91074420884707,3.7451102272065384,14.996327093386403
0.1,66,109.43787857622573,1.8873668881224166,0.07709540494048417,1.810271483181933,0.3592340104704689,-0.2821386055299847,2.1090694461227586,-0.2835175334857631,-0.015280429455062361,-6.661338147750939e-16,9.093686022119345,2.442997897066314,-0.535374969341721,2.9536141626599783,3.86417478549634,16.88369398150882
0.1,67,120.90167046142415,2.144658848563946,0.10589696233980272,2.0387618862241403,0.41427376777527336,-0.30837680543547064,2.358124973253957,-0.30338575083324953,-0.01597733619656716,2.6645352591003757e-15,9.87994511683344,2.519026734960117,-0.5513523055382882,2.999170361407945,3.9904036315406968,19.028352830072766
0.1,68,133.81786029037121,2.4410898750424614,0.14122232659260847,2.299867548449856,0.47872227103188286,-0.3374999444392744,2.6415868804126212,-0.32500831859379586,-0.016711013368969185,-3.1086244689504383e-15,10.746714317655536,2.5978283995000866,-0.5680633189072574,3.0476243017255116,4.124383926293153,21.469442705115227
0.1,69,148.40097943524694,2.783283685618894,0.18447251740692067,2.5988111682119683,0.5543398608843179,-0.3698673434773972,2.9648736096531025,-0.3485782127740682,-0.017484228667066115,4.884981308350689e-15,11.703370012027134,2.67952464033171,-0.5855475475743235,3.0992065662669264,4.2667595133598635,24.25272639073412
