switch_index,G_N_US,G_N_W,nu_b_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
12,1.0401470167741225,1.0352519009844459,0.8801565717976716,true,9.292970282182011e-10,1.035251901898599,1.0352519009844459,9.141531975842554e-10,8.830248268698604e-10
13,1.0414840599000164,1.035053921521438,0.8476344735869861,true,9.75675665260134e-10,1.0350539224763684,1.035053921521438,9.549303570111078e-10,9.225900460263503e-10
14,1.0428296535853523,1.03486171082164,0.8171094810465556,true,5.893567955726154e-10,1.0348617118022865,1.03486171082164,9.806464529305003e-10,9.476111215156457e-10
15,1.0441866871447483,1.0346747310741584,0.7883546449126457,true,6.544366243157431e-10,1.0346747320689977,1.0346747310741584,9.948393220327034e-10,9.614995952200722e-10
16,1.0455576608459958,1.0344925584803675,0.7611835928581068,true,7.0816446039587e-10,1.034492559471773,1.0344925584803675,9.914056242621427e-10,9.58349656576818e-10
17,1.0469447030681571,1.0343148671511102,0.7354424787415588,true,7.477466717228937e-10,1.0343148681219771,1.0343148671511102,9.708669423957872e-10,9.386571450664682e-10
18,1.048349587716872,1.0341414148814625,0.711003598401827,true,7.712856376280121e-10,1.034141415816029,1.0341414148814625,9.345664242488283e-10,9.037123549493487e-10
19,1.0497737525283526,1.0339720303475337,0.6877602785327417,true,7.779368635849224e-10,1.0339720312321008,1.0339720303475337,8.845670862456245e-10,8.555038830126982e-10
20,1.0512183186763249,1.0338066015029175,0.6656227625931176,true,4.517342039556264e-10,1.0338066026793262,1.0338066015029175,1.1764087481935803e-9,1.1379388681342917e-9
21,1.0526841117543424,1.033645065038514,0.6445148463593244,true,4.368123375770925e-10,1.0336450661160563,1.033645065038514,1.0775422776276855e-9,1.042468361633908e-9
22,1.0541716840506932,1.0334873968245408,0.6243712229258559,true,2.220446049250313e-16,1.033487398212333,1.0334873968245408,1.3877921034577412e-9,1.3428244488578045e-9
23,1.0556813377437617,1.0333336032952176,0.6051352294282255,true,5.278905832057974e-10,1.0333336044773003,1.0333336032952176,1.1820826539832296e-9,1.1439507327515308e-9
24,1.0572131492151569,1.0331837137615674,0.5867571408112237,true,2.4498979445935186e-16,1.0331837152349304,1.0331837137615674,1.473362987169935e-9,1.4260416458800051e-9
25,1.058766992673856,1.03303777361607,0.5691926828073428,true,1.1805461538480048e-16,1.033037774883459,1.03303777361607,1.2673888605263528e-9,1.226856297109613e-9
26,1.060342564405335,1.0328958384415206,0.5524019649425005,true,2.2750274067812105e-16,1.032895839906776,1.0328958384415206,1.4652554725103073e-9,1.4185897803664638e-9
27,1.0619394063929657,1.0327579689784911,0.5363485214618915,true,2.220446049250313e-16,1.0327579702037795,1.0327579689784911,1.2252883152541472e-9,1.1864235149872115e-9
28,1.0635569279977535,1.0326242269036379,0.5209986764877568,true,2.1107657782140106e-16,1.0326242282790425,1.0326242269036379,1.3754046790381835e-9,1.3319508065934293e-9
29,1.0651944275632423,1.0324946713941827,0.5063209521107152,true,7.917930346862229e-10,1.0324946728164914,1.0324946713941827,1.4223087152487324e-9,1.3775458343467939e-9
30,1.066851112144491,1.0323693563956908,0.4922856913644542,true,8.905661044168555e-10,1.0323693579496431,1.0323693563956908,1.5539523001706357e-9,1.5052290872064056e-9
31,1.0685261149825318,1.0322483285318858,0.47886473569277677,true,2.220446049250313e-16,1.0322483298596092,1.0322483285318858,1.327723486710397e-9,1.2862442499983473e-9
32,1.0702185106482938,1.0321316255790294,0.4660312314031341,true,8.005492192581241e-10,1.032131626903705,1.0321316255790294,1.324675702463196e-9,1.2834367249525691e-9
33,1.0719273316414164,1.0320192754654807,0.45375942700134053,true,8.694969957226248e-10,1.0320192768696876,1.0320192754654807,1.404206972921429e-9,1.360640156100601e-9
34,1.0736515786219734,1.031911295664008,0.4420245867276386,true,9.352333383420065e-10,1.0319112971400484,1.031911295664008,1.476040401016121e-9,1.430394643009425e-9
35,1.0753902316283257,1.0318076929715088,0.43080290959787265,true,9.971368099185347e-10,1.0318076945113461,1.0318076929715088,1.5398373687247613e-9,1.4923685551226917e-9
36,1.0771422583352674,1.0317084635932987,0.420071481602197,true,1.5476483435066832e-16,1.0317084652745563,1.0317084635932987,1.6812575776015137e-9,1.6295859731063622e-9
37,1.0789066187750667,1.0316135934802702,0.40980825069882887,true,2.973543621800189e-16,1.031613595211284,1.0316135934802702,1.7310137767623246e-9,1.6779671159483645e-9
38,1.0806822687623692,1.0315230589394853,0.3999920218707881,true,7.139125184196662e-16,1.0315230607119932,1.0315230589394853,1.77250791821848e-9,1.7183406017529101e-9
39,1.0824681560458327,1.0314368274652392,0.39060247397032916,true,2.220446049250313e-16,1.0314368292714842,1.0314368274652392,1.8062449314015794e-9,1.7511929441271779e-9
40,1.0842632091192854,1.0313548588791563,0.3816202061077737,true,3.9465777627092123e-16,1.0313548607120258,1.0313548588791563,1.8328694117997202e-9,1.7771472071714811e-9
