t,N_US,N_W,phi_US,phi_W,q_US,q_W,d_US,d_W,Q_US,Q_W,e_US,e_W,Y_US,Y_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,Psi,residual_norm,v_US,B_per,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
11.0,1.0967835210639862,2.037688044434671,0.9569099534465615,0.6312990812262991,0.7223233876232218,0.6549544542603005,0.034559921961194985,0.08269442904391996,0.7990598545239326,1.433005983910392,2.057753633271288,2.3944652800283412,2.088830920067916,2.4645576066175456,0.4216778132461492,0.11538348791216498,0.6142707550829225,-0.7183404433612972,1.0573118504422039,1.0746330911284794,0.972575088905319,3.114954442157294e-10,0.7222800107923091,4.3376830912711384e-5,0.799011869528856,4.798499507663312e-5,6.0051815649306815e-5,0.22981696211171132,0.22986494710678795,-4.798499507663312e-5,0.18417495457423871,0.045642007537472606,0.09527549230986021,-0.04958549977731097,-4.798499507663312e-5
12.0,1.1062356116603247,2.187947535266121,0.9577329003826266,0.631439699847471,0.7217552268866828,0.6318216383110881,0.03456243634062517,0.07979145313045816,0.805180810237861,1.4842916023125694,2.0853932815891283,2.4812072276972796,2.1168780041410358,2.5538877348673465,0.4168223815461769,0.1129111991259394,0.6064424601071103,-0.725136857898324,1.0566059239468215,1.074142751338571,0.9719838263612967,3.849295762536154e-10,0.7216989850899742,5.624179670860041e-5,0.8051180676157697,6.274262209138293e-5,7.792364310427111e-5,0.2375158305567031,0.2375785731787945,-6.274262209138293e-5,0.1858631863163258,0.0516526442403773,0.10506508018992455,-0.05334969332745587,-6.274262209138293e-5
13.0,1.1155870858199912,2.349225655329255,0.9586131815274906,0.6316103881252761,0.7210962500295576,0.6094637928236583,0.03456261852141885,0.07698873254673075,0.8111043535009668,1.5372576680446721,2.112868649524581,2.57106402878155,2.1447675710644303,2.646438244502552,0.41194371207104225,0.11045327175043436,0.5987495003856617,-0.7322187895788342,1.055937169901993,1.0736918611031083,0.9713836386688958,4.3932792906131364e-10,0.7210233754313833,7.287459817428843e-5,0.8110223826075716,8.197089339512242e-5,0.00010106084752388735,0.24532997126132372,0.24541194215471884,-8.197089339512242e-5,0.18755605102833073,0.05777392023299299,0.11483175264045553,-0.056975861514067416,-8.197089339512242e-5
14.0,1.124821205862213,2.522311720803833,0.9595512766841124,0.631811979281734,0.7203455843261211,0.5878568682896429,0.03456042625469462,0.0742830022976882,0.8168147852194028,1.5919450354984448,2.1401259551842546,2.6641392603231813,2.172445459098997,2.742317381218695,0.40704247931741294,0.10801113287219238,0.5911872411266892,-0.7396017892860905,1.055305883806585,1.0732808025123404,0.9707743418469013,5.125901739873236e-10,0.7202512171233794,9.436720274169641e-5,0.816707780292717,0.0001070049266858053,0.0001310026809285326,0.25324819237272456,0.25335519729941036,-0.0001070049266858053,0.18925357949763078,0.06399461287509378,0.1245548801893741,-0.06045326238759452,-0.0001070049266858053
15.0,1.1339207222093657,2.7080487128272823,0.9605475579442864,0.6320452559266441,0.7195025650442859,0.566977607796085,0.03455582158939694,0.0716711014448306,0.8222963931310615,1.6483947431783084,2.1671091135311147,2.7605391315438883,2.1998551507597477,2.841636203374246,0.40211954587109994,0.10558616011436381,0.5837506529796611,-0.7473014426795805,1.054712309291599,1.0729099258575459,0.9701557503960467,9.021023813177762e-10,0.7193804394882639,0.00012212555602197916,0.8221568197520287,0.00013957337903280909,0.00016973609540150714,0.26125816363449583,0.26139773701352864,-0.00013957337903280909,0.19095578174003458,0.07030238189446125,0.13421280547890524,-0.06377085020541118,-0.00013957337903280909
16.0,1.1428679105271133,2.9073365870405907,0.96160227616784,0.6323109463830312,0.7185667549811662,0.5468035125359322,0.03454877135842139,0.06914996929943218,0.8275335344727761,1.706647993764656,2.1937598491077823,2.8603724984197196,2.226937882608258,2.94450859831006,0.3971759722914797,0.10317968184618372,0.576434327663086,-0.7553333459953313,1.0541566343379072,1.0725795473552806,0.9695276760341307,1.0708465838674935e-11,0.7184087957786709,0.0001579592024952836,0.8273516216077051,0.0001819128650709656,0.0002198253695989043,0.26934639008111505,0.269528302946186,-0.0001819128650709656,0.19266264276974754,0.07668374731136751,0.14378288636647518,-0.0669172261900367,-0.0001819128650709656
17.0,1.1516446158081248,3.1211357546875793,0.9627155431851704,0.6326097207012052,0.7175379691689476,0.5273128093463255,0.034539247787223365,0.06671664180854937,0.8325107316047039,1.766746139605338,2.220017837114571,2.9637508758795263,2.2536327830894005,3.0510512956111073,0.3922130291121254,0.10079297907111548,0.56923249948733,-0.7637130839379889,1.0536389867974325,1.0722899460248514,0.9688899264733936,5.4599827527454575e-11,0.7173337714776301,0.0002041976913175203,0.8322738148467133,0.00023691675799064615,0.0002845810258012865,0.27749818695258155,0.2777351037105722,-0.00023691675799064615,0.19437411815774452,0.08312406879483702,0.15324155121577643,-0.06988056566294876,-0.00023691675799064615
18.0,1.1602323045969507,3.3504707420164044,0.9638873174641461,0.6329421867933328,0.716416294125757,0.5084844195161858,0.034527228996624026,0.06436824808778263,0.8372127677008018,1.8287306724992418,2.2458208775905115,3.0707884478740737,2.279877044344144,3.161383877667977,0.3872322038266181,0.09842728568593324,0.5621390639023853,-0.7724561967552069,1.0531594307312846,1.0720413615343063,0.9682423035308968,1.2422013081899922e-10,0.716152456030193,0.0002638380955640729,0.8369044433033485,0.00030832439745331897,0.00036827483926225326,0.285697671094454,0.2860059954919073,-0.00030832439745331897,0.19609012946543247,0.08960754162902151,0.16256436831141285,-0.07264850228493802,-0.00030832439745331897
19.0,1.1686121247737011,3.5964340347718964,0.9651173828036036,0.6333088860383987,0.7152021157009744,0.4902979297614165,0.03451269970404622,0.06210200714482715,0.841624799555066,1.8926432220032872,2.2711051009592187,3.1816020752503453,2.305606124808937,3.2756287871425203,0.3822352118242962,0.09608379172728915,0.5551476058599826,-0.7815781538307516,1.0527179615340985,1.0718339905252223,0.9675846014671056,2.2107855850612047e-10,0.7148613788747306,0.00034073682624380375,0.8412238323923676,0.0004009671626983291,0.0004764203275738841,0.2939277509245434,0.2943287180872417,-0.0004009671626983291,0.19781055952296078,0.09611719140158259,0.1717261288229872,-0.07520797025870629,-0.0004009671626983291
20.0,1.1767649746536109,3.860190115271881,0.9664053268549866,0.6337102890381113,0.7138961461661752,0.4727335642586189,0.03449565192381189,0.059915224728869204,0.8457324765711224,1.9585255600373646,2.295805211176292,3.2963113019064423,2.330753989915504,3.393911332030118,0.37722400483797125,0.09376364652129864,0.5482514291793801,-0.7910943206125595,1.0523145013575468,1.0716679832211145,0.966916604932189,3.5487452479151366e-10,0.713456290689086,0.000439855477089246,0.8452113922874072,0.000521084283715223,0.0006161337043929896,0.30217012901702367,0.3026912133007389,-0.000521084283715223,0.19953524770069508,0.10263488131632859,0.18070094574963114,-0.07754498014958733,-0.000521084283715223
