T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_effective,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,minus_nfa_final,cond_1b_final,bubble_share_final,bubble_share_max,error,search_stage,selected_for_downstream,search_right_censored,search_outcome
55,0,local_loglinear,6.683876037597656,ok,55,500,54,true,5.463753654090315e-7,55,5.463753654090315e-7,7.028590796024409e-10,true,true,0.9887778687867572,true,0.04108296843739956,0.40859404019822676,T_report_plus_1_only,286.23225539096114,0.1807536124603734,0.15012812234582465,,0.18791575381348358,13.245737346583514,15.025286975612964,-149.46495351963404,0.009526730356971838,0.9975832864964889,0.9975832864964889,,coarse_grid,false,false,safe_at_cap_right_censored
56,0,local_loglinear,6.60280179977417,ok,56,500,55,true,5.546935906285936e-7,56,5.546935906285936e-7,7.02858233202624e-10,true,true,0.9887778689418665,true,0.036940796474756454,0.40859404019822676,T_report_plus_1_only,333.1532803960766,0.1737921501596953,0.14513133652002522,,0.18070809587802472,14.356875314498621,16.285704949821966,-169.02411408373246,0.00832560464654844,0.9979662938753954,0.9979662938753954,,coarse_grid,false,false,safe_at_cap_right_censored
57,0,local_loglinear,6.942010164260864,ok,57,500,56,true,5.636713050205693e-7,57,5.636713050205693e-7,7.0285683464974e-10,true,true,0.9887778690781697,true,0.03315072720729728,0.40859404019822676,T_report_plus_1_only,388.22601015811944,0.16707514766815829,0.1402894325472602,,0.17375162002156633,15.56494806559227,17.656080780314273,-191.09124291159333,0.007270894575620324,0.9982904296738279,0.9982904296738279,,coarse_grid,false,false,safe_at_cap_right_censored
58,0,local_loglinear,6.714303016662598,ok,58,500,57,true,5.729068855183181e-7,58,5.729068855183181e-7,7.028557935853979e-10,true,true,0.9887778691867565,true,0.02969424553965805,0.40859404019822676,T_report_plus_1_only,452.9202633324981,0.16059502548733962,0.1355913141945518,,0.1670388324472153,16.878650090509712,19.14627706093009,-215.9929126206498,0.006345502346735467,0.9985643949214743,0.9985643949214743,,coarse_grid,false,false,safe_at_cap_right_censored
59,0,local_loglinear,6.650468111038208,ok,59,500,58,true,5.816719713944581e-7,59,5.816719713944581e-7,7.028555023127933e-10,true,true,0.9887778692604868,true,0.0265517051370463,0.40859404019822676,T_report_plus_1_only,528.9780567430437,0.1543443122585822,0.13102670846718484,,0.1605622717904659,18.30750554106044,20.767097511932445,-244.0999840542354,0.005534206636417002,0.9987956725671453,0.9987956725671453,,coarse_grid,false,false,safe_at_cap_right_censored
60,0,local_loglinear,6.536015033721924,ok,60,500,59,true,5.889135146512191e-7,60,5.889135146512191e-7,7.028551623792597e-10,true,true,0.9887778693198963,true,0.023702813207985063,0.40859404019822676,T_report_plus_1_only,618.4650280402653,0.14831569111168813,0.12658620738482668,,0.15431457223883271,19.86194666965603,22.53037593308189,-275.8336657247073,0.004823479170800844,0.998990684013935,0.998990684013935,,coarse_grid,false,false,safe_at_cap_right_censored
65,0,local_loglinear,9.379053115844727,ok,65,500,60,true,6.282710084182353e-7,65,6.282710084182353e-7,7.028541284160614e-10,true,true,0.9887778694725319,true,0.013155704260867873,0.40859404019822676,T_report_plus_1_only,1371.0831800101632,0.1212618150092872,0.10597482470258565,,0.1262626490070541,29.95806568040232,33.98289648594042,-508.1207088043084,0.002403007105043448,0.9995884794924599,0.9995884794924599,,coarse_grid,false,false,safe_at_cap_right_censored
70,0,local_loglinear,3.5002400875091553,ok,70,500,65,true,6.812080500471222e-7,70,6.812080500471222e-7,7.028541284160614e-10,true,true,0.9887778694725319,true,0.007098800085221124,0.40859404019822676,T_report_plus_1_only,3105.140120019301,0.09878080406695824,0.08752078409960463,,0.10293114920628424,45.45525832082514,51.562118687415136,-938.3088868754858,0.0011792541846776298,0.999835740883231,0.999835740883231,,coarse_grid,false,false,safe_at_cap_right_censored
75,0,local_loglinear,9.948700904846191,ok,75,500,70,true,7.443211463711547e-7,75,7.443211463711547e-7,7.028543885871761e-10,true,true,0.9887778694267776,true,0.0037529002059587535,0.40859404019822676,T_report_plus_1_only,7157.67808688813,0.08018340785131463,0.07078256982196536,,0.08361104787012537,69.37250263684096,78.69261673116884,-1741.0959503633785,0.0005707542797111616,0.9999356471761879,0.9999356471761879,,coarse_grid,false,false,safe_at_cap_right_censored
80,0,local_loglinear,11.136945962905884,ok,80,500,75,true,8.035640255830594e-7,80,8.035640255830594e-7,7.02854631409312e-10,true,true,0.9887778693897051,true,0.001953492122590439,0.40859404019822676,T_report_plus_1_only,16741.179922724285,0.06487629796175481,0.0555588492652736,,0.0676925368936323,106.45178867809392,120.75346140646622,-3247.749538816279,0.0002728395249784639,0.999975190449012,0.999975190449012,,coarse_grid,false,false,safe_at_cap_right_censored
85,0,local_loglinear,11.457818031311035,ok,85,500,80,true,8.696537484212194e-7,85,8.696537484212194e-7,7.028551554654796e-10,true,true,0.9887778693399203,true,0.00100441900648518,0.40859404019822676,T_report_plus_1_only,39626.28065475932,0.05234144922819565,0.0417451300472732,,0.05464381677549654,164.14360409713413,186.19610482833633,-6086.4820898827165,0.00012902048909823783,0.9999905646083104,0.9999905646083104,,coarse_grid,false,false,safe_at_cap_right_censored
90,0,local_loglinear,10.90178108215332,ok,90,500,85,true,9.44772547745119e-7,90,9.44772547745119e-7,7.02855054673008e-10,true,true,0.9887778693238807,false,0.0005109398391812681,0.40859404019822676,T_report_plus_1_only,94712.91724024943,0.04212538304196703,0.02930321178773054,,0.043999094396154896,254.16141554247886,288.30770387800123,-11441.325382549316,6.044681000668359e-5,0.9999964519705611,0.9999964519705611,,coarse_grid,false,false,safe_at_cap_right_censored
95,0,local_loglinear,9.818753004074097,ok,95,500,90,true,1.0136693107384825e-6,95,1.0136693107384825e-6,7.028555302306612e-10,true,true,0.9887778693064356,false,0.0002570550169496144,0.40859404019822676,T_report_plus_1_only,228176.05854576812,0.03383398383874076,0.01826667077724089,,0.03535279835418764,394.93238262813986,447.9910857550526,-21507.44042956829,2.809780282770865e-5,0.9999986781378388,0.9999986781378388,,coarse_grid,false,false,safe_at_cap_right_censored
100,0,local_loglinear,7.608681917190552,ok,100,500,95,true,1.0797609177183837e-6,100,1.0797609177183837e-6,7.028554537846362e-10,true,true,0.9887778692878814,false,0.00012739735457745205,0.40859404019822676,T_report_plus_1_only,553236.5579437723,0.027128689192264712,0.008824900882963019,,0.028355685717578447,615.4611018110439,698.1475806570406,-40175.203817367554,1.2974805246839536e-5,0.9999995112175417,0.9999995112175417,,coarse_grid,false,false,safe_at_cap_right_censored
105,0,local_loglinear,3.7777140140533447,ok,105,500,100,true,1.034012695870799e-6,105,1.034012695870799e-6,7.02855526651707e-10,true,true,0.9887778692759484,false,6.125213269436713e-5,0.40859404019822676,T_report_plus_1_only,1.348325134337455e6,0.021722258916734336,0.0017360944801114327,,0.022710732467517872,961.4216972850146,1090.5875778539237,-73265.49651312828,5.958115165528036e-6,0.9999998203592264,0.9999998203592264,,coarse_grid,true,true,safe_at_cap_right_censored
