T_report,n_buffer,terminal_rule,solved_t,is_reported_period,periods_to_extended_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_Q_US,Q_US_over_beta_e_US,abs_US_funding_gap,omega_times_one_minus_theta,omega_star_S_star_over_beta_e_US,omega_US,theta_US,omega_star,S_star_over_beta_e_US,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
49,0,local_loglinear,45,true,4,0.01929448739814213,0.014379645420888513,0.12415498799325457,0.9068059836845213,0.09319401631547874,0.8992005746356351,0.007605414389911731,0.897482595905648,-0.0019142195490191502,0.43518546010556775,0.0174762603237406,0.2749683860972417,0.2610300480735207,0.052020603997219306,0.2214314056672489,6.029246826496971,0.5341609367727463,7.069726320071098e-9
49,0,local_loglinear,46,true,3,0.01712197496983437,0.012455804855663829,0.11346824675024855,0.913548411365192,0.08645158863480795,0.9065687340307935,0.006979683251395452,0.9051273762640083,-0.0015924363847378915,0.4469937415435713,0.015614722540170281,0.26499875203174444,0.25254566168086745,0.04813304595475931,0.2134933776142978,6.509244244612951,0.5223563320021825,7.674720584579346e-9
49,0,local_loglinear,47,true,2,0.015178589407616709,0.010764827821776072,0.10351197449040032,0.9200209117867122,0.07997908821328781,0.9136339619853924,0.0063869563196308635,0.9124255636108277,-0.0013243802264619844,0.4585127506355176,0.013929724551341872,0.2553199614737352,0.24422662916453303,0.04442090722453895,0.20579133848802272,7.031140279823075,0.5103287326245166,8.294560002255575e-9
49,0,local_loglinear,48,true,1,0.013443082476001811,0.009282658734904034,0.09426617863473598,0.9262005630693522,0.07379943693064783,0.9203721059269959,0.005828464284527505,0.9193595997232333,-0.0011013168340956608,0.4697099086853317,0.012408646649249446,0.24593240624988827,0.23607797105169814,0.04089459056136757,0.19831518725052796,7.5984882145591675,0.49812414056299326,8.92688274919883e-9
49,0,local_loglinear,49,true,0,0.01189571392518965,0.00798701400777521,0.0857068580838473,0.932070084587686,0.06792991541231397,0.926764876229848,0.005305216143367134,0.9259167234769144,-0.0009160140771070418,0.4805935873707891,0.011038882504426837,0.2368348116718401,0.2281040089704633,0.037561196323317114,0.19105370454086582,8.215163601833934,0.48579158884401086,5.031623918768799e-7
50,0,local_loglinear,43,true,7,0.02440546996887809,0.0190323681051278,0.14749336915391112,0.8928390438647558,0.10716095613524423,0.8838861511370727,0.008952896555678557,0.8814532178811463,-0.002760138832750172,0.41131064518702387,0.021766751384729305,0.2957274744789432,0.2784665744738265,0.06014030357506539,0.23828719177456228,5.1835587815939395,0.5562176567153576,5.29132188480541e-9
50,0,local_loglinear,44,true,6,0.021703713897897527,0.01656409460728953,0.13528595578389468,0.9000478504967192,0.0999521495032808,0.891780889910506,0.008266964877882865,0.8897361343763946,-0.0022981594824678753,0.42365289971335657,0.019513533091538596,0.2851834451133399,0.26966902303313656,0.055937273845036106,0.22988901896824324,5.589516872818576,0.544865563526429,5.7993643122905695e-9
50,0,local_loglinear,45,true,5,0.019278099621257375,0.014381992874404233,0.1238341698526629,0.90705019371256,0.09294980628743998,0.8994405047183761,0.007609693776324554,0.8977237785472021,-0.0019123100136126954,0.4357933956136898,0.01746170055103402,0.27492356277930186,0.2610246844395038,0.051878126253323664,0.22174752444709092,6.031147124176168,0.5331968440605895,6.324619171797216e-9
50,0,local_loglinear,46,true,4,0.017104356674841125,0.012458563572023412,0.11312845579143392,0.9138113735619225,0.08618862643807745,0.9068278538610796,0.006983524998300811,0.9053878376114783,-0.0015904965692937463,0.4476918080867513,0.015598956407412263,0.2649523857873582,0.2525399853930649,0.047980539397939115,0.21385579914106428,6.51144901014667,0.5212480321662002,6.865073248209744e-9
50,0,local_loglinear,47,true,3,0.015159725212186094,0.010767997954258493,0.10315372220283958,0.9203025069938693,0.07969749300613072,0.9139122266533978,0.006390286175837128,0.9127052439239861,-0.0013224233534830936,0.45931238641044925,0.01391272337717159,0.25527225672478254,0.24422065299951645,0.04425851681302473,0.20620547965340408,7.0336865607275545,0.5090602690783826,7.418649239813992e-9
