T_report,n_buffer,t,terminal_contaminated,bubble_share_LL,bubble_share_HKT_scalar,bubble_share_difference,abs_bubble_share_difference,fundamental_share_LL,fundamental_share_HKT_scalar,q_US_LL,q_US_HKT_scalar,phi_US_LL,phi_US_HKT_scalar
105,0,29,false,0.0646133256615023,0.06461333117933263,5.517830331536189e-9,5.517830331536189e-9,0.9353866743384978,0.9353866688206675,2.022991615128848,2.0229916306909144,0.4636525555849366,0.4636525536868115
105,0,30,false,0.07354043958249563,0.07354044672550361,7.143007976773141e-9,7.143007976773141e-9,0.9264595604175044,0.9264595532744964,2.1425147109936806,2.142514733380223,0.4512503841123,0.4512503816073157
105,0,31,false,0.08318474149192455,0.08318474948847064,7.996546091959544e-9,7.996546091959544e-9,0.9168152585080754,0.9168152505115293,2.2733332155737425,2.273333243919153,0.43876005953099295,0.43876005663191353
105,0,32,false,0.09353666597312063,0.09353667529438203,9.321261401629144e-9,9.321261401629144e-9,0.9064633340268794,0.906463324705618,2.416464755921372,2.4164647929579934,0.4262242214888877,0.42622421803386146
105,0,33,false,0.10458029469254483,0.10458030498026102,1.028771619282498e-8,1.028771619282498e-8,0.8954197053074552,0.8954196950197391,2.57300807585801,2.5730081221562733,0.4136844518576959,0.413684447929306
105,0,34,false,0.11629396954237858,0.11629398081851935,1.127614077112149e-8,1.127614077112149e-8,0.8837060304576214,0.8837060191814806,2.7441486218869837,2.744148679380758,0.4011807192883415,0.40118071486138146
105,0,35,false,0.12865100608466543,0.1286510183615164,1.2276850980263987e-8,1.2276850980263987e-8,0.8713489939153346,0.8713489816384836,2.931164697655739,2.9311647685959734,0.38875088271730807,0.38875087777120304
105,0,36,false,0.1416204642699145,0.1416204775496091,1.3279694593970603e-8,1.3279694593970603e-8,0.8583795357300855,0.858379522450391,3.135434300282742,3.135434387270208,0.37643026792097467,0.37643026244052785
105,0,37,false,0.1551679372675904,0.1551679515418834,1.4274292997606963e-8,1.4274292997606963e-8,0.8448320627324096,0.8448320484581167,3.358442766731812,3.3584428727504743,0.3642513269368513,0.36425132091280865
105,0,38,false,0.16925632380291006,0.16925633905319842,1.5250288365464826e-8,1.5250288365464826e-8,0.83074367619709,0.8307436609468016,3.6017913826644894,3.601791511113748,0.35224338515329345,0.35224337858278304
105,0,39,false,0.18384655731483585,0.18384657351263942,1.6197803570650038e-8,1.6197803570650038e-8,0.8161534426851642,0.8161534264873606,3.867207109528416,3.867207264308589,0.3404324773786218,0.3404324702628835
105,0,40,false,0.19889827180199016,0.19889828890939212,1.7107401967253466e-8,1.7107401967253466e-8,0.8011017281980098,0.8011017110906079,4.1565536040917745,4.156553789629844,0.32884126985425577,0.32884126219990306
105,0,41,false,0.21437039163848093,0.2143704096084877,1.7970006760403834e-8,1.7970006760403834e-8,0.7856296083615191,0.7856295903915123,4.471843708324735,4.47184392955188,0.3174890622451439,0.3174890540666457
105,0,42,false,0.23022163942678275,0.23022165820405543,1.877727268118079e-8,1.877727268118079e-8,0.7697783605732172,0.7697783417959445,4.81525358781199,4.81525385019857,0.30639186123398715,0.306391852552795
105,0,43,false,0.24641096049512043,0.24641098018964713,1.9694526703917248e-8,1.9694526703917248e-8,0.7535890395048795,0.7535890198103529,5.189138701368862,5.1891390135043975,0.2955625153563911,0.29556250612391977
105,0,44,false,0.2628978678783198,0.2628978885774901,2.0699170266702538e-8,2.0699170266702538e-8,0.7371021321216802,0.7371021114225099,5.596051766537937,5.596052137470457,0.2850109001478944,0.2850108903492968
105,0,45,false,0.27964271474133506,0.2796427363655104,2.1624175339240992e-8,2.1624175339240992e-8,0.7203572852586649,0.7203572636344896,6.038762905560849,6.038763341176626,0.2747441414117063,0.27474413114538293
105,0,46,false,0.2966069011294114,0.29660692358545876,2.245604735495732e-8,2.245604735495732e-8,0.7033930988705887,0.7033930764145412,6.520282086138635,6.5202825947640966,0.264766866351505,0.2647668556665365
