T_report,reference_T_report,evaluation_t,periods_to_terminal,terminal_contaminated,terminal_anchor_weight,terminal_anchor_fraction_of_fundamental_value,terminal_anchor_scale_bubble_share_exposure,bubble_share_derivative_wrt_terminal_value,fundamental_share,bubble_share,reference_bubble_share,bubble_share_difference_from_longest,abs_bubble_share_difference_from_longest,max_u_residual
57,105,40,17,false,0.10883098130381522,0.0011747339037835934,0.000696767530019801,-0.02618504092830843,0.5931279652146294,0.40687203478537065,0.19889827180199016,0.2079737629833805,0.2079737629833805,5.636713050205693e-7
58,105,1,57,false,8.587881060198533e-6,2.360894925635563e-7,2.3605072906938428e-7,-9.74165287289925e-6,0.9998358101677839,0.0001641898322160777,8.304807617164723e-5,8.114175604443047e-5,8.114175604443047e-5,5.729068855183181e-7
58,105,20,38,false,0.002282147345480335,4.308997246878367e-5,4.1836057576968025e-5,-0.0017265456120055189,0.9709000767469963,0.029099923253003715,0.014718854294665167,0.014381068958338548,0.014381068958338548,5.729068855183181e-7
58,105,40,18,false,0.09697515487473739,0.0009317453508857986,0.0005653470476411252,-0.023331487738042268,0.6067613292662603,0.39323867073373975,0.19889827180199016,0.1943403989317496,0.1943403989317496,5.729068855183181e-7
59,105,1,58,false,7.661387669621663e-6,1.9164471184416148e-7,1.916142570472369e-7,-8.690686148088638e-6,0.9998410872043819,0.00015891279561804065,8.304807617164723e-5,7.586471944639341e-5,7.586471944639341e-5,5.816719713944581e-7
59,105,20,39,false,0.0020359413228844465,3.494461358680699e-5,3.396040935451029e-5,-0.0015402781802812534,0.9718353093288095,0.028164690671190585,0.014718854294665167,0.013445836376525418,0.013445836376525418,5.816719713944581e-7
59,105,40,19,false,0.08651458440030972,0.000740892107228477,0.00045891281071328916,-0.02081404206923504,0.6194057221502688,0.38059427784973127,0.19889827180199016,0.1816960060477411,0.1816960060477411,5.816719713944581e-7
60,105,1,59,false,6.8426387095918525e-6,1.5562741054728943e-7,1.5560344219786873e-7,-7.761939202912613e-6,0.9998459888952954,0.00015401110470454184,8.304807617164723e-5,7.096302853289461e-5,7.096302853289461e-5,5.889135146512191e-7
60,105,20,40,false,0.0018183670481762225,2.8351976190368253e-5,2.7578081842875277e-5,-0.0013756726173521506,0.972704042134605,0.027295957865394935,0.014718854294665167,0.012577103570729768,0.012577103570729768,5.889135146512191e-7
60,105,40,20,false,0.07727006626635782,0.0005904503078431548,0.0003726625729532489,-0.018589461734309396,0.6311497648541183,0.36885023514588167,0.19889827180199016,0.1699519633438915,0.1699519633438915,5.889135146512191e-7
60,105,60,0,true,1.0,1.0,0.0010093159860650228,-0.05034753222491247,0.0010093159860650228,0.998990684013935,0.5387088041352833,0.46028187987865166,0.46028187987865166,5.889135146512191e-7
65,105,1,64,false,3.947609654240686e-6,5.5213378015655254e-8,5.520597412794969e-8,-4.477966357311181e-6,0.9998659040983969,0.00013409590160309482,8.304807617164723e-5,5.1047825431447586e-5,5.1047825431447586e-5,6.282710084182353e-7
65,105,20,45,false,0.001049040890429755,1.0022511768356813e-5,9.784314521819152e-6,-0.000793642933580178,0.9762337773162113,0.023766222683788654,0.014718854294665167,0.009047368389123487,0.009047368389123487,6.282710084182353e-7
