t,Y_US,e_US,q_US,q_W,n_W,n_US_star,gross_row_equity_asset,gross_foreign_us_equity_claim,bond,NFA,dNFA,CA,VA,RES,NFA_over_current_Y,ahp_rebased_NFA_change_current_Y,ahp_cum_CA_current_Y,ahp_cum_VA_current_Y,ahp_cum_RES_current_Y,dNFA_over_current_Y,CA_over_current_Y,VA_over_current_Y,RES_over_current_Y,periodnorm_cum_dNFA,periodnorm_cum_CA,periodnorm_cum_VA,periodnorm_cum_RES,late_NFA_change_over_endpoint_Y,late_cum_CA_over_endpoint_Y,late_cum_VA_over_endpoint_Y,late_cum_RES_over_endpoint_Y,omega,omega_star,theta,theta_US_star,Psi
11.0,3.1138064549082984,3.150818682448501,1.204167790246445,1.8927858388795633,0.48135513205200414,1.0069162409459327,0.9111021774200356,1.2124961048231206,-0.16682578960001754,-0.4682197170031026,-0.05377520496957322,-0.016579145538015566,-0.03719605943155764,-1.3877787807814457e-17,-0.15036892105642824,-0.1308319915732362,-0.038376611344919195,-0.092455380228317,3.342642199053238e-18,-0.017269925330396587,-0.005324398217455626,-0.011945527112940956,-4.456856265404318e-18,-0.17126654990584536,-0.04999673479301513,-0.12126981511283029,1.1266987341802362e-17,0.009911792682021608,0.0,0.0,0.0,0.4250612015136586,0.18722244567727542,-0.11765957176591268,0.0251127989539808,0.9163661987540863
12.0,3.3666789968714,3.4131195534886647,1.2429023180476557,1.8915053814024754,0.5224100436760369,1.075754802993216,0.988141408911926,1.3370581382911675,-0.17696025712004418,-0.5258769864992856,-0.057657269496182995,-0.018038489589801393,-0.039618779906381525,-7.632783294297951e-17,-0.15620051302425167,-0.13813100975697137,-0.040852077029300285,-0.09727893272767107,-1.957997544416221e-17,-0.017125858910149425,-0.0053579475817457705,-0.011767911328403633,-2.2671550514293083e-17,-0.18839240881599478,-0.0553546823747609,-0.13303772644123393,-1.1404563172490721e-17,0.008529481442213188,0.0,0.0,0.0,0.4231057594203209,0.18544794940261286,-0.11521571678330793,0.023956138690531568,0.9136076888004325
13.0,3.652700707415275,3.709783988253343,1.2818406790845807,1.8908495946263473,0.568657954135288,1.15032242735735,1.0752466620577572,1.4745300814499687,-0.18840879229768703,-0.5876922116898985,-0.06181522519061289,-0.01958450668609789,-0.04223071850451516,1.5959455978986625e-16,-0.1608925172809358,-0.14423793153555747,-0.04301483997313245,-0.10122309156242507,2.5645426550436966e-17,-0.01692315635527516,-0.005361651078156984,-0.01156150527711822,4.3692208197040754e-17,-0.20531556517126995,-0.06071633345291788,-0.14459923171835215,3.228764502455003e-17,0.007047484786476142,0.0,0.0,0.0,0.4212294349034059,0.1837449197166714,-0.11285999573875428,0.02293951949891915,0.9109337225632734
14.0,3.9761261928544327,4.04523556334085,1.3209524286396452,1.8907469880375813,0.6207564611784805,1.231197141891883,1.1736934092780797,1.6263528547162727,-0.2012744918328636,-0.6539339372710565,-0.06624172558115804,-0.021192254841934974,-0.04504947073922307,6.938893903907228e-18,-0.16446508625562561,-0.1491652154308067,-0.044845807852275786,-0.10431940757853098,2.530451920451367e-17,-0.01665986499628765,-0.005329874811322627,-0.011329990184965024,1.7451392554837013e-18,-0.2219754301675576,-0.06604620826424051,-0.15592922190331718,3.403278428003373e-17,0.00545936445723992,0.0,0.0,0.0,0.41943227905114,0.18211167724121768,-0.11056875218116619,0.022041055089626168,0.9083450558553864
15.0,4.341854202280783,4.424565276428019,1.3602130289839243,1.891138425074076,0.6794583006209229,1.3190061246670575,1.2849497005397603,1.7941293160817258,-0.21567743001303616,-0.7248570455550016,-0.0709231082839451,-0.02282855642065794,-0.048094551863287247,8.326672684688674e-17,-0.16694642698371426,-0.1529353123078932,-0.0463260944036649,-0.10660921790422834,4.2350728487600696e-17,-0.016334751232938472,-0.005257789726948008,-0.011076961505990482,1.9177688371743712e-17,-0.2383101814004961,-0.07130399799118853,-0.16700618340930767,5.321047265177744e-17,0.0037590097474225,0.0,0.0,0.0,0.4177136986133005,0.18054627366367448,-0.10832322451205322,0.02124292907935532,0.9058417404743222
16.0,4.7555257080128746,4.853633028463519,1.3996033272970267,1.89197511935396,0.7456254111085439,1.4144320182012022,1.4107047261754329,1.9796437589098514,-0.231755689753638,-0.8006947224880565,-0.07583767693305488,-0.024450131079159443,-0.05138754585389534,-9.020562075079397e-17,-0.16837144232843013,-0.15557912011863775,-0.047437716162664345,-0.10814140395597344,1.9698151887794185e-17,-0.015947275146735378,-0.0051414149728939386,-0.010805860173841421,-1.896859070676477e-17,-0.2542574565472315,-0.07644541296408247,-0.1778120435831491,3.424188194501267e-17,0.001940830112112827,0.0,0.0,0.0,0.416072584629597,0.17904657174424132,-0.10610869031027823,0.02053053521549835,0.903423255818711
17.0,5.223638407197797,5.339186051365326,1.4391091135310574,1.8932169962823864,0.8202452306792829,1.5182196769254968,1.5529022118415852,2.18488377340566,-0.24966668397853278,-0.8816482455426078,-0.08095352305455128,-0.026001249096229972,-0.05495227395832115,-1.5959455978986625e-16,-0.1687804891563245,-0.15713454194642065,-0.04816423117850611,-0.10897031076791452,-1.2619459263544423e-17,-0.01549753576798179,-0.004977612742184093,-0.010519923025797667,-3.055237505910755e-17,-0.26975499231521327,-0.08142302570626657,-0.18833196660894674,3.689506885905121e-18,0.0,0.0,0.0,0.0,0.41450741865863766,0.1776103082344678,-0.10391375163705942,0.019891816181790412,0.9010886173530195
18.0,5.753680475166165,5.888997203562699,1.478720775861944,1.8948313438485267,0.9044496028244157,1.6311834380970003,1.7137794563630537,2.4120648391559496,-0.26958879735180497,-0.9678741801447008,-0.08622593460209305,-0.02741089030739785,-0.058815044294695286,9.020562075079397e-17,-0.16821827077854004,-0.15764517458447397,-0.04849129515426183,-0.10915387943021214,4.220972778814924e-18,-0.014986222292714796,-0.004764061964460449,-0.010222160328254362,1.5677898892741144e-17,-0.28474121460792806,-0.08618708767072703,-0.1985541269372011,1.9367405778646266e-17,-0.002067234185818488,-0.0006571657328930594,-0.001410068452925431,2.1626456567800703e-18,0.413016364703805,0.1762351473268108,-0.10172975052100752,0.019316753827567586,0.8988364729736366
19.0,6.354286929235507,6.512026592328291,1.5184330363056238,1.896791703166773,0.999536726793507,1.754214995939249,1.8959129703923976,2.6636580026168915,-0.2917233525890661,-1.05946838481356,-0.09159420466885915,-0.028589269350515006,-0.06300493531834403,-1.1102230246251565e-16,-0.1667328524211018,-0.1571591240372042,-0.04840711332689501,-0.10875201071030915,-1.3650024741529212e-17,-0.014414552834786603,-0.004499209694006471,-0.009915343140780115,-1.747203166915739e-17,-0.29915576744271466,-0.09068629736473349,-0.2084694700779812,1.8953741094888742e-18,-0.004263170617103337,-0.0013425826578784424,-0.0029205879592248945,-4.990720746415547e-19,0.41159734691083416,0.1749187242128315,-0.09955028709930518,0.01879697280909712,0.8966651858890855
20.0,7.035422577616995,7.218610610994778,1.5582447381272704,1.8990769617568588,1.1069966595930771,1.8882919591947973,2.1022718529750124,2.9424210094633274,-0.31629690341760874,-1.1564460599059236,-0.09697767509236366,-0.029423590633980284,-0.06755408445838323,-1.3877787807814457e-16,-0.1643747830564045,-0.1557279368346304,-0.047902776899471436,-0.10782515993515893,-3.205408763852391e-17,-0.013784200454553431,-0.004182206585229242,-0.00960199386932417,-1.972559239293779e-17,-0.3129399678972681,-0.09486850394996274,-0.21807146394730537,-1.7830218283448915e-17,-0.006588173716661112,-0.002048002120233754,-0.004540171596427354,-3.826219238918586e-18,0.41024811184319104,0.17365867714422656,-0.09737081627925956,0.018325429278655363,0.8945729007094065
21.0,7.808596241873105,8.02068323311874,1.5981587195005913,1.9016706003077095,1.2285409756098027,2.034487202868314,2.3362802545905126,3.2514334629763644,-0.34356391824076676,-1.2587171266266186,-0.10227106672069497,-0.02977296584598607,-0.07249810087470925,3.469446951953614e-16,-0.16119633896254326,-0.15340566631799904,-0.046972494493721303,-0.10643317182427775,1.5550892831058715e-17,-0.013097240983247773,-0.003812844834559433,-0.009284396148688383,4.4431122374453474e-17,-0.32603720888051585,-0.09868134878452217,-0.22735586009599376,2.660090409100456e-17,-0.009040083879430309,-0.0027617977212214717,-0.006278286158208842,4.491648671773992e-18,0.40896628449304073,0.17245267663359592,-0.09518832145319656,0.017896166907122733,0.8925576058162913
22.0,8.687111856153445,8.93203531765894,1.6381817140513806,1.9045600815181776,1.3661372805140772,2.193979094309376,2.6018905303409126,3.594136433308629,-0.3738098433354576,-1.3660557463031742,-0.10733861967655556,-0.0294621955078212,-0.07787642416873444,8.326672684688674e-17,-0.15725085263355273,-0.15024803994491903,-0.04561371443631372,-0.10463432550860532,2.3563339986265692e-17,-0.012356076617169736,-0.0033914833831628277,-0.008964593234006918,9.58508745204028e-18,-0.3383932854976856,-0.102072832167685,-0.23632045333000068,3.618599154304484e-17,-0.011613486708612963,-0.0034681427208331952,-0.008145343987779776,6.487936970340211e-18,0.4077494109048646,0.17129844439470962,-0.09300103629272059,0.017504121951808112,0.8906171797686979
23.0,9.686363052280225,9.968618751138598,1.6783243303730053,1.9077363395355325,1.5220494174559132,2.3680627227856585,2.903668984249533,3.974377283500516,-0.4073546391387145,-1.4780629383896975,-0.11200719208652332,-0.028274335576036147,-0.0837328565104868,-3.7470027081099033e-16,-0.1525921473738023,-0.1463117491680453,-0.04382715914813856,-0.1024845900199067,-1.7550746315017322e-17,-0.011563389838062718,-0.0029189836704892253,-0.008644406167573454,-3.868327759228308e-17,-0.3499566753357483,-0.10499181583817421,-0.24496485949757413,-2.497286049238239e-18,-0.014298816796449187,-0.0041460092276308725,-0.010152807568818313,-2.4953603732077732e-18,0.4065949979353744,0.17019377208228037,-0.0908082206791158,0.01714496897968864,0.8887494373499285
24.0,10.824179150398166,11.14890355922075,1.7186010443918671,1.9111933697554513,1.6988843334228911,2.558162226494497,3.246896474019239,4.396460274177267,-0.4445567875940087,-1.5941205877520366,-0.11605764936233909,-0.02594163513032921,-0.09011601423201021,3.3306690738754696e-16,-0.14727403950011278,-0.14165382421278414,-0.04161677333035397,-0.10003705088243017,1.5064791932589325e-17,-0.010722073955886985,-0.0023966376359702943,-0.008325436319916722,3.0770638841033514e-17,-0.3606787492916353,-0.10738845347414451,-0.25329029581749085,2.8273352791795275e-17,-0.017081255066265736,-0.0047679501230809595,-0.012313304943184783,5.489792821057101e-18,0.4055005421315691,0.16913653164418627,-0.08860996663784754,0.01681499563361391,0.886952161877626
