t,home_equity,foreign_liability,bond_position,nfa_sum,NFA,A_US,Q_US,V_agg,B_agg,NFA_fund,NFA_bubble,NFA_b_cf,DeltaNFA,DeltaA,DeltaV,DeltaB,e_US
18,2.0289782072265212,-0.11964636286058589,-0.8587778819883914,1.0505539623775437,1.0505540318549293,5.490328991645097,4.439774959790167,4.32266091402859,0.11711404576157758,1.167668077616507,-0.11711404576157758,-0.13736355471572548,1.1879175865706548,4.120032520861614,-2.815000888529382,-0.11711404576157758,10.980657983290193
19,2.2097024480101775,-0.1360948796645111,-0.8495910989693324,1.224016469376334,1.2240166008598825,6.21341172010412,4.989395119244238,4.826930892881884,0.1624642263623537,1.3864808272222362,-0.1624642263623537,-0.14353536314200688,1.3675519640018894,4.798463158145882,-3.2684469677816392,-0.1624642263623537,12.42682344020824
20,2.415666526726183,-0.1545574508641628,-0.8402699605374769,1.4208391153245432,1.420839347469487,7.048806038617844,5.627966691148357,5.403566740388447,0.22439995075990993,1.6452392982293969,-0.22439995075990993,-0.15014247993096186,1.5709818274004488,5.586888643482895,-3.7915068653225354,-0.22439995075990993,14.097612077235688
21,2.6506598440258244,-0.17531855361559703,-0.8310105393794073,1.6443307510308198,1.6443311427486318,8.016993050700362,6.372661907951731,6.063998379951365,0.30866352800036534,1.9529946707489971,-0.30866352800036534,-0.15721715199009934,1.8015482947387311,6.505610595281221,-4.395398772542125,-0.30866352800036534,16.033986101400725
22,2.918979790710859,-0.1987047705970371,-0.8219815334385013,1.8982934866753203,1.8982941266234254,9.14264677816238,7.2443526515389545,6.8214586871708205,0.422893964368134,2.3211880909915594,-0.422893964368134,-0.1647942648371945,2.06308839146062,7.579110815173746,-5.093128459344992,-0.422893964368134,18.28529355632476
23,3.225511907319001,-0.22508905452763445,-0.8133274773630454,2.1870953754283207,2.187096395596548,10.455565502219235,8.268469106622687,7.691236352200593,0.5772327544220941,2.764329150018642,-0.5772327544220941,-0.17291158245062732,2.360007978047175,8.83698194873623,-5.899741216266962,-0.5772327544220941,20.91113100443847
24,3.575819959016397,-0.25489573257149617,-0.8051711536160379,2.515753072828863,2.515754667880975,11.991823038122769,9.476068370241794,8.69094852951563,0.7851198407261641,3.300874508607139,-0.7851198407261641,-0.18161000441206787,2.697364672293043,10.315078037055752,-6.832593524036545,-0.7851198407261641,23.983646076245538
25,3.9762475862232374,-0.288606040054849,-0.7976158229527927,2.890025723215596,2.8900281778793655,13.7951944253311,10.905166247451735,9.8408271302854,1.0643391171663357,3.954367295045701,-1.0643391171663357,-0.19093380890768308,3.080961986787049,12.056939619786423,-7.9116385158330385,-1.0643391171663357,27.5903888506622
26,4.434033204251428,-0.326764115042041,-0.7907475313356767,3.3165215578737106,3.316525285538134,15.91892453648832,12.602399250950185,11.1640079304157,1.4383913205344854,4.754916606072619,-1.4383913205344854,-0.20093094173243142,3.517456227270565,14.115561569597668,-9.159714021792619,-1.4383913205344854,31.83784907297664
27,4.957439953252651,-0.36998342120101574,-0.7846376850590626,3.8028188469925723,3.8028244438447842,18.427925844596363,14.625101400751578,12.686805091196238,1.9382963095553407,5.741120753400125,-1.9382963095553407,-0.21165330307581542,4.014477746920599,16.555590153990646,-10.602816097514705,-1.9382963095553407,36.855851689192725
28,5.555902679158078,-0.418953708601896,-0.7793458129107147,4.357603157645467,4.357611478265852,21.401514066460866,17.043902588195014,14.438944272098471,2.6049583160965426,6.962569794362395,-2.6049583160965426,-0.22315707596138878,4.580768554227241,19.456057786987138,-12.270330916663355,-2.6049583160965426,42.80302813292173
29,6.240194245843711,-0.4744485900717947,-0.774922530419909,4.990823125352008,4.990835387820102,24.93681890856806,19.94598352074796,16.4537145074951,3.4922690132528587,8.48310440107296,-3.4922690132528587,-0.23550303442654918,5.226338422246651,22.91379307463354,-14.195185639134028,-3.4922690132528587,49.87363781713612
30,7.022613931001125,-0.5373339466386569,-0.7714125100804496,5.713867474282019,5.713885405706623,29.15304335186487,23.439157946158247,18.76798078565145,4.671177160506797,10.38506256621342,-4.671177160506797,-0.24875691213815587,5.962642317844779,27.04767909785148,-16.413859619499902,-4.671177160506797,58.30608670372974
31,7.917201249011429,-0.608577330814252,-0.7688574030706635,6.539766515126513,6.539792552332887,34.19679093441338,27.65699838208049,21.421974406704887,6.235023975375604,12.774816527708492,-6.235023975375604,-0.2629897709703899,6.802782323303277,32.00397976595655,-18.966173467277667,-6.235023975375604,68.39358186882676
32,8.939979357571318,-0.6892586630537791,-0.7672985385921767,7.4834221559253615,7.483459721114983,40.24873906757567,32.76527934646069,24.458744029895943,8.306535316564744,15.789995037679727,-8.306535316564744,-0.2782784254690349,7.761738146584017,37.96301191707594,-21.89473845392718,-8.306535316564744,80.49747813515134
33,10.10923315949811,-0.7805824117298427,-0.766779444129886,8.561871303638382,8.561925181579142,47.53201104113872,38.97008585955958,27.923104089625696,11.046981769933886,19.608906951513028,-11.046981769933886,-0.29470584763207075,8.856631029211211,45.147516342734974,-25.243903543589873,-11.046981769933886,95.06402208227745
34,11.445828572152283,-0.8838916071211775,-0.7673480866631531,9.794588878367952,9.794665730589053,56.32269454497653,46.528028814387476,31.85985431766588,14.668174496721594,24.462840227310647,-14.668174496721594,-0.31236165284227324,10.107027383431326,53.833174890083896,-29.057973009930972,-14.668174496721594,112.64538908995306
35,12.97358100028947,-1.0006840188655672,-0.7690588671823706,11.203838114241531,11.203947177467782,66.96307602537713,55.75912884790935,36.31095945105533,19.44816939685402,30.652116574321802,-19.44816939685402,-0.33134259967695723,11.53528977714474,64.36184343091776,-33.378384256919,-19.44816939685402,133.92615205075427
36,14.719683129510775,-1.1326309157847145,-0.7719744539257484,12.815077759800312,12.81523186990566,79.87831545958517,67.06308358967951,41.311264047432374,25.751819542247134,38.56705141215279,-25.751819542247134,-0.35175312812264803,13.166984998028308,77.15822513965377,-38.23942059937833,-25.751819542247134,159.75663091917033
37,16.715204295288295,-1.2815987055695055,-0.7761672847123214,14.657438305006467,14.657654986040328,95.59748475486278,80.93982976882245,46.882164262553566,34.05766550626888,48.71532049230921,-34.05766550626888,-0.37370598023157386,15.031360966271901,92.75090697859991,-43.66188050605913,-34.05766550626888,191.19496950972555
38,18.99567798426135,-1.4496745424886064,-0.7817212618753895,16.764282179897354,16.76458552642744,114.78014730374322,98.01556177731578,53.02245254011854,44.99310923719724,61.75769476362468,-44.99310923719724,-0.397322801517201,17.16190832794464,111.79893771158804,-49.64392014644616,-44.99310923719724,229.56029460748644
39,21.601795717626636,-1.639195939274387,-0.7887332042277787,19.17386657412447,19.174289509307968,138.2499821740116,119.07569266470362,59.695277150893645,59.38041551380998,78.55470502311795,-59.38041551380998,-0.4227348671925686,19.597024376500535,135.12544988257844,-56.148009992267916,-59.38041551380998,276.4999643480232
40,24.580232415996463,-1.852785760872445,-0.7973144898953006,21.93013216522872,21.93071952564992,167.03737462458483,145.1066550989349,66.80979030103802,78.29686479789689,100.22758432354681,-78.29686479789689,-0.45008383753977554,22.380803363189695,163.76024819768668,-63.08258003660009,-78.29686479789689,334.07474924916966
41,27.984632715012218,-2.0933934310756563,-0.8075928980852611,25.0836463858513,25.08445903747659,202.43343153560284,177.34897249812624,74.19556879369469,103.15340370443155,128.23786274190815,-103.15340370443155,-0.4795225774662324,25.563981614942826,198.99382268223903,-70.27643736286464,-103.15340370443155,404.86686307120567
42,31.876795408957545,-2.364343846938203,-0.8197147000219508,28.692736861997393,28.693857179137524,246.05857037131847,217.36471319218094,81.56723712092337,135.79747607125756,164.4913332503951,-135.79747607125756,-0.5112161020075994,29.205073281145122,242.4459347853497,-77.44338543294698,-135.79747607125756,492.11714074263693
43,36.32810150461086,-2.6693954734595025,-0.8338472212170533,32.824858809934305,32.82639795318778,299.94971777375235,267.1233198205646,88.47585265757023,178.64746716299436,211.47386511618214,-178.64746716299436,-0.545342503750752,33.37174045693853,296.1528137097079,-84.13360608977504,-178.64746716299436,599.8994355475047
44,41.42124268879539,-3.0128097817368,-0.8501819300172351,37.558250977041354,37.56035854256197,366.67129625388327,329.1109377113213,94.24245337976524,234.86848433155606,272.428842874118,-234.86848433155606,-0.5820940648216459,38.14245260738362,362.6781398878827,-89.66720294894306,-234.86848433155606,733.3425925077665
45,47.25232035885011,-3.399434516716972,-0.8689382307754119,42.98394761135773,42.986824402455795,449.45664904900553,406.46982464654974,97.86762845994959,308.60219618660017,351.58902058905596,-308.60219618660017,-0.6216784173197487,43.608502819775545,445.2544667922226,-93.04376778584691,-308.60219618660017,898.9132980980111
