case,horizon_kind,vartheta_US,t,evidence_window,phi_US,phi_W,rd_share_US,N_US,N_W,G_N_US,G_N_W,US_real_scale_growth,W_real_scale_growth,relative_real_scale_growth,zeta,e_W_over_e_US,Q_W_over_e_US,q_US,q_W,Y_US,NFA,rebased_NFA_change_current_Y,cum_VA_current_Y,cum_CA_current_Y,residual_norm
counterfactual_vartheta050,replication_T30_buffer10,0.5,3,true,0.7254547154055806,0.7629043197630447,0.2745452845944194,1.114632955204778,1.0833755968237335,1.054909056918884,1.042677222442652,1.0980605443815514,1.042677222442652,1.0531164590026763,0.967685734319,1.783629336750488,0.8173707810892131,1.1456006255491604,2.238326638983478,3.2085355517013836,0.04498213814182761,0.02587205918482383,0.004694256716743216,0.021177802468080598,1.2237626890872007e-11
counterfactual_vartheta050,replication_T30_buffer10,0.5,4,true,0.727572411977683,0.7560827896902419,0.27242758802231704,1.175836399585781,1.1296110581583207,1.0544855176044634,1.0439050978557565,1.0972891479079723,1.0439050978557565,1.0511387962007943,0.9387947294833039,1.6856141321247902,0.7862541116449194,1.1620903048789397,2.2741401045832976,3.5350901875620258,0.09393892308242935,0.03733093064928088,0.006720425174936552,0.030610505474344324,5.6474798895745365e-11
counterfactual_vartheta050,replication_T30_buffer10,0.5,5,true,0.7291944689551182,0.7492239792449282,0.2708055310448818,1.239902454435381,1.1792067422057064,1.0541611062089764,1.0451396837359128,1.0966984512599718,1.0451396837359128,1.0493319393822644,0.9121058658120607,1.5962491887268844,0.7580400475517197,1.179884913032576,2.3110229175415467,3.891423814284221,0.14861026228917795,0.047961762774972876,0.00856431604066784,0.03939744673430504,1.3226840021494392e-10
counterfactual_vartheta050,replication_T30_buffer10,0.5,6,true,0.7303527008099846,0.7423369746066515,0.2696472991900154,1.3070569429588261,1.232435761608128,1.0539294598380031,1.0463793445708027,1.096276746987405,1.0463793445708027,1.0476857677624256,0.8873674980894953,1.5144561709621627,0.7323564595391949,1.1989965477341187,2.3489675674620756,4.280660695458107,0.20964485072961925,0.05785885682105333,0.010242665174257166,0.04761619164679613,1.1131939110201271e-9
counterfactual_vartheta050,replication_T30_buffer10,0.5,7,true,0.7310740813267277,0.7354298004200887,0.2689259186732723,1.3775458178701072,1.2895953244571312,1.0537851837346546,1.047622635924384,1.0960141324183468,1.047622635924384,1.0461917248010433,0.8643667097440122,1.439313291633245,0.7088842546536739,1.2194506303326902,2.387969766371294,4.706320041801238,0.27777338312985334,0.06710182560329853,0.011768571350938886,0.055333254252359625,1.1305068796716952e-11
counterfactual_vartheta050,replication_T30_buffer10,0.5,8,true,0.7313812862521945,0.7285093727788433,0.26861871374780555,1.4516373727871559,1.3510092530835411,1.0537237427495612,1.0488683128998082,1.095902304358756,1.0488683128998082,1.0448426088198934,0.8429226627145072,1.3700284078460676,0.6873482583296101,1.2412855157656917,2.4280291580958386,5.172372445489021,0.35382001322233503,0.07575813630986306,0.013152684725661086,0.06260545158420196,5.964361946825599e-11
counterfactual_vartheta050,replication_T30_buffer10,0.5,9,true,0.7312932139028335,0.7215814326862174,0.2687067860971665,1.5296247655684219,1.4170307959937638,1.0537413572194332,1.0501153421164808,1.0959343637611485,1.0501153421164808,1.0436323704711528,0.82288113856068,1.3059173731544036,0.667509927828959,1.2645522261775803,2.4691502496145263,5.683305800468514,0.4387159320581342,0.08388519505095691,0.014404109965511957,0.06948108508544497,1.3663806770028737e-10
counterfactual_vartheta050,replication_T30_buffer10,0.5,10,true,0.7308254786557793,0.7146504720783251,0.2691745213442207,1.611828876506526,1.4880457791245805,1.0538349042688442,1.0513629150259014,1.0961046317943723,1.0513629150259014,1.0425559206331418,0.8041100433715903,1.2463865515597228,0.6491615039301362,1.2893143030634184,2.5113435189673825,6.244202338188069,0.5335154426263415,0.09153206370000387,0.015531085711172447,0.07600097798883142,2.43667292539357e-10
counterfactual_vartheta050,replication_T30_buffer10,0.5,11,true,0.7299908824977861,0.7077196557837269,0.2700091175022139,1.6986015297710135,1.5644761480324076,1.0540018235004427,1.0526104619589292,1.096408475087439,1.0526104619589292,1.0416089471949583,0.7864956782529656,1.1909186388582502,0.6321213073577108,1.3156477477348187,2.554626697749349,6.860828720392995,0.6394150131239646,0.09874088456089047,0.01654149283336434,0.08219939172752612,1.097426348687003e-9
counterfactual_vartheta050,replication_T30_buffer10,0.5,12,true,0.7287998639156221,0.7007907471772064,0.2712001360843779,1.7903291097792897,1.6467839609041186,1.0542400272168755,1.053857665508103,1.0968421401221145,1.053857665508103,1.0407877420460638,0.769939632492573,1.1390611282345136,0.616229944753645,1.3436410400418275,2.599026195843991,7.539741475315183,0.7577758645921102,0.10554806829198944,0.017443226252213718,0.08810484203977574,8.405656396426349e-10
