t,Y_US,q_US,q_W,NFA,NFA_over_Y,asset_position,liability_position,foreign_liability_exposure_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_current_Y,cum_CA_current_Y,NFA_change_current_Y
20,2.1205698937720068,0.7645736757543857,1.7567445209750232,-0.05753597413571965,-0.02713231679120765,0.5047618230122277,0.383093884833809,0.18065609907927768,-1.78711261944423e-5,-0.0007076036021880977,-0.00072547472838254,0.001632798689127074,-0.0011284270772340763,-0.00014003547136809402,0.0003643361405249036,5.735429492448318e-17,-0.007226694105533568,0.0008737623717170227,-0.006352931733816554
21,2.1281737842679735,0.765990150494303,1.7566956582826654,-0.05788214490470628,-0.027198034922047476,0.506399505253808,0.3849356423025622,0.1808760380134878,-1.4039617814279686e-5,-0.0007097325321179053,-0.000723772149932185,0.0016517218593945114,-0.0011320249366353387,-0.00014209554181365824,0.0003776013809455145,3.935653886122381e-17,-0.007540964098073633,0.0010480702173890715,-0.006492893880684553
22,2.1358795083030144,0.7674070164934079,1.756658730553526,-0.05821516015052308,-0.02725582596032106,0.5080581108501439,0.38678349981899235,0.1810886327226844,-1.064509021707147e-5,-0.0007120225019475413,-0.0007226675921646128,0.0016692506865530051,-0.0011358350144825488,-0.000143763325722579,0.00038965234634787734,-6.797947621484113e-17,-0.007852104778661325,0.0012267208411719174,-0.006625383937489432
23,2.1436793813332637,0.7688245666338241,1.7566323144365448,-0.058536640481203495,-0.02730662103247761,0.509736030646005,0.38863779469995086,0.1812947393552095,-7.640028342456572e-6,-0.0007144644141832665,-0.0007221044425257231,0.0016855598242036583,-0.0011398304667752381,-0.00014510524558308813,0.0004006241118453321,-2.1575623232461538e-17,-0.008160387364194676,0.0014091435711966905,-0.0067512437929980185
24,2.1515666211708075,0.7702430730670503,1.7566151461316197,-0.05884803398265409,-0.0273512488080109,0.51143185290717,0.3904988320622606,0.18149511533589638,-4.981864180392228e-6,-0.0007170494231088681,-0.0007220312872892603,0.0017008041253452734,-0.001143987939200891,-0.00014617840030575757,0.0004106377858386248,3.913969842672671e-17,-0.008466056892857801,0.0015948331652793765,-0.00687122372757844
25,2.1595352505484846,0.7716627882095579,1.7566061043177434,-0.059150633709179445,-0.02739044602034452,0.5131443412970277,0.3923668882213791,0.18169042997641494,-2.632489896591606e-6,-0.0007197690240858094,-0.000722401513982401,0.0017151208797543315,-0.0011482871350326832,-0.00014703195726459284,0.00041980178745705554,-8.890457814381136e-18,-0.008769334481934685,0.0017833427776787676,-0.006985991704255937
26,2.167580009704165,0.7730839461884017,1.7566041944748374,-0.059445593952619,-0.027424867218964727,0.5148724154139558,0.3942422138503939,0.18188127408694857,-5.579082741397214e-7,-0.0007226152956315584,-0.0007231732039056981,0.001728632025202253,-0.0011527103333832053,-0.00014770873135291906,0.0004282129604661286,1.2468324983583301e-17,-0.009070419570891565,0.001974277550778177,-0.0070961420201134
27,2.175696278277145,0.7745067642279737,1.7566085348982337,-0.05973394484780875,-0.027455093546011805,0.5166151334392383,0.39612503680973926,0.18206816859723468,1.2722070714494067e-6,-0.0007255808849643913,-0.000724308677892942,0.0017414458182109741,-0.0011572420743810243,-0.00014824596112680832,0.0004359577827031415,5.204170427930421e-17,-0.009369491975014639,0.002167288873202257,-0.007202203101812371
28,2.1838800055749337,0.7759314436924385,1.7566183444756436,-0.0600166051554496,-0.02748164047577764,0.5183716765339659,0.39801556460923615,0.18225157224444372,2.8849775245481795e-6,-0.0007286588463378187,-0.0007257738688132705,0.0017536581172031222,-0.0011618689531590384,-0.000148675602871573,0.0004431135611725108,-8.760353553682876e-17,-0.009666713662980069,0.002362069291069907,-0.00730464437191019
29,2.192127648070187,0.7773581714729617,1.756632931412576,-0.060294394213227465,-0.027504964989747246,0.5201413351057703,0.3999139867102838,0.182431888518145,4.304551968785029e-6,-0.0007318428293179438,-0.0007275382773491587,0.0017653540198356798,-0.0011665792717296918,-0.00014902552853465756,0.00044974921957133046,-3.8055496254241206e-17,-0.00996223052283228,0.0025583478777153295,-0.007403882645116998
30,2.200436113694488,0.7787871210957269,1.7566516833627075,-0.060568042419098356,-0.027525471901752165,0.5219234964744178,0.4018204765459409,0.1826094718429668,5.5524772437388706e-6,-0.0007351269484507605,-0.0007295744712070216,0.0017766088914037675,-0.0011713628872063494,-0.00014931973886131433,0.00045592626533610373,2.677979366039196e-17,-0.010256173899484439,0.0027558861371694064,-0.007500287762315066
