switch_index,G_N_US,G_N_W,nu_b_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
29,1.011594638778659,1.0027341041762259,0.23684842572586157,true,5.7849092056546543e-11,1.0027341043710927,1.0027341041762259,1.9486678937141733e-10,1.9433543489710825e-10
30,1.0117975665611247,1.0026964160408312,0.22959315818879994,true,1.5783172512710276e-10,1.002696416254291,1.0026964160408312,2.1345991640941975e-10,2.12885853476813e-10
31,1.0120016054927439,1.0026587494704775,0.22256382758587395,true,1.732534079258941e-10,1.0026587496992756,1.0026587494704775,2.2879809158382614e-10,2.2819141584987102e-10
32,1.0122067348619646,1.00262111011205,0.2157518478096414,true,3.5017736756490776e-10,1.002621110357736,1.00262111011205,2.4568613810060924e-10,2.4504394607188784e-10
33,1.0124129333293412,1.0025835036182889,0.2091490488438156,true,9.861527004061622e-10,1.0025835038803834,1.0025835036182889,2.620945682707543e-10,2.61419169297894e-10
34,1.0126201792707765,1.0025459356345416,0.20274764578227697,true,8.326672684688674e-17,1.0025459359094677,1.0025459356345416,2.74926081900162e-10,2.742280001168107e-10
35,1.0128284506132723,1.002508411673763,0.1965402106677082,true,9.883903083814816e-11,1.0025084119654657,1.002508411673763,2.9170266202527273e-10,2.9097274242828597e-10
36,1.0130377253731844,1.0024709372052436,0.19051964242432068,true,1.8053898302942632e-10,1.0024709374206908,1.0024709372052436,2.1544721562349878e-10,2.1491622544111966e-10
37,1.0132479814848159,1.0024335175722543,0.18467917501094214,true,3.5482431384325994e-10,1.0024335177983998,1.0024335175722543,2.261455467333917e-10,2.2559655402445977e-10
38,1.013459196882343,1.0023961580083005,0.17901231868430922,true,9.728567009321298e-10,1.0023961582443295,1.0023961580083005,2.360289741432098e-10,2.3546469591836927e-10
39,1.0136713495931469,1.0023588636686058,0.17351287390881215,true,3.906036007281251e-16,1.002358863919893,1.0023588636686058,2.5128721325984316e-10,2.5069584082271223e-10
40,1.0138844170496002,1.0023216396122674,0.16817491550542232,true,5.447374134871106e-16,1.0023216398752683,1.0023216396122674,2.6300095434805826e-10,2.6239170211606044e-10
