t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
17,u,3.567572433524839,3.914485145855566,0.5137972405679092,1.097240551886418,12.18724676919742,0.5706837711537652,0.1599641722172175,9.731465265312464,1.556685785626313,1.55668459218661,1.193439703832445e-06,7.666542052687139e-07,0.9022535762214033,0.6544322094049101,6.093623384598706,6.093618712896713,4.671701993126372e-06,2.56176516268496
18,u,3.914485145855566,4.303914596170246,0.5025789652989412,1.099484206940212,14.06764923756118,0.6430383040860175,0.1642714891297595,9.948685371314591,1.634285360829302,1.634283533252639,1.827576663007128e-06,1.118272675513499e-06,0.9106653180117213,0.7236200428175806,7.03382461878059,7.033816753046715,7.86573387553649e-06,3.114398864363924
19,u,4.303914596170246,4.741748606056901,0.4913537430828053,1.101729251383439,16.28790879275755,0.7264148557609096,0.1687800349029452,10.17596806860465,1.717500245790349,1.717497462957372,2.782832976309318e-06,1.620280977036327e-06,0.9193432604293712,0.7981569853609776,8.143954396378771,8.143941200884385,1.319549438630389e-05,3.784659772749994
20,u,4.741748606056901,5.234764413000971,0.4801329130836746,1.103973417383265,18.9161715187998,0.8226897851616209,0.1734992412104584,10.41378306662479,1.806783460189721,1.806779246920445,4.213269275742101e-06,2.331917116011062e-06,0.9282932332578735,0.8784902269318471,9.458085759399905,9.458063703927838,2.205547206704512e-05,4.59868937711198
21,u,5.234764413000971,5.790771973615338,0.4689278095939928,1.106214438081201,22.03536275921644,0.9340860177355516,0.1784389791096752,10.66262204480707,1.902627392307691,1.902621049842615,6.34246507630411e-06,3.333529781998646e-06,0.9375210902878848,0.9651063020198065,11.01768137960821,11.01764465183921,3.672776900749591e-05,5.588710525295835
22,u,5.790771973615338,6.418781522984663,0.4577497160734841,1.108450056785303,25.74659762623841,1.063241206144087,0.1836095793425408,10.92299967521407,2.005567375524765,2.005557882771895,9.492752869533866e-06,4.733200681951684e-06,0.9470327078217722,1.058534667702993,12.8732988131192,12.87323788121248,6.093190672122362e-05,6.794502766490679
23,u,6.418781522984663,7.129199656046098,0.4466098195447701,1.110678036091046,30.17341927119994,1.213289981243011,0.1890218535867606,11.19545469263642,2.116185597748732,2.116171471978928,1.412576980435265e-05,6.675109130021539e-06,0.9568339834380354,1.159351614310697,15.08670963559997,15.08660893016674,0.0001007054332305773,8.26524912998031
24,u,7.129199656046098,7.934058969938478,0.4355191657384723,1.112896166852306,35.46707438217044,1.387963325437273,0.1946871167032299,11.48055101437828,2.235115375153649,2.23509447686102,2.089829262836904e-05,9.349983835591679e-06,0.9669308350288707,1.268184540124778,17.73353719108521,17.73337138279913,0.0001658082860845106,10.0618509261143
25,u,7.934058969938478,8.847287222642775,0.4244886153704887,1.115102276925902,41.8130902608801,1.591708774744226,0.2006172100276901,11.77887891206707,2.36304582459289,2.36301508604528,3.073854761021294e-05,1.300802011129371e-05,0.9773292001221374,1.385716624470753,20.90654513044004,20.90627317768052,0.0002719527595144336,12.25983298588377
26,u,8.847287222642775,9.885023050089973,0.413528801918326,1.117294239616335,49.43948752651306,1.829835984056931,0.2068245257567596,12.09105623793412,2.500726972309035,2.500682022575412,4.494973362353737e-05,1.797466661545751e-05,0.988035035496878,1.512691936812157,24.71974376325652,24.71929943410356,0.0004443291529640712,14.95299466307342
27,u,9.885023050089973,11.06598657349777,0.4026500912423031,1.119469981751539,58.62705109489996,2.108693208163925,0.2133220324807165,12.41772970812801,2.648975340134041,2.648909990705748,6.534942829323473e-05,2.466970050764156e-05,0.999054317099361,1.64992102303468,29.31352554744999,29.31280239155391,0.0007231558960786907,18.25800388823347
28,u,11.06598657349777,12.41191475947605,0.3918625433715588,1.121627491325688,69.72219484082491,2.43588150353562,0.2201233019177321,12.75957624574255,2.80868005428391,2.808585598347243,9.44559366666056e-05,3.363000941404404e-05,1.010393040264429,1.798287014019481,34.86109742041246,34.85992504137803,0.001172379034432377,22.32018513108251
29,u,12.41191475947605,13.94807321326661,0.3811758767446612,1.123764824651068,83.15309901066345,2.820514997812549,0.2272425369066595,13.11730438636691,2.98080952613487,2.980673790565734,0.0001357355691366123,4.553647857956785e-05,1.022057220244705,1.958752305890165,41.57654950533171,41.57465625567575,0.00189324965596188,27.32082056921081
30,u,13.94807321326661,15.70385824503612,0.3705994351608682,1.125880112967826,99.44998267336635,3.27353747357299,0.2346946007179966,13.49165574909638,3.166418759058839,3.166224830672236,0.0001939283866024026,6.124533782766129e-05,1.034052893048086,2.132365866010753,49.72499133668319,49.72194591279029,0.003045423892892693,33.48637128638655
31,u,15.70385824503612,17.71350561564804,0.3601421576614277,1.127971568467715,119.2706074149927,3.808107854914784,0.2424950477452572,13.88340657607915,3.366657340533131,3.366381866315564,0.0002754742175675758,8.182425168459608e-05,1.046386116581794,2.320271223951338,59.63530370749633,59.63042409339648,0.004879614099849505,41.10013735528858
32,u,17.71350561564804,20.01692541961763,0.3498125515214902,1.130037489695702,143.4324074229738,4.440070074578801,0.250660155641719,14.29336934381794,3.582778184365978,3.582389118536965,0.0003890658290129868,0.0001085933342763829,1.059062972099271,2.523715212266707,71.71620371148686,71.70841580980418,0.007787901682674662,50.51701918429715
33,u,20.01692541961763,22.66068619187428,0.3396186684930083,1.132076266301398,172.9530235202172,5.188526365955805,0.259206958970371,14.72239444959409,3.816147094041554,3.815600731924703,0.0005463621168506821,0.0001431711365905574,1.072089565944284,2.74405752809727,86.47651176010861,86.46413081963152,0.01238094047708145,62.18222653666247
