date,fa_us_musd,fl_us_musd,nfa_us_musd,gva_corporate_saar_musd,delta_fa_musd,delta_fl_musd,delta_nfa_musd,gain_us_held_row_equity_musd,gain_foreign_held_us_equity_musd,net_equity_valuation_musd,purchase_us_of_row_equity_musd,purchase_row_of_us_equity_musd,net_equity_purchases_musd,current_account_us_musd,net_financial_transactions_us_musd,delta_bond_ca_closing_musd,delta_bond_financial_account_musd,statistical_discrepancy_ca_minus_nft_musd,total_valuation_us_musd,non_equity_valuation_musd,ahp_residual_musd,gross_position_identity_error_musd,delta_position_identity_error_musd,simplified_rhs_musd,simplified_identity_gap_musd,exact_ahp_identity_error_musd,fa_us_over_gva,fl_us_over_gva,nfa_us_over_gva,delta_fa_over_gva,delta_fl_over_gva,delta_nfa_over_gva,gain_us_held_row_equity_over_gva,gain_foreign_held_us_equity_over_gva,net_equity_valuation_over_gva,purchase_us_of_row_equity_over_gva,purchase_row_of_us_equity_over_gva,net_equity_purchases_over_gva,delta_bond_ca_closing_over_gva,delta_bond_financial_account_over_gva,current_account_us_over_gva,net_financial_transactions_us_over_gva,total_valuation_us_over_gva,non_equity_valuation_over_gva,ahp_residual_over_gva,simplified_rhs_over_gva,simplified_identity_gap_over_gva,cum_delta_nfa_over_gva,cum_gain_us_held_row_equity_over_gva,cum_gain_foreign_held_us_equity_over_gva,cum_net_equity_valuation_over_gva,cum_purchase_us_of_row_equity_over_gva,cum_purchase_row_of_us_equity_over_gva,cum_net_equity_purchases_over_gva,cum_delta_bond_ca_closing_over_gva,cum_current_account_us_over_gva,cum_total_valuation_us_over_gva,cum_non_equity_valuation_over_gva,cum_ahp_residual_over_gva,cum_simplified_rhs_over_gva,cum_simplified_identity_gap_over_gva,nfa_simple_reconstruction_over_gva,nfa_exact_reconstruction_over_gva,quarter
2003-07-01,7190985.0,9300714.0,-2109729.0,6581487.0,143982.0,173262.0,-29280.0,135170.0,46780.0,88390.0,77844.0,15288.0,62556.0,-134147.75,-116649.0,-196703.75,-179205.0,-17498.75,87369.0,-1021.0,17498.75,0.0,0.0,-45757.75,16477.75,0.0,1.092607947109825,1.4131630131610076,-0.32055506605118267,0.021876819022813538,0.026325661662782288,-0.004448842639968749,0.020537911873107096,0.0071078162123544425,0.013430095660752654,0.011827722215359538,0.002322879312836142,0.009504842902523396,-0.029887432733666418,-0.027228649087964466,-0.020382589831143022,-0.01772380618544107,0.013274963545472323,-0.00015513211528033104,0.0026587836457019516,-0.006952494170390369,0.0025036515304216207,-0.3261907225525174,0.06756877283203629,0.0959640275822166,-0.028395254750180315,0.3470698946909718,0.29168013246854396,0.05538976222242785,-0.4823225359253919,-0.42693277370296406,0.002966198976006486,0.0313614537261868,0.09777585217444021,-0.4553280284531444,0.12913730590062703,-0.44969237195180967,-0.32055506605118267,2003Q3
2003-10-01,8337916.0,10088204.0,-1750288.0,6683938.0,1146931.0,787490.0,359441.0,851151.0,549975.0,301176.0,66648.0,64151.0,2497.0,-129224.5,-150613.0,-131721.5,-153110.0,21388.5,309902.0,8726.0,178763.5,0.0,0.0,171951.5,187489.5,0.0,1.2474556167337278,1.509320403630315,-0.261864786896587,0.17159509857811367,0.11781826821254177,0.05377683036557191,0.12734274315530755,0.08228307922664753,0.045059663928660024,0.009971367179049237,0.009597785018352952,0.00037358216069628415,-0.019707169635624987,-0.022907154435005232,-0.019333587474928703,-0.02253357227430895,0.04636518172370839,0.0013055177950483682,0.026745236116792227,0.025726076453731317,0.028050753911840594,-0.26741406039373794,0.19387582589784644,0.176776175960938,0.01709964993690845,0.35172139538098646,0.2968070619446201,0.054914333436366404,-0.4946366947150018,-0.43972236127863545,0.04928591498006116,0.0321862650431527,0.12302238590483634,-0.42262271134172696,0.15520865094798905,-0.41707343784457607,-0.261864786896587,2003Q4
2004-01-01,8672955.0,10445054.0,-1772099.0,6757376.0,335039.0,356850.0,-21811.0,42154.0,32718.0,9436.0,92419.0,24743.0,67676.0,-140185.25,-28123.0,-207861.25,-95799.0,-112062.25,6312.0,-3124.0,112062.25,0.0,0.0,-130749.25,108938.25,0.0,1.2834797116513865,1.5457263292733747,-0.2622466176219882,0.04958122797961812,0.05280896016441885,-0.0032277321848007273,0.0062382202795878165,0.0048418202568571,0.0013964000227307167,0.013676758552432187,0.003661628419078648,0.010015130133353539,-0.030760645848329292,-0.014176952710637975,-0.020745515714975755,-0.004161822577284437,0.0009340903924837096,-0.00046230963024700714,0.016583693137691317,-0.019349115692245036,0.01612138350744431,-0.26773558256932867,0.19800703705106834,0.17969682314555235,0.018310213905515987,0.3615757063096681,0.2972430422696621,0.06433266404000607,-0.5200217140499508,-0.4556890500099447,0.0496843745264434,0.03137416062092741,0.1382690929141726,-0.4373788361044287,0.1696432535351,-0.4318898711570882,-0.2622466176219882,2004Q1
2004-04-01,8841294.0,10825839.0,-1984545.0,6898503.0,168339.0,380785.0,-212446.0,-17169.0,7098.0,-24267.0,110201.0,52896.0,57305.0,-157304.5,-152625.0,-214609.5,-209930.0,-4679.5,-25421.0,-1154.0,-29720.5,0.0,0.0,-181571.5,-30874.5,0.0,1.281625013426826,1.569302644356319,-0.28767763092949294,0.02440225074918428,0.055198207495162355,-0.030795956745978077,-0.0024888008311368423,0.0010289188828358849,-0.003517719713972727,0.015974625219413546,0.007667750525005208,0.008306874694408337,-0.031109575512252442,-0.030431239937128388,-0.022802700817844104,-0.022124365242720052,-0.0036850023838505253,-0.00016728266987779813,-0.004308253544283448,-0.02632042053181683,-0.0044755362141612465,-0.2930543046803053,0.19146748214793846,0.17704957147949346,0.014417910668445024,0.3701533506617305,0.2988299055606702,0.07132344510106033,-0.5404928793971677,-0.4691694342961074,0.04498294774967845,0.030565037081233423,0.13113218186612371,-0.4547515236276624,0.16169721894735714,-0.4493748498768501,-0.28767763092949294,2004Q2
2004-07-01,9060641.0,11044201.0,-1983560.0,7050983.0,219347.0,218362.0,985.0,32898.0,-37267.0,70165.0,72397.0,38489.0,33908.0,-160596.0,-65154.0,-194504.0,-99062.0,-95442.0,71139.0,974.0,90442.0,0.0,0.0,-90431.0,91416.0,0.0,1.2850181315144285,1.5663349351430857,-0.2813168036286572,0.03110871207603252,0.030969015242271893,0.000139696833760626,0.004665732423408197,-0.005285362338839847,0.009951094762248045,0.010267646369307656,0.00545867150722105,0.004808974862086606,-0.027585373557133808,-0.014049388574614349,-0.0227763986950472,-0.009240413712527743,0.010089231529844846,0.00013813676759680176,0.012826863998962981,-0.012825303932799157,0.012965000766559783,-0.28657720490887584,0.19199266258335895,0.16793544956781203,0.024057213015546912,0.3724162999683874,0.29782627471942563,0.07459002524896174,-0.5563899033652471,-0.48179987811628533,0.05409940713231049,0.03004219411676358,0.14112326607509904,-0.4577426651007384,0.1711654601918626,-0.45248226382051976,-0.2813168036286572,2004Q3
2004-10-01,10055070.0,11742824.0,-1687754.0,7133171.0,994429.0,698623.0,295806.0,668412.0,280962.0,387450.0,103646.0,93857.0,9789.0,-184286.75,-161418.0,-194075.75,-171207.0,-22868.75,395080.0,7630.0,85012.75,0.0,0.0,203163.25,92642.75,0.0,1.4096213311022545,1.646227743593978,-0.23660641249172354,0.13940910711379273,0.09794003256055407,0.041469074553238665,0.09370474926228461,0.03938809261687404,0.05431665664541058,0.01453014374672919,0.013157822797182347,0.0013723209495468424,-0.027207500002453328,-0.024001527511397107,-0.025835179052906485,-0.022629206561850263,0.05538630715568153,0.001069650510270958,0.011917946450463617,0.028481477592504092,0.012987596960734574,-0.24180620372061737,0.28348528305293674,0.20538859926391784,0.07809668378901893,0.3826554837953555,0.30755255972413953,0.075102924071216,-0.5771867098097045,-0.5020837857384886,0.10886238392434444,0.03076570013532551,0.15141519809352671,-0.4239871019494696,0.18218089822885222,-0.41878731072057573,-0.23660641249172354,2004Q4
2005-01-01,10261302.0,11916398.0,-1655096.0,7273771.0,206232.0,173574.0,32658.0,-1602.0,-61299.0,59697.0,106548.0,57107.0,49441.0,-178384.5,-48927.0,-227825.5,-98368.0,-129457.5,64099.0,4402.0,146943.5,0.0,0.0,-118687.5,151345.5,0.0,1.4107265681033951,1.6382696128321885,-0.22754304472879336,0.028352831014339056,0.02386300036116067,0.004489830653178386,-0.00022024339232015966,-0.008427403062318019,0.00820715966999786,0.014648247793338558,0.007851085771053281,0.006797162022285277,-0.03132151122162081,-0.013523659185861089,-0.02452434919933553,-0.006726497163575812,0.00881234781793378,0.0006051881479359194,0.020201832034580137,-0.01631718952933767,0.020807020182516057,-0.2326423254182734,0.277785346830413,0.19299109086607208,0.08479425596434091,0.38990710595645645,0.30945873880274755,0.08044836715370886,-0.5973513601129318,-0.5169029929592229,0.11557045169555104,0.030776195731210126,0.16869021584539848,-0.432108736994882,0.1994664115766086,-0.427009456305402,-0.22754304472879336,2005Q1
2005-04-01,10508917.0,12272894.0,-1763977.0,7399047.0,247615.0,356496.0,-108881.0,-22704.0,26521.0,-49225.0,75510.0,33950.0,41560.0,-182544.0,-101125.0,-224104.0,-142685.0,-81419.0,-57934.0,-8709.0,131597.0,0.0,0.0,-231769.0,122888.0,0.0,1.4203068314068015,1.6587128045003634,-0.2384059730935619,0.03346579633836628,0.04818134011042233,-0.01471554377205605,-0.0030685032815712617,0.003584380529005965,-0.006652883810577227,0.010205368340003787,0.004588428753054278,0.005616939586949509,-0.030288224956538323,-0.019284240254184085,-0.024671285369588812,-0.013667300667234577,-0.007829927286581637,-0.0011770434760044097,0.0177856688841144,-0.03132416918016604,0.016608625408109992,-0.24341891597661158,0.2700135571513467,0.19330786789163523,0.07670568925971143,0.39351081294658624,0.3088076072499607,0.08470320569662552,-0.6175256083655097,-0.5328224026688843,0.10578375836780061,0.029078069108089192,0.18361972832447207,-0.4561167134091728,0.21269779743256126,-0.45110377052612316,-0.2384059730935619,2005Q2
2005-07-01,11005544.0,12733562.0,-1728018.0,7528114.0,496627.0,460668.0,35959.0,322848.0,60893.0,261955.0,35913.0,52688.0,-16775.0,-175749.5,-219412.0,-158974.5,-202637.0,43662.5,255371.0,-6584.0,-43662.5,0.0,0.0,86205.5,-50246.5,0.0,1.4619257891153083,1.6914677434480934,-0.22954195433278507,0.06596964392409572,0.06119301593998178,0.0047766279841139495,0.04288564174240719,0.008088745733659187,0.03479689600874801,0.004770517555924366,0.006998831314191044,-0.0022283137582666786,-0.021117440570108264,-0.026917366022884352,-0.02334575432837494,-0.02914567978115103,0.03392230776526498,-0.0008745882434830291,-0.0057999254527760875,0.011451141680373065,-0.006674513696259116,-0.23446895198452095,0.3082699066459408,0.1980824147987132,0.1101874918472276,0.391534719054467,0.3105120352853318,0.08102268376913527,-0.6280557786452224,-0.5470330948760872,0.13789243892959113,0.027704947082363523,0.17467170396197507,-0.43684560302885955,0.2023766510443386,-0.4319186053771237,-0.22954195433278507,2005Q3
2005-10-01,11349911.0,12856213.0,-1506302.0,7740799.0,344367.0,122651.0,221716.0,406353.0,1389.0,404964.0,12138.0,61989.0,-49851.0,-213811.0,-358609.0,-163960.0,-308758.0,144798.0,488131.0,83167.0,-52604.0,0.0,0.0,191153.0,30563.0,0.0,1.4662454095500994,1.6608379832624514,-0.19459257371235192,0.044487268045585476,0.015844746776140294,0.028642521269445182,0.05249496854265302,0.0001794388408741785,0.05231552970177885,0.0015680551839674431,0.008008088053959288,-0.006440032869991844,-0.02118127598972664,-0.03988709692629921,-0.027621308859718488,-0.046327129796291056,0.06305951104013939,0.01074398133836055,-0.006795680910975727,0.024694220842060362,0.003948300427384822,-0.1993841979361562,0.3522948987565754,0.19281937174702507,0.1594755270095503,0.3823450266568089,0.30998854252642394,0.072356484130385,-0.6319806908821686,-0.5596242067517836,0.19716323857524268,0.03768771156569238,0.16307677024038475,-0.40014867974223334,0.20076448180607712,-0.39535705551842903,-0.19459257371235192,2005Q4
2006-01-01,12336914.0,13611559.0,-1274645.0,7898544.0,987003.0,755346.0,231657.0,537984.0,141633.0,396351.0,120995.0,113238.0,7757.0,-203023.0,-93146.0,-210780.0,-100903.0,-109877.0,463271.0,66920.0,-28591.0,0.0,0.0,193328.0,38329.0,0.0,1.5619225518019524,1.7232997625891557,-0.16137721078720332,0.12496011923210151,0.09563104288587872,0.029329076346222796,0.06811179376857304,0.017931532697671875,0.05018026107090117,0.015318646069452801,0.014336566334250971,0.0009820797352018296,-0.026685930976645823,-0.012774886105591106,-0.025703851241443993,-0.011792806370389276,0.05865270865111342,0.008472447580212253,-0.00361978106344663,0.024476409829457178,0.004852666516765622,-0.16607313955584727,0.4133708693652906,0.2069000311956229,0.20647083816966771,0.3900277063722124,0.3181342029619636,0.07189350341024878,-0.6460450812200325,-0.5741515778097837,0.2518783208652126,0.0454074826955449,0.1562001173887238,-0.36768073964011594,0.2016076000842687,-0.362984810871472,-0.16137721078720332,2006Q1
2006-04-01,12545978.0,13855016.0,-1309038.0,7972479.0,209064.0,243457.0,-34393.0,-56288.0,-117933.0,61645.0,64716.0,72847.0,-8131.0,-209106.5,-138241.0,-200975.5,-130110.0,-70865.5,109746.0,48101.0,64967.5,0.0,0.0,-147461.5,113068.5,0.0,1.5736608399971954,1.7378554399453419,-0.1641945999481466,0.02622321112416853,0.03053717670501233,-0.0043139655808438005,-0.00706028827419928,-0.014792513094107868,0.007732224819908588,0.008117424956528578,0.009137308483346271,-0.0010198835268176937,-0.025208658436102496,-0.016319892470083648,-0.026228541962920193,-0.01733977599690134,0.013765605403287987,0.006033380583379398,0.008148970978788405,-0.018496317143011604,0.014182351562167803,-0.16884697971609583,0.4024770714353716,0.1901887731532438,0.2122882982821278,0.3945281009833955,0.32432120548702603,0.07020689549636945,-0.6652624610237292,-0.5950555655273598,0.26330806264902046,0.05101976436689266,0.16290052316224352,-0.382767267245232,0.21392028752913617,-0.3781148874772828,-0.1641945999481466,2006Q2
2006-07-01,13053096.0,14621158.0,-1568062.0,8098623.0,507118.0,766142.0,-259024.0,257101.0,220850.0,36251.0,85082.0,78442.0,6640.0,-220451.75,-165254.0,-227091.75,-171894.0,-55197.75,-57500.0,-93751.0,18927.75,0.0,0.0,-184200.75,-74823.25,0.0,1.611767333780076,1.8053881505534952,-0.19362081677341939,0.0626178055207657,0.09460151435620599,-0.0319837088354403,0.03174626106191139,0.02727006801032719,0.004476193051584201,0.010505736592504677,0.00968584412436534,0.0008198924681393368,-0.028040785452045365,-0.021225089746738427,-0.02722089298390603,-0.02040519727859909,-0.007099972427411425,-0.011576165478995627,0.0023371565758771584,-0.022744699932321828,-0.009239008903118469,-0.19820073116133446,0.42795435717899205,0.21449646439894782,0.2134578927800442,0.3988886752723272,0.32895542859570076,0.06993324667662638,-0.6829411308564431,-0.6130078841798168,0.25210680877477565,0.03864891599473145,0.1627003442437066,-0.39954999139977254,0.20134926023843808,-0.39497007701185743,-0.19362081677341939,2006Q3
