T_report,t,s,payoff_t,all_u_probability,all_u_discount_factor,dividend_US,pv_contribution,expected_all_u_contribution,log10_pv_contribution
105,35,8,43,0.1677721600000001,1.7578354220292225,0.30674297742195555,0.5392036711710236,0.09046336459229241,-0.2682471595664124
105,35,9,44,0.13421772800000006,1.9097421688534433,0.3189871502510384,0.6091832121567973,0.08176318667142735,-0.2152520734386309
105,35,10,45,0.10737418240000006,2.079706501853587,0.3318229459354352,0.690094338126136,0.07409831533516303,-0.16109153574523083
105,35,11,46,0.08589934592000005,2.2699480289328675,0.345270931134956,0.7837470695776092,0.0673233606434334,-0.10582406998088034
105,35,12,47,0.06871947673600004,2.4829812590348648,0.3593528603447135,0.8922664176164966,0.061316081327710936,-0.04950545232197562
105,35,13,48,0.054975581388800036,2.7216543669024658,0.37409182000647995,1.0181486355431273,0.0559733131791969,0.007811183584382264
105,35,14,49,0.043980465111040035,2.9891932340314766,0.3895123679220158,1.164327734764069,0.051207675316607415,0.0660752426555305
105,35,15,50,0.03518437208883203,3.28925149443189,0.4056406658575862,1.3342541663744123,0.04694489505079172,0.1252385676162222
105,35,16,51,0.028147497671065624,3.6259674200530623,0.4225046039823079,1.5319879288622698,0.04312162665975139,0.18525534333238142
105,35,17,52,0.022517998136852502,4.004028595926153,0.44013391636452026,1.7623087871605085,0.039683665985839126,0.24608200669264613
105,35,18,53,0.018014398509482003,4.4287454679061495,0.45856028720781467,2.0308467937333514,0.03658448345401639,0.3076771616392312
105,35,19,54,0.014411518807585602,4.906134995574735,0.4778174484625059,2.344236905398128,0.033784014251581396,0.370001498774453
105,35,20,55,0.011529215046068483,5.443015814674182,0.4979412694162352,2.710302204211506,0.03124765695218787,0.43301771829289876
105,35,21,56,0.009223372036854787,6.04711650567946,0.5189698395977714,3.1382710829815057,0.02894544175084161,0.4966904551075539
105,35,22,57,0.00737869762948383,6.727198790968447,0.5409435465305584,3.639034772202557,0.026851337247260236,0.560986205436069
105,35,23,58,0.005902958103587064,7.493197730036938,0.5639051499400897,4.2254527894872185,0.02494267078502814,0.6258732537447492
105,35,24,59,0.004722366482869652,8.35638127412821,0.5878998541618047,4.912715332380411,0.023199642225513094,0.6913215996409978
105,35,25,60,0.0037778931862957215,9.329531868488212,0.6129753804355057,5.718773346371736,0.021604914859227366,0.7573028843818409
105,35,26,61,0.0030223145490365774,10.427153165341714,0.6391820406859112,6.664849038767676,0.020143270216999996,0.8237903169347736
105,35,27,62,0.002417851639229262,11.665705338047637,0.666572814251924,7.776042037416107,0.018801315986882183,0.8907585997279533
105,35,28,63,0.0019342813113834097,13.063872974393032,0.6952034288636405,9.082049286037082,0.017567238203044566,0.9581838543801714
105,35,29,64,0.0015474250491067279,14.642870083062178,0.7251324469919728,10.618020214316426,0.016430590451554823,1.0260435478046976
105,35,30,65,0.0012379400392853823,16.426787381869772,0.7564213585266216,12.4255728276219,0.015382114114369634,1.094316419147085
105,35,31,66,0.0009903520314283058,18.442987758056514,0.7891346805604853,14.554001253034867,0.01441358470635319,1.1629824079762605
105,35,32,67,0.0007922816251426448,20.722556620147763,0.8233400649584166,17.061711113736926,0.013517680208905817,1.2320225842751507
105,35,33,68,0.0006338253001141158,23.30081479644472,0.8591084142096554,20.0179260495665,0.012687867986028665,1.3014190805416002
105,35,34,69,0.0005070602400912927,26.217902712330222,0.8965140060062581,23.504716989713508,0.011918307440082017,1.3711550264008638
105,35,35,70,0.00040564819207303417,29.519445800937447,0.9356346268954624,27.619415658120932,0.011203766027830407,1.4412144860044456
105,35,36,71,0.00032451855365842736,33.257312497844445,0.9765517152998671,32.4774855660337,0.010539546642351707,1.5115823984303587
105,35,37,72,0.00025961484292674194,37.49047776245318,1.0193505141608254,38.21593778329164,0.009921424684907403,1.5822445212312553
105,35,38,73,0.00020769187434139353,42.28600688442285,1.0641202334380693,44.99739551701583,0.009345593415410037,1.653187377212623
105,35,39,74,0.00016615349947311485,47.720176404441276,1.1109542226896514,53.01493148400909,0.008808616390395525,1.7243982044655837
105,35,40,75,0.00013292279957849188,53.879751340641704,1.159950153958618,62.49782586282938,0.008307385981256356,1.7958649096288861
105,35,41,76,0.00010633823966279351,60.86344060609173,1.211210215203988,73.7184209945595,0.007839087119282176,1.8675760243129902
105,35,42,77,8.507059173023481e-5,68.78355557574015,1.2648413145319972,87.00028285260386,0.007401165542968811,1.9395206645855767
105,35,43,78,6.805647338418786e-5,77.7679002663497,1.320955295507326,102.72791967732019,0.00699129993133253,2.011688493391974
105,35,44,79,5.444517870735029e-5,87.9619255911264,1.3796691638519434,121.35835633111618,0.0066073773980779155,2.0840696857651575
105,35,45,80,4.355614296588023e-5,99.53118471140367,1.4411053258702644,143.43492037778083,0.006247471898274269,2.1566548966673293
105,35,46,81,3.484491437270419e-5,112.66413171007555,1.5053918389725593,169.60366442127727,0.005909825164056262,2.229435231297746
105,35,47,82,2.7875931498163353e-5,127.57531174586815,1.5726626747035128,200.63293099639145,0.005592829840731143,2.3024022176985537
105,35,48,83,2.2300745198530684e-5,144.50899761711497,1.6430579947189556,237.43666384362325,0.0052950145411658255,2.3755477814910995
105,35,49,84,1.7840596158824548e-5,163.7433353861007,1.7167244401908095,281.10218577567963,0.005015030575786774,2.4488642225787167
105,35,50,85,1.4272476927059638e-5,185.5950705244961,1.7938154351580053,332.9233021960798,0.004751640149074052,2.5223441936577244
105,35,51,86,1.1417981541647711e-5,210.42493609006718,1.8744915043794437,394.43975501041825,0.004503705842001001,2.595980680385672
105,35,52,87,9.13438523331817e-6,238.64379590944944,1.9589206062838995,467.4842493688298,0.004270181224243468,2.669766983064286
105,35,53,88,7.307508186654536e-6,270.7196488206859,2.047278481651232,554.2385115907688,0.004050102460808768,2.74369669970363
105,35,54,89,5.846006549323629e-6,307.18561494993264,2.1397490186992436,657.3001181476419,0.0038425807955623096,2.8177637103434505
105,35,55,90,4.676805239458904e-6,348.6490420187546,2.2365246352913304,779.762171545667,0.003646795809416628,2.8919621625171756
105,35,56,91,3.741444191567123e-6,395.80188909789956,2.3378066790215826,925.3082999024292,0.003461989364078793,2.966286457753391
105,35,57,92,2.9931553532536988e-6,449.4325673782647,2.443805845976449,1098.3259355312082,0.0032874601535526128,3.0407312390187475
105,35,58,93,2.394524282602959e-6,510.4394428054107,2.5547426190156792,1304.041398961599,0.003122558795333082,3.1152913790149075
105,35,59,94,1.9156194260823675e-6,579.8462342603749,2.6708477264598627,1548.6809964706345,0.002966683401643746,3.1899619692503642
105,35,60,95,1.532495540865894e-6,658.8195738685101,2.792362622118102,1839.663152790203,0.0028192755783462775,3.2647383098156415
105,35,61,96,1.2259964326927152e-6,748.6890335524081,2.9195399876366603,2185.8275717613005,0.0026798168054607344,3.3396158997975185
105,35,62,97,9.807971461541723e-7,850.969964767878,3.052644258198785,2597.708576848284,0.0025478251587130133,3.414590428274474
105,35,63,98,7.846377169233378e-7,967.3895472189996,3.191952172656463,3087.861167050838,0.002422852336291003,3.4896577658414345
105,35,64,99,6.277101735386703e-7,1099.916498091694,3.337753349228909,3671.2499753776833,0.0023044809591481648,3.564813956618133
