T_report,n_buffer,t,log_q_diff,abs_log_q_diff,log_phi_diff,abs_log_phi_diff,log_dividend_yield_diff,abs_log_dividend_yield_diff,phi_LL,phi_asym,q_LL,q_asym
45,5,14,-0.00016510463113030005,0.00016510463113030005,8.959826657978232e-5,8.959826657978232e-5,8.959826657983783e-5,8.959826657983783e-5,0.6133472372006799,0.6132922848132712,1.0903019311073625,1.0904819598669007
45,5,15,-0.00021878999951598088,0.00021878999951598088,0.00011846562215112044,0.00011846562215112044,0.00011846562215112044,0.00011846562215112044,0.6064737044850478,0.6064018624558171,1.1205667745369026,1.1208119701631585
45,5,16,-0.0002881117113299747,0.0002881117113299747,0.0001556654826710968,0.0001556654826710968,0.0001556654826710968,0.0001556654826710968,0.5990817495605562,0.5989885004688721,1.15375821417984,1.154090673323775
45,5,17,-0.00037695758578587535,0.00037695758578587535,0.00020324883104161362,0.00020324883104161362,0.0002032488310415026,0.0002032488310415026,0.5911798715576999,0.5910597271498893,1.1901485248401669,1.1905972449237234
45,5,18,-0.0004899539347245074,0.0004899539347245074,0.00026365071069922585,0.00026365071069922585,0.0002636507106994479,0.0002636507106994479,0.5827791786232944,0.5826255487318747,1.2300384054835185,1.2306412153026098
45,5,19,-0.0006325337883191506,0.0006325337883191506,0.0003397241490616931,0.0003397241490616931,0.00033972414906191517,0.00033972414906191517,0.5738937238332038,0.5736987913897268,1.2737591616518047,1.2745651122283446
45,5,20,-0.0008109898677482463,0.0008109898677482463,0.00043476571457079505,0.00043476571457079505,0.000434765714570684,0.000434765714570684,0.5645407601688364,0.5642953705491992,1.3216750823300822,1.3227473821836941
45,5,21,-0.0010325054126680833,0.0010325054126680833,0.0005525291212427064,0.0005525291212427064,0.0005525291212427064,0.0005525291212427064,0.5547409094639041,0.5544344836190777,1.3741859937340293,1.3756055809502
45,5,22,-0.001305155645198064,0.001305155645198064,0.0006972231540102181,0.0006972231540102181,0.000697223154010107,0.000697223154010107,0.5445182386109602,0.5441387202071033,1.431729979885521,1.4335998303086555
45,5,23,-0.0016378727463030596,0.0016378727463030596,0.0008734902698999125,0.0008734902698999125,0.0008734902699001346,0.0008734902699001346,0.5339002397371477,0.5334340866923536,1.4947862505171647,1.4972365262505931
45,5,24,-0.002040367727511483,0.002040367727511483,0.001086362527505047,0.001086362527505047,0.001086362527505269,0.001086362527505269,0.522917711269838,0.5223499415210747,1.5638781443133059,1.5670722883147636
45,5,25,-0.0025230035253446803,0.0025230035253446803,0.0013411920218153739,0.0013411920218153739,0.0013411920218153739,0.0013411920218153739,0.5116045380562138,0.5109188380619153,1.6395762670429104,1.6437181465359019
45,5,26,-0.0030966151167036715,0.0030966151167036715,0.001643553799505204,0.001643553799505204,0.001643553799504982,0.001643553799504982,0.49999737432962776,0.4991762766892128,1.7225017596406655,1.727843951715618
45,5,27,-0.003772274343634918,0.003772274343634918,0.0019991202425513332,0.0019991202425513332,0.0019991202425515553,0.0019991202425515553,0.48813523548765464,0.4871603692194036,1.8133297083701307,1.8201830036336175
45,5,28,-0.004560999546785238,0.004560999546785238,0.0024135071889574977,0.0024135071889574977,0.0024135071889572757,0.0024135071889572757,0.47605901039060805,0.4749114239577743,1.9127927108984986,1.921536883511122
45,5,29,-0.005473412868797323,0.005473412868797323,0.002892093516411842,0.002892093516411842,0.00289209351641162,0.00289209351641162,0.4638109086784327,0.46247146199275746,2.0216846317629886,2.032780484834613
45,5,30,-0.006519351338313273,0.006519351338313273,0.00343981761922163,0.00343981761922163,0.003439817619221852,0.003439817619221852,0.4514338632749046,0.44988368081908475,2.1408645788346656,2.1548672216710725
45,5,31,-0.007707441267222448,0.007707441267222448,0.004060955990842885,0.004060955990842885,0.004060955990842441,0.004060955990842441,0.43897090946460077,0.4371918826397068,2.2712611525689494,2.288834399896425
45,5,32,-0.009044649156691453,0.009044649156691453,0.004758891018361688,0.004758891018361688,0.004758891018361577,0.004758891018361577,0.4264645640938016,0.42443988713964975,2.4138770249697985,2.435808728538857
45,5,33,-0.010535825786858188,0.010535825786858188,0.005535876873845602,0.005535876873845602,0.005535876873845602,0.005535876873845602,0.4139562270367693,0.4116709476815054,2.5697939280491786,2.597011959628171
45,5,34,-0.012183263509332853,0.012183263509332853,0.0063928140753127805,0.0063928140753127805,0.0063928140753128915,0.0063928140753128915,0.40148562653226105,0.39892719008538513,2.7401781349076946,2.7737666405290806
45,5,35,-0.013986289303794086,0.013986289303794086,0.007329044533726625,0.007329044533726625,0.007329044533726847,0.007329044533726847,0.3890903259864722,0.3862490901497097,2.9262865400248015,2.967501983854491
45,5,36,-0.015940918708602814,0.015940918708602814,0.008342180134376376,0.008342180134376376,0.008342180134376154,0.008342180134376154,0.37680530638390414,0.37367500357107103,3.1294734556913824,3.1797598786752457
45,5,37,-0.018039589068694184,0.018039589068694184,0.009427974234717862,0.009427974234717862,0.009427974234717862,0.009427974234717862,0.3646626327716271,0.36124075888147894,3.3511982749504825,3.4122010932854794
45,5,38,-0.020271010077210105,0.020271010077210105,0.010580255704852659,0.010580255704852659,0.010580255704852881,0.010580255704852881,0.35269121241814083,0.34897932021648687,3.593034107576935,3.6666117654118042
45,5,39,-0.02262012985696127,0.02262012985696127,0.011790923924591024,0.011790923924591024,0.011790923924591468,0.011790923924591468,0.34091664130794175,0.3369205243778786,3.8566776058659564,3.9449103095961853
45,5,40,-0.025068245500559083,0.025068245500559083,0.013050019379286848,0.013050019379286848,0.013050019379286848,0.013050019379286848,0.3293611386737954,0.3250908934257339,4.143960101042849,4.249154926259184
45,5,41,-0.027593256859588244,0.027593256859588244,0.014345868455936994,0.014345868455936994,0.01434586845593655,0.01434586845593655,0.31804356169513204,0.3135135219642387,4.456860237745183,4.581551940704947
45,5,42,-0.03017006016315049,0.03017006016315049,0.01566529991364196,0.01566529991364196,0.015665299913642183,0.015665299913642183,0.3069794916199533,0.30220803653039274,4.797518268260947,4.944465236325049
45,5,43,-0.03277106608208391,0.03277106608208391,0.01699392426242219,0.01699392426242219,0.016993924262421967,0.016993924262421967,0.2961813803456999,0.2911906227857596,5.1682521734254045,5.3404270759264945
45,5,44,-0.03536681598293345,0.03536681598293345,0.018316461700645714,0.018316461700645714,0.018316461700645714,0.018316461700645714,0.2856587459028755,0.28047411541665024,5.571575760485039,5.772150595437463
45,5,45,-0.03792665954097996,0.03792665954097996,0.01961709890908203,0.01961709890908203,0.019617098909081587,0.019617098909081587,0.2754184046971875,0.270068144480333,6.01021888628505,6.242544225772351
