T_report,n_buffer,terminal_rule,t,periods_to_terminal,terminal_contaminated,terminal_anchor_weight,terminal_anchor_fraction_of_fundamental_value,terminal_anchor_scale_bubble_share_exposure,bubble_share_derivative_wrt_terminal_value,q_US,v_US,B_per,Q_US,V_agg,B_agg,fundamental_share,bubble_share,NFA,NFA_fund,NFA_bubble,max_u_residual,terminal_successor_phi_US
105,0,hkt_scalar_terminal_us,2,103,false,1.0734090705480965e-7,2.0873164018779946e-11,2.087073896388774e-11,-1.2084223351921507e-7,0.8882731138674413,0.8881699138418744,0.00010320002556696295,1.0157167607219018,1.0155987542281344,0.00011800649376736416,0.9998838194875475,0.00011618051245259874,-0.08157237720680799,-0.08145437071304062,-0.00011800649376736416,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,3,102,false,1.5061832049260112e-7,2.902638642350141e-11,2.902169708851734e-11,-1.680365368357448e-7,0.8963426843284092,0.8961978763924158,0.00014480793599347397,1.0960016613234012,1.0958245976387229,0.00017706368467829137,0.9998384457880616,0.00016155421193841105,-0.05778537955822394,-0.057608315873545646,-0.00017706368467829137,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,4,101,false,2.1033802120654243e-7,4.0115262690830847e-11,4.0106306613986866e-11,-2.3221677382034788e-7,0.9057830653063343,0.9055808414595312,0.000202223846803129,1.1845106369318938,1.1842461847614412,0.0002644521704526781,0.9997767414135362,0.00022325858646373928,-0.030784186170297545,-0.030519733999844867,-0.0002644521704526781,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,5,100,false,2.922809266728605e-7,5.508868622146482e-11,5.507179789641941e-11,-3.1886743795881664e-7,0.9166220563123478,0.9163410510408015,0.0002810052715462863,1.2823243558304902,1.2819312386222155,0.0003931172082747292,0.9996934338753785,0.0003065661246215112,-0.00016444079558852742,0.00022867641268620176,-0.0003931172082747292,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,6,99,false,4.0405703712344227e-7,7.515753103403461e-11,7.512610002942316e-11,-4.3498247660764024e-7,0.9289041716682921,0.9285157023971278,0.0003884692711643156,1.3907004651204666,1.3901188718705162,0.0005815932499504406,0.9995817983350569,0.00041820166494304094,0.03453138626648755,0.03511297951643799,-0.0005815932499504406,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,7,98,false,5.555997043489655e-7,1.0184926735009193e-10,1.0179155555555168e-10,-5.893763008589126e-7,0.9426909489561701,0.9421567832446575,0.0005341657115126575,1.5111073190616677,1.510251066312925,0.0008562527487427918,0.9994333607296175,0.0005666392703825217,0.07382080879087938,0.07467706153962217,-0.0008562527487427918,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,8,97,false,7.597623703512405e-7,1.3706758788523603e-10,1.3696308381155392e-10,-7.930205531344811e-7,0.9580613861118924,0.9573309339369401,0.0007304521749522674,1.6452646387149594,1.6440102440058701,0.0012543947090892793,0.999237572680059,0.0007624273199410822,0.11828931760045758,0.11954371230954686,-0.0012543947090892793,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,9,96,false,1.0330306039674919e-6,1.8315556052549902e-10,1.82969011674383e-10,-1.05939631911419e-6,0.9751125101428105,0.974119331896111,0.0009931782466995331,1.795192643070444,1.7933641912116203,0.001828451858823632,0.998981473177332,0.001018526822668069,0.16859974622244644,0.17042819808127008,-0.001828451858823632,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,10,95,false,1.3963623633486706e-6,2.4296027693121216e-10,2.4263212244130715e-10,-1.4048476026674208e-6,0.9939600286161723,0.9926175357185828,0.0013424928975894757,1.9632714461297645,1.9606197520006363,0.002651694129128135,0.9986493492102911,0.0013506507897089175,0.22550333676563517,0.2281550308947633,-0.002651694129128135,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,11,94,false,1.876168821698123e-6,3.198963740639377e-10,3.193277297100733e-10,-1.8489175754415813e-6,1.0147390271034842,1.0129352379230137,0.0018037891804705275,2.1523129236941383,2.1484869953903574,0.0038259283037809233,0.9982224107555818,0.0017775892444181689,0.2898528929387223,0.2936788212425032,-0.0038259283037809233,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,12,93,false,2.505446720731463e-6,4.1800521465524376e-10,4.1703481910165877e-10,-2.4146446890416545e-6,1.0376047176223873,1.0351959270880633,0.002408790534323968,2.365647838392485,2.360156007039095,0.00549183135338982,0.9976785084980689,0.002321491501931096,0.36261839800207785,0.36811022935546767,-0.00549183135338982,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,13,92,false,3.325071319270289e-6,5.42006030959301e-10,5.403756291222689e-10,-3.1287918494631987e-6,1.0627333102522514,1.0595365149357052,0.0031967953165461527,2.6072318459740873,2.5993890631479974,0.007842782826089856,0.9969919120011517,0.00300808799884834,0.4449053598818469,0.45274814270793673,-0.007842782826089856,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,14,91,false,4.385256975666973e-6,6.97335098974243e-10,6.946386311578331e-10,-4.021979471981589e-6,1.0903230626153348,1.086106981921625,0.004216080693709934,2.8817748962059047,2.8706315975634196,0.011143298642485089,0.9961331821381482,0.003866817861851793,0.5379761741114781,0.5491194727539632,-0.011143298642485089,1.082157695580271e-6,0.02172068007778638
