T_report,n_buffer,terminal_rule,status,residual_safe,tail_window,final_solved_t,final_e_W_over_e_US,max_tail_e_W_over_e_US,tail_log_slope_e_W_over_e_US,successor_e_W_over_e_US,successor_HKT_e_W_over_e_US,final_Y_W_over_Y_US,max_tail_Y_W_over_Y_US,successor_Y_W_over_Y_US,successor_HKT_Y_W_over_Y_US,final_Q_W_over_Q_US,max_tail_Q_W_over_Q_US,final_Q_US_over_beta_e_US,max_tail_abs_US_funding_gap,final_omega_times_one_minus_theta,final_omega_star_S_star_over_beta_e_US,successor_phi_US_LL,successor_phi_US_HKT_scalar,successor_HKT_phi_over_floor,successor_LL_vs_HKT_phi_log_gap,max_tail_abs_log_phi_US_vs_HKT_scalar,max_tail_residual_norm,psi_ok,equity_weights_ok,hkt_entry_gate,hkt_entry_reason
56,0,local_loglinear,ok,true,8,56,0.00484378044225689,0.011802972110379959,-0.127263527131111,0.0042516864387747615,0.004243959595436381,0.002654256203227227,0.008004307633578669,0.002250615067490813,0.0022517911268616245,0.04037811066236561,0.08399992138119343,0.9658679478842104,0.06654819093482045,0.963298066970872,0.0025698862488040893,0.1737921501596953,0.17087050898791045,170.87050898791045,0.016954033613847175,0.03677301980398684,5.546935906285936e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
57,0,local_loglinear,ok,true,8,57,0.004244428573831482,0.010414194445549774,-0.1282489194947302,0.0037222531874971385,0.003716060335488273,0.00225205537431786,0.006877485564998714,0.0019065249241067249,0.0019073853345367132,0.03602382251020435,0.07592199037663698,0.9693459897317744,0.060837114655588054,0.9670484602157627,0.0022975345642149473,0.16707514766815829,0.1645561506660399,164.5561506660399,0.015191843843690656,0.033547485400427624,5.636713050205693e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
58,0,local_loglinear,ok,true,8,58,0.0037163353213407985,0.009179185013658202,-0.12919588934798282,0.0032563177905927817,0.0032513713468145756,0.0019076988431254585,0.005897750321652134,0.0016124826234317092,0.0016131099106960042,0.032094347476524406,0.06849205063927956,0.9725223473385533,0.055468080747825055,0.9704718828857951,0.0020504692981297154,0.16059502548733962,0.15842698123733512,158.42698123733513,0.013592025514305828,0.030528196991163492,5.729068855183181e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
59,0,local_loglinear,ok,true,8,59,0.0032515797352994117,0.008082525406353592,-0.1301035598880848,0.002846736305998583,0.0028427979427406874,0.0016134182916781815,0.005047959869493683,0.0013616615717050712,0.0013621173788122946,0.028555941884828538,0.06167802239260348,0.9754138880513925,0.050444003861641606,0.9735868861442554,0.0018270063423922692,0.1543443122585822,0.15248135393851003,152.48135393851004,0.012143581316248486,0.027714186415704223,5.816719713944581e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
60,0,local_loglinear,ok,true,8,60,0.002843024558222678,0.007110090261976785,-0.13097116426505445,0.002487083763536423,0.0024839572454961076,0.001362388121071391,0.004312597558405951,0.0011480839238687851,0.0011484140768461561,0.025376178250103514,0.05544623905994731,0.9780382891133445,0.045763372851107764,0.9764128446252952,0.0016254486310269196,0.14831569111168813,0.14671729211855317,146.71729211855316,0.010835497877839773,0.02510220477491165,5.889135146512191e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
65,0,local_loglinear,ok,true,8,65,0.0014407236246482748,0.0036984788695694454,-0.13469555908261352,0.0012560744580546361,0.0012551240983350968,0.00057157863894055,0.0019115307474539317,0.00047824739106712286,0.00047831044598580506,0.013836357721843363,0.03180510717300113,0.9877806018251771,0.02722241915321122,0.9868914667506683,0.000889137948570379,0.1212618150092872,0.12053237066793548,120.53237066793548,0.006033615342979193,0.014843756936053554,6.282710084182353e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
70,0,local_loglinear,ok,true,8,70,0.000722914741960318,0.0018919878583144101,-0.13744402973930875,0.0006286408235267598,0.0006283644412880314,0.00023092764675121724,0.0008130746929232859,0.00019190036962631187,0.00019191169324298267,0.007379182616005555,0.017662672745711882,0.9933960628521091,0.015487715355254728,0.9929207758487565,0.00047528503886170307,0.09878080406695824,0.09845520715443512,98.45520715443512,0.0033016000097814135,0.008418917867985876,6.812080500471222e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
75,0,local_loglinear,ok,true,8,75,0.00036082878867576326,0.0009572851470528802,-0.13937505151391377,0.0003131547967773766,0.0003130763627815153,8.973959794250644e-5,0.00033255877164422594,7.40494645686058e-5,7.40513970476003e-5,0.0038703109142506705,0.009567863032734103,0.9965058380642178,0.00852425495672482,0.99625539760947,0.0002504391968237423,0.08018340785131463,0.08003961949807431,80.0396194980743,0.0017948530148284014,0.004627866247714607,7.443211463711547e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
80,0,local_loglinear,ok,true,8,80,0.00017965760166018484,0.00048132111859300715,-0.1407590186202028,0.00015565771700502473,0.00015563564822264168,3.339720880441354e-5,0.0001307423721400824,2.7342444223109367e-5,2.7342759622874578e-5,0.0020032807161216833,0.0050848323065764275,0.9981809159534238,0.004577837948574137,0.9980501030901399,0.00013081189142264508,0.06487629796175481,0.06481279309154056,64.81279309154056,0.0009793402787257044,0.0024848566314088494,8.035640255830594e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large
85,0,local_loglinear,ok,true,8,85,8.935247896691056e-5,0.00024131763037062666,-0.14189304755079654,7.728238898933316e-5,7.72761437678224e-5,1.1785830350314431e-5,4.922051972691745e-5,9.556389915991001e-6,9.556439191751838e-6,0.0010256299675345413,0.0026627845490283146,0.9990651264514423,0.002413838254212375,0.9989971712744022,6.795468179304363e-5,0.05234144922819565,0.05231307425709297,52.31307425709297,0.0005422598250510724,0.0013106819932731106,8.696537484212194e-7,true,true,false,tail e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large
90,0,local_loglinear,ok,true,8,90,4.438108567391339e-5,0.0001208848282463498,-0.14308984663683147,3.830375931909124e-5,3.8301958921668305e-5,3.863658467567333e-6,1.7582584693871795e-5,3.091071457707996e-6,3.091078752239978e-6,0.0005199121110636597,0.0013782530374408489,0.9995249370771114,0.0012550367307098131,0.999489776250967,3.516055145058899e-5,0.04212538304196703,0.042112399776866524,42.112399776866525,0.000308252776102691,0.000681850204926171,9.44772547745119e-7,true,false,false,tail e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large
95,0,local_loglinear,ok,true,8,95,2.1967851857860193e-5,6.0532814568875075e-5,-0.14472132438251895,1.890149743717341e-5,1.8900963520343937e-5,1.1242477614732046e-6,5.844383886042473e-6,8.799940084617367e-7,8.799949929476539e-7,0.0002607515470915897,0.0007063578063292781,0.9997613880064723,0.0006450679962184402,0.9997432717124088,1.8116121016447278e-5,0.03383398383874076,0.03382782964733988,33.82782964733988,0.00018191033023740033,0.00035067329910187794,1.0136693107384825e-6,true,false,true,passed
100,0,local_loglinear,ok,true,8,100,1.077305044454178e-5,3.025378426655046e-5,-0.14739543655216605,9.222964831997822e-6,9.22280160207297e-6,2.569451505799466e-7,1.7307024142750173e-6,1.9207706312941273e-7,1.9207716954434412e-7,0.0001288183949195821,0.0003584149740305883,0.9998820235378376,0.00032789306468317125,0.9998727525099664,9.270948711254788e-6,0.027128689192264712,0.02712564173025609,27.12564173025609,0.00011233986153769138,0.00017835260098664207,1.0797609177183837e-6,true,false,true,passed
105,0,local_loglinear,ok,true,8,105,5.142899115076501e-6,1.4997180334640396e-5,-0.1527043849229415,4.359455352625839e-6,4.359404870530651e-6,2.6832968866268982e-8,4.0806185729915317e-7,1.673758625983519e-8,1.673759106278733e-8,6.168736044780655e-5,0.0001791998951606996,0.9999434846524434,0.0001640986545788925,0.9999388157160706,4.66889914719205e-6,0.021722258916734336,0.021720680544061143,21.720680544061143,7.26641748221013e-5,8.930438016863107e-5,1.034012695870799e-6,true,false,true,passed
