experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,minus_NFA,cond_1b
terminal_rule_baseline_buffer,45,5,flat,39,3.8300434420873115,0.06843006483004635,0.3421503241502318,118.02913313306989,-19.846719531375626,0.07316925205842958
terminal_rule_baseline_buffer,45,5,flat,40,4.11206362064309,0.06613772877278117,0.33068864386390584,143.68308608590465,-22.842163713723636,0.06511167296652808
terminal_rule_baseline_buffer,45,5,flat,41,4.4188514600849995,0.06389259169254267,0.31946295846271333,175.4181864757395,-26.316216587833594,0.05785334204627671
terminal_rule_baseline_buffer,45,5,flat,42,4.752446060729797,0.06169757163070883,0.3084878581535442,214.75341199410627,-30.35362275368962,0.05133050881912914
terminal_rule_baseline_buffer,45,5,flat,43,5.115057193327459,0.05955497397039602,0.2977748698519801,263.6014080083044,-35.05645655861724,0.04548161372907288
terminal_rule_baseline_buffer,45,5,flat,44,5.509083063680166,0.057466535210172205,0.28733267605086105,324.3735856349029,-40.5482390955284,0.040247814940077245
terminal_rule_baseline_buffer,45,5,flat,45,5.937130021248533,0.05543347323653796,0.2771673661826898,400.114012894823,-46.97914067078784,0.03557337153947976
terminal_rule_baseline_buffer,45,5,local_loglinear,1,0.8815627703309759,0.1306219886735223,0.6531099433676114,0.9427238421959994,0.10250178497186435,0.0
terminal_rule_baseline_buffer,45,5,local_loglinear,2,0.8882727341781219,0.13071166324662425,0.6535583162331211,1.0157162746491508,0.08157191015201704,1.0729732249929198
terminal_rule_baseline_buffer,45,5,local_loglinear,3,0.8963421441111566,0.1306718142152135,0.6533590710760675,1.0960008991161243,0.057784682216706296,1.039492650222758
terminal_rule_baseline_buffer,45,5,local_loglinear,4,0.9057822981253784,0.1305078311804734,0.652539155902367,1.1845094550401454,0.03078314444802266,1.0057383888431815
terminal_rule_baseline_buffer,45,5,local_loglinear,5,0.916620970207799,0.13022416229697845,0.6511208114848922,1.282322539701398,0.0001628862812883547,0.9716871868814517
terminal_rule_baseline_buffer,45,5,local_loglinear,6,0.9289026381657384,0.1298243862086737,0.6491219310433686,1.3906976926178263,-0.03453370409440426,0.9372977182871619
terminal_rule_baseline_buffer,45,5,local_loglinear,7,0.9426887911689039,0.12931130124355483,0.6465565062177743,1.5111031109697344,-0.07382425840738605,0.9025280313516826
terminal_rule_baseline_buffer,45,5,local_loglinear,8,0.9580583609144432,0.1286870262164207,0.6434351310821035,1.6452582835455434,-0.11829444038740533,0.8673555524751041
terminal_rule_baseline_buffer,45,5,local_loglinear,9,0.9751082849070253,0.1279531105399535,0.6397655526997675,1.795183088045891,-0.16860733508220194,0.8317931548733026
terminal_rule_baseline_buffer,45,5,local_loglinear,10,0.9939541510097,0.1271106558061897,0.6355532790309484,1.9632571399269965,-0.2255145480428593,0.7958962212291781
terminal_rule_baseline_buffer,45,5,local_loglinear,11,1.014730882825393,0.12616044935273077,0.6308022467636539,2.1522915832522584,-0.2898694126716981,0.7597596576300475
terminal_rule_baseline_buffer,45,5,local_loglinear,12,1.037593478866664,0.12510310573577318,0.625515528678866,2.3656161197752468,-0.36264267160227615,0.7235079884144016
terminal_rule_baseline_buffer,45,5,local_loglinear,13,1.0627178663311616,0.12393920875935562,0.619696043796778,2.6071848655071186,-0.44494092550542685,0.6872832074912555
terminal_rule_baseline_buffer,45,5,local_loglinear,14,1.0903019311073625,0.12266944744013596,0.6133472372006799,2.8817055447492943,-0.5380281355637311,0.6512340826639506
terminal_rule_baseline_buffer,45,5,local_loglinear,15,1.1205667745369026,0.12129474089700956,0.6064737044850478,3.19479766376925,-0.6433504800400334,0.6155084296548519
terminal_rule_baseline_buffer,45,5,local_loglinear,16,1.15375821417984,0.11981634991211125,0.5990817495605562,3.5531866552792843,-0.7625649529293037,0.5802483698571002
terminal_rule_baseline_buffer,45,5,local_loglinear,17,1.1901485248401669,0.11823597431154,0.5911798715576999,3.96494268504394,-0.8975721822670688,0.545587796847719
terminal_rule_baseline_buffer,45,5,local_loglinear,18,1.2300384054835185,0.1165558357246589,0.5827791786232944,4.439774959790167,-1.0505540318549293,0.5116511826873645
terminal_rule_baseline_buffer,45,5,local_loglinear,19,1.2737591616518047,0.11477874476664077,0.5738937238332038,4.989395119244238,-1.2240166008598825,0.4785530126899817
terminal_rule_baseline_buffer,45,5,local_loglinear,20,1.3216750823300822,0.11290815203376728,0.5645407601688364,5.627966691148357,-1.420839347469487,0.4463975129489543
terminal_rule_baseline_buffer,45,5,local_loglinear,21,1.3741859937340293,0.1109481818927808,0.5547409094639041,6.372661907951731,-1.6443311427486318,0.41527843417689175
terminal_rule_baseline_buffer,45,5,local_loglinear,22,1.431729979885521,0.10890364772219203,0.5445182386109602,7.2443526515389545,-1.8982941266234254,0.3852787753819692
terminal_rule_baseline_buffer,45,5,local_loglinear,23,1.4947862505171647,0.10678004794742955,0.5339002397371477,8.268469106622687,-2.187096395596548,0.35647051244455813
terminal_rule_baseline_buffer,45,5,local_loglinear,24,1.5638781443133059,0.10458354225396758,0.522917711269838,9.476068370241794,-2.515754667880975,0.3289143200318947
terminal_rule_baseline_buffer,45,5,local_loglinear,25,1.6395762670429104,0.10232090761124275,0.5116045380562138,10.905166247451735,-2.8900281778793655,0.3026592890282361
terminal_rule_baseline_buffer,45,5,local_loglinear,26,1.7225017596406655,0.09999947486592556,0.49999737432962776,12.602399250950185,-3.316525285538134,0.2777427462061799
terminal_rule_baseline_buffer,45,5,local_loglinear,27,1.8133297083701307,0.09762704709753095,0.48813523548765464,14.625101400751578,-3.8028244438447842,0.25419015691306734
terminal_rule_baseline_buffer,45,5,local_loglinear,28,1.9127927108984986,0.0952118020781216,0.47605901039060805,17.043902588195014,-4.357611478265852,0.23201518589981684
terminal_rule_baseline_buffer,45,5,local_loglinear,29,2.0216846317629886,0.09276218173568654,0.4638109086784327,19.94598352074796,-4.990835387820102,0.21121989274683328
terminal_rule_baseline_buffer,45,5,local_loglinear,30,2.1408645788346656,0.09028677265498092,0.4514338632749046,23.439157946158247,-5.713885405706623,0.19179514729289615
terminal_rule_baseline_buffer,45,5,local_loglinear,31,2.2712611525689494,0.08779418189292015,0.43897090946460077,27.65699838208049,-6.539792552332887,0.17372122409325824
terminal_rule_baseline_buffer,45,5,local_loglinear,32,2.4138770249697985,0.08529291281876031,0.4264645640938016,32.76527934646069,-7.483459721114983,0.1569686065196306
terminal_rule_baseline_buffer,45,5,local_loglinear,33,2.5697939280491786,0.08279124540735386,0.4139562270367693,38.97008585955958,-8.561925181579142,0.14149894079264852
terminal_rule_baseline_buffer,45,5,local_loglinear,34,2.7401781349076946,0.08029712530645222,0.40148562653226105,46.528028814387476,-9.794665730589053,0.1272661614332245
terminal_rule_baseline_buffer,45,5,local_loglinear,35,2.9262865400248015,0.07781806519729445,0.3890903259864722,55.75912884790935,-11.203947177467782,0.11421771035422039
terminal_rule_baseline_buffer,45,5,local_loglinear,36,3.1294734556913824,0.07536106127678083,0.37680530638390414,67.06308358967951,-12.81523186990566,0.10229581762844221
terminal_rule_baseline_buffer,45,5,local_loglinear,37,3.3511982749504825,0.07293252655432543,0.3646626327716271,80.93982976882245,-14.657654986040328,0.09143880557611558
terminal_rule_baseline_buffer,45,5,local_loglinear,38,3.593034107576935,0.07053824248362817,0.35269121241814083,98.01556177731578,-16.76458552642744,0.08158234402739607
terminal_rule_baseline_buffer,45,5,local_loglinear,39,3.8566776058659564,0.06818332826158836,0.34091664130794175,119.07569266470362,-19.174289509307968,0.07266065395263022
terminal_rule_baseline_buffer,45,5,local_loglinear,40,4.143960101042849,0.06587222773475908,0.3293611386737954,145.1066550989349,-21.93071952564992,0.06460760018070456
